Date,HII,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-11-26,1.0,-0.0,-0.10079272037068052,-0.38619996650477306,-0.7013621392284932,-0.6029419974320326,0.0
2019-11-27,1.0,-0.0,-0.08587280787353278,-0.3878216745197535,-0.7081718571388742,-0.6062118381799426,0.0
2019-11-29,1.0,-0.0,-0.09084265557366913,-0.40884816459609874,-0.723705660801619,-0.5873573556692337,0.0
2019-12-02,1.0,-0.0,-0.10125864610500057,-0.4424821408322939,-0.7103413085383831,-0.5807064293003742,0.0
2019-12-03,1.0,-0.0,-0.09692116135604731,-0.43559341219084274,-0.7130001697888958,-0.5843001867677853,0.0
2019-12-04,1.0,-0.0,-0.09512845711076794,-0.43829846974589354,-0.7034676400393092,-0.5708830548926014,0.0
2019-12-05,1.0,-0.0,-0.09070320462008832,-0.45351602310044165,-0.6978541501528706,-0.5888630959121277,0.0
2019-12-06,1.0,-0.0,-0.09928372463191405,-0.45867204820646923,-0.7016372008413393,-0.5827411744642147,0.0
2019-12-09,1.0,-0.0,-0.0685188390744908,-0.48843113496047547,-0.7256361433269864,-0.6024176331429231,0.0
2019-12-10,1.0,-0.0,-0.056805382203415626,-0.5922250296812688,-0.8090657249840177,-0.5861365642789734,0.0
2019-12-11,1.0,-0.0,-0.05853732704880645,-0.5895088946328114,-0.808575338300137,-0.5842481374486849,0.0
2019-12-12,1.0,-0.0,-0.054176552898947496,-0.5893107014662043,-0.8111273346717771,-0.5872726166575409,0.0
2019-12-13,1.0,-0.0,-0.058690951177169305,-0.6083208966588493,-0.8052569061614839,-0.5734474461669662,0.0
2019-12-16,1.0,-0.0,-0.060339045063723395,-0.6132386121104946,-0.8042868467589488,-0.5711018964571011,0.0
2019-12-17,1.0,-0.0,-0.046255847817331226,-0.6536233231093348,-0.8335966787495741,-0.5647055178610155,0.0
2019-12-18,1.0,-0.0,-0.053658381337322175,-0.6916711753286019,-0.8592979217720633,-0.5779892428630534,0.0
2019-12-19,1.0,-0.0,-0.06961843741034714,-0.6975550667814223,-0.8428803672181314,-0.5776035191737592,0.0
2019-12-20,1.0,-0.0,-0.09517430548910791,-0.7081300035084362,-0.8304149523171627,-0.55576818805218,0.0
2019-12-23,1.0,-0.0,-0.11220240933218906,-0.7005181017768031,-0.8217475604716951,-0.5440386510282572,0.0
2019-12-24,1.0,-0.0,-0.11439923712650986,-0.6941830896376351,-0.827972027972028,-0.542085187539733,0.0
2019-12-26,1.0,-0.0,-0.115214696627785,-0.6919874137876235,-0.834726504147729,-0.536376060769793,0.0
2019-12-27,1.0,-0.0,-0.13233656752027992,-0.7040878002226817,-0.8143152536981071,-0.5304278670271989,0.0
2019-12-30,1.0,-0.0,-0.13607180502762958,-0.7174753250071868,-0.824512089947935,-0.5161146069569106,0.0
2019-12-31,1.0,-0.0,-0.15016880056054527,-0.7069558570609593,-0.8203707242499522,-0.5074208548315179,0.0
2020-01-02,1.0,-0.0,-0.1530560163327804,-0.7094870486155417,-0.8219663136404237,-0.5054548934541279,0.0
2020-01-03,1.0,-0.0,-0.14111157435617844,-0.7087328822039063,-0.8427888778422759,-0.5144799717776852,0.0
2020-01-06,1.0,-0.0,-0.17102773246329528,-0.7729200652528548,-0.8244045676998369,-0.49429037520391517,0.0
2020-01-07,1.0,-0.0,-0.17055022518112395,-0.7725996997585014,-0.8281117420533907,-0.49220024802558576,0.0
2020-01-08,1.0,-0.0,-0.16303886695166922,-0.7785791208432595,-0.8263877557680385,-0.49538230590999577,0.0
2020-01-09,1.0,-0.0,-0.16517594829274662,-0.7780897042501795,-0.8244434288698832,-0.49667036625971145,0.0
2020-01-10,1.0,-0.0,-0.15702425097627407,-0.7996915302070685,-0.8394644439339742,-0.4854133167065927,0.0
2020-01-13,1.0,-0.0,-0.15969206474536124,-0.8039544676931175,-0.8426766679826292,-0.4836162652980655,0.0
2020-01-14,1.0,-0.0,-0.15647702769945263,-0.8335047271520981,-0.8596450489301708,-0.4676729142478023,0.0
2020-01-15,1.0,-0.0,-0.15640770252324035,-0.8370185922974767,-0.871613545816733,-0.4550464807436918,0.0
2020-01-16,1.0,-0.0,-0.1576605001826696,-0.8402471021953568,-0.8692749676176559,-0.45408349662891495,0.0
2020-01-17,1.0,-0.0,-0.13818049682875264,-0.8433866279069767,-0.8522396934460889,-0.46957584566596194,0.0
2020-01-21,1.0,-0.0,-0.13921458532879744,-0.841232618819566,-0.8538824850546619,-0.46847441952637314,0.0
2020-01-22,1.0,-0.0,-0.13525118076427653,-0.8464180731248142,-0.849720910261915,-0.4714469729497639,0.0
2020-01-23,1.0,-0.0,-0.13490747496186245,-0.8379319493267893,-0.870498109703522,-0.4729720766730782,0.0
2020-01-24,1.0,-0.0,-0.13654751641355528,-0.8400424431328337,-0.8712116188076131,-0.4681013329796405,0.0
2020-01-27,1.0,-0.0,-0.12122215233870699,-0.8473633685325564,-0.8637823165281869,-0.47787083319540524,0.0
2020-01-28,1.0,-0.0,-0.14043479695180283,-0.8601260185399004,-0.8464685118595981,-0.4518853297265199,0.0
2020-01-29,1.0,-0.0,-0.14463938905164753,-0.8621086935053821,-0.8370914118305409,-0.44787517693143286,0.0
2020-01-30,1.0,-0.0,-0.14254312928795043,-0.8909944714580695,-0.8113634849796842,-0.4855458602544461,0.0
2020-01-31,1.0,-0.0,-0.1442371752165223,-0.8896402398401064,-0.8112924716855429,-0.4859427048634244,0.0
2020-02-03,1.0,-0.0,-0.13738145416227607,-0.8731559536354057,-0.7957060063224446,-0.486663593256059,0.0
2020-02-04,1.0,-0.0,-0.1221594640746092,-0.8693025088664127,-0.7942992250098516,-0.4980953631945357,0.0
2020-02-05,1.0,-0.0,-0.12643115764751933,-0.8711876569788302,-0.7797892814039208,-0.4844896760935512,0.0
2020-02-06,1.0,-0.0,-0.13230016313213705,-0.8773898858075041,-0.776378466557912,-0.47657422512234915,0.0
2020-02-07,1.0,-0.0,-0.13668877617375472,-0.8619131226427363,-0.7738327480816751,-0.4789634542853427,0.0
2020-02-10,1.0,-0.0,-0.12181965881397237,-0.8655402112103979,-0.7804061738424045,-0.4816246953696181,0.0
2020-02-11,1.0,-0.0,-0.12352445193929172,-0.8553638604228823,-0.7788299390322999,-0.48524451939291735,0.0
2020-02-12,1.0,-0.0,-0.12097219067397864,-0.8577733069409742,-0.7868708829542136,-0.4793782652432099,0.0
2020-02-13,1.0,-0.0,-0.12647259273683184,-0.8580469282445721,-0.7884334534125206,-0.47246292149417446,0.0
2020-02-14,1.0,-0.0,-0.07469208009358014,-0.8820615151723664,-0.9395169613981973,-0.5441753251221358,0.0
2020-02-18,1.0,-0.0,-0.07813523671597532,-0.8737284921209614,-0.9329678286955622,-0.5633254025723251,0.0
2020-02-19,1.0,-0.0,-0.08393293747816975,-0.8903248340901153,-0.9345441844219351,-0.5840377226685295,0.0
2020-02-20,1.0,-0.0,-0.08505497583864416,-0.8985923383990476,-0.9337488619651236,-0.584249597310736,0.0
2020-02-21,1.0,-0.0,-0.09626024231388752,-0.8975068282092583,-0.9249947475313397,-0.5828839554590658,0.0
2020-02-24,1.0,-0.0,-0.10870860346942351,-0.8944804625898021,-0.9249342912213072,-0.57634483967058,0.0
