Date,HUD,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-10,1.0,-0.0,-0.3678675416105341,-0.19116944070227282,-1.6822389292077702,-1.1044283168919211,0.0
2019-07-11,1.0,-0.0,-0.3647653492526908,-0.203407555884788,-1.6867837378535013,-1.1025317007277007,0.0
2019-07-12,1.0,-0.0,-0.37793253536452664,-0.19973884657236127,-1.6728618063112077,-1.1020674646354731,0.0
2019-07-15,1.0,-0.0,-0.36803054627500326,-0.19959213780535426,-1.6741441402351716,-1.0971926931921725,0.0
2019-07-16,1.0,-0.0,-0.37531999826441614,-0.21768559899336137,-1.6670282466264588,-1.078925673623465,0.0
2019-07-17,1.0,-0.0,-0.3675656984785616,-0.21875,-1.655515214384509,-1.0804374135546335,0.0
2019-07-18,1.0,-0.0,-0.3662250516173434,-0.21231933929800414,-1.6569597384721266,-1.0658981417756366,0.0
2019-07-19,1.0,-0.0,-0.37218190406664664,-0.22308584188603084,-1.642504401597458,-1.0564692747026239,0.0
2019-07-22,1.0,-0.0,-0.44039259168001316,-0.24249517473615045,-1.5155435095067964,-0.9081762555952528,0.0
2019-07-23,1.0,-0.0,-0.44358584405442064,-0.23589132311233504,-1.5161741131982407,-0.9146286324961979,0.0
2019-07-24,1.0,-0.0,-0.44454033616898864,-0.2543459499445198,-1.5103357580240826,-0.9004232934697736,0.0
2019-07-25,1.0,-0.0,-0.42127100193073985,-0.2657848252064248,-1.5331717536868914,-0.8877706116748141,0.0
2019-07-26,1.0,-0.0,-0.4132139777440151,-0.2636636143390958,-1.5391122243666078,-0.8902804582597627,0.0
2019-07-29,1.0,-0.0,-0.4126395583570222,-0.26222551806534006,-1.5501174144110739,-0.8948214065010506,0.0
2019-07-30,1.0,-0.0,-0.4345384199359321,-0.2634688189041894,-1.5663768357116112,-0.8959104713566586,0.0
2019-07-31,1.0,-0.0,-0.4852941176470588,-0.2588987299465241,-1.555355949197861,-0.8782586898395722,0.0
2019-08-01,1.0,-0.0,-0.4965373383395912,-0.2575719649561953,-1.5484772632457238,-0.8692949520233626,0.0
2019-08-02,1.0,-0.0,-0.49110350012530285,-0.2546153203575307,-1.5528360203825913,-0.8782056636872442,0.0
2019-08-05,1.0,-0.0,-0.48923205342237064,-0.2482888146911519,-1.555467445742905,-0.8806343906510851,0.0
2019-08-06,1.0,-0.0,-0.4896362444699328,-0.24627232508602326,-1.4871784368343437,-0.8732590529247911,0.0
2019-08-07,1.0,-0.0,-0.5166755112870963,-0.22439482385598236,-1.4634445034085806,-0.877617667469486,0.0
2019-08-08,1.0,-0.0,-0.5164031539812887,-0.22106467295828738,-1.4666830085386282,-0.8813171548800915,0.0
2019-08-09,1.0,-0.0,-0.49768593699253005,-0.21094511204936667,-1.4485628450795713,-0.9025251705099058,0.0
2019-08-12,1.0,-0.0,-0.4928435307951182,-0.22422251956371894,-1.452378056197543,-0.8852126667477598,0.0
2019-08-13,1.0,-0.0,-0.4765454103540468,-0.21984120554160252,-1.462488860082638,-0.8920440735639633,0.0
2019-08-14,1.0,-0.0,-0.4749939207262706,-0.21763799951365811,-1.4678203777255412,-0.8923968549890573,0.0
2019-08-15,1.0,-0.0,-0.4975598143078206,-0.21937864539935722,-1.4109828195056144,-0.839860334087212,0.0
2019-08-16,1.0,-0.0,-0.5001990921398424,-0.21513896631360996,-1.402723580473043,-0.8638209763478538,0.0
2019-08-19,1.0,-0.0,-0.47964230601828034,-0.21303367229850037,-1.4045423970244926,-0.8595338899220512,0.0
2019-08-20,1.0,-0.0,-0.4978743692637768,-0.22082720807342363,-1.4151932933370415,-0.8392466923596487,0.0
2019-08-21,1.0,-0.0,-0.5009657455950175,-0.2945326973865741,-1.3569711064685244,-0.7893886239110725,0.0
2019-08-22,1.0,-0.0,-0.504586794755699,-0.2867435725815977,-1.3556832946178985,-0.7901492184731683,0.0
2019-08-23,1.0,-0.0,-0.490751766293562,-0.2860998650472335,-1.3702865761689291,-0.8220608081289196,0.0
2019-08-26,1.0,-0.0,-0.4815164014928305,-0.2843842074248674,-1.355529365547044,-0.8071105873109409,0.0
2019-08-27,1.0,-0.0,-0.4803112657881359,-0.27486020412153445,-1.3440347241230985,-0.8111680287803543,0.0
2019-08-28,1.0,-0.0,-0.4823593835562857,-0.27149338965813974,-1.3458890714229836,-0.811742157553,0.0
2019-08-29,1.0,-0.0,-0.4756321569547036,-0.27725016609997266,-1.349435260093016,-0.8059561496072224,0.0
2019-08-30,1.0,-0.0,-0.47369449656035023,-0.2757582864290181,-1.353345841150719,-0.8058552220137585,0.0
2019-09-03,1.0,-0.0,-0.49073312174287836,-0.2915638101955253,-1.3582931703303163,-0.7777516554993926,0.0
2019-09-04,1.0,-0.0,-0.508462567897347,-0.285837991025742,-1.3717232149885852,-0.7700543178776666,0.0
2019-09-05,1.0,-0.0,-0.5059031877213696,-0.28114915387642664,-1.3768988587170405,-0.7715072805981896,0.0
2019-09-06,1.0,-0.0,-0.5114899339477119,-0.27196139698611715,-1.3835778981924614,-0.7882371554008623,0.0
2019-09-09,1.0,-0.0,-0.5055432372505543,-0.27090592334494773,-1.3858885017421603,-0.7971175166297118,0.0
2019-09-10,1.0,-0.0,-0.5290662831115905,-0.19417475728155337,-1.3931439530145031,-0.8790203364097646,0.0
2019-09-11,1.0,-0.0,-0.5457614855902568,-0.12343743719602877,-1.3980063507375697,-0.9522488846014712,0.0
2019-09-12,1.0,-0.0,-0.5144840314556252,-0.1348499438292409,-1.4029048306852834,-0.9599582731503772,0.0
2019-09-13,1.0,-0.0,-0.5158017165316435,-0.13182802598860993,-1.401098901098901,-0.961859308574637,0.0
2019-09-16,1.0,-0.0,-0.5227556235161562,-0.11741982213995412,-1.4152347994044505,-0.9685324534223974,0.0
2019-09-17,1.0,-0.0,-0.49919549477071606,-0.12131938857602574,-1.4228077232502012,-0.9792035398230089,0.0
2019-09-18,1.0,-0.0,-0.5017501508750755,-0.11446389056527861,-1.4232146449406557,-0.9839066586199959,0.0
2019-09-19,1.0,-0.0,-0.5216137157715122,-0.11286259852116681,-1.4149264646136346,-1.0133257495734136,0.0
2019-09-20,1.0,-0.0,-0.5248708667181844,-0.12726237442550942,-1.4044820433562453,-1.0105746939439542,0.0
2019-09-23,1.0,-0.0,-0.5310952342291142,-0.13948201672485183,-1.379637898839003,-1.0092149062271656,0.0
2019-09-24,1.0,-0.0,-0.5290546047269764,-0.1401792991035045,-1.3898940505297472,-1.0158516707416463,0.0
2019-09-25,1.0,-0.0,-0.5104103002892881,-0.143788452919366,-1.4065517662877398,-1.0137310027299025,0.0
2019-09-26,1.0,-0.0,-0.47731608194409886,-0.23289375466533965,-1.4472920295264162,-0.9894666998424152,0.0
2019-09-27,1.0,-0.0,-0.45086729189144326,-0.20732010955265995,-1.47310980164329,-1.0184247655407088,0.0
2019-09-30,1.0,-0.0,-0.41898417985012487,-0.22385512073272273,-1.484096586178185,-1.0362614487926727,0.0
2019-10-01,1.0,-0.0,-0.402983209032957,-0.23724011499520853,-1.4824382317403442,-1.0438315070205406,0.0
2019-10-02,1.0,-0.0,-0.42897227573498614,-0.29252868749476507,-1.4748722673590753,-0.9915822095652903,0.0
2019-10-03,1.0,-0.0,-0.4591972687151303,-0.28058123074360897,-1.4639020734449164,-0.9599050711966025,0.0
2019-10-04,1.0,-0.0,-0.4836664024364805,-0.3062705995243857,-1.4288038716675706,-0.9533146981517795,0.0
2019-10-07,1.0,-0.0,-0.4890840652446675,-0.27356754496026764,-1.44504391468005,-0.9746549560853199,0.0
2019-10-08,1.0,-0.0,-0.48697645342779744,-0.23988330902271307,-1.4681808710147948,-0.9724942696395082,0.0
2019-10-09,1.0,-0.0,-0.5076916714911918,-0.23885534695227853,-1.4527334380944503,-0.9359854437184683,0.0
2019-10-10,1.0,-0.0,-0.5450678123157274,-0.2941622441243366,-1.4104961671299807,-0.9621767332153989,0.0
2019-10-11,1.0,-0.0,-0.5593730141919084,-0.36581232789663204,-1.343698368989621,-0.9675068841347172,0.0
2019-10-14,1.0,-0.0,-0.5443374009847998,-0.39661742667523014,-1.364889745236566,-0.9759366302718904,0.0
2019-10-15,1.0,-0.0,-0.540284968550768,-0.38979932394848316,-1.3648110906679216,-0.9839116854221043,0.0
2019-10-16,1.0,-0.0,-0.5548979241722422,-0.40791731000171555,-1.35632183908046,-0.9698061417052667,0.0
2019-10-17,1.0,-0.0,-0.5486782720825275,-0.4200730711369009,-1.3583064689447668,-0.9712443584784011,0.0
2019-10-18,1.0,-0.0,-0.6026578358850851,-0.45148804403922244,-1.2852227765353517,-0.9613366592121108,0.0
2019-10-21,1.0,-0.0,-0.5789314820404466,-0.45910051313009353,-1.2910611875296452,-0.9829244103315942,0.0
2019-10-22,1.0,-0.0,-0.5231895157858906,-0.4554505999489405,-1.2660199131988767,-1.0103395455705897,0.0
2019-10-23,1.0,-0.0,-0.5233552063546884,-0.4048091866689691,-1.286435848730789,-1.1024002762907958,0.0
2019-10-24,1.0,-0.0,-0.5086455331412103,-0.4713562134311414,-1.2946904200506506,-1.0917387127761766,0.0
2019-10-25,1.0,-0.0,-0.5091687041564792,-0.4688264058679707,-1.2947520083828152,-1.093302479916172,0.0
2019-10-28,1.0,-0.0,-0.5267904044825775,-0.4814831027841009,-1.2772719313605323,-1.0919716336893714,0.0
2019-10-29,1.0,-0.0,-0.5253877767466525,-0.5367448848822308,-1.2662954615758542,-1.0906801007556675,0.0
2019-10-30,1.0,-0.0,-0.516614975631369,-0.5377935312361541,-1.2774922463447052,-1.0988037217545414,0.0
2019-10-31,1.0,-0.0,-0.5150909897913892,-0.5427873945849978,-1.2659565024411894,-1.1146915224145582,0.0
2019-11-01,1.0,-0.0,-0.5230488564563496,-0.5524606211622319,-1.2645723947672867,-1.109504316098603,0.0
2019-11-04,1.0,-0.0,-0.5142374838967616,-0.5654568877437697,-1.2632046555017546,-1.0994180622806626,0.0
2019-11-05,1.0,-0.0,-0.541111910759266,-0.6799658150413819,-1.2365958978049658,-1.040302267002519,0.0
2019-11-06,1.0,-0.0,-0.5242687531274167,-0.7023154255561116,-1.2379111131328753,-1.084474366555975,0.0
2019-11-07,1.0,-0.0,-0.5141507291146141,-0.6991777585971926,-1.2424930722754735,-1.0869940489710626,0.0
2019-11-08,1.0,-0.0,-0.4816643804298125,-0.7035665294924555,-1.2676726108824874,-1.1196159122085048,0.0
2019-11-11,1.0,-0.0,-0.4620918649695628,-0.7619442907212691,-1.2507839881940601,-1.1368751152923815,0.0
2019-11-12,1.0,-0.0,-0.47610260195608045,-0.7568278280125484,-1.248800516700498,-1.131666359106846,0.0
2019-11-13,1.0,-0.0,-0.48796847882170835,-0.8589990149631783,-1.216708100755195,-1.1270228434729586,0.0
2019-11-14,1.0,-0.0,-0.4909679538309952,-0.8480270257589266,-1.219162013794398,-1.1337681227419885,0.0
2019-11-15,1.0,-0.0,-0.4917763928588164,-0.8321540696312263,-1.2314324539618575,-1.1304531184105713,0.0
2019-11-18,1.0,-0.0,-0.47187838283051725,-0.8343766178754648,-1.2546241822374922,-1.1457146891325836,0.0
2019-11-19,1.0,-0.0,-0.5107722101186153,-0.8572742677317841,-1.2971193415637858,-1.1762769305252965,0.0
2019-11-20,1.0,-0.0,-0.5189971443782974,-0.8672377910072118,-1.290789409999516,-1.1630608392623785,0.0
2019-11-21,1.0,-0.0,-0.5066980715442367,-0.9092202757740813,-1.298591687521468,-1.1925511556013544,0.0
2019-11-22,1.0,-0.0,-0.5,-0.8711884284597342,-1.2954456606724003,-1.2199960906958562,0.0
2019-11-25,1.0,-0.0,-0.4997800048887802,-0.8706917624052799,-1.2956245416768515,-1.2226839403568808,0.0
2019-11-26,1.0,-0.0,-0.5030065998533365,-0.8725006110975311,-1.287069176240528,-1.2262038621363969,0.0
2019-11-27,1.0,-0.0,-0.5247155747351903,-0.8874558650451158,-1.281924284032954,-1.2097881522165557,0.0
2019-11-29,1.0,-0.0,-0.5323933872809413,-0.9437025269324332,-1.3213026857965546,-1.167055552797498,0.0
2019-12-02,1.0,-0.0,-0.5349023134962275,-0.965822215559886,-1.3274371658422026,-1.1685404487083397,0.0
2019-12-03,1.0,-0.0,-0.5278414184679749,-0.9484510409403327,-1.3307102301026,-1.1735730650463194,0.0
2019-12-04,1.0,-0.0,-0.5370082686043598,-0.9542470558757203,-1.3409170633926333,-1.179102981708845,0.0
2019-12-05,1.0,-0.0,-0.511377427184466,-1.0000505663430421,-1.2986448220064726,-1.246561488673139,0.0
2019-12-06,1.0,-0.0,-0.5540332512315271,-1.030377668308703,-1.3302032019704435,-1.2167487684729064,0.0
2019-12-09,1.0,-0.0,-0.45484689912439774,-1.0913942282783275,-1.3755245842184345,-1.2593129889643024,0.0
2019-12-10,1.0,-0.0,-0.43631173280045676,-1.4083928061661433,-1.612446474450471,-1.2522409363402798,0.0
2019-12-11,1.0,-0.0,-0.4285387213095988,-1.4203537290366894,-1.614732986091237,-1.2602026214870357,0.0
2019-12-12,1.0,-0.0,-0.4248526803592883,-1.4180445105555237,-1.6168545111276387,-1.261399393557984,0.0
2019-12-13,1.0,-0.0,-0.43557116536158447,-1.482208659603869,-1.6136573007830493,-1.2263357899585445,0.0
2019-12-16,1.0,-0.0,-0.43932288688093335,-1.4332608944298297,-1.5927599222234932,-1.2535170993938007,0.0
2019-12-17,1.0,-0.0,-0.4003773807417891,-1.5665428386107674,-1.6884839908013445,-1.2411109145586414,0.0
2019-12-18,1.0,-0.0,-0.45452853598014886,-1.6934243176178658,-1.772518610421836,-1.2830024813895782,0.0
2019-12-19,1.0,-0.0,-0.504604853764779,-1.7053515868077163,-1.7263845675171126,-1.286434349719975,0.0
2019-12-20,1.0,-0.0,-0.5365747097740607,-1.7233179378354764,-1.7199475720883783,-1.261515416302584,0.0
2019-12-23,1.0,-0.0,-0.5793360013527985,-1.457415027337805,-1.4318245871145934,-1.1680852263119328,0.0
2019-12-24,1.0,-0.0,-0.593763895064473,-1.4054579813250332,-1.4110715873721653,-1.14773232547799,0.0
2019-12-26,1.0,-0.0,-0.617342441604231,-1.3849713530189514,-1.4079440282062585,-1.0987769942706038,0.0
2019-12-27,1.0,-0.0,-0.6239806039232972,-1.3884174564690326,-1.39927264712365,-1.0985783557416795,0.0
2019-12-30,1.0,-0.0,-0.6272371826642437,-1.4246929897020761,-1.4172035905060854,-1.0378324797621015,0.0
