Date,GNTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-04,1.0,-0.0,-0.24741683091441197,-0.2899420653407394,-0.6100161261422684,-0.8389774831272772,0.0
2019-12-05,1.0,-0.0,-0.23428330675012793,-0.31966053748231965,-0.5858135965572242,-0.8696319479972314,0.0
2019-12-06,1.0,-0.0,-0.2667719980554205,-0.3311861934856587,-0.6026981040350025,-0.8377491492464755,0.0
2019-12-09,1.0,-0.0,-0.24452543472217933,-0.3554066158075177,-0.6337214689440035,-0.8549896531488402,0.0
2019-12-10,1.0,-0.0,-0.22915906452147952,-0.49842428263393596,-0.742478022889368,-0.8472051749875602,0.0
2019-12-11,1.0,-0.0,-0.2241975144547086,-0.5046188609025055,-0.7425068119891008,-0.8515983252475577,0.0
2019-12-12,1.0,-0.0,-0.22817322050771527,-0.5035009125601461,-0.7379459100713456,-0.8487141197942591,0.0
2019-12-13,1.0,-0.0,-0.22806784611810002,-0.5056925681282571,-0.7376771666611346,-0.8478773193480931,0.0
2019-12-16,1.0,-0.0,-0.23181083265966052,-0.508825114524387,-0.7477768795472919,-0.8799514955537593,0.0
2019-12-17,1.0,-0.0,-0.2089846451791396,-0.5686471157836492,-0.7949578088255638,-0.8857034167934709,0.0
2019-12-18,1.0,-0.0,-0.22895236729866317,-0.6236335615210924,-0.8268520841546898,-0.9046270742984124,0.0
2019-12-19,1.0,-0.0,-0.2545878972885617,-0.6305620398635303,-0.7997845214580716,-0.9063745735320525,0.0
2019-12-20,1.0,-0.0,-0.24485640805829406,-0.6144092013144735,-0.8000071438776969,-0.912666095156451,0.0
2019-12-23,1.0,-0.0,-0.2394100252948092,-0.6098542876482953,-0.8000997541772062,-0.9132851188143505,0.0
2019-12-24,1.0,-0.0,-0.23086304612956457,-0.6421551043833849,-0.7909821364516825,-0.9230934787287468,0.0
2019-12-26,1.0,-0.0,-0.23043259918215084,-0.6424779395939451,-0.7895114427146854,-0.9246000430446948,0.0
2019-12-27,1.0,-0.0,-0.24227396866465425,-0.6529394854103779,-0.7782449331608452,-0.9200804944660054,0.0
2019-12-30,1.0,-0.0,-0.24218242218531089,-0.6711562071206759,-0.7908933342962374,-0.9066584819816565,0.0
2019-12-31,1.0,-0.0,-0.2511374304903589,-0.6716617317830577,-0.7857297609590524,-0.9023615223514119,0.0
2020-01-02,1.0,-0.0,-0.256429761646019,-0.6773889734115771,-0.7892124900383974,-0.899405926247917,0.0
2020-01-03,1.0,-0.0,-0.25086322829208013,-0.6796423508886708,-0.798749681968524,-0.9053901791880202,0.0
2020-01-06,1.0,-0.0,-0.2577979303031411,-0.688119354956668,-0.8035616338172378,-0.9072293121731817,0.0
2020-01-07,1.0,-0.0,-0.25839755171269496,-0.6948858817890196,-0.839755171269496,-0.8941410714944139,0.0
2020-01-08,1.0,-0.0,-0.2608165977554637,-0.6959539279385706,-0.8438792085056113,-0.8909849379799173,0.0
2020-01-09,1.0,-0.0,-0.2677328594698652,-0.6970975862579594,-0.847179031541537,-0.8900118465867022,0.0
2020-01-10,1.0,-0.0,-0.2701319887290523,-0.7040263977458104,-0.8459513569627762,-0.8874388254486133,0.0
2020-01-13,1.0,-0.0,-0.27200207776788365,-0.7149005639655684,-0.8409765509053132,-0.8823834965865243,0.0
2020-01-14,1.0,-0.0,-0.2613419468506827,-0.7397592130377331,-0.8434884745265012,-0.8259433269710762,0.0
2020-01-15,1.0,-0.0,-0.27432936578433115,-0.6842423165748801,-0.7948481080120803,-0.7996091668147096,0.0
2020-01-16,1.0,-0.0,-0.2736498474203392,-0.6857213824426939,-0.7859271875665318,-0.803065786672344,0.0
2020-01-17,1.0,-0.0,-0.28206852612204447,-0.6714922837321251,-0.7956250884893106,-0.790386521308226,0.0
2020-01-21,1.0,-0.0,-0.28717350581415896,-0.659527091506733,-0.8030608277665853,-0.7846817233944792,0.0
2020-01-22,1.0,-0.0,-0.2935701900279557,-0.6511907710817793,-0.808591953006122,-0.785307335716055,0.0
2020-01-23,1.0,-0.0,-0.3065236504308071,-0.6454721294179708,-0.8039388078072798,-0.7608229294883067,0.0
2020-01-24,1.0,-0.0,-0.30741850220264316,-0.6540969162995595,-0.8082114537444934,-0.7545022026431718,0.0
2020-01-27,1.0,-0.0,-0.2885481148002251,-0.6623522791221158,-0.7981499718626899,-0.7681133933595948,0.0
2020-01-28,1.0,-0.0,-0.3072500350581966,-0.6701023699340907,-0.7832001121862291,-0.7452320852615342,0.0
2020-01-29,1.0,-0.0,-0.30645273562578307,-0.6535918140052903,-0.7693860503967701,-0.751009327579006,0.0
2020-01-30,1.0,-0.0,-0.3099620724451095,-0.6487351682382825,-0.7880928355196771,-0.7328021155920527,0.0
2020-01-31,1.0,-0.0,-0.309879249747712,-0.6491978981800466,-0.7880432891394369,-0.732679124473675,0.0
2020-02-03,1.0,-0.0,-0.3072581203684466,-0.6415956783710783,-0.7824295311309648,-0.7315603573654685,0.0
2020-02-04,1.0,-0.0,-0.2968172236237343,-0.6307495593876351,-0.7852576286415315,-0.7429588416214534,0.0
2020-02-05,1.0,-0.0,-0.3025095004964223,-0.6333321921325618,-0.764045328494642,-0.7237152932315382,0.0
2020-02-06,1.0,-0.0,-0.30698296253128105,-0.6683349902300229,-0.7559905385485585,-0.696787905796853,0.0
2020-02-07,1.0,-0.0,-0.32033320711851576,-0.6685139926336443,-0.7565316168118137,-0.6968434821520775,0.0
2020-02-10,1.0,-0.0,-0.32252196595277316,-0.6639895661724327,-0.7530889621087314,-0.692613948380011,0.0
2020-02-11,1.0,-0.0,-0.3203125,-0.6588541666666667,-0.7485608552631579,-0.6988075657894738,0.0
2020-02-12,1.0,-0.0,-0.32127922122437785,-0.6552752450812367,-0.745629670254336,-0.7055597449784055,0.0
2020-02-13,1.0,-0.0,-0.32480888553700593,-0.6578451201535771,-0.7455006684721126,-0.6999074423228548,0.0
2020-02-14,1.0,-0.0,-0.32565868366053374,-0.6577243293246993,-0.7451262548394834,-0.6976736218179326,0.0
2020-02-18,1.0,-0.0,-0.3305246639830798,-0.6441290850788018,-0.7300948352323121,-0.7065907075117691,0.0
2020-02-19,1.0,-0.0,-0.3644834294685826,-0.6439468923854057,-0.7044950339602035,-0.7001604150312297,0.0
2020-02-20,1.0,-0.0,-0.3662526092461417,-0.6404202169524006,-0.7146083564315778,-0.7006809704684667,0.0
2020-02-21,1.0,-0.0,-0.3710504718916701,-0.6387635070441801,-0.7097524278484476,-0.6999726439611544,0.0
2020-02-24,1.0,-0.0,-0.38143728999519994,-0.6384488788315161,-0.7129534389357473,-0.6958444764451759,0.0
2020-02-25,1.0,-0.0,-0.4113430035844695,-0.6272821681015711,-0.6486549864326153,-0.662657867408127,0.0
2020-02-26,1.0,-0.0,-0.39467928839562594,-0.5911212665252162,-0.6388771013546597,-0.6395299494042762,0.0
2020-02-27,1.0,-0.0,-0.3889414142731393,-0.5868353274867146,-0.6508329801454048,-0.633586541909823,0.0
2020-02-28,1.0,-0.0,-0.44872749844816884,-0.5043140906269398,-0.5466790813159528,-0.6039726877715704,0.0
2020-03-02,1.0,-0.0,-0.45321601189738503,-0.4946709629446028,-0.5467220225554592,-0.6036683603916223,0.0
2020-03-03,1.0,-0.0,-0.49967258006905585,-0.4000476247172282,-0.49720204786284083,-0.5796225741159662,0.0
2020-03-04,1.0,-0.0,-0.512177861650056,-0.3985669634959014,-0.4808928466120187,-0.5569971103379135,0.0
2020-03-05,1.0,-0.0,-0.5518084769660173,-0.34138060023595085,-0.4432135355221132,-0.5410180416079187,0.0
2020-03-06,1.0,-0.0,-0.5873006801165915,-0.32614162427844773,-0.42421557981368235,-0.5199748528319141,0.0
2020-03-09,1.0,-0.0,-0.578112112852308,-0.32703848013423964,-0.4202383322431103,-0.5186712550837577,0.0
2020-03-10,1.0,-0.05057061530685536,-0.4413822457503126,-0.32579606820781565,-0.406932510441329,-0.43550317895240875,0.0
2020-03-11,1.0,-0.04168862654158322,-0.4546748181722357,-0.32170338357752715,-0.3920628228101613,-0.42505533888478975,0.0
2020-03-12,1.0,-0.06269745460149488,-0.4029229702309095,-0.282074332828192,-0.3950633138982354,-0.4257313846865127,0.0
2020-03-13,1.0,-0.14557361144797476,-0.33640552995391704,-0.23805481445549356,-0.3565122483628426,-0.34887218045112783,0.0
2020-03-16,1.0,-0.1291935178165277,-0.3756633813495072,-0.22410443517816525,-0.3352681956027293,-0.3049658832448825,0.0
2020-03-17,1.0,-0.18721975672009014,-0.30501966014394444,-0.1909678309457564,-0.3275310998183449,-0.2887166869783164,0.0
2020-03-18,1.0,-0.18212746654570197,-0.3174415967339533,-0.1538444091630755,-0.32524381946019504,-0.28945339079156274,0.0
2020-03-19,1.0,-0.18356324684384637,-0.297702365146162,-0.1442041541958278,-0.3249994374057655,-0.2999077345455364,0.0
2020-03-20,1.0,-0.18291364475877292,-0.2676471913149241,-0.15716924185774134,-0.3289787828280553,-0.31564484886706606,0.0
2020-03-23,1.0,-0.1833784393324312,-0.2656743346865133,-0.1615020297699594,-0.3290933694181326,-0.31567433468651335,0.0
2020-03-24,1.0,-0.1841712969237024,-0.2642634503320233,-0.1672087455391426,-0.3291322220716447,-0.3138636671635723,0.0
2020-03-25,1.0,-0.18963315277227288,-0.2617474787510459,-0.12377240498524684,-0.3259127141410138,-0.3008763817325054,0.0
2020-03-26,1.0,-0.21339041398181657,-0.26445405596257393,-0.1044664136287404,-0.3265292611881013,-0.29788595639509224,0.0
2020-03-27,1.0,-0.2142618830490002,-0.26819991547854716,-0.11325874685824863,-0.32827687448564247,-0.3002513401098779,0.0
2020-03-30,1.0,-0.2135982752105977,-0.2676979840412527,-0.11115556444622259,-0.3293547598408571,-0.3008601720344069,0.0
2020-03-31,1.0,-0.2191243057569201,-0.2638458278500212,-0.1158075524725091,-0.33490955323087906,-0.29683492070573014,0.0
2020-04-01,1.0,-0.21649484536082472,-0.2581121273788492,-0.13033074669588746,-0.3331171590222958,-0.2982310977927857,0.0
2020-04-02,1.0,-0.21513614939576028,-0.2590300891281524,-0.1279067170013626,-0.3334822525521031,-0.29823307346929656,0.0
2020-04-03,1.0,-0.21618427507470006,-0.2595995183516924,-0.12692324845025196,-0.32975070240378185,-0.2974178299067921,0.0
2020-04-06,1.0,-0.21682718031032636,-0.25811485642946314,-0.12664972355983592,-0.3302568218298555,-0.29752987337257,0.0
2020-04-07,1.0,-0.2271953405017921,-0.2513216845878136,-0.12092293906810035,-0.3290994623655914,-0.3116263440860215,0.0
2020-04-08,1.0,-0.22680389305291418,-0.2471864861841369,-0.1237722340306522,-0.32976843047320725,-0.30985568855576684,0.0
2020-04-09,1.0,-0.23042984156694968,-0.23156628116852732,-0.1277046148361076,-0.32932237003364756,-0.3092898366646612,0.0
2020-04-13,1.0,-0.23769342090615606,-0.2126683735945675,-0.13180451964822443,-0.3304909273071357,-0.3137927195814316,0.0
2020-04-14,1.0,-0.23208670636248077,-0.22481657411743716,-0.12323543185923597,-0.3333333333333333,-0.31665217100421494,0.0
2020-04-15,1.0,-0.2223433121302433,-0.22986077131800187,-0.11551977225212401,-0.33317023264089674,-0.3232285040701036,0.0
2020-04-16,1.0,-0.21955506117908788,-0.23130144605116798,-0.11199110122358176,-0.3346829810901001,-0.32714126807563954,0.0
2020-04-17,1.0,-0.2220763032542403,-0.22862039798780215,-0.11565685794417487,-0.3345946667853804,-0.32491207763878377,0.0
2020-04-20,1.0,-0.218146545957276,-0.2346920572626321,-0.11118048432413147,-0.337577487401329,-0.32823440217633676,0.0
