Date,IWF,IWM,MTUM,SPY,TSN,VLUE,VXX
2019-04-11,-0.0,-0.2975218450078785,-0.0,-0.9747027646468988,1.0,-0.5927231055722675,0.0
2019-04-12,-0.0,-0.2972027972027972,-0.0,-0.9732890060758913,1.0,-0.595494669265161,0.0
2019-04-15,-0.0,-0.2990461459138954,-0.0,-0.965941966715362,1.0,-0.5994099281028903,0.0
2019-04-16,-0.0,-0.3023255813953488,-0.0,-0.967951655401535,1.0,-0.5937392599381371,0.0
2019-04-17,-0.0,-0.3247236666382519,-0.0,-0.9351291450004262,1.0,-0.5816213451538659,0.0
2019-04-18,-0.0,-0.3041093554620893,-0.0,-0.9403205638285779,1.0,-0.5974479936341934,0.0
2019-04-22,-0.0,-0.3043168542527426,-0.0,-0.9435247186208862,1.0,-0.6015386807237498,0.0
2019-04-23,-0.0,-0.30710884256750975,-0.0,-0.9404602355356583,1.0,-0.6039522085032364,0.0
2019-04-24,-0.0,-0.3167907361455749,-0.0,-0.9348563931433788,1.0,-0.600524799634922,0.0
2019-04-25,-0.0,-0.309993998456746,-0.0,-0.9412991912205996,1.0,-0.6065845503129376,0.0
2019-04-26,-0.0,-0.303210667887598,-0.0,-0.9535569163852803,1.0,-0.6048188633892291,0.0
2019-04-29,-0.0,-0.30280924590914293,-0.0,-0.953226913834535,1.0,-0.6047030552694816,0.0
2019-04-30,-0.0,-0.29510633432426253,-0.0,-0.9531500114337984,1.0,-0.6101932311914018,0.0
2019-05-01,-0.0,-0.288328274440181,-0.0,-0.9563885229941013,1.0,-0.6188076284290706,0.0
2019-05-02,-0.0,-0.2809036901633726,-0.0,-0.9574717239803495,1.0,-0.617788186907346,0.0
2019-05-03,-0.0,-0.28515122954331246,-0.0,-0.9547596606974552,1.0,-0.6161711364350384,0.0
2019-05-06,-0.0,-0.2655114429845812,-0.0,-0.9669108216718443,1.0,-0.6176361615413116,0.0
2019-05-07,-0.0,-0.28329026701119725,-0.0,-0.9688774045363192,1.0,-0.6189491817398795,0.0
2019-05-08,-0.0,-0.2865669084470843,-0.0,-0.9444571363298876,1.0,-0.6246501799074762,0.0
2019-05-09,-0.0,-0.2836050621365865,-0.0,-0.9426234180823168,1.0,-0.6240736518070916,0.0
2019-05-10,-0.0,-0.28329152890206366,-0.0,-0.9478964770265649,1.0,-0.6191141260973663,0.0
2019-05-13,-0.0,-0.27985224213962545,-0.0,-0.9610560678082584,1.0,-0.6226161159154688,0.0
2019-05-14,-0.0,-0.22412427140512706,-0.0,-0.9803067172203044,1.0,-0.6250353686831532,0.0
2019-05-15,-0.0,-0.23453176069347734,-0.0,-0.9863009805314765,1.0,-0.6212874804604235,0.0
2019-05-16,-0.0,-0.23071528751753156,-0.0,-0.9644319775596074,1.0,-0.6099298737727911,0.0
2019-05-17,-0.0,-0.22665244005166507,-0.0,-0.9581905992025608,1.0,-0.623041500533498,0.0
2019-05-20,-0.0,-0.21777927434969271,-0.0,-0.9630159665516176,1.0,-0.6252770996436288,0.0
2019-05-21,-0.0,-0.21562359802602063,-0.0,-0.9636608344549125,1.0,-0.6246915657245401,0.0
2019-05-22,-0.0,-0.19910175438596492,-0.0,-0.9846736842105263,1.0,-0.6232701754385964,0.0
2019-05-23,-0.0,-0.2124462320540752,-0.0,-0.9983520473716553,1.0,-0.5823417686162784,0.0
2019-05-24,-0.0,-0.18418780807040017,-0.0,-1.0068506502548107,1.0,-0.5937787184271353,0.0
2019-05-28,-0.0,-0.17722081747200535,-0.0,-1.0101419878296145,1.0,-0.5912639973325183,0.0
2019-05-29,-0.0,-0.1826224416218315,-0.0,-1.0092905873869875,1.0,-0.5813689056520052,0.0
2019-05-30,-0.0,-0.18794055201698515,-0.0,-1.0514932767162066,1.0,-0.5914225053078556,0.0
2019-05-31,-0.0,-0.18340227800759337,-0.0,-1.0598118660395535,1.0,-0.5901003003343345,0.0
2019-06-03,-0.0,-0.18583821541234788,-0.0,-1.0651194231635872,1.0,-0.5656545741324921,0.0
2019-06-04,-0.0,-0.19376858801869423,-0.0,-1.0297408299107775,1.0,-0.6089505735731483,0.0
2019-06-05,-0.0,-0.19199193028664294,-0.0,-1.0416094594973242,1.0,-0.5683824147496428,0.0
2019-06-06,-0.0,-0.20036424768842814,-0.0,-1.0454749229476044,1.0,-0.5560661249649762,0.0
2019-06-07,-0.0,-0.19824999298875398,-0.0,-1.0465546736966094,1.0,-0.5596657037888774,0.0
2019-06-10,-0.0,-0.19881796028122461,-0.0,-1.0403350046217192,1.0,-0.5618610122965743,0.0
2019-06-11,-0.0,-0.2020822809676152,-0.0,-1.0493349048661391,1.0,-0.5548913958578885,0.0
2019-06-12,-0.0,-0.201234394725768,-0.0,-1.049740496563333,1.0,-0.5544676672745126,0.0
2019-06-13,-0.0,-0.20227744432602232,-0.0,-1.0459135019913615,1.0,-0.5565714926796432,0.0
2019-06-14,-0.0,-0.2005832702391969,-0.0,-1.0535599113877907,1.0,-0.5500406606657132,0.0
2019-06-17,-0.0,-0.20216434438868483,-0.0,-1.0541646808152738,1.0,-0.5472258824189071,0.0
2019-06-18,-0.0,-0.18847150259067358,-0.0,-1.0573890515881956,1.0,-0.5700889840054066,0.0
2019-06-19,-0.0,-0.17947994014511987,-0.0,-1.0873824783308392,1.0,-0.556480984782179,0.0
2019-06-20,-0.0,-0.1836919336141819,-0.0,-1.086205434137239,1.0,-0.5574090305069411,0.0
2019-06-21,-0.0,-0.18763603471181842,-0.0,-1.0835288464256438,1.0,-0.5555304293750177,0.0
