Date,IWF,IWM,MTUM,SPY,UTHR,VLUE,VXX
2018-11-15,-0.14060540178944728,-1.1770214900911447,-0.0,-0.9341082030270089,1.0,-0.9292164896730496,0.0
2018-11-16,-0.14534615223141187,-1.184978378605315,-0.0,-0.9382845627440278,1.0,-0.9297199714513623,0.0
2018-11-19,-0.13730976302513886,-1.2011530798253423,-0.0,-0.9574377887998644,1.0,-0.9434058247488236,0.0
2018-11-20,-0.11492360935257871,-1.1973495399679244,-0.0,-0.9578374271967587,1.0,-0.950367181564953,0.0
2018-11-21,-0.11661161516912658,-1.1896140820336998,-0.0,-0.9523769703558139,1.0,-0.9225237278922942,0.0
2018-11-23,-0.11795407098121087,-1.1774530271398747,-0.0,-0.9566597077244259,1.0,-0.9232985386221294,0.0
2018-11-26,-0.11670843776106933,-1.1862573099415206,-0.0,-0.9539264828738513,1.0,-0.9201754385964913,0.0
2018-11-27,-0.10218006323847562,-1.1941670827092694,-0.0,-0.9493260109835248,1.0,-0.9147528706939592,0.0
2018-11-28,-0.10144867205062026,-1.2010240612771625,-0.0,-0.9468403963033887,1.0,-0.9134959620348014,0.0
2018-11-29,-0.07849351718460588,-1.1855937435686357,-0.0,-0.9388763119983535,1.0,-0.9130685326198806,0.0
2018-11-30,-0.07810378173737706,-1.1859182749681083,-0.0,-0.9395909633348422,1.0,-0.9114439734990329,0.0
2018-12-03,-0.07640116781117645,-1.1859040256589497,-0.0,-0.9390188741313377,1.0,-0.9106871170689584,0.0
2018-12-04,-0.0674401443096097,-1.1891603804526074,-0.0,-0.9347326992456544,1.0,-0.9083715972449983,0.0
2018-12-06,-0.05326577025894745,-1.1296732234768383,-0.0,-0.9290986713482025,1.0,-0.8778677732115069,0.0
