Date,EPAC,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-11,1.0,-0.0,-0.7954893090767079,-0.0,-0.6697692583070265,-0.7892081882383571,0.0
2019-03-12,1.0,-0.0,-0.7758241035922043,-0.0,-0.6860682946067638,-0.8246623065040917,0.0
2019-03-13,1.0,-0.0,-0.7845402336787906,-0.0,-0.693082051620569,-0.8228926001716285,0.0
2019-03-14,1.0,-0.0,-0.7867018643788154,-0.0,-0.6928889622174559,-0.8202276852004621,0.0
2019-03-15,1.0,-0.0,-0.7835140137493389,-0.0,-0.6955975674246431,-0.8259849286092015,0.0
2019-03-18,1.0,-0.0,-0.7917208712765603,-0.0,-0.7039260815904467,-0.8400213482771273,0.0
2019-03-19,1.0,-0.0,-0.7941716460259706,-0.0,-0.6901225089294656,-0.8538238141335915,0.0
2019-03-20,1.0,-0.0,-0.7913072550986293,-0.0,-0.6917084587094617,-0.8603477097960549,0.0
2019-03-21,1.0,-0.0,-0.7881265076387027,-0.0,-0.7457451085499865,-0.816470115250603,0.0
2019-03-22,1.0,-0.0,-0.7919097090394506,-0.0,-0.8479618955579333,-0.8116177130431782,0.0
2019-03-25,1.0,-0.0,-0.7254687286163953,-0.0,-0.8817230053373478,-0.8141850280552895,0.0
2019-03-26,1.0,-0.0,-0.736545853926414,-0.0,-0.8833745194947831,-0.812225425590335,0.0
2019-03-27,1.0,-0.0,-0.7190598730485505,-0.0,-0.8983015954709213,-0.8137587922456683,0.0
2019-03-28,1.0,-0.0,-0.722258631989238,-0.0,-0.898830671587734,-0.8282570452899175,0.0
2019-03-29,1.0,-0.0,-0.716163532861825,-0.0,-0.9000517509056408,-0.8338450922891151,0.0
2019-04-01,1.0,-0.0,-0.7220784597867715,-0.0,-0.9002518717869096,-0.8279681192423145,0.0
2019-04-02,1.0,-0.0,-0.7280698726136638,-0.0,-0.9094486829840854,-0.8146511547623158,0.0
2019-04-03,1.0,-0.0,-0.7256646322540602,-0.0,-0.914865004655012,-0.8076273231957519,0.0
2019-04-04,1.0,-0.0,-0.722044177952376,-0.0,-0.9036837933767531,-0.8202901547262138,0.0
2019-04-05,1.0,-0.0,-0.7147938393535466,-0.0,-0.9046550176117134,-0.8338283030596035,0.0
2019-04-08,1.0,-0.0,-0.7022609174438211,-0.0,-0.9009257028803468,-0.8380880278054992,0.0
2019-04-09,1.0,-0.0,-0.6931857369473756,-0.0,-0.9233740257948824,-0.8319539278570935,0.0
2019-04-10,1.0,-0.0,-0.6757602862254025,-0.0,-0.9219760561442136,-0.8424728223475988,0.0
2019-04-11,1.0,-0.0,-0.6675960346964065,-0.0,-0.94131212997384,-0.8331612281426407,0.0
2019-04-12,1.0,-0.0,-0.668547832071576,-0.0,-0.9392635925671026,-0.8333448038540949,0.0
2019-04-15,1.0,-0.0,-0.671417751153343,-0.0,-0.9315568408730979,-0.8398058252427185,0.0
2019-04-16,1.0,-0.0,-0.6789974902877574,-0.0,-0.9268745487674906,-0.8320555574655344,0.0
2019-04-17,1.0,-0.0,-0.6800275008594019,-0.0,-0.9330697834307322,-0.8245101409419044,0.0
2019-04-18,1.0,-0.0,-0.6667813876651982,-0.0,-0.9265212004405287,-0.8483617841409692,0.0
2019-04-22,1.0,-0.0,-0.6657003830624287,-0.0,-0.9317389653863408,-0.8536080339579666,0.0
2019-04-23,1.0,-0.0,-0.656176754446436,-0.0,-0.9245484627050876,-0.8661243623328279,0.0
2019-04-24,1.0,-0.0,-0.6509787731792067,-0.0,-0.9174321395396843,-0.8718822031857433,0.0
2019-04-25,1.0,-0.0,-0.6551451096498777,-0.0,-0.9210934003511551,-0.866492236719799,0.0
2019-04-26,1.0,-0.0,-0.6449477712276347,-0.0,-0.9131933671182818,-0.8892681076981419,0.0
2019-04-29,1.0,-0.0,-0.6500241529225036,-0.0,-0.915913325512387,-0.8845145262576772,0.0
2019-04-30,1.0,-0.0,-0.6554196105462692,-0.0,-0.9163536102016198,-0.8747199724280544,0.0
2019-05-01,1.0,-0.0,-0.6562467653452024,-0.0,-0.9309250250146638,-0.8631266604561295,0.0
2019-05-02,1.0,-0.0,-0.65765144197599,-0.0,-0.9208638057127086,-0.8711535807920517,0.0
2019-05-03,1.0,-0.0,-0.6507832447726174,-0.0,-0.9262990821889447,-0.873300669380995,0.0
2019-05-06,1.0,-0.0,-0.6428522170884766,-0.0,-0.9280049651748155,-0.8771464036962968,0.0
2019-05-07,1.0,-0.0,-0.6402289734128762,-0.0,-0.9299975861236593,-0.8782026966447118,0.0
