Date,HVT,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-12-30,1.0,-0.0,-0.7278586637509351,-1.6053979398054898,-1.5579789376762387,-0.8634401795476779,0.0
2019-12-31,1.0,-0.0,-0.7362157189674007,-1.6040936008739148,-1.5520611740355317,-0.8570689357787616,0.0
2020-01-02,1.0,-0.0,-0.7404184196876261,-1.6105699959656503,-1.555991009163737,-0.8563771540545214,0.0
2020-01-03,1.0,-0.0,-0.7575049643733209,-1.6588599462679592,-1.5432192500876065,-0.8807966359070202,0.0
2020-01-06,1.0,-0.0,-0.7762624184351301,-1.6727999529716064,-1.5444712245017929,-0.8850155781553112,0.0
2020-01-07,1.0,-0.0,-0.7783132530120481,-1.670526006464884,-1.5446958565971203,-0.8836320893329416,0.0
2020-01-08,1.0,-0.0,-0.7749118683901294,-1.6695652173913045,-1.5393066980023502,-0.89165687426557,0.0
2020-01-09,1.0,-0.0,-0.7830694060163654,-1.6694531112026845,-1.5368222758580092,-0.8974509919350092,0.0
2020-01-10,1.0,-0.0,-0.7876001885902877,-1.675860443187176,-1.5322960867515323,-0.8977487034417727,0.0
2020-01-13,1.0,-0.0,-0.7877035638423414,-1.6863936747698844,-1.5308590984186927,-0.8953858862402644,0.0
2020-01-14,1.0,-0.0,-0.7783274721344698,-1.747928711927043,-1.5642248316147105,-0.870060201466293,0.0
2020-01-15,1.0,-0.0,-0.7812799043062202,-1.758732057416268,-1.5735047846889954,-0.8674043062200957,0.0
2020-01-16,1.0,-0.0,-0.783730396264815,-1.764934753980606,-1.5720100562672097,-0.8652579911409076,0.0
2020-01-17,1.0,-0.0,-0.782946199319281,-1.7541052128739476,-1.5740729682928285,-0.8601540574431241,0.0
2020-01-21,1.0,-0.0,-0.7825334288443172,-1.7548949379178607,-1.5711556829035338,-0.860792741165234,0.0
2020-01-22,1.0,-0.0,-0.7803902846571582,-1.7560422509995823,-1.568001432237274,-0.8632810168884646,0.0
2020-01-23,1.0,-0.007070101857399641,-0.7737567405632115,-1.744877171959257,-1.5841222288795687,-0.8817855002995806,0.0
2020-01-24,1.0,-0.0065915627996164915,-0.7757670182166826,-1.7463446788111219,-1.5850311601150529,-0.8786553211888783,0.0
2020-01-27,1.0,-0.0,-0.7558556405353728,-1.7556763862332694,-1.5772586042065007,-0.8864125239005737,0.0
2020-01-28,1.0,-0.0,-0.8018715134065143,-1.8118289244796353,-1.5585747705596547,-0.8261052126447125,0.0
2020-01-29,1.0,-0.0,-0.8057467824004788,-1.809158934450763,-1.545645016462137,-0.82568093385214,0.0
2020-01-30,1.0,-0.0,-0.802636309167166,-1.8071300179748353,-1.5780107849011384,-0.8037747153984421,0.0
2020-01-31,1.0,-0.0,-0.814110281724055,-1.81495304599085,-1.582952082831688,-0.8077895497230918,0.0
2020-02-03,1.0,-0.0,-0.7928039702233252,-1.7719484816259012,-1.5460829493087558,-0.7972350230414748,0.0
2020-02-04,1.0,-0.0,-0.749900619001647,-1.683400533817934,-1.4641944460219207,-0.7814185927650633,0.0
2020-02-05,1.0,-0.0,-0.7560850773430392,-1.7041628753412192,-1.4690627843494086,-0.7576774340309371,0.0
