Date,FOXF,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-30,1.0,-0.0,-0.9606380445996349,-0.1749861122133164,-1.1460995159114356,-0.6861757003412428,0.0
2019-07-31,1.0,-0.0,-0.9381728942368589,-0.1785148828372388,-1.1492241925269158,-0.6922894236858772,0.0
2019-08-01,1.0,-0.0,-0.932869730135525,-0.1737326642696274,-1.151369078193528,-0.6932316567229049,0.0
2019-08-02,1.0,-0.0,-0.9331459784673845,-0.16470075997466754,-1.152469917669411,-0.7078847371754275,0.0
2019-08-05,1.0,-0.0,-0.9325194579431867,-0.15246335585318635,-1.1486310299869622,-0.717198056181107,0.0
2019-08-06,1.0,-0.0,-0.929289779371638,-0.15151633273563578,-1.0958524986356903,-0.72136898729243,0.0
2019-08-07,1.0,-0.0,-0.9436943071714854,-0.13214521965835246,-1.0845558192925795,-0.7308066461730028,0.0
2019-08-08,1.0,-0.0,-0.9456962420084203,-0.12891782317168252,-1.088726025261188,-0.7349524403555278,0.0
2019-08-09,1.0,-0.0,-0.932337536372454,-0.12193986420950534,-1.075227934044617,-0.7502230843840931,0.0
2019-08-12,1.0,-0.0,-0.92605947811252,-0.13783878097010585,-1.0849521150789037,-0.7284711721143035,0.0
2019-08-13,1.0,-0.0,-0.9175090042988265,-0.13446419580961233,-1.089384609426436,-0.731458890050734,0.0
2019-08-14,1.0,-0.0,-0.9234091785576553,-0.13281912842267643,-1.072425761666024,-0.7279213266486696,0.0
2019-08-15,1.0,-0.0,-0.9518163854689161,-0.14527283781729747,-1.042331661346709,-0.6605487156102752,0.0
2019-08-16,1.0,-0.0,-0.954270726422625,-0.14414414414414414,-1.0372144296194927,-0.6656403238681718,0.0
2019-08-19,1.0,-0.0,-0.9307500189207599,-0.14735487777189132,-1.046809959887989,-0.6592371149625369,0.0
2019-08-20,1.0,-0.0,-0.9391491449926391,-0.1395568306217206,-1.0476765694009287,-0.6484466422558605,0.0
2019-08-21,1.0,-0.0,-0.938555894194228,-0.18376791962975506,-1.0161417767242353,-0.624223953042104,0.0
2019-08-22,1.0,-0.0,-0.941576751005677,-0.17624722733937365,-1.015038159329298,-0.6266776946501749,0.0
2019-08-23,1.0,-0.0,-0.9425166359637579,-0.17636001353434339,-1.0153013271175608,-0.625324260310538,0.0
2019-08-26,1.0,-0.0,-0.9307037436335923,-0.17279452767760883,-1.0031971448752741,-0.6108777277965723,0.0
2019-08-27,1.0,-0.0,-0.9277654046028212,-0.16707498144023758,-0.9991833704528582,-0.6179658500371196,0.0
2019-08-28,1.0,-0.0,-0.906684978285884,-0.18436583645744406,-1.0102074904420772,-0.6105564010244608,0.0
2019-08-29,1.0,-0.0,-0.8630598271410932,-0.21345455906012645,-1.0575448048789613,-0.607513001833352,0.0
2019-08-30,1.0,-0.0,-0.8511796056799971,-0.21408072751667848,-1.0640676829041034,-0.597704148186799,0.0
2019-09-03,1.0,-0.0,-0.8560137200805309,-0.21918574304675267,-1.0646111401088658,-0.5884721497278353,0.0
2019-09-04,1.0,-0.0,-0.8813845346133653,-0.21420535513387834,-1.0768394209855248,-0.5777019425485637,0.0
2019-09-05,1.0,-0.0,-0.9130597433691221,-0.2214283042160787,-1.0761288391754893,-0.5303206015487636,0.0
2019-09-06,1.0,-0.0,-0.9082729784215636,-0.22974688269991786,-1.083551108788173,-0.5117225416262227,0.0
2019-09-09,1.0,-0.0,-0.9265179306730554,-0.2334356517182002,-1.0881185895036312,-0.49524593845923487,0.0
2019-09-10,1.0,-0.0,-0.9179420018709075,-0.262488306828812,-1.0904022450888682,-0.47094480823199253,0.0
2019-09-11,1.0,-0.0,-0.9214125560538117,-0.27436472346786245,-1.084678624813154,-0.45642750373692076,0.0
2019-09-12,1.0,-0.0,-0.9166822272846099,-0.2756843559771445,-1.0861933749113044,-0.4559883482092841,0.0
2019-09-13,1.0,-0.0,-0.9159616680392304,-0.2591150707494198,-1.0904020363854159,-0.4778767687354945,0.0
2019-09-16,1.0,-0.0,-0.9173123713269699,-0.25820699981283923,-1.089687441512259,-0.47804604154969116,0.0
2019-09-17,1.0,-0.0,-0.8405856646621596,-0.27419415082359094,-1.101744294625182,-0.5185821536622716,0.0
2019-09-18,1.0,-0.0,-0.8593656716417909,-0.28686567164179105,-1.0888805970149253,-0.49623134328358204,0.0
2019-09-19,1.0,-0.0,-0.8689549333732595,-0.284324000598892,-1.0804386884264112,-0.5093202575235813,0.0
2019-09-20,1.0,-0.0,-0.8760919281670603,-0.2866194278858771,-1.0747947362501404,-0.5116034941701345,0.0
2019-09-23,1.0,-0.0,-0.8797254725472547,-0.291966696669667,-1.0662691269126914,-0.5123762376237624,0.0
2019-09-24,1.0,-0.0,-0.8772824416032394,-0.2804544261557497,-1.0738255033557047,-0.5178283528926549,0.0
2019-09-25,1.0,-0.0,-0.8753512419916826,-0.2800944138473643,-1.0777790266381926,-0.5133190963246038,0.0
2019-09-26,1.0,-0.0,-0.8708666767325985,-0.29718405556394384,-1.1150536010871206,-0.49162011173184356,0.0
2019-09-27,1.0,-0.0,-0.8592353053072095,-0.2895567814342781,-1.1401559824995247,-0.5155031386722466,0.0
2019-09-30,1.0,-0.0,-0.8160251014004745,-0.3037805158031683,-1.1629295171041556,-0.5436596005203949,0.0
2019-10-01,1.0,-0.0,-0.7975260416666665,-0.3185125612745098,-1.1611136642156863,-0.5525045955882353,0.0
2019-10-02,1.0,-0.0,-0.8111748181783199,-0.35933351291030136,-1.1618116750683034,-0.5157578789394698,0.0
2019-10-03,1.0,-0.0,-0.8393998545565889,-0.35025069851111873,-1.153481073219275,-0.4842882841504957,0.0
2019-10-04,1.0,-0.0,-0.8509471585244267,-0.35700590536084054,-1.1387759797530486,-0.4879208528261369,0.0
2019-10-07,1.0,-0.0,-0.8554751789336701,-0.3341370995521874,-1.1413097561909136,-0.4964978757607073,0.0
2019-10-08,1.0,-0.0,-0.8587172814939538,-0.33112658809122913,-1.1405173733353744,-0.49636461043930813,0.0
2019-10-09,1.0,-0.0,-0.8600190294957184,-0.30884871550903903,-1.152350142721218,-0.4846812559467174,0.0
2019-10-10,1.0,-0.0,-0.8710199052862587,-0.3387748816078235,-1.1372194201670967,-0.5031378739460208,0.0
2019-10-11,1.0,-0.0,-0.8849235533191406,-0.39740661892781104,-1.084768724598413,-0.5036578285271918,0.0
2019-10-14,1.0,-0.0,-0.8711338195717461,-0.41943913569171964,-1.1003159249580718,-0.5094192441202855,0.0
2019-10-15,1.0,-0.0,-0.869849931787176,-0.41461703371662445,-1.0992788930033133,-0.5141687780159813,0.0
2019-10-16,1.0,-0.0,-0.8863458834557101,-0.4283705670988908,-1.0881112326199032,-0.502773004218091,0.0
2019-10-17,1.0,-0.0,-0.9115479115479114,-0.3983463983463983,-1.1037791037791036,-0.48636948636948635,0.0
2019-10-18,1.0,-0.0,-0.7985994397759103,-0.1793067226890756,-1.1526960784313725,-0.3707633053221288,0.0
2019-10-21,1.0,-0.0,-0.7659693752408985,-0.18381863414976,-1.1499001366551036,-0.40432390763516596,0.0
2019-10-22,1.0,-0.0,-0.7551215708513503,-0.20844261714042675,-1.1764017863472034,-0.40437371517686255,0.0
2019-10-23,1.0,-0.0,-0.7574225929591404,-0.22656581365757106,-1.1611056128941044,-0.3894740562703237,0.0
2019-10-24,1.0,-0.0,-0.750231267345051,-0.25752508361204013,-1.161139970113143,-0.38909841315021704,0.0
2019-10-25,1.0,-0.0,-0.7509854753364821,-0.2539862921268511,-1.1594516850740437,-0.3868390212720622,0.0
2019-10-28,1.0,-0.0,-0.7790151569059988,-0.26980004269550983,-1.1548779620009963,-0.3542659930264001,0.0
2019-10-29,1.0,-0.0,-0.7764541747156042,-0.33458539028403805,-1.1004149674465191,-0.36588681405165624,0.0
2019-10-30,1.0,-0.0,-0.7848101265822786,-0.3317881975396684,-1.088215368158317,-0.3608486361205206,0.0
2019-10-31,1.0,-0.0,-0.7806341045415596,-0.3375821193944587,-1.07330048557555,-0.3788917452156527,0.0
2019-11-01,1.0,-0.0,-0.7739458101561097,-0.3403911717207967,-1.072348824690472,-0.4020096895747353,0.0
2019-11-04,1.0,-0.0,-0.7674195950498209,-0.38342611964114753,-1.0065245913265488,-0.388603241019822,0.0
2019-11-05,1.0,-0.0,-0.7749678984163219,-0.4259166785561421,-0.9819874447139392,-0.3839706092167213,0.0
2019-11-06,1.0,-0.0,-0.7857922343084451,-0.40873728306403356,-0.9665575386348435,-0.35920723765269125,0.0
2019-11-07,1.0,-0.0,-0.7902913305386269,-0.41434459435657167,-0.960404410469581,-0.35769894670095465,0.0
