Date,INS,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-06-17,1.0,-0.0,-1.4552081645877206,-1.1671796533290135,-7.341001133970517,-5.236189859063664,0.0
2019-06-18,1.0,-0.0,-1.4379053177691312,-1.1801232166018158,-7.341763942931259,-5.252918287937743,0.0
2019-06-19,1.0,-0.0,-1.3914934751087482,-1.2279684227485097,-7.314322539068794,-5.177219268567747,0.0
2019-06-20,1.0,-0.0,-1.4249638089110503,-1.1896413060961877,-7.299662216503136,-5.170661090558147,0.0
2019-06-21,1.0,-0.0,-1.46867936712948,-1.1743622860833063,-7.296092993219244,-5.20536002583145,0.0
2019-06-24,1.0,-0.0,-1.447334200260078,-1.205299089726918,-7.310305591677504,-5.291937581274382,0.0
2019-06-25,1.0,-0.0,-1.4159896002599934,-1.212057198570036,-7.323204419889503,-5.298342541436464,0.0
2019-06-26,1.0,-0.0,-1.4155124653739612,-1.1668567704089945,-7.286948020205312,-5.425289229265114,0.0
2019-06-27,1.0,-0.0,-1.3679229890683635,-1.2181432533855443,-7.29042258117148,-5.439549681840432,0.0
2019-06-28,1.0,-0.0,-1.2360655737704918,-1.26672131147541,-7.4118032786885255,-5.478852459016394,0.0
2019-07-01,1.0,-0.0,-1.2064167621541988,-1.242756588639712,-7.449991815354395,-5.470289736454411,0.0
2019-07-02,1.0,-0.0,-1.2260486371796966,-1.2234372449812307,-7.411947119307981,-5.459605026929982,0.0
2019-07-03,1.0,-0.0,-1.26940565118545,-1.2180902890548877,-7.324780772978239,-5.426924326079896,0.0
2019-07-05,1.0,-0.0,-1.2123621025308242,-1.2284231018818947,-7.328195976638546,-5.45425048669695,0.0
2019-07-08,1.0,-0.0,-1.2231738849385907,-1.2247899159663866,-7.288623141564318,-5.423561732385262,0.0
2019-07-09,1.0,-0.0,-1.1976386867216562,-1.2437328157852174,-7.287724405628335,-5.444282710658256,0.0
2019-07-10,1.0,-0.0,-1.171576561994173,-1.2397215927484624,-7.321625121398511,-5.453544836516672,0.0
2019-07-11,1.0,-0.0,-1.1249587322548695,-1.293991416309013,-7.538296467481017,-5.549851436117531,0.0
2019-07-12,1.0,-0.0,-1.0697326913498257,-1.2877303669267808,-7.637722065415906,-5.60800265648348,0.0
2019-07-15,1.0,-0.0,-1.1279580797836377,-1.3852265043948613,-7.813049357674105,-5.577079107505072,0.0
2019-07-16,1.0,-0.0,-1.1363559465403483,-1.4110979529690406,-7.807815936389781,-5.562341397394688,0.0
2019-07-17,1.0,-0.0,-1.2011864406779662,-1.3708474576271186,-7.823898305084747,-5.553220338983051,0.0
2019-07-18,1.0,-0.0,-1.2074778834919047,-1.3667167417793356,-7.6808546152562185,-5.436654982473711,0.0
2019-07-19,1.0,-0.0,-1.2125186783994686,-1.3905030715590239,-7.607670596048481,-5.392495434169019,0.0
2019-07-22,1.0,-0.0,-1.1393347674995862,-1.3438689392685754,-7.5935793480059575,-5.471289094820453,0.0
2019-07-23,1.0,-0.0,-1.1306874792427763,-1.3472268349385585,-7.6444702756559275,-5.4833942211889735,0.0
2019-07-24,1.0,-0.0,-1.118669314796425,-1.367593512082092,-7.622476001324065,-5.442072161535915,0.0
2019-07-25,1.0,-0.0,-1.0648298217179901,-1.3891410048622366,-7.482982171799028,-5.270502431118314,0.0
2019-07-26,1.0,-0.0,-1.0022540653678957,-1.4034777008533248,-7.442279826114957,-5.252294316535179,0.0
2019-07-29,1.0,-0.0,-0.9411290322580645,-1.4048387096774193,-7.4638709677419355,-5.319354838709677,0.0
2019-07-30,1.0,-0.0,-0.9467966128774563,-1.3995845981786226,-7.363316823773765,-5.267295095063108,0.0
2019-07-31,1.0,-0.0,-1.04967845659164,-1.397106109324759,-7.369453376205788,-5.260771704180065,0.0
2019-08-01,1.0,-0.0,-1.137620578778135,-1.3754019292604502,-7.352250803858521,-5.211897106109325,0.0
2019-08-02,1.0,-0.0,-1.128,-1.34944,-7.27232,-5.25024,0.0
2019-08-05,1.0,-0.0,-1.1097308488612838,-1.2979773849339067,-7.266921484312788,-5.251473164516643,0.0
2019-08-06,1.0,-0.0,-1.1129882207067576,-1.283168009919405,-6.911345319280843,-5.191568505889647,0.0
2019-08-07,1.0,-0.0,-1.1804720037019898,-1.2016041955884622,-6.837883695819837,-5.204997686256363,0.0
2019-08-08,1.0,-0.0,-1.1439914490761947,-1.1708657810352725,-6.769125057260649,-5.185371812490456,0.0
2019-08-09,1.0,-0.0,-1.0600301659125189,-1.1220211161387632,-6.671945701357466,-5.2289592760181,0.0
2019-08-12,1.0,-0.0,-1.0273601924233313,-1.2059530968129886,-6.66867107636801,-5.13108839446783,0.0
2019-08-13,1.0,-0.0,-0.9380846325167039,-1.1992576095025984,-6.594060876020787,-5.1164068299925765,0.0
2019-08-14,1.0,-0.0,-0.9799090775773575,-1.184191230385687,-6.452265728112626,-5.048394192696876,0.0
2019-08-15,1.0,-0.0,-1.0645115753811407,-1.236730660643704,-6.163890457368718,-4.651185770750988,0.0
2019-08-16,1.0,-0.0,-1.0341904492794576,-1.2503532071206556,-6.1905905623057365,-4.653150607516247,0.0
2019-08-19,1.0,-0.0,-0.9469250210614995,-1.2886829542263407,-6.205560235888795,-4.599831508003369,0.0
2019-08-20,1.0,-0.0,-0.9623512946116165,-1.329741077676697,-6.162631210636809,-4.541077676696991,0.0
2019-08-21,1.0,-0.0,-0.9855499438832773,-1.3675645342312008,-6.169051627384961,-4.507014590347924,0.0
2019-08-22,1.0,-0.0,-0.9945401091978162,-1.3627327453450933,-6.163936721265576,-4.478510429791405,0.0
2019-08-23,1.0,-0.0,-0.9724331926863572,-1.3606188466947962,-6.204078762306611,-4.527566807313643,0.0
2019-08-26,1.0,-0.0,-0.8875496507327763,-1.3688535817011367,-6.06875770442405,-4.371592932475004,0.0
2019-08-27,1.0,-0.0,-0.8506363027461488,-1.344943067649029,-5.923107836570663,-4.27702612190221,0.0
2019-08-28,1.0,-0.0,-0.8209653697018319,-1.3660917234924455,-5.928332664794759,-4.25538173552614,0.0
2019-08-29,1.0,-0.0,-0.7691377921031427,-1.4214343271555199,-5.989793177544991,-4.249529948965887,0.0
2019-08-30,1.0,-0.0,-0.7230913223693008,-1.4444444444444446,-5.9950528145474,-4.207915496724161,0.0
2019-09-03,1.0,-0.0,-0.7533860801931072,-1.4799517232130883,-6.0037548612042375,-4.172991819766662,0.0
2019-09-04,1.0,-0.0,-0.7203480589022757,-1.4933065595716197,-5.985408299866131,-4.1878179384203476,0.0
