Date,IAA,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-03-23,1.0,-0.3922832345106127,-0.41508407092320476,-0.465841711781387,-0.4594540402738392,-0.1317349832431039,0.0
2020-03-24,1.0,-0.3884285590553454,-0.4083205820365505,-0.48653174351127404,-0.46730375032479715,-0.13647255824696133,0.0
2020-03-25,1.0,-0.3838052824692603,-0.4009186903061367,-0.43433324930678097,-0.45463966613449847,-0.12718819146850405,0.0
2020-03-26,1.0,-0.3722540727706193,-0.4049781461088722,-0.46350116364874844,-0.46755974342964185,-0.1298461713118011,0.0
2020-03-27,1.0,-0.36860699865410496,-0.3983568864961866,-0.44978129205921935,-0.4652871242709735,-0.12194369672498878,0.0
2020-03-30,1.0,-0.3578371131717127,-0.3926935537928723,-0.4674338062786281,-0.46628868282873415,-0.10873086805943469,0.0
2020-03-31,1.0,-0.3448160628254755,-0.40797571639421865,-0.46386699713163826,-0.4564315352697095,-0.11172686513130413,0.0
2020-04-01,1.0,-0.34364241932323886,-0.396288729043634,-0.4836407400151138,-0.4568837638892776,-0.1184192112849506,0.0
2020-04-02,1.0,-0.34434869907136284,-0.388549597032823,-0.483951030424719,-0.4593268077748961,-0.1125240525391115,0.0
2020-04-03,1.0,-0.34151095764528977,-0.39397399125616106,-0.48514382779649695,-0.4491103004650386,-0.11492300409345327,0.0
2020-04-06,1.0,-0.3470799108024953,-0.42015976515087367,-0.49369125243458384,-0.451745843565642,-0.11002907387021199,0.0
2020-04-07,1.0,-0.32957504570890356,-0.39700260402238347,-0.4842373538700205,-0.45575932184608564,-0.1036622527563854,0.0
2020-04-08,1.0,-0.3276524176594253,-0.4035599159074982,-0.46399439383321656,-0.4681990189208129,-0.13970567624386826,0.0
2020-04-09,1.0,-0.33165787048672196,-0.38926586802937646,-0.4706654379939125,-0.4670911172544749,-0.13375778392114154,0.0
2020-04-13,1.0,-0.3150412847941435,-0.4693414295037312,-0.4566580597565474,-0.47575405044973473,-0.12064807195755185,0.0
2020-04-14,1.0,-0.3185313395567914,-0.46102772181709845,-0.4638367902845955,-0.47498794086769,-0.11900235507760405,0.0
