Date,AA,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-09-20,1.0,-0.0,-0.259704756697649,-0.0,-0.12728266812465827,-0.0,-0.0,-1.3614543466375069,-0.1011481683980317,-0.23449972662657187,-0.8650628758884636,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5183706943685074,-0.0,-0.0
2019-09-23,1.0,-0.0,-0.27777173321727777,-0.0,-0.1544989663801545,-0.0,-0.0,-1.3186813186813187,-0.08562724404308562,-0.22565553258622567,-0.8613861386138614,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5164835164835164,-0.0,-0.0
2019-09-24,1.0,-0.0,-0.29177057356608477,-0.0,-0.07156022986013227,-0.0,-0.0,-1.3073295023311287,-0.12745310636452345,-0.25311720698254364,-0.8512414615634825,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5187032418952617,-0.0,-0.0
2019-09-25,1.0,-0.0,-0.2928389440017347,-0.0,-0.07312842196563127,-0.0,-0.0,-1.3028134656041632,-0.11486962649753348,-0.25689814061907085,-0.8657776332194936,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5140673280208163,-0.0005963029218843173,-0.0
2019-09-26,1.0,-0.0,-0.308693503212697,-0.0,-0.09281124718545773,-0.0,-0.0,-1.3277500137294744,-0.09451370201548684,-0.2720632654181998,-0.8488659454116098,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5470371794167719,-0.0,-0.0
2019-09-27,1.0,-0.0,-0.34750400796063907,-0.0,-0.09033114047211013,-0.0,-0.0,-1.3013986400574935,-0.05583503786831776,-0.25297141909447735,-0.8966775388357566,-0.0,-0.0,-0.0,-0.0,-0.0,-1.583503786831776,-0.0,-0.0
2019-09-30,1.0,-0.0,-0.3556133458750622,-0.0,-0.07751895092126376,-0.0,-0.0,-1.3057046422840701,-0.053781884579206546,-0.25203342001881257,-0.8905549715044542,-0.0,-0.0,-0.0,-0.0,-0.0,-1.597908482266364,-0.0,-0.0
2019-10-01,1.0,-0.0,-0.381811076373381,-0.0,-0.11288521661456007,-0.0,-0.0,-1.2808173291648057,-0.022275569450647608,-0.22766860205448858,-0.928651183564091,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6286846806610094,-0.0,-0.0
2019-10-02,1.0,-0.0,-0.36289375034968946,-0.0,-0.027471605214569463,-0.0,-0.0,-1.3030269121020535,-0.0,-0.24411122922844516,-0.9013595926816986,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6888043417445309,-0.0,-0.06742013092373972
2019-10-03,1.0,-0.0,-0.5385778305707035,-0.0,-0.0,-0.0,-0.0,-1.176718319745154,-0.0,-0.2280114464661735,-0.8467685330165757,-0.0,-0.0,-0.0,-0.0,-0.0,-1.596026132498245,-0.0,-0.013174234652556556
