Date,IWF,IWM,MTUM,SPY,TLND,VLUE,VXX
2019-05-22,-0.14443416181914331,-0.9467874140666314,-0.8919222633527234,-2.0045610787942887,1.0,-1.6225542041248018,0.0
2019-05-23,-0.1464699683877766,-0.934404636459431,-0.8901475237091675,-2.001646469968388,1.0,-1.6132112750263434,0.0
2019-05-24,-0.12743618347660607,-0.9008465122383359,-0.9142332174027167,-2.0040028873285647,1.0,-1.615657195354026,0.0
2019-05-28,-0.12613025815751538,-0.8980474380815096,-0.9167212685100249,-2.0007862665443588,1.0,-1.6105359716944043,0.0
2019-05-29,-0.13454878128471542,-0.900934457295955,-0.9147226034110958,-1.995752466836568,1.0,-1.5887080964516762,0.0
2019-05-30,-0.14159062965120042,-0.8915420953860093,-0.8936128907008347,-1.9725619620785606,1.0,-1.5718630686598072,0.0
2019-05-31,-0.14321786986079638,-0.8857882809970863,-0.9002266105535771,-1.9748138556167043,1.0,-1.5705406280349627,0.0
2019-06-03,-0.13670267489711935,-0.8834233539094651,-0.9131944444444445,-1.9630272633744856,1.0,-1.5336934156378603,0.0
2019-06-04,-0.16905757478288838,-0.8639433901576069,-0.9148922483113542,-1.9726600192988097,1.0,-1.5123190736571244,0.0
2019-06-05,-0.15635220932469696,-0.835759635733983,-0.9693452190085294,-2.008593599692169,1.0,-1.443083434874623,0.0
2019-06-06,-0.15033014936854927,-0.8574908647990256,-0.9503173280338485,-1.9954484261811656,1.0,-1.457016475415091,0.0
2019-06-07,-0.15420801649697125,-0.8953473385745585,-0.9448382523521072,-1.9890449800231986,1.0,-1.460626369377497,0.0
2019-06-10,-0.11199738476626347,-0.9227852239293886,-0.935665250081726,-2.042889833278849,1.0,-1.5247466492317752,0.0
2019-06-11,-0.12818998884733973,-0.9267204618513415,-0.9767106212687792,-2.015285704913731,1.0,-1.513481598110608,0.0
2019-06-12,-0.1290767110702802,-0.9304416300282171,-0.9792637312159591,-2.012796115230658,1.0,-1.510532187151388,0.0
2019-06-13,-0.13721358967606007,-0.9518040558335529,-0.996444561495918,-2.0026994996049514,1.0,-1.4960495127732423,0.0
2019-06-14,-0.135791130936762,-0.9397139858304907,-0.9950800314877984,-2.000852794542115,1.0,-1.4885200734715298,0.0
2019-06-17,-0.14064734173924348,-0.9311711945924868,-0.9838164565189134,-1.9660080592746652,1.0,-1.4778369946704797,0.0
2019-06-18,-0.14711626090352817,-0.9494857440437442,-0.9798854315844291,-1.962309595104804,1.0,-1.470706939200625,0.0
2019-06-19,-0.14383561643835618,-0.9511415525114155,-1.0022178734507503,-1.9748858447488586,1.0,-1.4510110893672539,0.0
2019-06-20,-0.15050670153644982,-0.959071592023537,-0.9915658711997384,-1.979274272638117,1.0,-1.4576659038901603,0.0
2019-06-21,-0.158644112076285,-0.9659068643458951,-0.9861537456730456,-1.9657109267846649,1.0,-1.4547057670955523,0.0
2019-06-24,-0.16266125335603432,-0.9576321131556544,-0.9899155261606967,-1.9660140134896207,1.0,-1.4721367297491978,0.0
2019-06-25,-0.16355048218854557,-0.9616873318900478,-0.9877976776225152,-1.970281440661287,1.0,-1.4770714426294036,0.0
2019-06-26,-0.1437955724889969,-0.9670892728108782,-0.9825264402548776,-1.9666951323654995,1.0,-1.5089010050581355,0.0
