Date,IWF,IWM,MTUM,SPY,TPVG,VLUE,VXX
2019-09-05,-0.0,-0.160061898674561,-0.14629168629034064,-0.7275112695956402,1.0,-0.2088183184193411,0.0
2019-09-06,-0.0,-0.1582753139761356,-0.1497459087958092,-0.7328124650204841,1.0,-0.1978777228055251,0.0
2019-09-09,-0.0,-0.16557802433786686,-0.1500984251968504,-0.7302031138153185,1.0,-0.1910567287043665,0.0
2019-09-10,-0.0,-0.16140757754833532,-0.1517293669023036,-0.7365252101777312,1.0,-0.18034029837432822,0.0
2019-09-11,-0.0,-0.15431630604505914,-0.16729868391701985,-0.7400847646665181,1.0,-0.16894936426500112,0.0
2019-09-12,-0.0,-0.1417963697988672,-0.17149801543058468,-0.7441020380858939,1.0,-0.17247915087187263,0.0
2019-09-13,-0.0,-0.14344929021906266,-0.17335591558398145,-0.7425846277271411,1.0,-0.1691440287032291,0.0
2019-09-16,-0.0,-0.1418291188593071,-0.1731758939512086,-0.743700568118525,1.0,-0.16918792469644645,0.0
2019-09-17,-0.0,-0.13720728147768543,-0.17334729618324013,-0.7475992067912925,1.0,-0.16996056237606114,0.0
2019-09-18,-0.0,-0.1313144818058248,-0.1651625554292845,-0.7517436548788912,1.0,-0.18009225215589278,0.0
2019-09-19,-0.0,-0.13546375681995323,-0.1681327246409086,-0.7410310655828972,1.0,-0.18229595813383812,0.0
2019-09-20,-0.0,-0.12879276235356882,-0.16402516282481605,-0.7414141863204926,1.0,-0.18861004290128258,0.0
2019-09-23,-0.0,-0.1320290665176076,-0.1678256008943544,-0.7364114030184461,1.0,-0.19961989938513136,0.0
2019-09-24,-0.0,-0.12865744870651202,-0.1516280107047279,-0.7450490633363068,1.0,-0.20483942908117753,0.0
2019-09-25,-0.0,-0.12435809083431518,-0.14805593224106886,-0.7426805682146589,1.0,-0.20796745437165148,0.0
2019-09-26,-0.0,-0.10516729627630869,-0.17745997481561432,-0.7775679078971037,1.0,-0.18841068537506747,0.0
2019-09-27,-0.0,-0.09665377044729519,-0.17737957872350052,-0.7883210027376185,1.0,-0.2001176497205819,0.0
2019-09-30,-0.0,-0.07629781420765028,-0.20669398907103825,-0.7857695810564663,1.0,-0.20812841530054646,0.0
2019-10-01,-0.0,-0.05767041573698829,-0.22369199945357682,-0.7788579755020263,1.0,-0.21658849779153957,0.0
2019-10-02,-0.0,-0.07973574345093361,-0.2433132999954122,-0.7691425425517273,1.0,-0.20170206909207689,0.0
2019-10-03,-0.0,-0.07910834154276157,-0.240669889344544,-0.7736717908772252,1.0,-0.19753029851772091,0.0
2019-10-04,-0.0,-0.08217100576759576,-0.2502814862473862,-0.7662400330889956,1.0,-0.1991314138652083,0.0
2019-10-07,-0.0,-0.0853924335237571,-0.24913391607589422,-0.7620391401105835,1.0,-0.19769656090118615,0.0
2019-10-08,-0.0,-0.09049360146252286,-0.26099177330895795,-0.7384597806215722,1.0,-0.19526965265082266,0.0
2019-10-09,-0.0,-0.08603248049355834,-0.2443068408637271,-0.7456223915804755,1.0,-0.19220649609871165,0.0
2019-10-10,-0.0,-0.1060407619310218,-0.27235127869304476,-0.7141150249304934,1.0,-0.2052572321408056,0.0
2019-10-11,-0.0,-0.10674857961106748,-0.29248464132292484,-0.6963832047669639,1.0,-0.2139590743221396,0.0
2019-10-14,-0.0,-0.0957099530016438,-0.30636908758363623,-0.7084018243696895,1.0,-0.2047090963813581,0.0
2019-10-15,-0.0,-0.10021307147158276,-0.31942192783361895,-0.70350641530409,1.0,-0.1928528417249525,0.0
2019-10-16,-0.0,-0.10653988868274582,-0.32576530612244897,-0.6989332096474953,1.0,-0.1878942486085343,0.0
2019-10-17,-0.0,-0.09409602679817623,-0.34286312459290963,-0.6922629571043083,1.0,-0.19700846747929657,0.0
2019-10-18,-0.0,-0.10909345206181963,-0.3488426303643442,-0.6812280006526958,1.0,-0.191915895475419,0.0
2019-10-21,-0.0,-0.11377133940424343,-0.3477653306006475,-0.6799962736101731,1.0,-0.18746069823229386,0.0
2019-10-22,-0.0,-0.10161125081493899,-0.34946912545403747,-0.6805904815125269,1.0,-0.1967262736332309,0.0
2019-10-23,-0.0,-0.10073601341594074,-0.3382866725671962,-0.684841850281828,1.0,-0.2052685517305632,0.0
2019-10-24,-0.0,-0.09386883244918079,-0.3738556875264072,-0.6755786113328013,1.0,-0.20400450683066523,0.0
2019-10-25,-0.0,-0.09461805555555555,-0.36765671921921916,-0.6785613738738738,1.0,-0.20525994744744744,0.0
2019-10-28,-0.0,-0.10725529815328227,-0.3752173300126874,-0.6690240120295099,1.0,-0.19801701047883086,0.0
2019-10-29,-0.0,-0.10665878178592549,-0.40953282081608516,-0.6466469544648137,1.0,-0.20262566528681253,0.0
