Date,IWF,IWM,MTUM,PTGX,SPY,VLUE,VXX
2019-11-18,-0.0,-0.2023045854122119,-4.069850320741269,1.0,-4.225825611784272,-2.381325730577334,0.0
2019-11-19,-0.0,-0.4609556397409263,-4.057069534400586,1.0,-4.260662348771844,-2.4416473176096787,0.0
2019-11-20,-0.0,-0.48214285714285715,-4.0219873663751216,1.0,-4.23469387755102,-2.4088921282798834,0.0
2019-11-21,-0.0,-0.3953344087355751,-4.260081896016876,1.0,-4.200024816974811,-2.5529221987839685,0.0
2019-11-22,-0.0,-0.3878435256251547,-4.228521911364199,1.0,-4.194974003466204,-2.568086159940579,0.0
2019-11-25,-0.0,-0.39095113110861146,-4.2899637545306835,1.0,-4.247594050743657,-2.57005374328209,0.0
2019-11-26,-0.0,-0.2002375923970433,-4.592661034846886,1.0,-4.587513199577614,-2.819165786694826,0.0
2019-11-27,-0.0,-0.18398181575076883,-4.609172349244552,1.0,-4.662789142933548,-2.914694477871373,0.0
2019-11-29,-0.0,-0.20684462696783024,-4.832306639288158,1.0,-4.8249144421629016,-2.825188227241615,0.0
2019-12-02,-0.0,-0.2649965205288796,-5.043841336116911,1.0,-4.814752957550453,-2.794293667362561,0.0
2019-12-03,-0.0,-0.23686405337781483,-4.989991659716431,1.0,-4.838615512927439,-2.8351403947734224,0.0
2019-12-04,-2.5696534826741333,-2.25988799439972,-4.245537276863843,1.0,-4.033076653832691,-3.392719635981799,0.0
2019-12-05,-4.080909090909091,-3.9140909090909095,-4.743409090909092,1.0,-4.6125,-4.376590909090909,0.0
2019-12-06,-4.209925442684063,-4.037278657968313,-4.864864864864865,1.0,-4.727865796831314,-4.4589934762348555,0.0
2019-12-09,-4.2627478753541075,-4.057129367327668,-4.958215297450424,1.0,-4.805476864966949,-4.523607176581681,0.0
2019-12-10,-4.357261706679344,-4.052531495127169,-5.056810078440694,1.0,-4.836463037794153,-4.46684097932018,0.0
2019-12-11,-4.356769596199525,-4.042992874109264,-5.056532066508314,1.0,-4.832541567695962,-4.464133016627079,0.0
2019-12-12,-4.376521116678597,-4.061321880219518,-5.082319255547602,1.0,-4.856358864232879,-4.484132665235028,0.0
2019-12-13,-4.3937799043062205,-4.0720095693779905,-5.108612440191388,1.0,-4.86578947368421,-4.483014354066986,0.0
2019-12-16,-4.391824049725078,-4.068850107578293,-5.105904852976333,1.0,-4.862060721969878,-4.477886684197944,0.0
2019-12-17,-4.577805178791615,-4.17213316892725,-5.295437731196054,1.0,-5.021454993834771,-4.594081381011097,0.0
2019-12-18,-4.894929430214323,-4.448510193413486,-5.606900156821745,1.0,-5.312859383167799,-4.873758494511239,0.0
