Date,IWF,IWM,LNTH,MTUM,SPY,VLUE,VXX
2019-01-29,-0.0,-1.4442873136527017,1.0,-0.0,-1.893759943432915,-1.554357433268517,0.0
2019-01-30,-0.0,-1.445145316276602,1.0,-0.0,-1.894653068443082,-1.5553262984141956,0.0
2019-01-31,-0.0,-1.4706264391568755,1.0,-0.0,-1.8393458109464484,-1.594261085198087,0.0
2019-02-01,-0.0,-1.468731528549474,1.0,-0.0,-1.8514599834495804,-1.590613547700674,0.0
2019-02-04,-0.0,-1.4677028544412267,1.0,-0.0,-1.8529046746646178,-1.5892086756101884,0.0
2019-02-05,-0.0,-1.4604112502954383,1.0,-0.0,-1.8432403687071615,-1.6051169936185299,0.0
2019-02-06,-0.0,-1.436123087827063,1.0,-0.0,-1.8549997046837166,-1.6152028822869293,0.0
2019-02-07,-0.0,-1.4106702664631998,1.0,-0.0,-1.836776616973823,-1.6218452870055171,0.0
2019-02-08,-0.0,-1.4015151515151516,1.0,-0.0,-1.8524195442800095,-1.6186868686868687,0.0
2019-02-11,-0.0,-1.3829661915419957,1.0,-0.0,-1.8598774885145484,-1.6471315820473555,0.0
2019-02-12,-0.0,-1.1728942699091953,1.0,-0.0,-1.6179417597328043,-1.4278259054378457,0.0
2019-02-13,-0.0,-1.2037983929875822,1.0,-0.0,-1.6070124178232286,-1.4068141500573932,0.0
2019-02-14,-0.0,-1.1925852332148086,1.0,-0.0,-1.6270654674754235,-1.4093808826605312,0.0
2019-02-15,-0.0,-1.123907005452114,1.0,-0.0,-1.618763501697356,-1.4007818125707232,0.0
2019-02-19,-0.0,-1.076519168026101,1.0,-0.0,-1.6399367862969003,-1.3814233278955954,0.0
2019-02-20,-0.0,-1.1142871674889374,1.0,-0.0,-1.5990539647016937,-1.3728192869131783,0.0
2019-02-21,-0.0,-1.1975181532459087,1.0,-0.0,-1.7179473284924676,-1.5034138940067194,0.0
2019-02-22,-0.0,-1.2025951368444008,1.0,-0.0,-1.752426125831425,-1.4968923781485117,0.0
2019-02-25,-0.0,-1.207616640105512,1.0,-0.0,-1.7786997856789581,-1.5090399516403803,0.0
2019-02-26,-0.0,-1.1917471753725233,1.0,-0.0,-1.7786147044375304,-1.4879100485781342,0.0
2019-02-27,-0.0,-1.2002622091117667,1.0,-0.0,-1.774500163880695,-1.4879820823773626,0.0
2019-02-28,-0.0,-1.1961063108388932,1.0,-0.0,-1.771847314885705,-1.500710926391775,0.0
2019-03-01,-0.0,-1.1952219549529848,1.0,-0.0,-1.7743275748961296,-1.4973212333260444,0.0
2019-03-04,-0.0,-1.2051675060214582,1.0,-0.0,-1.7690497044011386,-1.499835778410335,0.0
2019-03-05,-0.0,-1.1964589157485062,1.0,-0.0,-1.7848489831716274,-1.5002466699555992,0.0
2019-03-06,-0.0,-1.1978256118881119,1.0,-0.0,-1.7772071678321677,-1.4882539335664333,0.0
2019-03-07,-0.0,-1.1795724724615553,1.0,-0.0,-1.7920165775984298,-1.4816228596357293,0.0
2019-03-08,-0.0,-1.1690474877282004,1.0,-0.0,-1.8476090673432244,-1.4987038773371575,0.0
2019-03-11,-0.0,-1.1567304501714413,1.0,-0.0,-1.8068244663200972,-1.5668067691627032,0.0
2019-03-12,-0.0,-1.1048766816143498,1.0,-0.0,-1.8552690582959641,-1.6452354260089685,0.0
2019-03-13,-0.0,-1.1254797922781665,1.0,-0.0,-1.8684804696319708,-1.6506547753443215,0.0
2019-03-14,-0.0,-1.1317199751791052,1.0,-0.0,-1.8610029897895866,-1.6483894624019857,0.0
2019-03-15,-0.0,-1.1170074191538766,1.0,-0.0,-1.8729115931358666,-1.6735572294274224,0.0
2019-03-18,-0.0,-1.1531264262893657,1.0,-0.0,-1.8711775445002283,-1.680853491556367,0.0
2019-03-19,-0.0,-1.1542517006802722,1.0,-0.0,-1.8220521541950112,-1.6926303854875284,0.0
2019-03-20,-0.0,-1.162240545919818,1.0,-0.0,-1.8233153255615582,-1.701108899630367,0.0
2019-03-21,-0.0,-1.1643640911933597,1.0,-0.0,-1.8447325032690887,-1.6762749445676275,0.0
2019-03-22,-0.0,-1.162718669343275,1.0,-0.0,-1.8915973616289072,-1.6812733008316605,0.0
2019-03-25,-0.0,-1.054985915492958,1.0,-0.0,-1.9161126760563383,-1.6626478873239436,0.0
2019-03-26,-0.0,-1.0728634661218932,1.0,-0.0,-1.916695040290546,-1.6851662694359324,0.0
2019-03-27,-0.0,-1.0401816118047673,1.0,-0.0,-1.9452326901248582,-1.6899545970488081,0.0
2019-03-28,-0.0,-1.040241334168137,1.0,-0.0,-1.9422847060162785,-1.7093744663896633,0.0
