Date,IWF,IWM,MTUM,SPY,VLUE,VXX,YIN
2019-01-03,-0.0,-3.325293420910951,-0.0,-3.376978572197696,-3.0654678582965436,0.0,1.0
2019-01-04,-0.0,-3.41552910341815,-0.0,-3.353172436387463,-3.151905645953915,0.0,1.0
2019-01-07,-0.0,-3.2779021426287174,-0.0,-3.319582134100842,-3.0623600895426923,0.0,1.0
2019-01-08,-0.0,-3.217880654066681,-0.0,-3.3506052240390742,-3.049479719685708,0.0,1.0
2019-01-09,-0.0,-3.1856944888604626,-0.0,-3.373627545037842,-3.1005223323739473,0.0,1.0
2019-01-10,-0.0,-3.1995292607253663,-0.0,-3.3847223708141647,-3.1143682464962024,0.0,1.0
2019-01-11,-0.0,-3.1133078231292517,-0.0,-3.3748937074829937,-3.1411564625850343,0.0,1.0
2019-01-14,-0.0,-3.1064461407972854,-0.0,-3.3706530958439354,-3.125106022052587,0.0,1.0
2019-01-15,-0.0,-3.106310160427807,-0.0,-3.3976470588235297,-3.191229946524064,0.0,1.0
2019-01-16,-0.0,-3.0888535031847133,-0.0,-3.3377919320594476,-3.1890658174097664,0.0,1.0
2019-01-17,-0.0,-3.079097839898348,-0.0,-3.3301567132570944,-3.1794790343074966,0.0,1.0
2019-01-18,-0.0,-3.0815908600991593,-0.0,-3.383811166199612,-3.3127829273550335,0.0,1.0
2019-01-22,-0.0,-3.310572422896916,-0.0,-4.03228129125165,-3.65750630025201,0.0,1.0
2019-01-23,-0.0,-2.9993072393488047,-0.0,-3.8974714236231383,-3.6492321902782585,0.0,1.0
2019-01-24,-0.0,-2.971313364055299,-0.0,-3.920046082949309,-3.6293778801843315,0.0,1.0
2019-01-25,-0.0,-2.6725757220004693,-0.0,-4.261446348908194,-3.8059403615872265,0.0,1.0
2019-01-28,-0.0,-2.608230452674897,-0.0,-4.3465020576131685,-3.8030570252792475,0.0,1.0
2019-01-29,-0.0,-2.559995271308665,-0.0,-4.381723607991488,-3.8798912400993024,0.0,1.0
2019-01-30,-0.0,-2.555568678398488,-0.0,-4.376284398252038,-3.8787055627731193,0.0,1.0
2019-01-31,-0.0,-2.6318767304682793,-0.0,-4.351510774045986,-4.0545323221379554,0.0,1.0
2019-02-01,-0.0,-2.632877706544091,-0.0,-4.39820974960687,-4.065198983911939,0.0,1.0
2019-02-04,-0.0,-2.6355911629036175,-0.0,-4.409565428502064,-4.093712066035446,0.0,1.0
2019-02-05,-0.0,-2.607847886641637,-0.0,-4.374106818457066,-4.128860360905898,0.0,1.0
2019-02-06,-0.0,-2.609049005337215,-0.0,-4.373605046094129,-4.147379912663755,0.0,1.0
2019-02-07,-0.0,-2.618363370677058,-0.0,-4.414880662445202,-4.144057476863127,0.0,1.0
2019-02-08,-0.0,-2.532294516474366,-0.0,-4.333293683834899,-4.029380278339478,0.0,1.0
2019-02-11,-0.0,-2.4979029358897544,-0.0,-4.379029358897544,-4.106171360095866,0.0,1.0
2019-02-12,-0.0,-2.5632835101253617,-0.0,-4.3977820636451295,-4.09281581485053,0.0,1.0
2019-02-13,-0.0,-2.67512315270936,-0.0,-4.489039408866995,-4.151231527093596,0.0,1.0
2019-02-14,-0.0,-2.5370938074800735,-0.0,-4.559901900674434,-4.165419987737584,0.0,1.0
2019-02-15,-0.0,-2.6476096599310006,-0.0,-4.532774765894529,-4.1409561360276,0.0,1.0
2019-02-19,-0.0,-2.6332952670980836,-0.0,-4.772490800659814,-4.282959015353382,0.0,1.0
2019-02-20,-0.0,-2.660564454614798,-0.0,-4.76748029494025,-4.284897025171626,0.0,1.0
2019-02-21,-0.0,-2.6653958571610117,-0.0,-4.766806455712289,-4.275892743677723,0.0,1.0
2019-02-22,-0.0,-2.6591284461948925,-0.0,-4.783636132638801,-4.2622284334900264,0.0,1.0
2019-02-25,-0.0,-2.6652084405558414,-0.0,-4.870432321152856,-4.330931549150798,0.0,1.0
2019-02-26,-0.0,-2.661785484906872,-0.0,-4.86859344894027,-4.3148362235067435,0.0,1.0
2019-02-27,-0.0,-2.6515287194575925,-0.0,-4.839964180631956,-4.301138544198542,0.0,1.0
2019-02-28,-0.0,-2.639826729519684,-0.0,-4.811058733596637,-4.289591030704548,0.0,1.0
2019-03-01,-0.0,-2.6430925221799746,-0.0,-4.781368821292776,-4.249683143219265,0.0,1.0
2019-03-04,-0.0,-2.6137193203272497,-0.0,-4.704090623033354,-4.2687224669603525,0.0,1.0
2019-03-05,-0.0,-2.5608184918529746,-0.0,-4.790198307439686,-4.280156624984211,0.0,1.0
2019-03-06,-0.0,-2.5534274193548385,-0.0,-4.783896169354839,-4.263482862903226,0.0,1.0
2019-03-07,-0.0,-2.447965521612372,-0.0,-4.958803397135251,-4.269108885790341,0.0,1.0
2019-03-08,-0.0,-2.309817095931318,-0.0,-4.966280950603459,-4.166480029861889,0.0,1.0
2019-03-11,-0.0,-2.3932584269662924,-0.0,-5.198980925006532,-4.4729553174810555,0.0,1.0
2019-03-12,-0.0,-2.2906451171072453,-0.0,-5.524448705656758,-4.881660046568963,0.0,1.0
2019-03-13,-0.0,-2.412103341757933,-0.0,-5.654731816905363,-4.974164560516709,0.0,1.0
2019-03-14,-0.0,-2.3954621380846324,-0.0,-5.6053730512249444,-4.918986636971047,0.0,1.0
2019-03-15,-0.0,-2.3862448806665726,-0.0,-5.69425222426211,-5.041802005366474,0.0,1.0
2019-03-18,-0.0,-2.5255102040816326,-0.0,-5.846209912536444,-5.205539358600583,0.0,1.0
2019-03-19,-0.0,-2.5382132903036525,-0.0,-5.85712190112953,-5.2738741381839525,0.0,1.0
2019-03-20,-0.0,-2.5774627086102493,-0.0,-5.869738591050067,-5.321665928223305,0.0,1.0
2019-03-21,-0.0,-2.567678545241238,-0.0,-5.8995453878867865,-5.197682944713302,0.0,1.0
2019-03-22,-0.0,-2.5299370516761823,-0.0,-5.982579417362026,-5.126628604889475,0.0,1.0
2019-03-25,-0.0,-2.074414007342559,-0.0,-6.011578650098842,-5.034453544196555,0.0,1.0
2019-03-26,-0.0,-2.1418774110587226,-0.0,-6.026575225032148,-5.119302757536792,0.0,1.0
2019-03-27,-0.0,-2.0766595289079226,-0.0,-6.0739471805852965,-5.124910778015702,0.0,1.0
2019-03-28,-0.0,-2.0521219025918542,-0.0,-6.033323839362004,-5.155511250356024,0.0,1.0
2019-03-29,-0.0,-2.0360347528842047,-0.0,-6.0363196125908,-5.170630964250107,0.0,1.0
2019-04-01,-0.0,-2.0775138671597215,-0.0,-6.010809273218603,-5.134404778836581,0.0,1.0
2019-04-02,-0.0,-2.141788939051919,-0.0,-6.038233634311513,-4.9283295711060955,0.0,1.0
2019-04-03,-0.0,-2.135838963963964,-0.0,-6.036036036036036,-4.904701576576576,0.0,1.0
2019-04-04,-0.0,-2.122960045019696,-0.0,-6.022931907709623,-4.9226223972988175,0.0,1.0
2019-04-05,-0.0,-2.0981499788165516,-0.0,-6.064962575907358,-4.9591865555712475,0.0,1.0
2019-04-08,-0.0,-2.075563159395495,-0.0,-6.159538066723696,-5.022241231822071,0.0,1.0
2019-04-09,-0.0,-2.04061644822123,-0.0,-6.323347256229295,-5.0390321186806855,0.0,1.0
2019-04-10,-0.0,-1.9772727272727275,-0.0,-6.318181818181819,-4.998427672955975,0.0,1.0
2019-04-11,-0.0,-1.924501220037319,-0.0,-6.430314339026841,-4.9987081957801065,0.0,1.0
2019-04-12,-0.0,-1.9250861079219288,-0.0,-6.427812858783008,-4.998277841561423,0.0,1.0
2019-04-15,-0.0,-1.9473227206946457,-0.0,-6.462083936324168,-5.062373371924747,0.0,1.0
2019-04-16,-0.0,-1.957666569682863,-0.0,-6.50829211521676,-5.081611870817574,0.0,1.0
2019-04-17,-0.0,-1.9149153531815528,-0.0,-6.58917104495038,-5.090192644483363,0.0,1.0
2019-04-18,-0.0,-1.9184925503943913,-0.0,-6.56938358165352,-5.119193689745837,0.0,1.0
2019-04-22,-0.0,-1.9504291210417284,-0.0,-6.653003847292099,-5.193696359869784,0.0,1.0
2019-04-23,-0.0,-1.965011119347665,-0.0,-6.678280207561157,-5.182357301704967,0.0,1.0
2019-04-24,-0.0,-1.8975617008623251,-0.0,-6.7124591138864105,-5.257656853999405,0.0,1.0
2019-04-25,-0.0,-1.9108480671261614,-0.0,-6.795025471980822,-5.277644590949955,0.0,1.0
2019-04-26,-0.0,-1.8905311778290994,-0.0,-7.113471901462664,-5.392301770592764,0.0,1.0
2019-04-29,-0.0,-1.8456396704492462,-0.0,-7.191201616664077,-5.508005596144878,0.0,1.0
2019-04-30,-0.0,-1.849119466920514,-0.0,-7.391559574805648,-5.62478184991274,0.0,1.0
2019-05-01,-0.0,-1.8034782608695652,-0.0,-7.408221343873517,-5.598418972332016,0.0,1.0
2019-05-02,-0.0,-1.7922323965898328,-0.0,-7.372750236817178,-5.6226712977581315,0.0,1.0
