Date,CCBG,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-31,1.0,-0.0,-0.796423179653931,-0.1329404250377424,-0.5980722331901056,-0.37585646266403433,0.0
2019-11-01,1.0,-0.0,-0.8015831441708865,-0.1391653570804959,-0.5940864908911007,-0.37535649845759855,0.0
2019-11-04,1.0,-0.0,-0.8014834205933683,-0.135282140779523,-0.5988365328679465,-0.37306573589296105,0.0
2019-11-05,1.0,-0.0,-0.8123771814048981,-0.19331280246370436,-0.5610500073324535,-0.36624138436720927,0.0
2019-11-06,1.0,-0.0,-0.8037712391214256,-0.18560179977502814,-0.5677875791841809,-0.4029956781718075,0.0
2019-11-07,1.0,-0.0,-0.8101074695798915,-0.18737602510584125,-0.5625129526008822,-0.4005980400864494,0.0
2019-11-08,1.0,-0.0,-0.79875617449265,-0.20252335892400164,-0.5710587395108015,-0.40332083556507764,0.0
2019-11-11,1.0,-0.0,-0.7899614361304595,-0.22259424232459418,-0.5658425757077516,-0.4110489970404473,0.0
2019-11-12,1.0,-0.0,-0.7935786673044154,-0.22115930764401664,-0.565244686257511,-0.40946458999730956,0.0
2019-11-13,1.0,-0.0,-0.7930061203874265,-0.20078436033038208,-0.5695228474656843,-0.40774852932438055,0.0
2019-11-14,1.0,-0.0,-0.7936710741346011,-0.19572128955578663,-0.5706432922299807,-0.4112910414500074,0.0
2019-11-15,1.0,-0.0,-0.793261231281198,-0.19268481102923699,-0.5745483717613501,-0.4107439980984074,0.0
2019-11-18,1.0,-0.0,-0.7911007862759114,-0.20216821539194663,-0.5814569930903025,-0.4035918513223731,0.0
2019-11-19,1.0,-0.0,-0.7927842673369806,-0.18837793878456308,-0.5844447730297205,-0.3916900783675884,0.0
2019-11-20,1.0,-0.0,-0.7915175534589335,-0.1873059063618349,-0.5850167105379905,-0.39380674928277776,0.0
2019-11-21,1.0,-0.0,-0.7682287767629884,-0.24120377301991314,-0.5584668363527474,-0.4265309178020662,0.0
2019-11-22,1.0,-0.0,-0.7703979728722611,-0.2208973021314652,-0.5492621851244597,-0.440542554777165,0.0
2019-11-25,1.0,-0.0,-0.7704140953403094,-0.22117878543958502,-0.5500104343678264,-0.43961482276480934,0.0
2019-11-26,1.0,-0.0,-0.7379521656354117,-0.22072822465492623,-0.5680925749643027,-0.4479712041884817,0.0
2019-11-27,1.0,-0.0,-0.7130034180413136,-0.21337494427106554,-0.580829246544806,-0.4650022291573785,0.0
2019-11-29,1.0,-0.0,-0.7124681933842238,-0.23460559796437658,-0.5955994611585091,-0.45089058524173026,0.0
2019-12-02,1.0,-0.0,-0.7115965883585216,-0.2348346550950172,-0.5947029777046237,-0.4515337423312883,0.0
2019-12-03,1.0,-0.0,-0.7089964468066048,-0.22358245498790721,-0.5981905586575498,-0.45513720103908517,0.0
2019-12-04,1.0,-0.0,-0.7033544228244002,-0.21585889936731528,-0.6051987585054316,-0.45997970633878477,0.0
2019-12-05,1.0,-0.0,-0.6819980364739833,-0.24071043941332224,-0.5467527444738643,-0.5055484485169429,0.0
2019-12-06,1.0,-0.0,-0.7107703388050295,-0.2513879302583801,-0.5618641778951474,-0.4769078414308435,0.0
2019-12-09,1.0,-0.0,-0.6995677015629251,-0.2647903503733487,-0.5728407751141208,-0.4858671664802443,0.0
2019-12-10,1.0,-0.0,-0.7018210862619808,-0.3708306709265176,-0.6559744408945687,-0.4662619808306709,0.0
2019-12-11,1.0,-0.0,-0.683477274159995,-0.3669545483199899,-0.6279707495429616,-0.4735863329761079,0.0
2019-12-12,1.0,-0.0,-0.6791413553240376,-0.36294104686663936,-0.6313304585943156,-0.4741116112177772,0.0
2019-12-13,1.0,-0.0,-0.6761492801212428,-0.3654016165698409,-0.6351667087648396,-0.4806453649911594,0.0
2019-12-16,1.0,-0.0,-0.6742031368580824,-0.3747154060207437,-0.6404313179863395,-0.47280546420440167,0.0
2019-12-17,1.0,-0.0,-0.6494434077601184,-0.4284473328614633,-0.6786886300752848,-0.4607168135898591,0.0
2019-12-18,1.0,-0.0,-0.6827921213734363,-0.4704218791589033,-0.7041189779079053,-0.4697564546180464,0.0
2019-12-19,1.0,-0.0,-0.7015169194865811,-0.47767961326887814,-0.6863810635105851,-0.46827804634105685,0.0
2019-12-20,1.0,-0.0,-0.7087469500985994,-0.4805641899796116,-0.6895952404826364,-0.46348474213710344,0.0
2019-12-23,1.0,-0.0,-0.7216948136304587,-0.47566703307684627,-0.6762266413510543,-0.45741314413244066,0.0
2019-12-24,1.0,-0.0,-0.7208573619120637,-0.48048268275609185,-0.6736224540818028,-0.45848194939831327,0.0
2019-12-26,1.0,-0.0,-0.7191655280434565,-0.48122104842203484,-0.6682440763821775,-0.46395840970440233,0.0
2019-12-27,1.0,-0.0,-0.7206519565362309,-0.4824345043663756,-0.6661222585160989,-0.4639024065062329,0.0
2019-12-30,1.0,-0.0,-0.7227706207127321,-0.5009536556801071,-0.6786347666053204,-0.443801238079304,0.0
2019-12-31,1.0,-0.0,-0.7180127948820472,-0.5055311208849793,-0.6646674663467946,-0.44378915100626415,0.0
2020-01-02,1.0,-0.0,-0.7193228021062454,-0.5058654935679531,-0.6654002532826768,-0.44207825101646336,0.0
2020-01-03,1.0,-0.0,-0.7376448647928601,-0.5207473025176502,-0.6340415612095378,-0.4377913946982816,0.0
2020-01-06,1.0,-0.0,-0.7385890734760461,-0.5224556380464094,-0.631387954855678,-0.43676132769584175,0.0
2020-01-07,1.0,-0.0,-0.7200387534312934,-0.4857419667366381,-0.6031971580817052,-0.4205070240594219,0.0
2020-01-08,1.0,-0.0,-0.7160060533857101,-0.4895514698779663,-0.610104002318318,-0.4042566893131983,0.0
2020-01-09,1.0,-0.0,-0.7202024108811965,-0.48868690775478635,-0.6087797331270547,-0.40546638303358473,0.0
2020-01-10,1.0,-0.0,-0.7249539921867433,-0.48839311658541307,-0.6024924934620476,-0.41281115810544666,0.0
2020-01-13,1.0,-0.0,-0.7244519066223242,-0.4859061702883343,-0.6042103903651803,-0.4142584998869911,0.0
2020-01-14,1.0,-0.0,-0.720019483682416,-0.5025166423120636,-0.6152946906965416,-0.4094495859717487,0.0
2020-01-15,1.0,-0.0,-0.7176125244618395,-0.5115459882583171,-0.6320287018917157,-0.4003913894324853,0.0
2020-01-16,1.0,-0.0,-0.7093375949903786,-0.5035060826457063,-0.6346824956785493,-0.4139134405270539,0.0
2020-01-17,1.0,-0.0,-0.7053478374153206,-0.5012376237623763,-0.6354872329338197,-0.4148645127670662,0.0
2020-01-21,1.0,-0.0,-0.7061964768324053,-0.5007651981374752,-0.6343004135326105,-0.41490019862589955,0.0
2020-01-22,1.0,-0.0,-0.7043959622272876,-0.5034516444154998,-0.6326603712145881,-0.4157603386519049,0.0
2020-01-23,1.0,-0.0,-0.6968491095309544,-0.4874747211168373,-0.650238110770435,-0.4272294344053755,0.0
2020-01-24,1.0,-0.0,-0.6964309017356126,-0.4882552525120709,-0.6505937622341119,-0.42718256557484013,0.0
2020-01-27,1.0,-0.0,-0.6995019369120088,-0.4869624662261141,-0.6426641492236076,-0.42618574823399197,0.0
2020-01-28,1.0,-0.0,-0.7278306328538493,-0.5050167224080268,-0.6210669870441926,-0.3931876481475468,0.0
2020-01-29,1.0,-0.0,-0.7303145143005215,-0.5026398471156026,-0.613966896641078,-0.39215495740614775,0.0
2020-01-30,1.0,-0.0,-0.7349802754963461,-0.4989329366875768,-0.61592187803143,-0.3836900989458708,0.0
2020-01-31,1.0,-0.0,-0.7416801816412585,-0.5029192345118391,-0.615082711644502,-0.3839117742458644,0.0
2020-02-03,1.0,-0.0,-0.7326029685793228,-0.494152798303669,-0.6052817580158067,-0.3807106598984772,0.0
2020-02-04,1.0,-0.0,-0.7334748624915566,-0.49940493422110716,-0.6049728199684776,-0.37871916111808035,0.0
2020-02-05,1.0,-0.0,-0.7367175255093881,-0.499184339314845,-0.5948565396794933,-0.3678789623516617,0.0
2020-02-06,1.0,-0.0,-0.7395490164720935,-0.5099952023028946,-0.5910123140892372,-0.35797217335678877,0.0
2020-02-07,1.0,-0.0,-0.7407290116223834,-0.4804762960382557,-0.5840643506349559,-0.36156062957215696,0.0
2020-02-10,1.0,-0.0,-0.7294672234877245,-0.4825044292584156,-0.5886484434320425,-0.3631359149582384,0.0
2020-02-11,1.0,-0.0,-0.7284992101105845,-0.4784518167456556,-0.5860663507109004,-0.3665402843601896,0.0
2020-02-12,1.0,-0.0,-0.7245675615849223,-0.4778167789267306,-0.5966227113177118,-0.363279891218417,0.0
