Date,IWF,IWM,MTUM,SCU,SPY,VLUE,VXX
2019-07-25,-0.0,-1.7684591158287646,-1.2785489326956725,1.0,-4.166452816983553,-3.45106730432754,0.0
2019-07-26,-0.0,-1.7515116279069767,-1.2748837209302326,1.0,-4.16046511627907,-3.4411627906976743,0.0
2019-07-29,-0.0,-1.7092067168500291,-1.2698320787492763,1.0,-4.144528083381586,-3.4572090330052117,0.0
2019-07-30,-0.0,-1.7140375260597638,-1.2765809589993051,1.0,-4.134700023164234,-3.456682881630762,0.0
2019-07-31,-0.0,-1.737012987012987,-1.2765538033395176,1.0,-4.1269712430426715,-3.4551252319109467,0.0
2019-08-01,-0.0,-1.762297901616787,-1.2598325880059627,1.0,-4.055842219928908,-3.3887168902648783,0.0
2019-08-02,-0.0,-1.7209434822242478,-1.2742707383773928,1.0,-4.025182315405652,-3.374202370100273,0.0
2019-08-05,-0.0,-1.712900650165393,-1.2510550929622448,1.0,-4.050416333979697,-3.3920383255389526,0.0
2019-08-06,-0.0,-1.7050680700148724,-1.2280059489760897,1.0,-4.0478206154902185,-3.4595584029287267,0.0
2019-08-07,-0.0,-1.76536248561565,-1.1792865362485616,1.0,-4.052243958573072,-3.510471806674338,0.0
2019-08-08,-0.0,-1.7678736162361623,-1.177352398523985,1.0,-4.063307195571956,-3.5227167896678964,0.0
2019-08-09,-0.0,-1.7020892151326932,-1.1178994918125351,1.0,-3.9793337097684924,-3.4936194240542067,0.0
2019-08-12,-0.0,-1.6782902137232845,-1.1508436445444319,1.0,-3.974915635545557,-3.4444319460067487,0.0
2019-08-13,-0.0,-1.6277746793084218,-1.1283881762409371,1.0,-3.959955382041272,-3.4383714445064144,0.0
2019-08-14,-0.0,-1.6234710743801652,-1.0943250688705235,1.0,-3.9062258953168048,-3.395151515151515,0.0
2019-08-15,-0.0,-1.5900355128472947,-1.0390641320242322,1.0,-3.682055567161061,-3.133799874660539,0.0
2019-08-16,-0.0,-1.5983897950648265,-1.039836888331242,1.0,-3.677331660393141,-3.1402132998745294,0.0
2019-08-19,-0.0,-1.5428483035990512,-1.0308342786428792,1.0,-3.6512323398989377,-3.0875528513973394,0.0
2019-08-20,-0.0,-1.564009159034138,-1.0678601165695254,1.0,-3.685470441298918,-3.090653621981682,0.0
2019-08-21,-0.0,-1.57915705598658,-1.1201509750471796,1.0,-3.70643740826169,-3.078737680855525,0.0
2019-08-22,-0.0,-1.5757987053664648,-1.1128628106076426,1.0,-3.6956567133013154,-3.056274796408436,0.0
2019-08-23,-0.0,-1.5778983616821456,-1.1123865177919232,1.0,-3.6932067202337473,-3.051549619117187,0.0
2019-08-26,-0.0,-1.4936836786255685,-1.0596260737746337,1.0,-3.6066700353713994,-2.946033350176857,0.0
2019-08-27,-0.0,-1.48348106365834,-1.0457292506043514,1.0,-3.593473005640613,-2.949939564867043,0.0
2019-08-28,-0.0,-1.4547824343292561,-1.0550431120914379,1.0,-3.5846200120312814,-2.931622217766192,0.0
2019-08-29,-0.0,-1.4267133566783392,-1.0673336668334168,1.0,-3.5897948974487246,-2.9210605302651325,0.0
2019-08-30,-0.0,-1.3974794958991799,-1.088117623524705,1.0,-3.6098219643928786,-2.9066813362672534,0.0
2019-09-03,-0.0,-1.4060673251360611,-1.109957669824632,1.0,-3.6248740173352143,-2.9378149566619634,0.0
2019-09-04,-0.0,-1.4079773233448067,-1.1175339137477223,1.0,-3.6472970236890054,-2.9506985219680097,0.0
2019-09-05,-0.0,-1.4302313832474487,-1.105183388905729,1.0,-3.657067798322724,-2.911690411235728,0.0
2019-09-06,-0.0,-1.4033199195171027,-1.1334004024144868,1.0,-3.670925553319919,-2.85271629778672,0.0
2019-09-09,-0.0,-1.4184475806451613,-1.1393145161290323,1.0,-3.6765120967741933,-2.8464717741935486,0.0
2019-09-10,-0.0,-1.3949545913218973,-1.206962663975782,1.0,-3.6900100908173563,-2.79899091826438,0.0
2019-09-11,-0.0,-1.3725490196078431,-1.2597533858904386,1.0,-3.704669496664645,-2.7701637355973316,0.0
2019-09-12,-0.0,-1.3207432841850133,-1.281559280953343,1.0,-3.7196525954352655,-2.7770147444960616,0.0
2019-09-13,-0.0,-1.3021242323567905,-1.2913520587939191,1.0,-3.7179099969797647,-2.75606563978657,0.0
2019-09-16,-0.0,-1.3073357517130189,-1.2839580814187828,1.0,-3.724002418379686,-2.761285771866183,0.0
2019-09-17,-0.0,-1.2754322476879774,-1.2867913148371533,1.0,-3.7255729794933656,-2.764374748693205,0.0
2019-09-18,-0.0,-1.272351993556182,-1.2979258960934352,1.0,-3.7347966169955695,-2.763391059202577,0.0
2019-09-19,-0.0,-1.263560430713495,-1.3043171983496025,1.0,-3.7407668310355238,-2.7548555902183756,0.0
2019-09-20,-0.0,-1.2907646474677261,-1.3418073485600794,1.0,-3.633763654419067,-2.6641509433962267,0.0
2019-09-23,-0.0,-1.2980139026812314,-1.3529294935451837,1.0,-3.61330685203575,-2.6662363455809337,0.0
2019-09-24,-0.0,-1.3004466501240695,-1.3662531017369726,1.0,-3.6020843672456575,-2.6566749379652603,0.0
2019-09-25,-0.0,-1.2867188273744676,-1.3573338615430326,1.0,-3.6068139051203327,-2.652966227592354,0.0
2019-09-26,-0.0,-1.2476640312147038,-1.6698839716603346,1.0,-3.712188109662183,-2.6382585481055547,0.0
2019-09-27,-0.0,-1.2598003152916448,-1.704887020493957,1.0,-3.813242249080399,-2.731791907514451,0.0
2019-09-30,-0.0,-1.1856008470089994,-1.7905770248808892,1.0,-3.844362096347273,-2.7670725251455797,0.0
2019-10-01,-0.0,-1.190710090763481,-1.816657768286172,1.0,-3.8802989855846235,-2.790282968499733,0.0
2019-10-02,-0.0,-1.247691984892992,-1.8766261015526648,1.0,-3.751468736886278,-2.6152958455728075,0.0
2019-10-03,-0.0,-1.2776917518323527,-1.8218230618354496,1.0,-3.6885516671828227,-2.534943739031692,0.0
2019-10-04,-0.0,-1.3182337662337662,-1.8667012987012985,1.0,-3.670441558441558,-2.53412987012987,0.0
2019-10-07,-0.0,-1.3488833228970987,-1.8511792945105408,1.0,-3.6777290753496135,-2.5585472761427677,0.0
2019-10-08,-0.0,-1.3543101648925067,-1.8343769567939887,1.0,-3.6853475266123983,-2.562304320601127,0.0
2019-10-09,-0.0,-1.3461498814555202,-1.789196990001031,1.0,-3.656839501082363,-2.5161323574889187,0.0
2019-10-10,-0.0,-1.4989554700384826,-2.0120945574491476,1.0,-3.7898845519516215,-2.6941176470588233,0.0
