Date,CIB,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-20,1.0,-0.0,-0.390840176879343,-0.0,-1.05028427037271,-0.7174352495262161,0.0
2019-03-21,1.0,-0.0,-0.3888362694954852,-0.0,-1.0815179642609078,-0.6868093704615773,0.0
2019-03-22,1.0,-0.0,-0.3844193897700491,-0.0,-1.1083508503726351,-0.6921459965602905,0.0
2019-03-25,1.0,-0.0,-0.3830591373943975,-0.0,-1.1021406339325415,-0.6908467255288064,0.0
2019-03-26,1.0,-0.0,-0.37884359348253344,-0.0,-1.1023267609205605,-0.6888036518100552,0.0
2019-03-27,1.0,-0.0,-0.3415117486080966,-0.0,-1.1145292692900506,-0.6895347739926393,0.0
2019-03-28,1.0,-0.0,-0.3293624531215531,-0.0,-1.1103967728719548,-0.711764520500457,0.0
2019-03-29,1.0,-0.0,-0.32593969564258485,-0.0,-1.111282649106777,-0.713475534830965,0.0
2019-04-01,1.0,-0.0,-0.3330394256203552,-0.0,-1.1051139942058192,-0.7108577906537347,0.0
2019-04-02,1.0,-0.0,-0.3461731808470529,-0.0,-1.1206484856101546,-0.675065979640568,0.0
2019-04-03,1.0,-0.0,-0.34593846347448565,-0.0,-1.1330774554835463,-0.667023217768829,0.0
2019-04-04,1.0,-0.0,-0.34589688642379934,-0.0,-1.1233140047901173,-0.6822135383839657,0.0
2019-04-05,1.0,-0.0,-0.3473963431963874,-0.0,-1.119682950705782,-0.6907822022926075,0.0
2019-04-08,1.0,-0.0,-0.3499668173055652,-0.0,-1.1147805201782386,-0.6955408779192871,0.0
2019-04-09,1.0,-0.0,-0.3382871296560922,-0.0,-1.1414689911403257,-0.6957860976151916,0.0
2019-04-10,1.0,-0.0,-0.3168873858212965,-0.0,-1.13562375549164,-0.7081766174657859,0.0
2019-04-11,1.0,-0.0,-0.3020246757355267,-0.0,-1.1582726985131289,-0.7032584625118633,0.0
2019-04-12,1.0,-0.0,-0.30710379058518544,-0.0,-1.1547848629509025,-0.6995668805918245,0.0
2019-04-15,1.0,-0.0,-0.3103546548448385,-0.0,-1.1475934135528816,-0.7086130462317922,0.0
2019-04-16,1.0,-0.0,-0.31972162196517095,-0.0,-1.1457035718825475,-0.7124062539722893,0.0
2019-04-17,1.0,-0.0,-0.31130063965884863,-0.0,-1.1693345638545014,-0.7017471278999459,0.0
2019-04-18,1.0,-0.0,-0.296811797305475,-0.0,-1.1549192598018918,-0.7332866197407395,0.0
2019-04-22,1.0,-0.0,-0.29698479621821894,-0.0,-1.1582662578254759,-0.7388207486904305,0.0
2019-04-23,1.0,-0.0,-0.29963552656819487,-0.0,-1.1681053775816868,-0.7293944625615448,0.0
2019-04-24,1.0,-0.0,-0.2809782608695652,-0.0,-1.1693414322250637,-0.746579283887468,0.0
2019-04-25,1.0,-0.0,-0.2661000641436818,-0.0,-1.1825849903784476,-0.7584990378447722,0.0
2019-04-26,1.0,-0.0,-0.25576466054338753,-0.0,-1.1990493930246002,-0.7567281135589955,0.0
2019-04-29,1.0,-0.0,-0.24960728368544224,-0.0,-1.1957811047350368,-0.7604590773570994,0.0
2019-04-30,1.0,-0.0,-0.24943841858674023,-0.0,-1.207367948141968,-0.752198190103331,0.0
2019-05-01,1.0,-0.0,-0.26392158127236964,-0.0,-1.2207138941734113,-0.7398510302131364,0.0
2019-05-02,1.0,-0.0,-0.27946871499439907,-0.0,-1.1705872939670348,-0.7504560729716754,0.0
2019-05-03,1.0,-0.0,-0.2854187223477735,-0.0,-1.1533882929624089,-0.7441830855906039,0.0
2019-05-06,1.0,-0.0,-0.24565376886025073,-0.0,-1.1818239816262082,-0.7624166640084213,0.0
2019-05-07,1.0,-0.0,-0.244005236437945,-0.0,-1.1839139180689038,-0.7650308119671765,0.0
2019-05-08,1.0,-0.0,-0.26341973509094363,-0.0,-1.1507700107738132,-0.754578870650865,0.0
2019-05-09,1.0,-0.0,-0.2597538872460174,-0.0,-1.1779706826926135,-0.7420267735063119,0.0
2019-05-10,1.0,-0.0,-0.26240345803006704,-0.0,-1.1784635921558655,-0.7375011918761719,0.0
2019-05-13,1.0,-0.0,-0.25716013238289204,-0.0,-1.1851132892057026,-0.7400394602851323,0.0
2019-05-14,1.0,-0.0,-0.21854053370431265,-0.0,-1.1911913494372075,-0.751991905906159,0.0
2019-05-15,1.0,-0.0,-0.2217930859820185,-0.0,-1.2090350766113716,-0.7349309864505509,0.0
2019-05-16,1.0,-0.0,-0.22492478226444973,-0.0,-1.2056373713380841,-0.7365003958828188,0.0
2019-05-17,1.0,-0.0,-0.2238280878577541,-0.0,-1.1898196570631676,-0.7558555988716681,0.0
2019-05-20,1.0,-0.0,-0.2281698185048864,-0.0,-1.1898400812285823,-0.7549815966493211,0.0
2019-05-21,1.0,-0.0,-0.23468482736775423,-0.0,-1.1802027241051631,-0.752676591700982,0.0
2019-05-22,1.0,-0.0,-0.22677215189873418,-0.0,-1.1864240506329113,-0.7513607594936709,0.0
2019-05-23,1.0,-0.0,-0.21379680156452074,-0.0,-1.1866069457149166,-0.7539034160804972,0.0
2019-05-24,1.0,-0.0,-0.20054123792441547,-0.0,-1.1918877245980048,-0.754271688851128,0.0
2019-05-28,1.0,-0.0,-0.20140353085565033,-0.0,-1.1916165780281336,-0.7539100607357523,0.0
2019-05-29,1.0,-0.0,-0.1982615244610412,-0.0,-1.191044026736122,-0.7487369378981391,0.0
2019-05-30,1.0,-0.0,-0.1871474744914126,-0.0,-1.2038151974142848,-0.7778059446099246,0.0
2019-05-31,1.0,-0.0,-0.19438028035313104,-0.0,-1.2055501060025948,-0.7643261715659906,0.0
2019-06-03,1.0,-0.0,-0.20808647422160598,-0.0,-1.2246628009580236,-0.7186436404890961,0.0
2019-06-04,1.0,-0.0,-0.18569493874208684,-0.0,-1.2699442537242922,-0.6938679096721363,0.0
2019-06-05,1.0,-0.0,-0.19433134982774822,-0.0,-1.2616348261822738,-0.6759160663952397,0.0
2019-06-06,1.0,-0.0,-0.20778854294045715,-0.0,-1.2267895776502682,-0.7008748001128775,0.0
2019-06-07,1.0,-0.0,-0.2132572073909088,-0.0,-1.222229193462371,-0.7016030366722088,0.0
2019-06-10,1.0,-0.0,-0.216156111006703,-0.0,-1.211238489005826,-0.7048487126479985,0.0
2019-06-11,1.0,-0.0,-0.21827889447236182,-0.0,-1.2212311557788944,-0.7011934673366833,0.0
2019-06-12,1.0,-0.0,-0.20867482032530574,-0.0,-1.2256966334636237,-0.7178161644181061,0.0
2019-06-13,1.0,-0.0,-0.21565343781597576,-0.0,-1.2213410010111223,-0.722762891809909,0.0
2019-06-14,1.0,-0.0,-0.20990373120241618,-0.0,-1.2128295475995723,-0.7233058579248727,0.0
2019-06-17,1.0,-0.0,-0.21305593150986749,-0.0,-1.2104434861981053,-0.7240250542947972,0.0
2019-06-18,1.0,-0.0,-0.211391328988382,-0.0,-1.2085576650609238,-0.7285664809042536,0.0
2019-06-19,1.0,-0.0,-0.1474522586795412,-0.0,-1.1756511577846798,-0.7520218948922168,0.0
2019-06-20,1.0,-0.0,-0.16026036525172754,-0.0,-1.1721680651530109,-0.7524370681145113,0.0
2019-06-21,1.0,-0.0,-0.16419429452582884,-0.0,-1.1660447185813416,-0.7538010794140324,0.0
2019-06-24,1.0,-0.0,-0.1456077755905512,-0.0,-1.1440083661417322,-0.7862020177165354,0.0
2019-06-25,1.0,-0.0,-0.1221399938328708,-0.0,-1.1675609004008634,-0.7938637064446501,0.0
2019-06-26,1.0,-0.0,-0.11858915015737825,-0.0,-1.150897981855212,-0.8163611676849966,0.0
2019-06-27,1.0,-0.0,-0.11017027720263296,-0.0,-1.1544547112086283,-0.8257053679038289,0.0
2019-06-28,1.0,-0.0,-0.07758487296134683,-0.0,-1.1871073561724383,-0.8300374462290719,0.0
2019-07-01,1.0,-0.0,-0.07093602152200129,-0.0,-1.198985744766381,-0.8223197996227465,0.0
2019-07-02,1.0,-0.0,-0.07639553921720058,-0.0,-1.191066077662105,-0.8217231472614378,0.0
2019-07-03,1.0,-0.0,-0.08390485016991041,-0.0,-1.1790855730614767,-0.8262897744825456,0.0
2019-07-05,1.0,-0.0,-0.09311790823877653,-0.0,-1.165053034040454,-0.8252035027133695,0.0
2019-07-08,1.0,-0.0,-0.0970846830171217,-0.0,-1.1603578590158878,-0.8275489742403208,0.0
2019-07-09,1.0,-0.0,-0.0944245713580856,-0.0,-1.1600468730726532,-0.8292833353891698,0.0
2019-07-10,1.0,-0.0,-0.0850788166702656,-0.0,-1.1686769287719407,-0.8310454391214485,0.0
2019-07-11,1.0,-0.0,-0.08019013519353047,-0.0,-1.180350638928329,-0.8260386443607631,0.0
2019-07-12,1.0,-0.0,-0.08030864197530864,-0.0,-1.1723765432098765,-0.8337654320987654,0.0
2019-07-15,1.0,-0.0,-0.10796050601666153,-0.0,-1.1789571120024684,-0.7985498302992903,0.0
2019-07-16,1.0,-0.0,-0.10431399190933513,-0.0,-1.1840471852515209,-0.7996788438378162,0.0
2019-07-17,1.0,-0.0,-0.13620721440422787,-0.0,-1.1584833773735634,-0.7779143366312297,0.0
2019-07-18,1.0,-0.0,-0.13471502590673576,-0.0,-1.159947266762731,-0.7712542539166692,0.0
2019-07-19,1.0,-0.0,-0.1436079198240039,-0.0,-1.1509410901979955,-0.760938645807871,0.0
2019-07-22,1.0,-0.0,-0.1608706225680934,-0.0,-1.1299854085603114,-0.7489968385214009,0.0
2019-07-23,1.0,-0.0,-0.171076212751739,-0.0,-1.1223838887032593,-0.7441146988244586,0.0
2019-07-24,1.0,-0.0,-0.17021728574896822,-0.0,-1.121722505462491,-0.7427773731488226,0.0
2019-07-25,1.0,-0.0,-0.13507412604478067,-0.0,-1.187450430114087,-0.7279299615642731,0.0
2019-07-26,1.0,-0.0,-0.13034859251578274,-0.0,-1.1905517094147426,-0.7289029857574186,0.0
2019-07-29,1.0,-0.0,-0.12630426185623458,-0.0,-1.1802391019986005,-0.7354667964591002,0.0
2019-07-30,1.0,-0.0,-0.1323627742994347,-0.0,-1.1764938301623002,-0.7304723117135736,0.0
2019-07-31,1.0,-0.0,-0.11854334907816547,-0.0,-1.1858601249428615,-0.7429833917415816,0.0
2019-08-01,1.0,-0.0,-0.13226611479700529,-0.0,-1.1803518169091243,-0.7307505021608132,0.0
2019-08-02,1.0,-0.0,-0.1341418820087762,-0.0,-1.1823805460750854,-0.7307715748415406,0.0
2019-08-05,1.0,-0.0,-0.1269318701417467,-0.0,-1.1862825788751714,-0.7351013565005334,0.0
2019-08-06,1.0,-0.0,-0.1333795305956434,-0.0,-1.1411828507728,-0.7382724232472659,0.0
2019-08-07,1.0,-0.0,-0.11030549403877075,-0.0,-1.1829930528167947,-0.7404059096562813,0.0
2019-08-08,1.0,-0.0,-0.11046104153335161,-0.0,-1.1956607855684553,-0.7410793186458238,0.0
2019-08-09,1.0,-0.0,-0.09740829225511839,-0.0,-1.1793328696283303,-0.7474219009889013,0.0
2019-08-12,1.0,-0.0,-0.09180011459935462,-0.0,-1.1901444555022769,-0.7338279200217136,0.0
2019-08-13,1.0,-0.0,-0.09016245487364621,-0.0,-1.1901925391095067,-0.7280986762936222,0.0
2019-08-14,1.0,-0.0,-0.08737513539535444,-0.0,-1.1899145504874233,-0.7314658803706824,0.0
2019-08-15,1.0,-0.0,-0.1026356405081325,-0.0,-1.1757390478451857,-0.6896889469310222,0.0
2019-08-16,1.0,-0.0,-0.10421239988134084,-0.0,-1.1772471076831799,-0.6850192821121328,0.0
2019-08-19,1.0,-0.0,-0.09529300455324936,-0.0,-1.1834900360711962,-0.6778723907515818,0.0
2019-08-20,1.0,-0.0,-0.09139658220388922,-0.0,-1.1802592810842665,-0.6747200942840307,0.0
2019-08-21,1.0,-0.0,-0.09252072675956959,-0.0,-1.1741341800435114,-0.6733109895925208,0.0
2019-08-22,1.0,-0.0,-0.09624281715043466,-0.0,-1.1831442463533226,-0.6674230145867099,0.0
2019-08-23,1.0,-0.0,-0.10240165021364374,-0.0,-1.1856785030204804,-0.658729924856343,0.0
2019-08-26,1.0,-0.0,-0.09741562254716706,-0.0,-1.1750922991947441,-0.6345242594261461,0.0
2019-08-27,1.0,-0.0,-0.09426928301014363,-0.0,-1.16706643932607,-0.6285582174955928,0.0
2019-08-28,1.0,-0.0,-0.10324349017816353,-0.0,-1.1468992690726358,-0.6050137048880768,0.0
2019-08-29,1.0,-0.0,-0.0808578508159836,-0.0,-1.1598644299507277,-0.607387998063285,0.0
2019-08-30,1.0,-0.0,-0.0792414204884706,-0.0,-1.160075061840721,-0.6039634926501947,0.0
2019-09-03,1.0,-0.0,-0.09194226616660985,-0.0,-1.1566655301738835,-0.5926241618365723,0.0
