Date,GATX,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-06-28,1.0,-0.0,-0.6614189819692363,-0.0,-0.6235814695523916,-0.725143734384877,0.0
2019-07-01,1.0,-0.0,-0.6630745612714849,-0.0,-0.6226784262966195,-0.7243610968965413,0.0
2019-07-02,1.0,-0.0,-0.6699154709262101,-0.0,-0.6132418855097314,-0.7249947357338387,0.0
2019-07-03,1.0,-0.0,-0.680337501883381,-0.0,-0.6016875094169052,-0.7313545276480338,0.0
2019-07-05,1.0,-0.0,-0.589612711595582,-0.0,-0.5775586123367074,-0.7165844796262651,0.0
2019-07-08,1.0,-0.0,-0.6007650892604137,-0.0,-0.5220459053556249,-0.7108245962028904,0.0
2019-07-09,1.0,-0.0,-0.6009108137923231,-0.0,-0.5160806720787486,-0.7116227760020366,0.0
2019-07-10,1.0,-0.0,-0.5718210138770886,-0.0,-0.5358255451713395,-0.7244123477768337,0.0
2019-07-11,1.0,-0.0,-0.5751478620143192,-0.0,-0.5288224806859666,-0.72592466819481,0.0
2019-07-12,1.0,-0.0,-0.5786007067137809,-0.0,-0.512791519434629,-0.7354628975265017,0.0
2019-07-15,1.0,-0.0,-0.5671962458302708,-0.0,-0.509809464578504,-0.7499010572737038,0.0
2019-07-16,1.0,-0.0,-0.5685421199875661,-0.0,-0.4960861333257976,-0.7612682623562326,0.0
2019-07-17,1.0,-0.0,-0.5732183257918552,-0.0,-0.49278846153846145,-0.7620757918552036,0.0
2019-07-18,1.0,-0.0,-0.5722765560517836,-0.0,-0.49324438916840974,-0.7610944654870259,0.0
2019-07-19,1.0,-0.0,-0.5725836193934579,-0.0,-0.4926380890238021,-0.7717382053391585,0.0
2019-07-22,1.0,-0.0,-0.5796886159120126,-0.0,-0.5205542065419226,-0.7564919297243251,0.0
2019-07-23,1.0,-0.0,-0.5766841306650634,-0.0,-0.5300180365885081,-0.7562483895903118,0.0
2019-07-24,1.0,-0.0,-0.5789127888707973,-0.0,-0.5281800782700603,-0.7494786756934327,0.0
2019-07-25,1.0,-0.0,-0.5738879689373608,-0.0,-0.5344886655627248,-0.7466453491691885,0.0
2019-07-26,1.0,-0.0,-0.57746760290004,-0.0,-0.5318833133527431,-0.7450191242792716,0.0
2019-07-29,1.0,-0.0,-0.5688581710173073,-0.0,-0.5342148854743817,-0.752927400468384,0.0
2019-07-30,1.0,-0.0,-0.5659640014832986,-0.0,-0.5343868556921585,-0.7521179792908692,0.0
2019-07-31,1.0,-0.0,-0.5852335968492252,-0.0,-0.5260709495133994,-0.7426867205114303,0.0
2019-08-01,1.0,-0.0,-0.5846153846153846,-0.0,-0.5240740740740741,-0.7403133903133904,0.0
2019-08-02,1.0,-0.0,-0.580563388304993,-0.0,-0.5238542823777379,-0.7438548520322424,0.0
2019-08-05,1.0,-0.0,-0.5770106437475098,-0.0,-0.5279754112356991,-0.7409641983038305,0.0
2019-08-06,1.0,-0.0,-0.5773213328442851,-0.0,-0.5079705442541546,-0.7361115029766103,0.0
2019-08-07,1.0,-0.0,-0.56684010687667,-0.0,-0.5071297989031079,-0.7386021656588385,0.0
2019-08-08,1.0,-0.0,-0.5658949618835973,-0.0,-0.5080030380601424,-0.7391487805564151,0.0
2019-08-09,1.0,-0.0,-0.5617353238298349,-0.0,-0.501094398922438,-0.7433213604220451,0.0
2019-08-12,1.0,-0.0,-0.5614251648197504,-0.0,-0.5031561228783841,-0.740861270865479,0.0
2019-08-13,1.0,-0.0,-0.5583506078771919,-0.0,-0.5004482043811979,-0.7424505574541991,0.0
2019-08-14,1.0,-0.0,-0.5659576843633115,-0.0,-0.48448054485569136,-0.7408306816278679,0.0
2019-08-15,1.0,-0.0,-0.5785892116182573,-0.0,-0.47922544951590595,-0.7084370677731674,0.0
2019-08-16,1.0,-0.0,-0.5813354742262333,-0.0,-0.4731188749238691,-0.7139416422125021,0.0
2019-08-19,1.0,-0.0,-0.5877678719751924,-0.0,-0.46912896616645444,-0.7118057478265685,0.0
2019-08-20,1.0,-0.0,-0.5877556661138751,-0.0,-0.4667495854063018,-0.709452736318408,0.0
2019-08-21,1.0,-0.0,-0.5916434232691724,-0.0,-0.46745464085498883,-0.7024937173786971,0.0
2019-08-22,1.0,-0.0,-0.592728577738516,-0.0,-0.46309076855123676,-0.7047813604240283,0.0
2019-08-23,1.0,-0.0,-0.5935118718939811,-0.0,-0.46397018221976805,-0.7034235229155162,0.0
2019-08-26,1.0,-0.0,-0.5911468369762704,-0.0,-0.45975334471177665,-0.7019490172328359,0.0
2019-08-27,1.0,-0.0,-0.5890309278350515,-0.0,-0.4570996563573883,-0.7030103092783505,0.0
