Date,BPY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-20,1.0,-0.03733051593590421,-0.4893718713053103,-0.0,-0.5362111035645108,-0.4525947727215556,0.0
2018-11-21,1.0,-0.036514813794485214,-0.48686418392646946,-0.0,-0.5354003355956823,-0.44564101279771595,0.0
2018-11-23,1.0,-0.036855282924386584,-0.48565348022033056,-0.0,-0.535628442663996,-0.44564346519779674,0.0
2018-11-26,1.0,-0.03605678944337331,-0.4905476124896712,-0.0,-0.5337656809474923,-0.4435736284648321,0.0
2018-11-27,1.0,-0.028302827789137702,-0.4942646252057254,-0.0,-0.5309460874769338,-0.44012767443020295,0.0
2018-11-28,1.0,-0.027839449197994363,-0.49789208471574325,-0.0,-0.529448449622072,-0.43939431735974255,0.0
2018-11-29,1.0,-0.006621698416228103,-0.49020334544017,-0.0,-0.5289946384009093,-0.44498801670249305,0.0
2018-11-30,1.0,-0.005740442904862056,-0.49110478782630207,-0.0,-0.5294073982432266,-0.44810095261660277,0.0
2018-12-03,1.0,-0.0060139583230213334,-0.4911399297134089,-0.0,-0.5295005692223927,-0.44822551106271347,0.0
2018-12-04,1.0,-0.0,-0.49548014226437465,-0.0,-0.5269462556806955,-0.44746591582691164,0.0
2018-12-06,1.0,-0.0,-0.4517520605388731,-0.0,-0.5295464404492216,-0.4287125849520413,0.0
2018-12-07,1.0,-0.0,-0.4524394947449619,-0.0,-0.5313855944460515,-0.42674284061324846,0.0
2018-12-10,1.0,-0.0,-0.4495970152823284,-0.0,-0.5261999856503958,-0.4158036974146796,0.0
2018-12-11,1.0,-0.0,-0.4622266401590457,-0.0,-0.5197837366047616,-0.442467148329535,0.0
2018-12-12,1.0,-0.0,-0.46364033809385025,-0.0,-0.523632565821432,-0.4415622267560478,0.0
2018-12-13,1.0,-0.0,-0.4608944648013783,-0.0,-0.5257346696110073,-0.44002523720546477,0.0
2018-12-14,1.0,-0.0,-0.46026546310451094,-0.0,-0.5261459319113829,-0.4401494746548252,0.0
2018-12-17,1.0,-0.0,-0.4572050290135396,-0.0,-0.5157882011605416,-0.44480174081237905,0.0
2018-12-18,1.0,-0.0,-0.46553782433914,-0.0,-0.5232062370568888,-0.44763064928736757,0.0
2018-12-19,1.0,-0.0,-0.46554916674788027,-0.0,-0.5231702563103011,-0.44766591950102325,0.0
2018-12-20,1.0,-0.0,-0.4664521162473181,-0.0,-0.5232835966452115,-0.44833723425004873,0.0
2018-12-21,1.0,-0.0,-0.4656896049694264,-0.0,-0.5237309521498593,-0.4370329030379501,0.0
2018-12-24,1.0,-0.0,-0.4453797727875733,-0.0,-0.5151113147929279,-0.45153042765141466,0.0
2018-12-26,1.0,-0.0,-0.44875538535184295,-0.0,-0.5014839636189564,-0.44327429392053613,0.0
2018-12-27,1.0,-0.0,-0.4258255183487306,-0.0,-0.45900914527726716,-0.44220789798245413,0.0
2018-12-28,1.0,-0.0,-0.42625543693159357,-0.0,-0.45835368548368344,-0.44132765799083573,0.0
2018-12-31,1.0,-0.0,-0.42976880631417197,-0.0,-0.45782403203650673,-0.4406183790831413,0.0
2019-01-02,1.0,-0.0,-0.4347764937530766,-0.0,-0.46581186563840515,-0.4434729612526664,0.0
2019-01-03,1.0,-0.0,-0.4344291103352937,-0.0,-0.46920030928559714,-0.43944328592516224,0.0
2019-01-04,1.0,-0.0,-0.4489733590189353,-0.0,-0.4458957853686041,-0.45444721138937183,0.0
2019-01-07,1.0,-0.0,-0.4348057971014493,-0.0,-0.44009275362318834,-0.4439652173913043,0.0
2019-01-08,1.0,-0.0,-0.4342947231753686,-0.0,-0.4403459148659928,-0.44382361123991465,0.0
2019-01-09,1.0,-0.0,-0.4213213282899775,-0.0,-0.44304179333070337,-0.45619938273037386,0.0
2019-01-10,1.0,-0.0,-0.42117597920920735,-0.0,-0.4431269723408205,-0.4560980137367737,0.0
2019-01-11,1.0,-0.0,-0.42360690843070625,-0.0,-0.44548670918486105,-0.4585447604860109,0.0
2019-01-14,1.0,-0.0,-0.4231092045136622,-0.0,-0.4446283689266063,-0.4637228387578103,0.0
2019-01-15,1.0,-0.0,-0.4191558214792913,-0.0,-0.4464181780085209,-0.46255209182129303,0.0
2019-01-16,1.0,-0.0,-0.42032219820071137,-0.0,-0.4324336890066718,-0.47190645558732597,0.0
2019-01-17,1.0,-0.0,-0.4199451902085559,-0.0,-0.4321148218681778,-0.47041200241534675,0.0
2019-01-18,1.0,-0.0,-0.4180599663739959,-0.0,-0.43557351018120677,-0.48150569773958524,0.0
2019-01-22,1.0,-0.0,-0.4090145184631903,-0.0,-0.44157602352831327,-0.48356752719294144,0.0
2019-01-23,1.0,-0.0,-0.381342062193126,-0.0,-0.44554594341828385,-0.5111994388590133,0.0
2019-01-24,1.0,-0.0,-0.3848701859152301,-0.0,-0.4353728801698197,-0.5124448902470317,0.0
2019-01-25,1.0,-0.0,-0.3464639538457901,-0.0,-0.45206062468966496,-0.5659565412716052,0.0
2019-01-28,1.0,-0.0,-0.34421617532329374,-0.0,-0.45485708882006665,-0.5650488191210195,0.0
2019-01-29,1.0,-0.0,-0.3417484916597658,-0.0,-0.45290429433337276,-0.571394771087188,0.0
2019-01-30,1.0,-0.0,-0.3421544725069236,-0.0,-0.4528605581461405,-0.5720169479489668,0.0
2019-01-31,1.0,-0.0,-0.3542181265437963,-0.0,-0.44729716891506743,-0.5735322059661789,0.0
2019-02-01,1.0,-0.0,-0.3548287271775096,-0.0,-0.45449784569973095,-0.571115713299531,0.0
2019-02-04,1.0,-0.0,-0.35843939574164385,-0.0,-0.4537647198762935,-0.5667895801118116,0.0
2019-02-05,1.0,-0.0,-0.3674509430367689,-0.0,-0.4613259668508287,-0.5526290722042293,0.0
2019-02-06,1.0,-0.0,-0.3568809523809524,-0.0,-0.4651904761904762,-0.5589047619047619,0.0
2019-02-07,1.0,-0.0,-0.3586009992862241,-0.0,-0.4610754223173923,-0.5595764929812039,0.0
2019-02-08,1.0,-0.0,-0.39554338169973347,-0.0,-0.5418023887079262,-0.5303523837725792,0.0
2019-02-11,1.0,-0.0,-0.38671681678709297,-0.0,-0.5535731960803721,-0.5342225081658913,0.0
2019-02-12,1.0,-0.0,-0.3912795597640176,-0.0,-0.554508948490407,-0.5330176986763174,0.0
2019-02-13,1.0,-0.0,-0.40261735983740643,-0.0,-0.5516284142170228,-0.5243146780349973,0.0
2019-02-14,1.0,-0.0,-0.36685187022522076,-0.0,-0.5786784403214604,-0.5348744915170155,0.0
2019-02-15,1.0,-0.0,-0.3867334788648542,-0.0,-0.5681434808493749,-0.5257739630879142,0.0
2019-02-19,1.0,-0.0,-0.3753595160170584,-0.0,-0.5798621442031141,-0.5241991470792423,0.0
2019-02-20,1.0,-0.0,-0.3725465900079302,-0.0,-0.5827468279143537,-0.522898493259318,0.0
2019-02-21,1.0,-0.0,-0.36538747582924286,-0.0,-0.5862958004858941,-0.5273687341960435,0.0
2019-02-22,1.0,-0.0,-0.36433263105713226,-0.0,-0.5883752633535755,-0.5259139918205479,0.0
2019-02-25,1.0,-0.0,-0.3634055265123226,-0.0,-0.5965148120487926,-0.5294996265870052,0.0
2019-02-26,1.0,-0.0,-0.36623783810685046,-0.0,-0.5939731754049817,-0.5281558713016647,0.0
2019-02-27,1.0,-0.0,-0.3687643134521557,-0.0,-0.5931245643731953,-0.5274071492581898,0.0
2019-02-28,1.0,-0.0,-0.36614320201090067,-0.0,-0.5893581543515591,-0.533237102112939,0.0
2019-03-01,1.0,-0.0,-0.3613395274886344,-0.0,-0.6013713263607682,-0.5215760316001292,0.0
2019-03-04,1.0,-0.0,-0.35034820158250757,-0.0,-0.5944387589546465,-0.5512817312732446,0.0
2019-03-05,1.0,-0.0,-0.3406565909318387,-0.0,-0.6121008908017216,-0.5494945450905815,0.0
2019-03-06,1.0,-0.0,-0.3343575139888089,-0.0,-0.6173311350919264,-0.5462879696243005,0.0
2019-03-07,1.0,-0.0,-0.30887231548227784,-0.0,-0.6451572672170811,-0.5402958269935896,0.0
2019-03-08,1.0,-0.0,-0.2983712863821445,-0.0,-0.6713919469160007,-0.5436837078369275,0.0
2019-03-11,1.0,-0.0,-0.29728771494415884,-0.0,-0.6792362043204092,-0.555955124471345,0.0
2019-03-12,1.0,-0.0,-0.27343249955195986,-0.0,-0.6946926444609438,-0.5921042525410277,0.0
2019-03-13,1.0,-0.0,-0.2799392332054484,-0.0,-0.7023199526224991,-0.5926049900867729,0.0
2019-03-14,1.0,-0.0,-0.2749215978612925,-0.0,-0.7080355765770399,-0.5876047503984371,0.0
2019-03-15,1.0,-0.0,-0.26099691675231246,-0.0,-0.7033144912641315,-0.6050616649537514,0.0
2019-03-18,1.0,-0.0,-0.2686667355158525,-0.0,-0.7066766497986161,-0.6065010843746773,0.0
2019-03-19,1.0,-0.0,-0.2694646414986933,-0.0,-0.7002613398193909,-0.6177969829482237,0.0
2019-03-20,1.0,-0.0,-0.26728420616849513,-0.0,-0.7009935831090871,-0.6191782239701925,0.0
2019-03-21,1.0,-0.0,-0.26821885913853316,-0.0,-0.7158194282757728,-0.6029491656965463,0.0
2019-03-22,1.0,-0.0,-0.2658897472829645,-0.0,-0.738562262668587,-0.6143773733141286,0.0
2019-03-25,1.0,-0.0,-0.2088947737362723,-0.0,-0.7690370485759533,-0.6183243762494482,0.0
2019-03-26,1.0,-0.0,-0.21355145063661032,-0.0,-0.7610624086829472,-0.6344447923189314,0.0
2019-03-27,1.0,-0.0,-0.21886527770561648,-0.0,-0.7564295734400166,-0.622512599366135,0.0
2019-03-28,1.0,-0.0,-0.22639719638481198,-0.0,-0.7685436483887117,-0.6400358356828542,0.0
2019-03-29,1.0,-0.0,-0.2228541337546077,-0.0,-0.7662190626645602,-0.6438651922064245,0.0
2019-04-01,1.0,-0.0,-0.23330785249228989,-0.0,-0.7671138993594644,-0.6355273216121465,0.0
2019-04-02,1.0,-0.0,-0.236589009145942,-0.0,-0.7638827013286513,-0.6201420372651275,0.0
2019-04-03,1.0,-0.0,-0.2357457289592286,-0.0,-0.769285190231632,-0.6152394927156483,0.0
2019-04-04,1.0,-0.0,-0.2349685204616999,-0.0,-0.7621196222455404,-0.6262067156348374,0.0
2019-04-05,1.0,-0.0,-0.23234313030231396,-0.0,-0.7694691776324429,-0.6247209308433798,0.0
2019-04-08,1.0,-0.0,-0.2264765356233094,-0.0,-0.7743375613855406,-0.6252790251844849,0.0
2019-04-09,1.0,-0.0,-0.2139055748761724,-0.0,-0.8028506691959111,-0.6178996733059331,0.0
2019-04-10,1.0,-0.0,-0.20772068511198946,-0.0,-0.7968379446640316,-0.6304874835309618,0.0
2019-04-11,1.0,-0.0,-0.2116724738675958,-0.0,-0.7997835497835497,-0.628154365959244,0.0
2019-04-12,1.0,-0.0,-0.21049992081507682,-0.0,-0.8001372538668639,-0.6288602650055429,0.0
2019-04-15,1.0,-0.0,-0.21410426038634559,-0.0,-0.7925641704154538,-0.6395607303519449,0.0
2019-04-16,1.0,-0.0,-0.21489113736292842,-0.0,-0.7974784128834032,-0.6363299253059279,0.0
2019-04-17,1.0,-0.0,-0.19320740721116908,-0.0,-0.8269531353485045,-0.6290566137706307,0.0
2019-04-18,1.0,-0.0,-0.19988340355619152,-0.0,-0.8281527413413892,-0.621856533375732,0.0
2019-04-22,1.0,-0.0,-0.19840467960648767,-0.0,-0.8332358415315075,-0.627226801382611,0.0
2019-04-23,1.0,-0.0,-0.18518126208193206,-0.0,-0.8250668643910706,-0.6378465693933215,0.0
2019-04-24,1.0,-0.0,-0.17767100504237177,-0.0,-0.8152274347263655,-0.6470867763140526,0.0
2019-04-25,1.0,-0.0,-0.17513676365654482,-0.0,-0.823224715240889,-0.644388065223711,0.0
2019-04-26,1.0,-0.0,-0.16710376433812815,-0.0,-0.8553074253622612,-0.6266391162679806,0.0
2019-04-29,1.0,-0.0,-0.1622186920836643,-0.0,-0.8540905480540111,-0.6313211543553084,0.0
2019-04-30,1.0,-0.0,-0.14903807986451084,-0.0,-0.8583714837651168,-0.6388366985101485,0.0
2019-05-01,1.0,-0.0,-0.1489130722588503,-0.0,-0.8620488786506739,-0.6368522784441444,0.0
2019-05-02,1.0,-0.0,-0.1526297696803025,-0.0,-0.8423724779860909,-0.6493111563582515,0.0
2019-05-03,1.0,-0.0,-0.15225151378936513,-0.0,-0.8427509981755202,-0.6491710515878262,0.0
2019-05-06,1.0,-0.0,-0.14603810377085036,-0.0,-0.8464254657566734,-0.6426519802893357,0.0
2019-05-07,1.0,-0.0,-0.14307185234014505,-0.0,-0.8471984179301252,-0.6465392221489783,0.0
2019-05-08,1.0,-0.0,-0.163537667152125,-0.0,-0.8399311531841652,-0.6445121143916325,0.0
2019-05-09,1.0,-0.0,-0.16254164683484054,-0.0,-0.8353429583796076,-0.6463588767253688,0.0
2019-05-10,1.0,-0.0,-0.16021894914985324,-0.0,-0.8376127138588465,-0.6464817410159452,0.0
2019-05-13,1.0,-0.0,-0.15917201998572447,-0.0,-0.8356200597456843,-0.6488222698072805,0.0
2019-05-14,1.0,-0.0,-0.11554973821989528,-0.0,-0.8539528795811518,-0.6482722513089005,0.0
2019-05-15,1.0,-0.0,-0.10058346672174318,-0.0,-0.8457943925233645,-0.6353332989105178,0.0
2019-05-16,1.0,-0.0,-0.10024254309010218,-0.0,-0.8449530395293631,-0.6350758592217979,0.0
2019-05-17,1.0,-0.0,-0.08870843000773396,-0.0,-0.833926269657128,-0.6553493168342356,0.0
2019-05-20,1.0,-0.0,-0.0830246913580247,-0.0,-0.834593621399177,-0.6544238683127572,0.0
2019-05-21,1.0,-0.0,-0.08958413801982748,-0.0,-0.8307712115359855,-0.6546414316982104,0.0
2019-05-22,1.0,-0.0,-0.09107124392513699,-0.0,-0.8326439871781615,-0.6613328507910247,0.0
2019-05-23,1.0,-0.0,-0.09059440469117304,-0.0,-0.8387538425770452,-0.653896825191806,0.0
2019-05-24,1.0,-0.0,-0.0838170420246111,-0.0,-0.8407244021360577,-0.6552382426540774,0.0
2019-05-28,1.0,-0.0,-0.08476674317249917,-0.0,-0.8405498104546509,-0.6535059442453001,0.0
2019-05-29,1.0,-0.0,-0.07914884900007682,-0.0,-0.834430133408445,-0.6470693672701201,0.0
2019-05-30,1.0,-0.0,-0.08216010687493579,-0.0,-0.84351556880074,-0.6434333573116844,0.0
2019-05-31,1.0,-0.0,-0.08441675462760342,-0.0,-0.8327111706098912,-0.6573642612568545,0.0
2019-06-03,1.0,-0.0,-0.09542249006282856,-0.0,-0.8493653032440056,-0.6196435440441083,0.0
2019-06-04,1.0,-0.0,-0.09215157353885678,-0.0,-0.8797174052665383,-0.5971740526653821,0.0
2019-06-05,1.0,-0.0,-0.10358180058083254,-0.0,-0.868522953074846,-0.5754318031283436,0.0
2019-06-06,1.0,-0.0,-0.10539452906117874,-0.0,-0.8647547246701645,-0.576842748713769,0.0
2019-06-07,1.0,-0.0,-0.10711006834642456,-0.0,-0.8647352851168009,-0.578419871467918,0.0
2019-06-10,1.0,-0.0,-0.10568277337680532,-0.0,-0.8572301892559668,-0.5842736697317813,0.0
2019-06-11,1.0,-0.0,-0.10587270677462335,-0.0,-0.8794199036589115,-0.5769703802398277,0.0
2019-06-12,1.0,-0.0,-0.10745220644764492,-0.0,-0.8772231049151761,-0.5779816513761468,0.0
2019-06-13,1.0,-0.0,-0.10500012814269971,-0.0,-0.8742663830441579,-0.5835874830210923,0.0
2019-06-14,1.0,-0.0,-0.10361260568793236,-0.0,-0.8820906994619523,-0.5764283884191648,0.0
2019-06-17,1.0,-0.0,-0.11127954779033916,-0.0,-0.8769527235354574,-0.5811408016443987,0.0
2019-06-18,1.0,-0.0,-0.12178762335526315,-0.0,-0.8729954769736842,-0.5751182154605262,0.0
2019-06-19,1.0,-0.0,-0.11604874919820397,-0.0,-0.8771776779987172,-0.5725208466966004,0.0
2019-06-20,1.0,-0.0,-0.11399851651021818,-0.0,-0.8753612809166944,-0.5683812057191089,0.0
2019-06-21,1.0,-0.0,-0.11333641452267243,-0.0,-0.8872027936116675,-0.5671185744363992,0.0
2019-06-24,1.0,-0.0,-0.10525503511073385,-0.0,-0.8822954446073513,-0.5846644545618231,0.0
2019-06-25,1.0,-0.0,-0.09808107830023664,-0.0,-0.8870254141372569,-0.5871488836300031,0.0
2019-06-26,1.0,-0.0,-0.09629228268441829,-0.0,-0.8956833604252135,-0.5882034213174394,0.0
2019-06-27,1.0,-0.0,-0.10857202212469813,-0.0,-0.9286919940793061,-0.5595315380820068,0.0
2019-06-28,1.0,-0.0,-0.10349020723913999,-0.0,-0.9265219528602106,-0.5572430208791492,0.0
2019-07-01,1.0,-0.0,-0.09930196483971045,-0.0,-0.936556359875905,-0.5494312306101344,0.0
2019-07-02,1.0,-0.0,-0.10663494854424162,-0.0,-0.9267725086621504,-0.5523090448363243,0.0
2019-07-03,1.0,-0.0,-0.097888874498122,-0.0,-0.9425981090532314,-0.5498510555627509,0.0
2019-07-05,1.0,-0.0,-0.06337774576881526,-0.0,-0.9547816245691649,-0.5539894027470549,0.0
2019-07-08,1.0,-0.0,-0.067513797972019,-0.0,-0.9430625080220767,-0.5565139263252471,0.0
2019-07-09,1.0,-0.0,-0.06499618417705419,-0.0,-0.9324090562197914,-0.5464767234800305,0.0
2019-07-10,1.0,-0.0,-0.062487278648483614,-0.0,-0.9345868105027478,-0.5471962141257888,0.0
2019-07-11,1.0,-0.0,-0.059511996539704355,-0.0,-0.9430577818487138,-0.541790702999771,0.0
2019-07-12,1.0,-0.0,-0.08704715901868565,-0.0,-0.9178085674335834,-0.5374094318037371,0.0
2019-07-15,1.0,-0.0,-0.09061324112681786,-0.0,-0.9163022475338147,-0.5355690023390623,0.0
2019-07-16,1.0,-0.0,-0.10416825227693634,-0.0,-0.925362153385595,-0.5074460258264201,0.0
2019-07-17,1.0,-0.0,-0.10892748324192565,-0.0,-0.9261882998171845,-0.5039609993906154,0.0
