Date,IWF,IWM,MTUM,SPY,TLK,VLUE,VXX
2019-11-29,-0.0,-0.14579616413916147,-0.6956679304192686,-0.6163581623550402,1.0,-0.32986730597680647,0.0
2019-12-02,-0.0,-0.14969435758753766,-0.7229217724442942,-0.6164962393306853,1.0,-0.32784022085129155,0.0
2019-12-03,-0.0,-0.14555090655509065,-0.6961227336122734,-0.6196652719665272,1.0,-0.32806136680613673,0.0
2019-12-04,-0.0,-0.16865546218487396,-0.7053781512605042,-0.6106442577030813,1.0,-0.31644257703081236,0.0
2019-12-05,-0.0,-0.15921004165131894,-0.7275663729351429,-0.6010540333777237,1.0,-0.34559261043266365,0.0
2019-12-06,-0.0,-0.1786439417770025,-0.7365666733392434,-0.6146015041894249,1.0,-0.3298349967113729,0.0
2019-12-09,-0.0,-0.14601666763797425,-0.764001398682907,-0.650329273267673,1.0,-0.3535753831808381,0.0
2019-12-10,-0.0,-0.13566254527288624,-0.9003996503059823,-0.7502810041213938,1.0,-0.3359560384663419,0.0
2019-12-11,-0.0,-0.12878598247809764,-0.9075406758448059,-0.7507822277847309,1.0,-0.34180225281602006,0.0
2019-12-12,-0.0,-0.12302356102743578,-0.9043497281419911,-0.7529529404412224,1.0,-0.344478470095619,0.0
2019-12-13,-0.0,-0.134312332228012,-0.9666824569714195,-0.7458708353071215,1.0,-0.31119532606979317,0.0
2019-12-16,-0.0,-0.13272014665908086,-0.9807509956381567,-0.7504583096276629,1.0,-0.2967949933624123,0.0
2019-12-17,-0.0,-0.11491616321519722,-1.0330824152747713,-0.7916841663166736,1.0,-0.29105417891642166,0.0
2019-12-18,-0.0,-0.12822921559417566,-1.0886398711668792,-0.830705227135476,1.0,-0.30745487485741124,0.0
2019-12-19,-0.0,-0.13372093023255813,-1.0924183357978223,-0.8262199220325314,1.0,-0.30830756822153516,0.0
2019-12-20,-0.0,-0.14837749128684058,-1.1029337123134708,-0.8333840896017325,1.0,-0.29905593340777586,0.0
2019-12-23,-0.0,-0.15416006205524266,-1.1050554787359617,-0.8084718896495902,1.0,-0.3048801052241071,0.0
2019-12-24,-0.0,-0.15055780763174648,-1.0954805856142584,-0.8004288250862676,1.0,-0.30369526617307113,0.0
2019-12-26,-0.0,-0.15187541862022774,-1.0934025452109848,-0.8057267247153383,1.0,-0.2979571332886805,0.0
2019-12-27,-0.0,-0.1603624769256587,-1.1021647927504616,-0.7984225541198188,1.0,-0.2953515690552106,0.0
2019-12-30,-0.0,-0.16375906866880377,-1.1207356166694786,-0.8117091277206007,1.0,-0.2782183229289691,0.0
2019-12-31,-0.0,-0.15184838558727187,-1.1209639681796912,-0.7906611404505649,1.0,-0.279029346881476,0.0
2020-01-02,-0.0,-0.15588018987764923,-1.1214147222036503,-0.7877248111252255,1.0,-0.27786320786253926,0.0
2020-01-03,-0.0,-0.15513711274460446,-1.129963414224818,-0.783371933004397,1.0,-0.2880206759977176,0.0
2020-01-06,-0.0,-0.16236286919831222,-1.139308016877637,-0.7849451476793249,1.0,-0.28891139240506325,0.0
2020-01-07,-0.0,-0.15934399676047784,-1.140784234325437,-0.7848754808665722,1.0,-0.2894985489640278,0.0
2020-01-08,-0.0,-0.16200080949811116,-1.1368726389638424,-0.7822787371829465,1.0,-0.2917228818132757,0.0
2020-01-09,-0.0,-0.17151054852320674,-1.1325569620253164,-0.7797805907172995,1.0,-0.29167932489451476,0.0
2020-01-10,-0.0,-0.17675438596491228,-1.1276990553306343,-0.7730094466936572,1.0,-0.2963562753036437,0.0
2020-01-13,-0.0,-0.17924432567736698,-1.1458241721070257,-0.7674457937286473,1.0,-0.2900923451611812,0.0
2020-01-14,-0.0,-0.17550099172423225,-1.18093837630805,-0.7887969359140962,1.0,-0.27446823062718007,0.0
2020-01-15,-0.0,-0.1699050905953408,-1.1976876617773944,-0.815358067299396,1.0,-0.2683002588438309,0.0
2020-01-16,-0.0,-0.14753135473171405,-1.1826348339840373,-0.8168814566561863,1.0,-0.3080192101717168,0.0
2020-01-17,-0.0,-0.14861044065926488,-1.1717122957037447,-0.8272532928763533,1.0,-0.3004620371008896,0.0
2020-01-21,-0.0,-0.15737897243021287,-1.1671439908905834,-0.8264035057451433,1.0,-0.2996100893688969,0.0
2020-01-22,-0.0,-0.1535380046275512,-1.1748799944745658,-0.8284352660841938,1.0,-0.2965431501882101,0.0
2020-01-23,-0.0,-0.14842017738359203,-1.1669900221729488,-0.8413941241685143,1.0,-0.30771895787139686,0.0
2020-01-24,-0.0,-0.14969499514765008,-1.1708373769582698,-0.8428531817551643,1.0,-0.3025786773880494,0.0
2020-01-27,-0.0,-0.10890102717372634,-1.1778144216565323,-0.8262736610670239,1.0,-0.3224088769796283,0.0
2020-01-28,-0.0,-0.11497489482969196,-1.151818428552042,-0.8154769982358528,1.0,-0.3103202605509567,0.0
