Date,IWF,IWM,MTUM,OMER,SPY,VLUE,VXX
2019-01-28,-1.5208267592300408,-4.174029662354054,-0.4086462606500473,1.0,-4.370779425686336,-4.303723572104765,0.0
2019-01-29,-1.5134539732494101,-4.128088119590874,-0.41951219512195126,1.0,-4.364122738001574,-4.310464201416208,0.0
2019-01-30,-1.5095972309628696,-4.124292007551919,-0.42039018250471993,1.0,-4.362492133417244,-4.3165512901195715,0.0
2019-01-31,-1.3507660577489689,-3.93753682969947,-0.40114908662345317,1.0,-3.997200942840307,-4.045079552150854,0.0
2019-02-01,-1.3464912280701755,-3.9043859649122807,-0.39576023391812865,1.0,-3.972222222222222,-4.001169590643275,0.0
2019-02-04,-1.3485889749963444,-3.9058341862845447,-0.394794560608276,1.0,-3.973680362626115,-3.999122678754204,0.0
2019-02-05,-1.3178305875492053,-3.886718180492783,-0.393206006706517,1.0,-3.9642805073625893,-4.017349467852457,0.0
2019-02-06,-1.315391329647949,-3.880709921443119,-0.4098050625545534,1.0,-3.9412278149549027,-4.0007273785277855,0.0
2019-02-07,-1.3135388549509874,-3.761187668702941,-0.4409717289387698,1.0,-3.8117630345219493,-3.8791021451910788,0.0
2019-02-08,-1.3288552236672857,-3.769329712734028,-0.4883521509218236,1.0,-3.8260683149921393,-3.8792339574103187,0.0
2019-02-11,-1.3481067125645438,-3.765060240963855,-0.51592082616179,1.0,-3.8287435456110153,-3.885255306942054,0.0
2019-02-12,-1.3776365212366368,-3.780121352210344,-0.5330829240104016,1.0,-3.85264374458249,-3.9032071655590865,0.0
2019-02-13,-1.3641894828335508,-3.8161668839634943,-0.548312327973345,1.0,-3.8570186875271624,-3.900912646675359,0.0
2019-02-14,-1.3818420668515545,-3.7966720186834038,-0.5904247555101445,1.0,-3.8985549554809515,-3.9287695226974164,0.0
2019-02-15,-1.3831610044313147,-3.8939438700147715,-0.5689807976366322,1.0,-3.948301329394387,-3.9766617429837523,0.0
2019-02-19,-1.413447360660572,-3.8407549395458562,-0.5806546741374226,1.0,-3.950457092303155,-3.959451489236213,0.0
2019-02-20,-1.418992763255058,-3.8520159503766056,-0.5835179441736819,1.0,-3.9540688229212817,-3.9604194358292717,0.0
2019-02-21,-1.4176018901358536,-3.846721795629061,-0.5801831069108092,1.0,-3.9567336089781455,-3.9655936207914944,0.0
2019-02-22,-1.4148826221762882,-3.84305329986712,-0.5744869334120773,1.0,-3.964269895172007,-3.967813376642551,0.0
2019-02-25,-1.4265452373842937,-3.868318901164527,-0.6055538966855778,1.0,-4.013287548521947,-4.016273514481935,0.0
2019-02-26,-1.4257100149476831,-3.8775784753363225,-0.611659192825112,1.0,-4.0156950672645735,-4.017040358744394,0.0
2019-02-27,-1.4360587002096434,-3.8694219826295297,-0.6212938005390835,1.0,-4.030098831985624,-4.017669961066187,0.0
2019-02-28,-1.4327687003447758,-3.876780092939589,-0.6210463198920702,1.0,-4.03717583570679,-4.022485384500075,0.0
2019-03-01,-1.4295774647887325,-3.878633503146539,-0.6204674857656579,1.0,-4.036409949056039,-4.01842972729997,0.0
2019-03-04,-1.4176268143049529,-3.876402813107886,-0.6137961993116864,1.0,-4.032021547209337,-4.023492443513392,0.0
2019-03-05,-1.4649255997570603,-3.896902520498026,-0.6006680838141512,1.0,-4.13027634375949,-4.090950501062861,0.0
2019-03-06,-1.4675166970248938,-3.892228293867638,-0.6033697632058288,1.0,-4.130085003035823,-4.085913782635094,0.0
2019-03-07,-1.4800784787201933,-3.814216722004226,-0.6177180802897676,1.0,-4.128433444008452,-4.051765771204346,0.0
2019-03-08,-0.9260709914320686,-3.2226438188494497,-0.275030599755202,1.0,-3.508935128518972,-3.3070991432068544,0.0
2019-03-11,-0.9525059367579053,-3.2598425196850394,-0.33433320834895636,1.0,-3.5590551181102366,-3.392700912385952,0.0
2019-03-12,-0.8960916282914158,-2.9502892903530524,-0.44574329909080174,1.0,-3.299563112528044,-3.2160821820758057,0.0
2019-03-13,-0.9266872623574145,-2.9649477186311786,-0.5057034220532319,1.0,-3.2835076045627374,-3.2012832699619773,0.0
2019-03-14,-0.9258995368721055,-2.9675810473815467,-0.5089656810355065,1.0,-3.2759767248545306,-3.1966512290701816,0.0
2019-03-15,-0.9381600563248063,-2.893686927951185,-0.5353203473363061,1.0,-3.2108659938981456,-3.1563013377141513,0.0
2019-03-18,-0.9453441295546559,-2.9323648487735174,-0.6256251488449631,1.0,-3.223386520600143,-3.180995475113122,0.0
2019-03-19,-0.9633607829096551,-2.929466523451486,-0.648406731113498,1.0,-3.214345387277718,-3.179138321995465,0.0
2019-03-20,-0.9865562357460089,-2.9252190613371747,-0.6711079102148603,1.0,-3.223382547113192,-3.1972152202616733,0.0
2019-03-21,-1.002039347408829,-2.9184261036468326,-0.6792226487523991,1.0,-3.2329654510556622,-3.163507677543186,0.0
2019-03-22,-0.995429396199182,-2.8943949963916284,-0.7401972576377194,1.0,-3.2557132547510217,-3.142290113062304,0.0
2019-03-25,-0.9572639510242523,-2.692606545797033,-0.8331763597833765,1.0,-3.2163880386154933,-3.0735813515422654,0.0
2019-03-26,-0.9517700166310287,-2.722499406034687,-0.8737229745782846,1.0,-3.225588025659301,-3.1057258256117843,0.0
2019-03-27,-0.9618936294564582,-2.6301578024547045,-0.8872004675628287,1.0,-3.166569257744009,-3.0432495616598483,0.0
2019-03-28,-0.9520852858481723,-2.6282802249297093,-0.9124882849109652,1.0,-3.165065604498594,-3.057169634489222,0.0
2019-03-29,-0.9537687265917604,-2.6145833333333335,-0.9167837078651685,1.0,-3.1612827715355807,-3.0575842696629216,0.0
2019-04-01,-0.944191476941039,-2.6242848803269117,-0.9076474022183304,1.0,-3.1522475189725627,-3.0471687098657325,0.0
2019-04-02,-0.958806319485079,-2.62715038033938,-0.9784669397308368,1.0,-3.1421884142773555,-2.9961380924517265,0.0
2019-04-03,-0.9697396199859254,-2.6301900070372977,-0.9765423410743608,1.0,-3.155524278676988,-2.996833216045039,0.0
2019-04-04,-0.9795654726952436,-2.630064591896653,-0.9705226071638285,1.0,-3.1586611861421017,-3.005049911920141,0.0
2019-04-05,-0.9981180898612092,-2.6236179722418256,-0.9830628087508821,1.0,-3.1543166313808513,-3.0028228652081865,0.0
2019-04-08,-0.998708465422097,-2.6108958553481276,-0.9881413643301632,1.0,-3.1498180110367504,-2.9936597393448396,0.0
2019-04-09,-1.034880980438369,-2.5856705161442375,-1.0127268442139996,1.0,-3.1702804619373084,-2.980438369078482,0.0
2019-04-10,-1.0343292325717635,-2.5446983011130637,-1.0258933801991799,1.0,-3.151142355008788,-2.9602811950790864,0.0
2019-04-11,-1.0516695957820739,-2.5173989455184533,-1.0448740480374927,1.0,-3.1505565319273576,-2.951845342706503,0.0
2019-04-12,-1.0521382542472175,-2.516695957820738,-1.0438195664909198,1.0,-3.1509080257762156,-2.95278265963679,0.0
2019-04-15,-1.0495363305552294,-2.524239934264585,-1.0474234065031107,1.0,-3.154243455804672,-2.963141213757483,0.0
2019-04-16,-1.0482224568813798,-2.520943329813446,-1.048105127302593,1.0,-3.1539364073682976,-2.961867886894286,0.0
2019-04-17,-1.0477980035231942,-2.509806224310041,-1.0561362301820316,1.0,-3.1634762184380505,-2.9667645331767467,0.0
2019-04-18,-1.0450704225352112,-2.5044600938967134,-1.0320422535211267,1.0,-3.167605633802817,-2.9880281690140844,0.0
2019-04-22,-1.064073767584821,-2.52405721716515,-1.0352287504433149,1.0,-3.188438349686724,-3.0099302518028135,0.0
2019-04-23,-1.0679048858393472,-2.5289246421388856,-1.040222406246303,1.0,-3.1896368153318355,-3.0035490358452623,0.0
2019-04-24,-1.0591499409681229,-2.5020070838252657,-1.0475796930342385,1.0,-3.1867768595041324,-3.0108618654073203,0.0
2019-04-25,-1.0582179623713168,-2.499349189445036,-1.0668559933735653,1.0,-3.1953614956809844,-3.0131345402910896,0.0
2019-04-26,-1.05948042788292,-2.4607969907135296,-1.062771834959445,1.0,-3.180204537439755,-2.9917714823086867,0.0
2019-04-29,-1.0127809607756721,-2.3126928162185987,-1.0058395769061261,1.0,-2.924636403702072,-2.7620096959012783,0.0
2019-04-30,-1.002997858672377,-2.27355460385439,-0.9888650963597431,1.0,-2.8065310492505353,-2.6346895074946466,0.0
2019-05-01,-1.0133305120609395,-2.224079559881506,-0.9764071096064324,1.0,-2.781316123571731,-2.5846381718154885,0.0
2019-05-02,-0.9564395822973646,-2.139731476877176,-0.9023371456986574,1.0,-2.5292889109895573,-2.4175037294878168,0.0
2019-05-03,-0.9565476782340657,-2.1385104902058267,-0.9030526001789797,1.0,-2.528686487023963,-2.4166252361539224,0.0
2019-05-06,-0.9522157232080896,-2.102409041340339,-0.9138495092693566,1.0,-2.5283037573113907,-2.4169723406364625,0.0
2019-05-07,-0.9514399205561074,-2.1074478649453825,-0.9222442899702085,1.0,-2.529195630585899,-2.420158887785502,0.0
2019-05-08,-0.9245153036118491,-2.0934947347701995,-0.9063084342092314,1.0,-2.5146147032772364,-2.4026178525735657,0.0
2019-05-09,-0.9375736160188457,-2.0804868472713,-0.9139183352964272,1.0,-2.5067726737338045,-2.3767177071064,0.0
2019-05-10,-0.937954054584724,-2.0801099548399766,-0.9175338700176713,1.0,-2.508246612998233,-2.3734537600628314,0.0
2019-05-13,-0.9326913628770758,-2.0820477547410827,-0.9164783334971014,1.0,-2.5155743342831878,-2.3791883659231603,0.0
2019-05-14,-0.8612002723470479,-1.9903705865188213,-1.024997568329929,1.0,-2.501993969458224,-2.3481178873650426,0.0
2019-05-15,-0.8592156862745098,-1.997745098039216,-1.0653921568627451,1.0,-2.5303921568627454,-2.3511764705882356,0.0
2019-05-16,-0.849156531973323,-2.0020596312279326,-1.0747351902706943,1.0,-2.530109846998823,-2.351706551588858,0.0
2019-05-17,-0.8489972473456547,-1.9951828548957922,-1.086610302791978,1.0,-2.5258552890287063,-2.3743609909555645,0.0
2019-05-20,-0.8488213520358464,-1.966101694915254,-1.091466978375219,1.0,-2.490259107734268,-2.344145723748295,0.0
2019-05-21,-0.8360432285074482,-1.9687469574530232,-1.1020348554181676,1.0,-2.486028624281959,-2.3432966605004384,0.0
2019-05-22,-0.8283553141970519,-1.9475368502715282,-1.1145267649340573,1.0,-2.477598913886734,-2.329325058184639,0.0
2019-05-23,-0.8331081081081081,-1.9257722007722007,-1.121042471042471,1.0,-2.4668918918918923,-2.3055984555984557,0.0
2019-05-24,-0.8193455245428296,-1.8900866217516843,-1.1436958614051973,1.0,-2.4650625601539944,-2.3065447545717035,0.0
2019-05-28,-0.8303242088914774,-1.877693651718113,-1.1594835954183653,1.0,-2.500582411182295,-2.338672102504368,0.0
2019-05-29,-0.8354307841239109,-1.8781219748305904,-1.1556631171345595,1.0,-2.4931268151016455,-2.318199419167473,0.0
2019-05-30,-0.837673022940664,-1.8744555222146935,-1.1502274707191946,1.0,-2.492691898170555,-2.3244603620172297,0.0
2019-05-31,-0.8411314540346798,-1.874455100261552,-1.154606219122348,1.0,-2.494720526978591,-2.322193160902838,0.0
2019-06-03,-0.8291157509862408,-1.8651015106321565,-1.1674203791013182,1.0,-2.480227075916482,-2.279996151255653,0.0
2019-06-04,-0.8254349706815343,-1.8706142458906085,-1.1673555705085072,1.0,-2.4730366240507546,-2.2762664615976163,0.0
2019-06-05,-0.8115914489311163,-1.8369596199524942,-1.1927790973871735,1.0,-2.464513064133017,-2.1953444180522563,0.0
2019-06-06,-0.8056930693069307,-1.8594821020563594,-1.1673648134044174,1.0,-2.4633472962680885,-2.2242955064737244,0.0
2019-06-07,-0.8126196859440827,-1.8937188816545385,-1.170337035618537,1.0,-2.4655304481041744,-2.232669475296821,0.0
2019-06-10,-0.7924365725227381,-1.9044518908568695,-1.1688846337960748,1.0,-2.4628051699377695,-2.245380564863571,0.0
2019-06-11,-0.8059787849566056,-1.910125361620058,-1.2215043394406944,1.0,-2.4626808100289295,-2.2429122468659592,0.0
2019-06-12,-0.8095192215049619,-1.9044223913671838,-1.2181327680894112,1.0,-2.458907409191637,-2.2437614413720013,0.0
2019-06-13,-0.8200889404485692,-1.9217904098994585,-1.2322119102861562,1.0,-2.45407965970611,-2.2392691415313224,0.0
2019-06-14,-0.8259066358024691,-1.9069251543209877,-1.24633487654321,1.0,-2.4484953703703702,-2.217303240740741,0.0
2019-06-17,-0.8226211156147462,-1.9096699478865082,-1.2457054622659718,1.0,-2.4526153252267897,-2.219938235861803,0.0
2019-06-18,-0.8253047011027277,-1.9234861675372412,-1.24453472625266,1.0,-2.4582124201973303,-2.2215128651576705,0.0
2019-06-19,-0.8318370499082922,-1.8956462979052031,-1.2680760691186408,1.0,-2.454580557968916,-2.203301476976542,0.0
2019-06-20,-0.8373464848660671,-1.9056184121458273,-1.258388937240112,1.0,-2.458853108983657,-2.210037713954163,0.0
2019-06-21,-0.8414386541622353,-1.9108575848399887,-1.2553417770472786,1.0,-2.4517064681427057,-2.2090302620129556,0.0
2019-06-24,-0.8344647013188519,-1.9068076027928627,-1.2649340574088441,1.0,-2.4579131109387125,-2.233320403413499,0.0
2019-06-25,-0.8349184782608695,-1.886451863354037,-1.275232919254658,1.0,-2.469429347826087,-2.2388392857142856,0.0
2019-06-26,-0.8040351385268848,-1.879718119509605,-1.2535959069408245,1.0,-2.456318177430254,-2.259774109470026,0.0
2019-06-27,-0.8086653096830475,-1.884171755355239,-1.2737229814868662,1.0,-2.468837840457497,-2.25734225065426,0.0
2019-06-28,-0.8113992645635765,-1.8616218308496226,-1.2778207857557577,1.0,-2.4729049738726534,-2.252951422488872,0.0
2019-07-01,-0.8210465452442902,-1.8410908740483762,-1.2794641996723524,1.0,-2.462368700009637,-2.2326298544858822,0.0
2019-07-02,-0.8107170393215112,-1.8555319969159598,-1.275828835774865,1.0,-2.4591364687740938,-2.2364109483423285,0.0
2019-07-03,-0.8091382301908618,-1.858974358974359,-1.2739541160593792,1.0,-2.458935801041064,-2.238480817428186,0.0
2019-07-05,-0.8091058165332304,-1.8550207388829942,-1.2715346773415646,1.0,-2.4630076203337516,-2.2473232371949456,0.0
2019-07-08,-0.810429744084983,-1.852535007242878,-1.2764847899565426,1.0,-2.468083051665862,-2.2496378561081602,0.0
2019-07-09,-0.8140828856485035,-1.8333653108211818,-1.269666155026861,1.0,-2.445510360706063,-2.230621642363776,0.0
2019-07-10,-0.8213397129186604,-1.811196172248804,-1.2644019138755982,1.0,-2.446698564593302,-2.2258373205741626,0.0
2019-07-11,-0.8236307927996935,-1.8124281884335505,-1.2673305247031788,1.0,-2.445806204519341,-2.2256798161623896,0.0
2019-07-12,-0.8391167192429022,-1.8050855558741994,-1.2646018545072173,1.0,-2.442118344326546,-2.2085842653666,0.0
2019-07-15,-0.8483802951888059,-1.8174238067855089,-1.2761165420739888,1.0,-2.4369369369369367,-2.2051945562583857,0.0
2019-07-16,-0.8610498032818348,-1.8205546492659055,-1.2965166490739852,1.0,-2.4335476441800212,-2.1844352749256313,0.0
2019-07-17,-0.8620126752448627,-1.8290762435183407,-1.2939312463990782,1.0,-2.4332629153063188,-2.1841751488381025,0.0
2019-07-18,-0.8634661545847334,-1.828900624099856,-1.298415746519443,1.0,-2.4335093614978396,-2.1772443590974553,0.0
2019-07-19,-0.8736902816495242,-1.8306257810247044,-1.3008747476689417,1.0,-2.4322791502451215,-2.1751417860232625,0.0
2019-07-22,-0.8695861405197305,-1.825890279114533,-1.298652550529355,1.0,-2.444177093358999,-2.18623676612127,0.0
2019-07-23,-0.8680662557781201,-1.830893682588598,-1.298728813559322,1.0,-2.4448189522342063,-2.1875963020030817,0.0
2019-07-24,-0.8679553760338526,-1.8273706482015772,-1.3065974225812658,1.0,-2.438930563569917,-2.176476245431814,0.0
2019-07-25,-0.8685725249424405,-1.809382194934766,-1.3112049117421336,1.0,-2.4399462778204146,-2.1642363775901763,0.0
2019-07-26,-0.8662891149932809,-1.7945862929545018,-1.320694951046266,1.0,-2.448934536379344,-2.1682664618928778,0.0
2019-07-29,-0.8541263254956201,-1.7446749654218532,-1.2760719225449517,1.0,-2.298386353158137,-2.0474873213462423,0.0
2019-07-30,-0.8284857298672967,-1.7286856935102708,-1.2591347027813122,1.0,-2.2572259589165604,-2.0155426286129794,0.0
2019-07-31,-0.8352674524025386,-1.7254759746146873,-1.2582048957388938,1.0,-2.2424297370806894,-2.004714415231188,0.0
2019-08-01,-0.8392954421645178,-1.7484111131287452,-1.2544034864717633,1.0,-2.239604140185219,-1.9976393680769928,0.0
2019-08-02,-0.8360268748865081,-1.737969856546214,-1.2690212456873071,1.0,-2.239785727256219,-1.9965498456509898,0.0
2019-08-05,-0.8320472083522469,-1.7349069450748977,-1.2650930549251023,1.0,-2.2479346345891966,-1.9985474353154788,0.0
2019-08-06,-0.7933016072550957,-1.7256891442937956,-1.2428840800933822,1.0,-2.2220526174014545,-1.9950615066894137,0.0
2019-08-07,-0.7752236135957066,-1.7341681574239713,-1.2258497316636852,1.0,-2.215295169946333,-1.9940071556350625,0.0
2019-08-08,-0.7702436402723037,-1.737190970978144,-1.2254568255105696,1.0,-2.2224113221067716,-2.002149767108563,0.0
2019-08-09,-0.7503321229297671,-1.7067575945443274,-1.2095474271543707,1.0,-2.1932512620671334,-1.9967230537596317,0.0
2019-08-12,-0.7782871813680542,-1.7308820832569227,-1.3048780487804876,1.0,-2.3083623693379787,-2.046854942233633,0.0
2019-08-13,-0.7788691022581238,-1.722874977051588,-1.3060400220304755,1.0,-2.316504497888746,-2.0550761887277402,0.0
2019-08-14,-0.7550072833211946,-1.7225965040058266,-1.2934268026219957,1.0,-2.2978878368536053,-2.0350509832483614,0.0
2019-08-15,-0.7369178205358748,-1.7320625786729007,-1.2949109872325122,1.0,-2.2722531918719655,-1.9550440568243121,0.0
2019-08-16,-0.7322742775085263,-1.726709746903608,-1.292496858732723,1.0,-2.2674564710105902,-1.9562915096033027,0.0
2019-08-19,-0.7262306735382975,-1.691398613826195,-1.282388484094544,1.0,-2.2548427225875245,-1.9308690243468989,0.0
2019-08-20,-0.7134275618374558,-1.6916077738515902,-1.2688162544169612,1.0,-2.246289752650177,-1.9139575971731448,0.0
2019-08-21,-0.7184466019417476,-1.6888790820829656,-1.2857899382171227,1.0,-2.2368049426301853,-1.8962047661076789,0.0
2019-08-22,-0.7188405797101448,-1.6812472551602986,-1.2871321914800176,1.0,-2.2238032498902065,-1.872463768115942,0.0
2019-08-23,-0.7175954365949978,-1.6768758227292673,-1.2871434839842035,1.0,-2.2217639315489253,-1.8723124177270734,0.0
2019-08-26,-0.6957685664939551,-1.6353195164075993,-1.268566493955095,1.0,-2.2032815198618305,-1.832642487046632,0.0
2019-08-27,-0.6955133735979292,-1.6301984469370145,-1.2626402070750646,1.0,-2.200949094046592,-1.8388265746333046,0.0
2019-08-28,-0.6914783508711403,-1.6277384854234949,-1.2629808521649128,1.0,-2.2045885803001553,-1.8383646713817492,0.0
2019-08-29,-0.7027861123017574,-1.5949421345906556,-1.260780111444492,1.0,-2.191598799828547,-1.8226318045435062,0.0
2019-08-30,-0.7047790339157246,-1.5760534429599176,-1.2712401507365536,1.0,-2.19998287084618,-1.8124357656731758,0.0
2019-09-03,-0.7144571085782844,-1.5827405947381952,-1.2817722169851744,1.0,-2.1914474248007543,-1.7993829805467476,0.0
2019-09-04,-0.7096525096525097,-1.5623337623337623,-1.2977262977262978,1.0,-2.1983697983697983,-1.811840411840412,0.0
2019-09-05,-0.7091575716234652,-1.5616473396998638,-1.277711459754434,1.0,-2.189205320600273,-1.788881309686221,0.0
2019-09-06,-0.7059775204359673,-1.5459809264305178,-1.300323569482289,1.0,-2.2001873297002725,-1.7625170299727522,0.0
2019-09-09,-0.7089888595969045,-1.5534484224849052,-1.296623862573348,1.0,-2.1936389148737137,-1.751424440853814,0.0
2019-09-10,-0.7161350368051443,-1.530501734495304,-1.3107707927912682,1.0,-2.1874947119045602,-1.7160504272781114,0.0
2019-09-11,-0.7150833262837323,-1.5396328567803061,-1.3029354538533118,1.0,-2.1825564673039506,-1.7193130868792827,0.0
2019-09-12,-0.7261724659606656,-1.4984030929567993,-1.3060178181206925,1.0,-2.167170953101362,-1.7070095814422592,0.0
2019-09-13,-0.7249220921418343,-1.5048429209129959,-1.2961340857407564,1.0,-2.1727448833487744,-1.72391139560347,0.0
2019-09-16,-0.7229524772497473,-1.5101112234580385,-1.2925513987192452,1.0,-2.1737445230872936,-1.726659925851028,0.0
2019-09-17,-0.0,-0.7528531337698784,-0.7107577174929841,1.0,-2.5678827564702216,-1.2048019956345495,0.0
2019-09-18,-0.0,-0.8620668766658589,-0.7005694208868427,1.0,-2.422522413375333,-1.0725102980373153,0.0
2019-09-19,-0.0,-0.8838674501726541,-0.7006118616344581,1.0,-2.387350820863876,-1.086145271702914,0.0
2019-09-20,-0.0,-0.8839668822142988,-0.6948087266574001,1.0,-2.371366410829758,-1.0931890977216414,0.0
2019-09-23,-0.0,-0.8882907947260192,-0.7004354663118423,1.0,-2.362283778879884,-1.097072698681505,0.0
2019-09-24,-0.0,-0.8978649394266524,-0.7410339450641718,1.0,-2.3016672664027826,-1.056795010195514,0.0
2019-09-25,-0.0,-0.8934716144116059,-0.7353875666926443,1.0,-2.3097536118937714,-1.0562915892332594,0.0
2019-09-26,-0.0,-0.8509084213110729,-0.852995335133808,1.0,-2.4066412963417627,-1.0275595384237661,0.0
2019-09-27,-0.0,-0.8497942386831275,-0.8330215737623146,1.0,-2.4690734505549323,-1.0832398054620276,0.0
2019-09-30,-0.0,-0.8058355769832823,-0.8624381691816417,1.0,-2.4842527080333103,-1.1087596268236177,0.0
2019-10-01,-0.0,-0.7855710166729347,-0.8817224520496427,1.0,-2.484016547574276,-1.1166478626049894,0.0
2019-10-02,-0.0,-0.7844740815299447,-0.9067060895822849,1.0,-2.505913437342728,-1.093797181680926,0.0
2019-10-03,-0.0,-0.8836570286642103,-0.8834072316243053,1.0,-2.4734902891400736,-1.0043714481983388,0.0
2019-10-04,-0.0,-0.9173760640961441,-0.9174386579869804,1.0,-2.427328492739109,-0.9972458688032046,0.0
2019-10-07,-0.0,-0.9744591159878494,-0.9368916992126959,1.0,-2.3325894240902607,-0.9552414605418139,0.0
2019-10-08,-0.0,-0.9827885091629519,-0.9409980188211986,1.0,-2.3150693412580483,-0.9523278850916296,0.0
2019-10-09,-0.0,-1.0077083078428974,-0.9494065826501896,1.0,-2.264835433745259,-0.8957543129817692,0.0
2019-10-10,-0.0,-1.070312990026971,-1.044345480775262,1.0,-2.2094963306780406,-0.9481904284011793,0.0
2019-10-11,-0.0,-1.0835860500379075,-1.0912307303512763,1.0,-2.195539550164266,-0.9475612838008592,0.0
2019-10-14,-0.0,-1.0328680203045686,-1.1583756345177665,1.0,-2.239340101522843,-0.9145939086294416,0.0
2019-10-15,-0.0,-1.033086607199342,-1.1362687416967168,1.0,-2.229138989055482,-0.9278800531410135,0.0
2019-10-16,-0.0,-1.086474919755806,-1.1361948517842533,1.0,-2.173830952231103,-0.8970986216879602,0.0
2019-10-17,-0.0,-1.0649235821649614,-1.170077049387394,1.0,-2.172161172161172,-0.9083617531893394,0.0
2019-10-18,-0.0,-1.0335933568193256,-1.158467539003523,1.0,-2.1819325616507297,-0.9169602415702064,0.0
2019-10-21,-0.0,-1.015802781289507,-1.1597345132743362,1.0,-2.18685208596713,-0.9586599241466497,0.0
2019-10-22,-0.0,-0.9647339357429718,-1.1583207831325302,1.0,-2.171247489959839,-0.9807981927710843,0.0
