Date,ETG,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-21,1.0,-0.042558405489299136,-0.004942002940695965,-0.19708789413494526,-0.4962016010455808,-0.30136007188367914,0.0
2019-10-22,1.0,-0.04396838687279188,-0.0064941695427532834,-0.19582576020585293,-0.4956399207629628,-0.30026344272673433,0.0
2019-10-23,1.0,-0.04081049062461702,-0.006454512030720209,-0.1910617263777115,-0.49838637199231994,-0.30583357163282815,0.0
2019-10-24,1.0,-0.042032955799975465,-0.006071881260988674,-0.19303266958335036,-0.49785337531177165,-0.3054340270679151,0.0
2019-10-25,1.0,-0.04603314059211737,-0.005761804548147845,-0.1900986862268353,-0.49516784831334415,-0.30613162249964243,0.0
2019-10-28,1.0,-0.047289150471052255,-0.012016430629636442,-0.19207896511556619,-0.4968221854372305,-0.29538348353871624,0.0
2019-10-29,1.0,-0.05070711211313794,-0.012400081984013118,-0.20295142447222791,-0.4873949579831933,-0.29614675138348023,0.0
2019-10-30,1.0,-0.0488777137250092,-0.015454433950692997,-0.20366736170734698,-0.4832985812993172,-0.29293920438284476,0.0
2019-10-31,1.0,-0.05228704688650683,-0.013071761721626707,-0.20677522297684314,-0.4855985598559856,-0.28792651992471974,0.0
2019-11-01,1.0,-0.04974288582491652,-0.018745774518038966,-0.21333306017086312,-0.4826780848579214,-0.2841777468193645,0.0
2019-11-04,1.0,-0.05014024527567922,-0.017279855864709374,-0.21108449521937636,-0.4873369776631247,-0.28153471326495094,0.0
2019-11-05,1.0,-0.06880253180164815,-0.023673989437126244,-0.2346848605659563,-0.457018967962023,-0.27087400587739674,0.0
2019-11-06,1.0,-0.06974257751459824,-0.024282424541491897,-0.23573073443539763,-0.4548688214491323,-0.27144502014968336,0.0
2019-11-07,1.0,-0.07069149810886366,-0.033649893109685906,-0.23501480019733595,-0.448466535109357,-0.2677396809735241,0.0
2019-11-08,1.0,-0.07031636183885318,-0.02770225737353765,-0.23453204811336298,-0.4529988465974625,-0.2741184709177789,0.0
2019-11-11,1.0,-0.06846314397305284,-0.023310119650348207,-0.24715339629269906,-0.44888512326672314,-0.27868818581967725,0.0
2019-11-12,1.0,-0.0683453237410072,-0.01461589349210287,-0.24611345406433474,-0.4553460679732077,-0.2829116017530803,0.0
2019-11-13,1.0,-0.06989436985078963,-0.016249195841201984,-0.25840994459086475,-0.44796314358644446,-0.2827318571398925,0.0
2019-11-14,1.0,-0.06802749340698133,-0.015677886911560107,-0.26488360985941817,-0.44693398675166646,-0.2810391012729198,0.0
2019-11-15,1.0,-0.06984370783951514,-0.015629216048485856,-0.2615662425538097,-0.44828659789534864,-0.28026733639137386,0.0
2019-11-18,1.0,-0.06944530974186447,-0.016717546154964385,-0.2641787635245986,-0.4485909496812244,-0.2777604718293772,0.0
2019-11-19,1.0,-0.06949483087633947,-0.024744689328328472,-0.2651666072514522,-0.4561201165936209,-0.28148132614758736,0.0
2019-11-20,1.0,-0.08658595036155624,-0.03171692333340279,-0.27219872048679855,-0.4318878029466313,-0.2615291641486236,0.0
2019-11-21,1.0,-0.09735125726149782,-0.026109934358156995,-0.2848394606044083,-0.4204223727533922,-0.26846045760543596,0.0
2019-11-22,1.0,-0.12224214872586228,-0.02212537014639029,-0.2865037327438796,-0.4090378279184218,-0.24544355006881594,0.0
2019-11-25,1.0,-0.12552545053481498,-0.02232904648936613,-0.2856161817954801,-0.40608482124276857,-0.2414575269488492,0.0
2019-11-26,1.0,-0.12305993625132809,-0.0,-0.2907022770358951,-0.4179079602508281,-0.25161975792171,0.0
2019-11-27,1.0,-0.12324457223819645,-0.001333500020835938,-0.29172396549568697,-0.41690627995166063,-0.25040630078759846,0.0
2019-11-29,1.0,-0.12367961407302669,-0.0028279131664310075,-0.2880728603509939,-0.41200199617399985,-0.2527655327289362,0.0
2019-12-02,1.0,-0.12592118572342753,-0.0009289267799269243,-0.2742604710690915,-0.41058563672770054,-0.25262679850546,0.0
2019-12-03,1.0,-0.11554556886350986,-0.0,-0.2720938382568183,-0.4188913397513863,-0.2549423818260529,0.0
2019-12-04,1.0,-0.11410698433016082,-0.00827879513594979,-0.2784648099593286,-0.4156533228730103,-0.24803352808803186,0.0
2019-12-05,1.0,-0.11440913298364702,-0.013802324385477733,-0.26857965648462406,-0.42079605060166614,-0.23937056464054304,0.0
2019-12-06,1.0,-0.101144072086666,-0.0,-0.26230636833046467,-0.4067834362660727,-0.2546927204616786,0.0
2019-12-09,1.0,-0.09290196398011573,-0.0,-0.272879145953875,-0.4141471762692527,-0.25739548529052236,0.0
2019-12-10,1.0,-0.0867467384551667,-0.0,-0.29482294470904946,-0.43841375025885276,-0.25083868295713396,0.0
2019-12-11,1.0,-0.08478616886751383,-0.0,-0.29567362507514666,-0.44182093326976096,-0.25071000642633556,0.0
2019-12-12,1.0,-0.11485759525791193,-0.0,-0.2588863401067782,-0.41446580459186777,-0.24179371104930877,0.0
2019-12-13,1.0,-0.11451622736602515,-0.0,-0.27067287174588983,-0.40902717093096513,-0.23803523888877598,0.0
2019-12-16,1.0,-0.11804797152449135,-0.0,-0.28285402257007647,-0.405391740484569,-0.21611454920519355,0.0
2019-12-17,1.0,-0.12375443937087773,-0.0,-0.28627092846270924,-0.40535768645357684,-0.21406392694063928,0.0
2019-12-18,1.0,-0.14102828399439268,-0.0,-0.2938484373711553,-0.4078296363486435,-0.21878865341799292,0.0
2019-12-19,1.0,-0.14107909384049785,-0.0,-0.287457125839512,-0.41050339912505907,-0.21483291913984678,0.0
2019-12-20,1.0,-0.1392854212814833,-0.0,-0.2847239314135696,-0.4114775617359915,-0.21554270243662318,0.0
2019-12-23,1.0,-0.14248291105562605,-0.0,-0.27825303917154437,-0.4153534443944169,-0.21051123572510333,0.0
2019-12-24,1.0,-0.14856311833022676,-0.0,-0.2692488887978534,-0.4216628090370947,-0.2088035886196514,0.0
2019-12-26,1.0,-0.14566848427698742,-0.0,-0.272744044934607,-0.42120044278627367,-0.21032347997212086,0.0
2019-12-27,1.0,-0.1405765876680004,-0.0,-0.27862932184261824,-0.41904175643787833,-0.2136657433056325,0.0
2019-12-30,1.0,-0.14237672787291109,-0.0,-0.2811223437177635,-0.42494326387456155,-0.21466886734062307,0.0
2019-12-31,1.0,-0.14487288398980586,-0.0,-0.28493877297308495,-0.4275739179081284,-0.21459503139050617,0.0
2020-01-02,1.0,-0.14463923080111069,-0.0,-0.285051183223507,-0.4278254382693025,-0.21467943138961415,0.0
2020-01-03,1.0,-0.13514018691588786,-0.0,-0.29262720664589825,-0.4279127725856698,-0.22118380062305296,0.0
2020-01-06,1.0,-0.14077760886315832,-0.0,-0.29065578208625753,-0.4280597263583165,-0.22301588954372228,0.0
2020-01-07,1.0,-0.13701026848013997,-0.0,-0.2937035262752286,-0.4275270250567578,-0.22465684947199602,0.0
2020-01-08,1.0,-0.13768976072968075,-0.0,-0.29289269278024194,-0.42583453072614064,-0.22602611357531077,0.0
2020-01-09,1.0,-0.14343560843247757,-0.0,-0.29290336046754334,-0.42744729701523687,-0.22348152786474637,0.0
