Date,IWF,IWM,LQDT,MTUM,SPY,VLUE,VXX
2019-06-26,-0.0,-0.7810830500242836,1.0,-0.13459203496843128,-2.346406022340942,-1.8088878096163186,0.0
2019-06-27,-0.0,-0.7681503101058008,1.0,-0.1584579837042442,-2.3464064210142284,-1.807491183266448,0.0
2019-06-28,-0.0,-0.7364298724954462,1.0,-0.1641165755919854,-2.363630843958713,-1.8074681238615664,0.0
2019-07-01,-0.0,-0.7247044558957259,1.0,-0.1705971506517126,-2.3766595938163078,-1.7904213397999391,0.0
2019-07-02,-0.0,-0.7471452866861029,1.0,-0.15931729834791059,-2.3694120505344993,-1.797983479105928,0.0
2019-07-03,-0.0,-0.764494737482509,1.0,-0.14564701587881002,-2.3669769422644036,-1.8067165541157149,0.0
2019-07-05,-0.0,-0.7562152586891454,1.0,-0.15588540712235052,-2.381833730376886,-1.8144279518661048,0.0
2019-07-08,-0.0,-0.764090964665607,1.0,-0.14751192077271058,-2.3816481232424502,-1.8199657659860617,0.0
2019-07-09,-0.0,-0.7609705414985943,1.0,-0.1444199975553111,-2.385344089964552,-1.8209876543209877,0.0
2019-07-10,-0.0,-0.770973256807913,1.0,-0.14550006105751617,-2.372450848699475,-1.8168274514592744,0.0
2019-07-11,-0.0,-0.7645944128614217,1.0,-0.1602787456445993,-2.376612262363225,-1.811418790879638,0.0
2019-07-12,-0.0,-0.7591111653745192,1.0,-0.1647640559184421,-2.3817837738843783,-1.7989744215859838,0.0
2019-07-15,-0.0,-0.7737534414193943,1.0,-0.1905781584582441,-2.3910676047721013,-1.7627408993576015,0.0
2019-07-16,-0.0,-0.7746022031823745,1.0,-0.20734394124847003,-2.3863525091799267,-1.7516523867809057,0.0
2019-07-17,-0.0,-0.7832741520754254,1.0,-0.20429778376392796,-2.3856373209256763,-1.7489898371495038,0.0
2019-07-18,-0.0,-0.784144475053566,1.0,-0.20789715335169878,-2.3963269054178147,-1.7334557698194064,0.0
2019-07-19,-0.0,-0.7880514705882352,1.0,-0.21078431372549017,-2.3992034313725488,-1.729473039215686,0.0
2019-07-22,-0.0,-0.7239077669902912,1.0,-0.17069174757281552,-2.380521844660194,-1.7927791262135921,0.0
2019-07-23,-0.0,-0.7250865367097832,1.0,-0.17434869739478956,-2.3819760733588384,-1.7912795287544785,0.0
2019-07-24,-0.0,-0.7268119003077667,1.0,-0.1879789994568825,-2.3564661155029873,-1.763381811598576,0.0
2019-07-25,-0.0,-0.7279990388658617,1.0,-0.18718087343064815,-2.33081035622034,-1.7610980957529885,0.0
2019-07-26,-0.0,-0.7106034328090425,1.0,-0.17893666646731654,-2.3288080856408113,-1.7621553734824473,0.0
2019-07-29,-0.0,-0.70460542096426,1.0,-0.1789397937155193,-2.3406092588150638,-1.7724274406332454,0.0
2019-07-30,-0.0,-0.7122573687994248,1.0,-0.18421998562185476,-2.3292595255212074,-1.7651569614186435,0.0
2019-07-31,-0.0,-0.7115730202467953,1.0,-0.18701329819096682,-2.326224991014736,-1.7653648017251709,0.0
2019-08-01,-0.0,-0.7573782364656889,1.0,-0.1673003802281369,-2.354034643008027,-1.7566539923954372,0.0
2019-08-02,-0.0,-0.7162817404619115,1.0,-0.31989281612862064,-2.5105907872910556,-1.8332270001275999,0.0
2019-08-05,-0.0,-0.706101477199743,1.0,-0.30006422607578676,-2.5613359023763644,-1.855105973025048,0.0
2019-08-06,-0.0,-0.7024378140313876,1.0,-0.2960734445753986,-2.4000372185348304,-1.8045406612493022,0.0
2019-08-07,-0.0,-0.7273964131106988,1.0,-0.2614100185528757,-2.3795299938157077,-1.8159554730983303,0.0
2019-08-08,-0.0,-0.7235963393519663,1.0,-0.25698738560474893,-2.3821419737818452,-1.8208013851100668,0.0
2019-08-09,-0.0,-0.6838697743248243,1.0,-0.23856209150326801,-2.368047848070046,-1.8754470341595757,0.0
2019-08-12,-0.0,-0.6720019699581383,1.0,-0.2603422802265452,-2.377185422309776,-1.8465279487810884,0.0
2019-08-13,-0.0,-0.6510939907550076,1.0,-0.2519568567026194,-2.3997534668721108,-1.8605238828967643,0.0
2019-08-14,-0.0,-0.66950554500337,1.0,-0.24483793885178606,-2.3658476809019056,-1.8469456528398995,0.0
2019-08-15,-0.0,-0.704430567945287,1.0,-0.26137377341659235,-2.2758846268212904,-1.705382099316087,0.0
2019-08-16,-0.0,-0.7135878953952464,1.0,-0.25906951807946627,-2.268005003872044,-1.7163281110383035,0.0
2019-08-19,-0.0,-0.6910434525569021,1.0,-0.26201596216376,-2.262902749039314,-1.6958912208099322,0.0
2019-08-20,-0.0,-0.6992233466698047,1.0,-0.2576488585549541,-2.254648152506472,-1.6722169922334669,0.0
2019-08-21,-0.0,-0.7128159905937683,1.0,-0.24573780129335682,-2.2623162845385067,-1.6580246913580248,0.0
2019-08-22,-0.0,-0.7174703742813564,1.0,-0.2307872814736595,-2.2544878563885953,-1.6637334271969966,0.0
2019-08-23,-0.0,-0.7175379921375344,1.0,-0.2249017191808954,-2.254708678049639,-1.670363198967318,0.0
2019-08-26,-0.0,-0.6817503158378317,1.0,-0.2225795337085104,-2.2245894108188815,-1.613586769266108,0.0
2019-08-27,-0.0,-0.674312188983584,1.0,-0.21895555682663156,-2.2123777383744208,-1.614253846593834,0.0
2019-08-28,-0.0,-0.6406454923875236,1.0,-0.2421736899127559,-2.217254946684154,-1.6020984204824085,0.0
2019-08-29,-0.0,-0.6125463358996294,1.0,-0.25988023952095807,-2.2342743085258054,-1.5961790704305676,0.0
2019-08-30,-0.0,-0.5989219858156029,1.0,-0.2620141843971631,-2.2323404255319153,-1.580482269503546,0.0
2019-09-03,-0.0,-0.6066076294277929,1.0,-0.2724795640326975,-2.225363306085377,-1.5722070844686646,0.0
2019-09-04,-0.0,-0.5737186723865432,1.0,-0.29718898171144725,-2.198069541657259,-1.5756378414992096,0.0
2019-09-05,-0.0,-0.5956871797759136,1.0,-0.28866617870615396,-2.2085468160576545,-1.5374134339282701,0.0
2019-09-06,-0.0,-0.5751759076836477,1.0,-0.3217562623135379,-2.2418238108640587,-1.4902336054038838,0.0
2019-09-09,-0.0,-0.5841450368785541,1.0,-0.3231800011260627,-2.240864816170261,-1.4820674511570295,0.0
2019-09-10,-0.0,-0.5666441897055517,1.0,-0.3867161159811194,-2.2376938637896155,-1.428186109238031,0.0
2019-09-11,-0.0,-0.5509084865942832,1.0,-0.33148681586527806,-2.1985375581653,-1.45856414801684,0.0
2019-09-12,-0.0,-0.5680607943199467,1.0,-0.32588196139338804,-2.197747947637009,-1.4552917683603284,0.0
2019-09-13,-0.0,-0.5626489332224993,1.0,-0.3285120532003325,-2.1975616514269882,-1.452978664449986,0.0
2019-09-16,-0.0,-0.558071139226458,1.0,-0.33788358026746573,-2.199212030408967,-1.453914877087842,0.0
2019-09-17,-0.0,-0.4645845867745994,1.0,-0.34862987474703283,-2.183175627632227,-1.4731717989389053,0.0
2019-09-18,-0.0,-0.4498525073746313,1.0,-0.3378673658909647,-2.186714738337157,-1.4882552168687864,0.0
2019-09-19,-0.0,-0.47422623938646946,1.0,-0.33820870994248153,-2.1571076417419888,-1.5084086551629692,0.0
2019-09-20,-0.0,-0.4813314354538487,1.0,-0.34293222380378846,-2.143107412679295,-1.507281287638235,0.0
2019-09-23,-0.0,-0.47244223521057516,1.0,-0.3287813404708581,-2.160703556016824,-1.5004643032719722,0.0
2019-09-24,-0.0,-0.48377692598391187,1.0,-0.370242401338876,-2.089672299303569,-1.4550558764778923,0.0
