Date,HPS,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-23,1.0,-0.0,-0.2511151317557279,-0.0,-0.2762481414470738,-0.26401304121956903,0.0
2019-01-24,1.0,-0.0,-0.24334532696060007,-0.0,-0.2884019834237331,-0.2583463115120921,0.0
2019-01-25,1.0,-0.0,-0.23198001249219236,-0.0,-0.29176407602391363,-0.26085482287855805,0.0
2019-01-28,1.0,-0.0,-0.22796249239468883,-0.0,-0.3010092695322286,-0.26051322429404816,0.0
2019-01-29,1.0,-0.0,-0.22349061844769808,-0.0,-0.3019838354151359,-0.26662604612820556,0.0
2019-01-30,1.0,-0.0,-0.22251684104916156,-0.0,-0.30159810806937076,-0.2675039415221442,0.0
2019-01-31,1.0,-0.0,-0.2296761162807473,-0.0,-0.31243237394503354,-0.2612349419317608,0.0
2019-02-01,1.0,-0.0,-0.2300101214574899,-0.0,-0.32012724117987273,-0.25726576055523426,0.0
2019-02-04,1.0,-0.0,-0.23071636554355882,-0.0,-0.3250140162407538,-0.25281681225471575,0.0
2019-02-05,1.0,-0.0,-0.23103928771783783,-0.0,-0.32336813912665807,-0.2552525380481008,0.0
2019-02-06,1.0,-0.0,-0.2247980584634332,-0.0,-0.328702865215344,-0.25761582207411166,0.0
2019-02-07,1.0,-0.0,-0.22347593001774912,-0.0,-0.32794218857536134,-0.25973484985692036,0.0
2019-02-08,1.0,-0.0,-0.22219803740182476,-0.0,-0.33222687780014876,-0.2594547532241389,0.0
2019-02-11,1.0,-0.0,-0.22179249736717868,-0.0,-0.3367650797109344,-0.2571994044376657,0.0
2019-02-12,1.0,-0.0,-0.22120771189523467,-0.0,-0.34048744998181163,-0.25716624226991636,0.0
2019-02-13,1.0,-0.0,-0.23046015671872444,-0.0,-0.3368907150519062,-0.25073177826664,0.0
2019-02-14,1.0,-0.0,-0.21991474478085035,-0.0,-0.34808904434000076,-0.25368892775166685,0.0
2019-02-15,1.0,-0.0,-0.2364292352265894,-0.0,-0.33952878150112065,-0.2462508427631699,0.0
2019-02-19,1.0,-0.0,-0.22879673641843778,-0.0,-0.3473018995064562,-0.2450964322788614,0.0
2019-02-20,1.0,-0.0,-0.2316451083986154,-0.0,-0.344780470030971,-0.2453998906904718,0.0
2019-02-21,1.0,-0.0,-0.22861827124510428,-0.0,-0.3453866472356316,-0.2476546133527643,0.0
2019-02-22,1.0,-0.0,-0.2302322190222741,-0.0,-0.34196711749480513,-0.25055594035944734,0.0
2019-02-25,1.0,-0.0,-0.22963531950693147,-0.0,-0.3470500018288891,-0.25218552251362525,0.0
2019-02-26,1.0,-0.0,-0.22979968901490902,-0.0,-0.3454129699076191,-0.2540931125948962,0.0
2019-02-27,1.0,-0.0,-0.22717124766680089,-0.0,-0.3495406800131758,-0.25326647879076236,0.0
2019-02-28,1.0,-0.0,-0.2275190392501465,-0.0,-0.3497363796133568,-0.2534417106033978,0.0
2019-03-01,1.0,-0.0,-0.22989452867501645,-0.0,-0.354079689445543,-0.24712517395444222,0.0
2019-03-04,1.0,-0.0,-0.22675641564997895,-0.0,-0.3572460719577107,-0.24510252236103236,0.0
2019-03-05,1.0,-0.0,-0.22199827766275174,-0.0,-0.36453084632720745,-0.24574454440515234,0.0
2019-03-06,1.0,-0.0,-0.21854462242562928,-0.0,-0.3678718535469107,-0.2442471395881007,0.0
2019-03-07,1.0,-0.0,-0.2178532311062432,-0.0,-0.3716684921504199,-0.2359620299379336,0.0
2019-03-08,1.0,-0.0,-0.21136913933524104,-0.0,-0.3893168977914741,-0.23363783109545824,0.0
2019-03-11,1.0,-0.0,-0.2089229632366525,-0.0,-0.3894513208941437,-0.24903011269166822,0.0
2019-03-12,1.0,-0.0,-0.19062500000000002,-0.0,-0.3976934523809524,-0.27180059523809524,0.0
2019-03-13,1.0,-0.0,-0.19938724803377608,-0.0,-0.3986997702180126,-0.2700405387733752,0.0
2019-03-14,1.0,-0.0,-0.19954796772265393,-0.0,-0.39868499701135685,-0.2696690077704722,0.0
2019-03-15,1.0,-0.0,-0.1971888901349482,-0.0,-0.4044147882322156,-0.2675040185413629,0.0
2019-03-18,1.0,-0.0,-0.20495982840047416,-0.0,-0.4056673001298286,-0.2709466197527612,0.0
2019-03-19,1.0,-0.0,-0.20432683239654456,-0.0,-0.40539062205288773,-0.27643441849937755,0.0
2019-03-20,1.0,-0.0,-0.20821917808219179,-0.0,-0.403646669815777,-0.27760037789324515,0.0
2019-03-21,1.0,-0.0,-0.20734957751271244,-0.0,-0.4281204514092361,-0.2548723086520104,0.0
2019-03-22,1.0,-0.0,-0.20357495631031075,-0.0,-0.4478383101588025,-0.2481384393283185,0.0
2019-03-25,1.0,-0.0,-0.16739023745705764,-0.0,-0.4684963569783684,-0.251689380497565,0.0
2019-03-26,1.0,-0.0,-0.17001762331583634,-0.0,-0.4631710598624244,-0.26179151427867575,0.0
2019-03-27,1.0,-0.0,-0.16213708073710728,-0.0,-0.4695744398780326,-0.26217306490407377,0.0
2019-03-28,1.0,-0.0,-0.1575928520046947,-0.0,-0.46257524703744374,-0.2728580623177981,0.0
2019-03-29,1.0,-0.0,-0.15264221118809826,-0.0,-0.4623822379972436,-0.27294353087771633,0.0
2019-04-01,1.0,-0.0,-0.15363698164513936,-0.0,-0.4621194954301684,-0.2726036709721278,0.0
2019-04-02,1.0,-0.0,-0.15718331130828772,-0.0,-0.4670379460071739,-0.26363979611100624,0.0
2019-04-03,1.0,-0.0,-0.15679981877218152,-0.0,-0.47007853205467043,-0.2609114249037227,0.0
2019-04-04,1.0,-0.0,-0.15584857186035966,-0.0,-0.4684335801722835,-0.2647914462747468,0.0
2019-04-05,1.0,-0.0,-0.1556483458348291,-0.0,-0.4691934173484233,-0.26455306365371173,0.0
2019-04-08,1.0,-0.0,-0.1531038129591509,-0.0,-0.4717946780986194,-0.26363996902796927,0.0
2019-04-09,1.0,-0.0,-0.145451793552293,-0.0,-0.49014303011957017,-0.25633797487513243,0.0
2019-04-10,1.0,-0.0,-0.14161368452921588,-0.0,-0.48747350893127467,-0.2631320012110203,0.0
2019-04-11,1.0,-0.0,-0.1393538857748826,-0.0,-0.4952279957582184,-0.25907059536433874,0.0
2019-04-12,1.0,-0.0,-0.14085545722713866,-0.0,-0.4909424400574844,-0.2591331971862945,0.0
2019-04-15,1.0,-0.0,-0.1425084668798365,-0.0,-0.48610296482697285,-0.26340983482489166,0.0
2019-04-16,1.0,-0.0,-0.140488358886996,-0.0,-0.4889646034450123,-0.263392012114329,0.0
2019-04-17,1.0,-0.0,-0.13545258212404804,-0.0,-0.5022354412154738,-0.25673474027204185,0.0
2019-04-18,1.0,-0.0,-0.13453484185191503,-0.0,-0.49942198722686526,-0.26116701726457825,0.0
2019-04-22,1.0,-0.0,-0.13630321674072385,-0.0,-0.5001139341460635,-0.2624852835061334,0.0
2019-04-23,1.0,-0.0,-0.14033220570907295,-0.0,-0.496845186058003,-0.2633129347371622,0.0
2019-04-24,1.0,-0.0,-0.12984374703347193,-0.0,-0.49888933189041407,-0.269844886180251,0.0
2019-04-25,1.0,-0.0,-0.13734926009053905,-0.0,-0.5038422033704874,-0.2608894130178415,0.0
2019-04-26,1.0,-0.0,-0.1317352728380488,-0.0,-0.5125280834697841,-0.25970069685084346,0.0
2019-04-29,1.0,-0.0,-0.12929327545503005,-0.0,-0.5122420226943873,-0.26237529510319085,0.0
2019-04-30,1.0,-0.0,-0.1345129375951294,-0.0,-0.5109398782343988,-0.257134703196347,0.0
2019-05-01,1.0,-0.0,-0.13984499658080693,-0.0,-0.500759820682319,-0.25894688853430586,0.0
2019-05-02,1.0,-0.0,-0.13971551740509333,-0.0,-0.49131169645061434,-0.26805552917940634,0.0
2019-05-03,1.0,-0.0,-0.1351921943054948,-0.0,-0.4955398748502197,-0.2712402761663845,0.0
2019-05-06,1.0,-0.0,-0.1269931771100595,-0.0,-0.4971967234924074,-0.27635555048748506,0.0
2019-05-07,1.0,-0.0,-0.1316830177199787,-0.0,-0.49524678682789564,-0.27433645144117424,0.0
2019-05-08,1.0,-0.0,-0.13610277070426818,-0.0,-0.4853483333966782,-0.27889475884611,0.0
2019-05-09,1.0,-0.0,-0.13714079230140164,-0.0,-0.4847378330575683,-0.2799490310188091,0.0
2019-05-10,1.0,-0.0,-0.136878150860839,-0.0,-0.48480928374393617,-0.2807381337391801,0.0
2019-05-13,1.0,-0.0,-0.13611459879009247,-0.0,-0.48460982384050527,-0.28166495453334855,0.0
2019-05-14,1.0,-0.0,-0.10772311645129601,-0.02818710798760674,-0.47054711705584523,-0.2827401193984735,0.0
2019-05-15,1.0,-0.0,-0.10888262981796186,-0.029659174684788566,-0.472637568287934,-0.27916296478327446,0.0
2019-05-16,1.0,-0.0,-0.11015747584929202,-0.03317768493487343,-0.46794714256006953,-0.27918407471123124,0.0
2019-05-17,1.0,-0.0,-0.10719827423078378,-0.036899670741399535,-0.4654278469515195,-0.28276501532755555,0.0
2019-05-20,1.0,-0.0,-0.10126701966717094,-0.0426626323751891,-0.4632564296520423,-0.28388804841149773,0.0
2019-05-21,1.0,-0.0,-0.10139476867251285,-0.04445116419715754,-0.46055715149682486,-0.28352736619292407,0.0
2019-05-22,1.0,-0.0,-0.09974298888804899,-0.04616751077178925,-0.4606357245445612,-0.28326026154660217,0.0
2019-05-23,1.0,-0.0,-0.1006189313497246,-0.040277856642628666,-0.4603940718868889,-0.2914844888611285,0.0
2019-05-24,1.0,-0.0,-0.08858011289622232,-0.04787706016726765,-0.456871000018879,-0.29456852121051935,0.0
2019-05-28,1.0,-0.0,-0.08805767343549482,-0.04629350041518834,-0.4566505623914848,-0.2962180116252736,0.0
2019-05-29,1.0,-0.0,-0.089986799924571,-0.04644540825947577,-0.45676032434471053,-0.2925325287573072,0.0
2019-05-30,1.0,-0.0,-0.08727841305125936,-0.04860313094587721,-0.45289452367047833,-0.29506621705630803,0.0
2019-05-31,1.0,-0.0,-0.08493604837342476,-0.05004991805903517,-0.4533689980597887,-0.2953453764575132,0.0
2019-06-03,1.0,-0.0,-0.08460455952716013,-0.058523313631672756,-0.45054883197298057,-0.282690683929074,0.0
2019-06-04,1.0,-0.0,-0.0885363932950838,-0.059455506806164925,-0.4469194135073311,-0.28004649941875726,0.0
2019-06-05,1.0,-0.0,-0.08117209302325581,-0.07276279069767443,-0.4520744186046512,-0.2544558139534884,0.0
2019-06-06,1.0,-0.0,-0.08314732142857142,-0.07072172619047619,-0.44975818452380956,-0.2564918154761905,0.0
