Date,IWF,IWM,MTUM,SPY,TPIC,VLUE,VXX
2019-01-02,-0.03336699486661617,-1.210805352183792,-0.0,-1.0740132963056466,1.0,-0.8895480939156778,0.0
2019-01-03,-0.026037051103515216,-1.216567497995527,-0.0,-1.0723298307802676,1.0,-0.9050090728784236,0.0
2019-01-04,-0.0,-1.2246908404946553,-0.0,-1.056633829385873,1.0,-0.9106686229302032,0.0
2019-01-07,-0.0,-1.1859434620276534,-0.0,-1.0375005128625938,1.0,-0.8794157469330817,0.0
2019-01-08,-0.0,-1.1720073664825046,-0.0,-1.0445672191528546,1.0,-0.875915694700225,0.0
2019-01-09,-0.0,-1.1577055074358555,-0.0,-1.0439614316064718,1.0,-0.8839679686223239,0.0
2019-01-10,-0.0,-1.1580990519777705,-0.0,-1.0439686171951619,1.0,-0.8842350441320693,0.0
2019-01-11,-0.0,-1.1399124780172591,-0.0,-1.0494049323136068,1.0,-0.9004948672855915,0.0
2019-01-14,-0.0,-1.1501857494677965,-0.0,-1.0598572442292442,1.0,-0.9641023500438285,0.0
2019-01-15,-0.0,-1.1402286381842455,-0.0,-1.0498998664886514,1.0,-0.9821011348464619,0.0
2019-01-16,-0.0,-1.139969155099829,-0.0,-1.0350131299237213,1.0,-0.9932891500979534,0.0
2019-01-17,-0.0,-1.1349624060150376,-0.0,-1.0431495405179616,1.0,-0.9989557226399332,0.0
2019-01-18,-0.0,-1.1282504418076242,-0.0,-1.051081376756711,1.0,-1.0283598417907935,0.0
2019-01-22,-0.0,-1.1852745926372963,-0.0,-1.1150530218122252,1.0,-1.0103888266229848,0.0
2019-01-23,-0.0,-1.1370152862941532,-0.0,-1.1268676051472495,1.0,-1.0542792987304603,0.0
2019-01-24,-0.0,-1.135845143449706,-0.0,-1.130962668510197,1.0,-1.053966470791566,0.0
2019-01-25,-0.0,-1.0870701878766396,-0.0,-1.223280751506558,1.0,-1.120701878766395,0.0
2019-01-28,-0.0,-1.0703007185310034,-0.0,-1.2453650314911735,1.0,-1.1197108134480618,0.0
2019-01-29,-0.0,-1.0332389129857484,-0.0,-1.2509515800655042,1.0,-1.141763299991148,0.0
2019-01-30,-0.0,-1.032549088979303,-0.0,-1.2499557756943216,1.0,-1.1399257031664602,0.0
2019-01-31,-0.0,-1.0511912142414312,-0.0,-1.2078646709768843,1.0,-1.1692498450092994,0.0
2019-02-01,-0.0,-1.0502439024390244,-0.0,-1.2219068736141907,1.0,-1.1624390243902438,0.0
2019-02-04,-0.0,-1.047686643303908,-0.0,-1.2204231912345296,1.0,-1.1678569844297566,0.0
