Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRI
2018-11-27,-0.03829753838909671,-0.5622727391634185,-0.0,-0.5608601250425093,-0.4545216731629476,0.0,1.0
2018-11-28,-0.03835387070611935,-0.5634565575700494,-0.0,-0.5601862752792821,-0.4542291290584203,0.0,1.0
2018-11-29,-0.0216839378238342,-0.5550259067357514,-0.0,-0.5572797927461139,-0.45670984455958546,0.0,1.0
2018-11-30,-0.0211944552403161,-0.55517554087317,-0.0,-0.557429718875502,-0.457209483093665,0.0,1.0
2018-12-03,-0.02248007683721413,-0.5560314617241647,-0.0,-0.5587571061443812,-0.4585572255535654,0.0,1.0
2018-12-04,-0.014893672131996787,-0.5607273292408113,-0.0,-0.5566089051208329,-0.45799984458776904,0.0,1.0
2018-12-06,-0.009149500821433084,-0.521572096549981,-0.0,-0.55736130418299,-0.4394287880702641,0.0,1.0
2018-12-07,-0.026757997896303135,-0.5313630416378049,-0.0,-0.5709228045870853,-0.4364401344313604,0.0,1.0
2018-12-10,-0.007419076172569744,-0.5348340870979217,-0.0,-0.5734285278723512,-0.4250978200111794,0.0,1.0
2018-12-11,-0.004651635698126637,-0.536158206451285,-0.0,-0.5726849851300171,-0.42838260339086454,0.0,1.0
2018-12-12,-0.003104246711279611,-0.5373654614386402,-0.0,-0.5729116307473092,-0.4310831785450751,0.0,1.0
2018-12-13,-0.0015574335537569893,-0.534097582148237,-0.0,-0.5862588403502949,-0.4312814359026731,0.0,1.0
2018-12-14,-0.008004296235679215,-0.5170315057283142,-0.0,-0.5992993044189853,-0.43297360883797054,0.0,1.0
2018-12-17,-0.0,-0.5171419089679116,-0.0,-0.5841012942588008,-0.45156102417481425,0.0,1.0
2018-12-18,-0.0,-0.5270016224150808,-0.0,-0.593134351420257,-0.45512605907651105,0.0,1.0
2018-12-19,-0.0,-0.5272703851603762,-0.0,-0.5933273219116321,-0.4557258791704238,0.0,1.0
2018-12-20,-0.0,-0.5218652902960738,-0.0,-0.5930976041907403,-0.4528926893151529,0.0,1.0
2018-12-21,-0.0,-0.5205104598230269,-0.0,-0.5925528105979234,-0.444350672599867,0.0,1.0
2018-12-24,-0.0,-0.5014226196524744,-0.0,-0.5836043085052331,-0.45533990448125194,0.0,1.0
2018-12-26,-0.0,-0.5012066556585799,-0.0,-0.5841737584148355,-0.4549472882001778,0.0,1.0
2018-12-27,-0.0,-0.4792780748663102,-0.0,-0.5449098831451772,-0.4515498118439295,0.0,1.0
2018-12-28,-0.0,-0.48005838982631505,-0.0,-0.5439408184472265,-0.45014597456578753,0.0,1.0
2018-12-31,-0.0,-0.4808234770129163,-0.0,-0.5436729846092938,-0.4498936012272975,0.0,1.0
2019-01-02,-0.0,-0.4808315802499691,-0.0,-0.5413438930825393,-0.4527904962257146,0.0,1.0
2019-01-03,-0.0,-0.48288359854032714,-0.0,-0.5624705210634758,-0.4370578159521386,0.0,1.0
2019-01-04,-0.0,-0.489684345933109,-0.0,-0.5404710073223827,-0.44359786265584805,0.0,1.0
2019-01-07,-0.0,-0.47140630327828925,-0.0,-0.5340250377514736,-0.43014759608358905,0.0,1.0
2019-01-08,-0.0,-0.4715625380587017,-0.0,-0.5339422725611983,-0.4302521008403361,0.0,1.0
2019-01-09,-0.0,-0.47705078124999994,-0.0,-0.5354736328124999,-0.42890625,0.0,1.0
2019-01-10,-0.0,-0.4761928004881025,-0.0,-0.5359365466748017,-0.42840756558877363,0.0,1.0
2019-01-11,-0.0,-0.44567880272636856,-0.0,-0.5352802774880538,-0.44463579692919686,0.0,1.0
2019-01-14,-0.0,-0.44700271160178184,-0.0,-0.5350813480534573,-0.4389889599070308,0.0,1.0
2019-01-15,-0.0,-0.4432302771855011,-0.0,-0.5355931382050785,-0.44412676875363444,0.0,1.0
2019-01-16,-0.0,-0.44571290361591487,-0.0,-0.5268351674930464,-0.4461240778812432,0.0,1.0
2019-01-17,-0.0,-0.451470834629838,-0.0,-0.5126259604107327,-0.42942626678474827,0.0,1.0
2019-01-18,-0.0,-0.4497654840649428,-0.0,-0.5145880938063739,-0.4409140108238124,0.0,1.0
2019-01-22,-0.0,-0.4411191101052176,-0.0,-0.5722919124551562,-0.39433703320251373,0.0,1.0
2019-01-23,-0.0,-0.4170728176422333,-0.0,-0.5785117984847754,-0.4171934565458669,0.0,1.0
2019-01-24,-0.0,-0.4194053962819184,-0.0,-0.573143973187375,-0.4186579220215562,0.0,1.0
2019-01-25,-0.0,-0.3938643153829337,-0.0,-0.6321018241881028,-0.4030702713206539,0.0,1.0
2019-01-28,-0.0,-0.3919447752849955,-0.0,-0.6356675822172528,-0.40307722223572595,0.0,1.0
2019-01-29,-0.0,-0.3841994519475435,-0.0,-0.632046388725778,-0.4304169113329418,0.0,1.0
2019-01-30,-0.0,-0.38267616320336784,-0.0,-0.6313238857478523,-0.4335609565068409,0.0,1.0
2019-01-31,-0.0,-0.3975544142822206,-0.0,-0.6076546832966495,-0.4403766202005381,0.0,1.0
2019-02-01,-0.0,-0.39599687941879175,-0.0,-0.5989321761178019,-0.4430250134087474,0.0,1.0
2019-02-04,-0.0,-0.38250665376240023,-0.0,-0.5955238325671425,-0.44151947737720787,0.0,1.0
2019-02-05,-0.0,-0.37825236151040026,-0.0,-0.5939168458435001,-0.4436740511680719,0.0,1.0
2019-02-06,-0.0,-0.38799287468104565,-0.0,-0.5891868470463627,-0.4300226277020846,0.0,1.0
2019-02-07,-0.0,-0.3908504906676929,-0.0,-0.5881518183567442,-0.42620742736193956,0.0,1.0
2019-02-08,-0.0,-0.39872577647995755,-0.0,-0.6074522769505514,-0.4071240678620556,0.0,1.0
2019-02-11,-0.0,-0.3947641954120235,-0.0,-0.6117866034953708,-0.41071817061084387,0.0,1.0
2019-02-12,-0.0,-0.3919263319869205,-0.0,-0.6013656472398539,-0.4110165416426235,0.0,1.0
2019-02-13,-0.0,-0.4063228753455944,-0.0,-0.5965620867892776,-0.4012501502584445,0.0,1.0
2019-02-14,-0.0,-0.36685252835993076,-0.0,-0.625312439915401,-0.4112189963468564,0.0,1.0
