Date,FIVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-14,1.0,-0.24426694150992012,-1.355784591600103,-0.4129348106158207,-1.4083998969337799,-0.731924761659366,0.0
2019-03-15,1.0,-0.25087846217445225,-1.3426002480363786,-0.42135179826374536,-1.406107895824721,-0.746486151302191,0.0
2019-03-18,1.0,-0.233926057256088,-1.3551650414559107,-0.47551754706158417,-1.3931793294050165,-0.756791990405173,0.0
2019-03-19,1.0,-0.21875326302599982,-1.361125613448888,-0.47478333507361387,-1.3910932442309702,-0.7750861438863946,0.0
2019-03-20,1.0,-0.2286327021654985,-1.363950203996234,-0.47055131289883884,-1.384140600481222,-0.7833978449628622,0.0
2019-03-21,1.0,-0.24090364895112176,-1.3597938680964032,-0.48014158554994535,-1.3899849044818071,-0.7345270938524804,0.0
2019-03-22,1.0,-0.22663037789176174,-1.3454935622317596,-0.5187899089291322,-1.4135350151784778,-0.7295090547471998,0.0
2019-03-25,1.0,-0.20759205626810096,-1.2667045924700042,-0.5822300372362432,-1.4062887877534134,-0.7088332643773272,0.0
2019-03-26,1.0,-0.18609364444213483,-1.2726186145611391,-0.617315387413605,-1.389180481213948,-0.7314867744114744,0.0
2019-03-27,1.0,-0.1945626232229947,-1.2518418594998444,-0.6237418283698246,-1.3906298640655805,-0.7275604441216146,0.0
2019-03-28,1.0,-0.17729498801708865,-1.244138793372929,-0.6487964989059081,-1.393299989580077,-0.7464311764092946,0.0
2019-03-29,1.0,-0.17328331770344899,-1.2433051995415234,-0.6514014796290507,-1.3954360737730542,-0.7465874752526832,0.0
2019-04-01,1.0,-0.16439714091928836,-1.2586215891897532,-0.6498147858298116,-1.4018886628058642,-0.7425783899410445,0.0
2019-04-02,1.0,-0.15871856412396954,-1.2646352916623187,-0.7234164666597099,-1.3902222686006471,-0.6806323698215591,0.0
2019-04-03,1.0,-0.16735332464146024,-1.2643024771838332,-0.72,-1.3897783572359843,-0.673689700130378,0.0
2019-04-04,1.0,-0.17206995562516317,-1.2612372748629601,-0.7168885408509528,-1.395301487862177,-0.6751239885147481,0.0
