Date,IWF,IWM,LMAT,MTUM,SPY,VLUE,VXX
2019-06-12,-0.0,-0.9121976266544958,1.0,-0.30767914194431767,-2.142001369237791,-1.3432793245093564,0.0
2019-06-13,-0.0,-0.920600490895599,1.0,-0.32022375706375933,-2.1287744734288485,-1.3384896398196244,0.0
2019-06-14,-0.0,-0.9084859515413491,1.0,-0.3439312933682175,-2.12410419747469,-1.3110567625981115,0.0
2019-06-17,-0.0,-0.9086825496105078,1.0,-0.34610792062318757,-2.1223062489338718,-1.3089213623699323,0.0
2019-06-18,-0.0,-0.8980931364227919,1.0,-0.3411984382957053,-2.1165054037231936,-1.3025519153511005,0.0
2019-06-19,-0.0,-0.8649317070428867,1.0,-0.3665336406048002,-2.09971333820471,-1.2896970378281152,0.0
2019-06-20,-0.0,-0.8715275821265567,1.0,-0.36873837831746215,-2.100862117540993,-1.2936834394545558,0.0
2019-06-21,-0.0,-0.8779924519799471,1.0,-0.37081056722807415,-2.0913085112375374,-1.2927392553371262,0.0
2019-06-24,-0.0,-0.8483689538807648,1.0,-0.37727784026996625,-2.0730033745781777,-1.3255905511811024,0.0
2019-06-25,-0.0,-0.8357705286839145,1.0,-0.3829021372328459,-2.078177727784027,-1.3274465691788526,0.0
2019-06-26,-0.0,-0.8330240143973905,1.0,-0.3631404307969181,-2.0562398065350656,-1.371576401777178,0.0
2019-06-27,-0.0,-0.8264863341786419,1.0,-0.38512256973795433,-2.0592843054381516,-1.364553395322626,0.0
2019-06-28,-0.0,-0.813882790069245,1.0,-0.3883916005179305,-2.064178348251984,-1.363226932387547,0.0
2019-07-01,-0.0,-0.8021366319932528,1.0,-0.3955018273826258,-2.074782119763846,-1.3502951925780151,0.0
2019-07-02,-0.0,-0.809673613841919,1.0,-0.3863827874838492,-2.07055783382956,-1.3509915173304872,0.0
2019-07-03,-0.0,-0.8069120539477381,1.0,-0.3885361056476538,-2.0728856420342794,-1.351278449002529,0.0
2019-07-05,-0.0,-0.7955987200359288,1.0,-0.3891539886599675,-2.0721383259417276,-1.3569864705552124,0.0
2019-07-08,-0.0,-0.7981357740468302,1.0,-0.3864338255938009,-2.071761468920209,-1.3587511932169127,0.0
2019-07-09,-0.0,-0.7920780969479353,1.0,-0.3851548473967684,-2.072879263913824,-1.3603568222621183,0.0
2019-07-10,-0.0,-0.7775284680540753,1.0,-0.38228529758231894,-2.0853200201940876,-1.364391092163572,0.0
2019-07-11,-0.0,-0.7771358052392437,1.0,-0.3812194985134908,-2.086666292702081,-1.3645032815392382,0.0
2019-07-12,-0.0,-0.7810992708917556,1.0,-0.38003365114974763,-2.0842400448681997,-1.36315199102636,0.0
2019-07-15,-0.0,-0.7591695886903768,1.0,-0.3680636722880837,-2.0746368341960264,-1.3638893527021763,0.0
2019-07-16,-0.0,-0.7610378041311732,1.0,-0.3851678637046935,-2.070207672178609,-1.35120538945493,0.0
2019-07-17,-0.0,-0.7594352731921516,1.0,-0.3837474292701907,-2.0624200989383583,-1.3527319215163138,0.0
2019-07-18,-0.0,-0.7605453533667224,1.0,-0.3912632164718976,-2.067946577629382,-1.3451307735114078,0.0
2019-07-19,-0.0,-0.7621934263945276,1.0,-0.40487180913186144,-2.0502196763250096,-1.3441410377620822,0.0
2019-07-22,-0.0,-0.7523502252878679,1.0,-0.3990654725482561,-2.054402848083662,-1.356789230683651,0.0
2019-07-23,-0.0,-0.7497064907474702,1.0,-0.4094593839101023,-2.06904455749986,-1.362497903505339,0.0
2019-07-24,-0.0,-0.7480160947803733,1.0,-0.410640438135688,-2.069576394322119,-1.360232480160948,0.0
2019-07-25,-0.0,-0.7401684609806437,1.0,-0.4113906398170357,-2.074412896747922,-1.3522619512467227,0.0
2019-07-26,-0.0,-0.7268474689536114,1.0,-0.40942250932783875,-2.0789664197805866,-1.3536225427409923,0.0
2019-07-29,-0.0,-0.7024765729585006,1.0,-0.4138219544846051,-2.080377063810799,-1.3811914323962518,0.0
2019-07-30,-0.0,-0.7001953670108847,1.0,-0.42042980742394637,-2.073904549260396,-1.387329053865476,0.0
2019-07-31,-0.0,-0.7078049053019722,1.0,-0.42197888150175983,-2.0686071847589247,-1.3884574557237834,0.0
2019-08-01,-0.0,-0.742734182875028,1.0,-0.4160518667560921,-2.0605298457411134,-1.3698300916610777,0.0
2019-08-02,-0.0,-0.729618047799866,1.0,-0.4210967165512621,-2.0584654902836723,-1.3748603975876705,0.0
2019-08-05,-0.0,-0.7268926301705876,1.0,-0.4135355112052625,-2.0588694391793956,-1.3754599174935889,0.0
2019-08-06,-0.0,-0.7130601092896175,1.0,-0.3872131147540984,-2.00016393442623,-1.3639890710382514,0.0
2019-08-07,-0.0,-0.7140046991967652,1.0,-0.38003387793016774,-2.005955958690782,-1.3641877493033168,0.0
2019-08-08,-0.0,-0.7147706120661339,1.0,-0.3766013358151758,-2.011934742143874,-1.3713456695499837,0.0
2019-08-09,-0.0,-0.6884561137029401,1.0,-0.36275360746446783,-1.9910491483129003,-1.3825539763480523,0.0
2019-08-12,-0.0,-0.6798879068764819,1.0,-0.3847812028454409,-1.9757490838542788,-1.3486742832507004,0.0
2019-08-13,-0.0,-0.6665230272017236,1.0,-0.37769997306760034,-1.9890654457312145,-1.3531376245623483,0.0
2019-08-14,-0.0,-0.6741446699148685,1.0,-0.36852813621031216,-1.9704449322696367,-1.3410611982652463,0.0
