Date,CTAS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-04-16,1.0,-0.0,-0.0,-0.03394020059894472,-0.04670342729476636,-0.0,-0.1044588106669202,-0.0,-0.22317820982079192,-0.0,-0.09224223986309835,-0.0,-0.2582117222037363,-0.0,-0.013119741407995435,-0.24547226315539286,-0.0,-0.013951609069734278,-0.3454865237438798
2020-04-17,1.0,-0.0,-0.0,-0.050282134659525635,-0.04958875286916603,-0.0,-0.10713944146901301,-0.0,-0.21748278500382556,-0.0,-0.07686973986228003,-0.0,-0.2474655700076511,-0.0,-0.0042798393267023714,-0.2305614001530222,-0.0,-0.04100516449885233,-0.36632077276205055
2020-04-20,1.0,-0.0,-0.0,-0.014768184973311952,-0.05979080399243639,-0.0,-0.1143397400607961,-0.0,-0.20725723449579933,-0.0,-0.09229517221570645,-0.0,-0.2513224347160056,-0.0,-0.0032791593862945495,-0.23643457239282895,-0.0,-0.04528590918882692,-0.3687498504033127
2020-04-21,1.0,-0.0,-0.0,-0.0036433365292425695,-0.05819750719079578,-0.0,-0.11543624161073826,-0.0,-0.21454937679769895,-0.0,-0.09151486097794823,-0.0,-0.25838926174496646,-0.0,-0.008820709491850431,-0.24158676893576222,-0.0,-0.03727229146692234,-0.3675215723873442
2020-04-22,1.0,-0.0,-0.0,-0.0,-0.05972109460814748,-0.0,-0.11072639572090358,-0.0,-0.21106547590620373,-0.0,-0.09549166626868523,-0.0,-0.25922918955059937,-0.0,-0.01093652992024452,-0.254142986771097,-0.0,-0.022732699746883807,-0.3638425903815846
2020-04-23,1.0,-0.0,-0.0,-0.0,-0.05390481199053379,-0.0,-0.11591327420935625,-0.0,-0.21079052422728467,-0.0,-0.09894102741854519,-0.0,-0.25188248511940337,-0.0,-0.013458274567924844,-0.25494227045633827,-0.0,-0.01752205196854158,-0.373126479095451
2020-04-24,1.0,-0.0,-0.0,-0.0,-0.053715651135005975,-0.0,-0.11185185185185186,-0.0,-0.21209080047789727,-0.0,-0.1025089605734767,-0.0,-0.25309438470728796,-0.0,-0.012449223416965353,-0.2518040621266428,-0.0,-0.02114695340501792,-0.3708004778972521
2020-04-27,1.0,-0.0,-0.0,-0.0,-0.04827175208581645,-0.0,-0.11716328963051252,-0.0,-0.20133492252681764,-0.0,-0.10877234803337306,-0.0,-0.24984505363528012,-0.0,-0.011942789034564957,-0.2593563766388558,-0.0,-0.020929678188319426,-0.3662216924910608
2020-04-28,1.0,-0.0,-0.0,-0.0,-0.07082437275985663,-0.0,-0.10602150537634408,-0.0,-0.2110394265232975,-0.0,-0.10136200716845878,-0.0,-0.2674074074074074,-0.0,-0.0,-0.26062126642771805,-0.0,-0.008960573476702509,-0.3632497013142174
2020-04-29,1.0,-0.0,-0.0,-0.0,-0.07613861622602755,-0.0,-0.09987819732034105,-0.0,-0.21879104869718896,-0.0,-0.10135893577894006,-0.0,-0.2779250555276922,-0.0,-0.0,-0.25583339304052927,-0.0,-0.0,-0.3583625898593298
2020-04-30,1.0,-0.0,-0.005268956267662979,-0.0,-0.08799156966997174,-0.0,-0.0973798917468985,-0.0,-0.21957177755424628,-0.0,-0.11862336542606695,-0.0,-0.2669444843607798,-0.0,-0.0,-0.23384585907936964,-0.0,-0.0,-0.3653302677587776
2020-05-01,1.0,-0.0,-0.024876338663977333,-0.0,-0.09616769917879268,-0.0,-0.10058589060173846,-0.0,-0.22998607309225377,-0.0,-0.11031071411420065,-0.0,-0.26773279546655143,-0.0,-0.0,-0.22090957114728904,-0.0,-0.0,-0.35062190846659946
2020-05-04,1.0,-0.0,-0.023668923136012293,-0.0,-0.09541984732824428,-0.0,-0.09911661625618129,-0.0,-0.23095203802390898,-0.0,-0.1106150079216477,-0.0,-0.2688079120457055,-0.0,-0.0,-0.22084593595467858,-0.0,-0.0,-0.3510490181957847
2020-05-05,1.0,-0.0,-0.026136882311960992,-0.0,-0.09594734186945975,-0.0,-0.0935210320224854,-0.0,-0.23232517356523413,-0.0,-0.1005116871261441,-0.0,-0.28728949960362266,-0.0,-0.0,-0.2190165037115334,-0.0,-0.0,-0.3475148341220843
