Date,IWF,IWM,MTUM,PRSP,SPY,VLUE,VXX
2019-11-01,-0.0,-0.3073259026388492,-0.6944206281159696,1.0,-0.848020069226128,-0.32571210822139657,0.0
2019-11-04,-0.0,-0.31334659467651793,-0.6546051592939914,1.0,-0.8695967920179344,-0.31988254238893626,0.0
2019-11-05,-0.0,-0.32041384547237867,-0.6791432006581029,1.0,-0.8597734607353034,-0.3045940644181484,0.0
2019-11-06,-0.0,-0.30629455193482685,-0.6804353360488798,1.0,-0.8498281568228105,-0.3457230142566191,0.0
2019-11-07,-0.0,-0.31069166374892576,-0.6823057580290925,1.0,-0.8458477894133748,-0.34411305980838397,0.0
2019-11-08,-0.0,-0.2944884898271086,-0.6849428471359887,1.0,-0.850988633107269,-0.3535835960136275,0.0
2019-11-11,-0.0,-0.27525598902676324,-0.7286356821589206,1.0,-0.8204727423522281,-0.36556189990111326,0.0
2019-11-12,-0.0,-0.2595037632351065,-0.7309286898839138,1.0,-0.8264446995790279,-0.37230514096185735,0.0
2019-11-13,-0.0,-0.27315470823135385,-0.8286422774700501,1.0,-0.7632680664691485,-0.3553394306324874,0.0
2019-11-14,-0.0,-0.2734304499162047,-0.8217738816552791,1.0,-0.7627948949336083,-0.36489622276653344,0.0
2019-11-15,-0.0,-0.2768989368515435,-0.7999231458947098,1.0,-0.7671640835147945,-0.3582682208274625,0.0
2019-11-18,-0.0,-0.27164963316566815,-0.8058501265498349,1.0,-0.7746131419600807,-0.35171242751417675,0.0
2019-11-19,-0.0,-0.324364040100578,-0.8043300786990171,1.0,-0.7790876138849884,-0.35770499297913333,0.0
2019-11-20,-0.0,-0.3188330294347486,-0.8065576973170097,1.0,-0.770936441781714,-0.3596965355561344,0.0
2019-11-21,-0.0,-0.2841820401966932,-0.8708953499884493,1.0,-0.7305369459753803,-0.4146067786541698,0.0
2019-11-22,-0.0,-0.28146755089247416,-0.8720512059124351,1.0,-0.7336764657362499,-0.41215480550331585,0.0
2019-11-25,-0.0,-0.2819370172311349,-0.875222816399287,1.0,-0.7360203340595498,-0.4078035254505843,0.0
2019-11-26,-0.0,-0.2573201729772555,-0.8796421615554749,1.0,-0.7456508104182484,-0.41847951672003436,0.0
2019-11-27,-0.0,-0.2695961995249406,-0.8717669569807337,1.0,-0.7385523884930061,-0.41914093428345206,0.0
2019-11-29,-0.0,-0.2758586195398466,-0.8986328776258754,1.0,-0.7623541180393465,-0.3975991997332444,0.0
2019-12-02,-0.0,-0.26976375874356606,-0.8750164972944436,1.0,-0.7611521710439487,-0.3935264616602877,0.0
2019-12-03,-0.0,-0.26551406784117804,-0.8594201945832237,1.0,-0.7660728372337627,-0.3958716802524323,0.0
2019-12-04,-0.0,-0.2790705339485827,-0.8711931443638761,1.0,-0.7609756097560976,-0.38473961766644693,0.0
2019-12-05,-0.0,-0.2778640071331858,-0.8778441927281133,1.0,-0.7585284501832832,-0.388164195370034,0.0
2019-12-06,-0.0,-0.2956649130984884,-0.8872611040820404,1.0,-0.7714257175201439,-0.37517480189119,0.0
2019-12-09,-0.0,-0.2739956861687787,-0.9263278511728229,1.0,-0.7786128336478836,-0.3912442706929092,0.0
2019-12-10,-0.0,-0.2748746042474476,-1.0893244637330581,1.0,-0.8703710291345024,-0.3227562164277329,0.0
2019-12-11,-0.0,-0.2530052724077329,-1.0865377855887524,1.0,-0.8442179261862919,-0.33114235500878736,0.0
2019-12-12,-0.0,-0.25513475427162235,-1.0892725030826143,1.0,-0.8486172274088427,-0.32996300863131933,0.0
2019-12-13,-0.0,-0.2662434523190065,-1.0681652617337913,1.0,-0.8305755021334166,-0.3039858466021438,0.0
2019-12-16,-0.0,-0.26623196448390674,-1.0762000554938955,1.0,-0.8311945061043284,-0.2947766370699223,0.0
2019-12-17,-0.028376044273679017,-0.2337410553773485,-1.1210123726602983,1.0,-0.8599880150868906,-0.28189220628150446,0.0
2019-12-18,-0.05311016918450893,-0.2356265623301815,-1.1584610368438213,1.0,-0.8805564612542115,-0.29507662210629276,0.0
2019-12-19,-0.051714752313554706,-0.2444202504082743,-1.1634186173108327,1.0,-0.8735619669751405,-0.29598983850480853,0.0
2019-12-20,-0.0539871944121071,-0.25818538998835855,-1.1715657741559953,1.0,-0.8694703143189755,-0.28474243306169966,0.0
2019-12-23,-0.04305097176384305,-0.2513384671800514,-1.2000733406674,1.0,-0.8642464246424643,-0.30832416574990834,0.0
2019-12-24,-0.046742676980606364,-0.2510906624628808,-1.1917366279282913,1.0,-0.8694504527624005,-0.3070718920702423,0.0
2019-12-26,-0.0483823637297337,-0.24851441567016364,-1.1907050106375177,1.0,-0.8717262123101754,-0.30878145403858853,0.0
2019-12-27,-0.029163440622350035,-0.26623161154739516,-1.2149835932603323,1.0,-0.86542786564908,-0.31106441027909887,0.0
2019-12-30,-0.05362822693986242,-0.2722094829499223,-1.2280863969228493,1.0,-0.8697758709963754,-0.2747984318366743,0.0
2019-12-31,-0.04773869346733668,-0.2778968371268105,-1.2262784510789242,1.0,-0.8716375997635235,-0.2713937333727461,0.0
2020-01-02,-0.05112903819943272,-0.2779680996058496,-1.2199874755958302,1.0,-0.8686042656647144,-0.26592256971304384,0.0
2020-01-03,-0.024120454293218897,-0.28345233250712143,-1.2421294069771744,1.0,-0.8683363545558803,-0.2814176316081536,0.0
2020-01-06,-0.049219242609695485,-0.2967619895404473,-1.2385668187381773,1.0,-0.8485219390972144,-0.27595415600311557,0.0
2020-01-07,-0.040531512137183576,-0.2968970380818054,-1.246047064063544,1.0,-0.8448890208596244,-0.2832751837280083,0.0
2020-01-08,-0.03598752135482434,-0.2969991829458516,-1.2521354824333357,1.0,-0.8542301121592513,-0.2745301938646661,0.0
2020-01-09,-0.03241635687732342,-0.30133828996282525,-1.2527509293680297,1.0,-0.8516356877323419,-0.27929368029739776,0.0
2020-01-10,-0.041784597050499035,-0.29990317294801133,-1.2535006703411293,1.0,-0.8503277223298079,-0.27860122151050204,0.0
2020-01-13,-0.05104321907600596,-0.3013412816691505,-1.2536140089418777,1.0,-0.8454545454545455,-0.2743293591654247,0.0
2020-01-14,-0.09854179194227301,-0.29122820204449795,-1.277886349969934,1.0,-0.8476773902585689,-0.24297203848466628,0.0
2020-01-15,-0.11242937853107345,-0.2903201506591337,-1.2776647834274952,1.0,-0.8491525423728814,-0.23698681732580038,0.0
2020-01-16,-0.10934401220442411,-0.3116704805491991,-1.3225781845919145,1.0,-0.8612890922959573,-0.2089626239511823,0.0
2020-01-17,-0.12336869419216971,-0.32278867434938563,-1.3095474318858276,1.0,-0.8645348393497673,-0.19571853773944897,0.0
2020-01-21,-0.12958724345769437,-0.32753490501258875,-1.3000686655985352,1.0,-0.8656443121995882,-0.19192034790569926,0.0
2020-01-22,-0.12887227224172132,-0.32923851670990384,-1.2980695864489546,1.0,-0.867045627956661,-0.19178238974515488,0.0
2020-01-23,-0.13782530374458626,-0.315741060135679,-1.2965390364493505,1.0,-0.8644743398106628,-0.21812119121536164,0.0
2020-01-24,-0.1380378657487091,-0.3245744884299101,-1.2977624784853699,1.0,-0.8635685599541021,-0.20087970931344423,0.0
2020-01-27,-0.12353592003357368,-0.3278013047956964,-1.3062454694593872,1.0,-0.8564724733890351,-0.20113692724428675,0.0
2020-01-28,-0.08495386257911997,-0.3654770075497598,-1.3479371615953635,1.0,-0.8504537481888202,-0.16418821017311067,0.0
2020-01-29,-0.08153495440729483,-0.3689969604863222,-1.3492401215805472,1.0,-0.8454787234042553,-0.1541033434650456,0.0
2020-01-30,-0.09407045824346312,-0.35437242214401937,-1.3329170923676543,1.0,-0.8531804593786657,-0.1494683467665645,0.0
2020-01-31,-0.09173302995828593,-0.3624194160030338,-1.3305271141448616,1.0,-0.8553659461509292,-0.1521425862722791,0.0
2020-02-03,-0.09580254323117897,-0.35661502682021085,-1.315428185603361,1.0,-0.8404666341573203,-0.14276604523800593,0.0
2020-02-04,-0.08690445001684195,-0.3446236760357798,-1.3147572888206895,1.0,-0.8431079007447884,-0.1532617238669112,0.0
