Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WWW
2018-11-01,-0.18475663438561188,-0.9348509621431266,-0.0,-0.5036787825430764,-0.520972204754119,0.0,1.0
2018-11-02,-0.18742370653228585,-0.9191523991361231,-0.0,-0.5062443268959905,-0.5171366865942596,0.0,1.0
2018-11-05,-0.18173556050017237,-0.9378545238020622,-0.0,-0.509448744868219,-0.5049045723776991,0.0,1.0
2018-11-06,-0.183080056399812,-0.9382735390882031,-0.0,-0.5084756384145387,-0.50349365502115,0.0,1.0
2018-11-07,-0.18223184585451577,-0.9417247222745246,-0.0,-0.5087554132931651,-0.5054289838699555,0.0,1.0
2018-11-08,-0.11640103528129683,-1.061810380057213,-0.0,-0.595491077509876,-0.6318280888162375,0.0,1.0
2018-11-09,-0.11470911086717892,-1.0697722283205269,-0.0,-0.6076427003293084,-0.6381380351262349,0.0,1.0
2018-11-12,-0.11352533224010113,-1.0586245772266063,-0.0,-0.6094769567148371,-0.6347237880496054,0.0,1.0
2018-11-13,-0.07569816210318138,-1.0677532649094692,-0.0,-0.6255327854877758,-0.6408429092645004,0.0,1.0
2018-11-14,-0.07547234158652207,-1.0681058590819181,-0.0,-0.6257076597776414,-0.6411227065002387,0.0,1.0
2018-11-15,-0.07418893129770994,-1.0686341330425302,-0.0,-0.6258519629225737,-0.6391766630316249,0.0,1.0
2018-11-16,-0.06996430392656808,-1.0580656127825938,-0.0,-0.625293217746048,-0.6462689104198537,0.0,1.0
2018-11-19,-0.06979669545114571,-1.0582035765281836,-0.0,-0.6254164683484056,-0.6463588767253688,0.0,1.0
2018-11-20,-0.04237202230106437,-1.0536239229599595,-0.0,-0.6258151714816693,-0.6571380300726474,0.0,1.0
2018-11-21,-0.054184206095302244,-1.0563731267890217,-0.0,-0.6333052702475165,-0.623707694898131,0.0,1.0
2018-11-23,-0.05439584527703773,-1.0610393552085793,-0.0,-0.6326847199271575,-0.6242201463595588,0.0,1.0
2018-11-26,-0.054003033878307766,-1.0625653126580143,-0.0,-0.6314174953649081,-0.6229900556211022,0.0,1.0
2018-11-27,-0.04805852938215256,-1.0630264791757558,-0.0,-0.6266067053730241,-0.6183508406886599,0.0,1.0
2018-11-28,-0.044206182777514716,-1.0930460664276536,-0.0,-0.6252790367313807,-0.6197321247378746,0.0,1.0
2018-11-29,-0.030729533192587376,-1.0820347843570925,-0.0,-0.619449750343487,-0.6188800643410074,0.0,1.0
2018-11-30,-0.03062386919520204,-1.082624137237821,-0.0,-0.6203511358305971,-0.616933592441198,0.0,1.0
2018-12-03,-0.029396993337127933,-1.082566042789701,-0.0,-0.6198814745371145,-0.6163324070043861,0.0,1.0
2018-12-04,-0.027404135715719733,-1.0835173659907649,-0.0,-0.6193200829819983,-0.6158067322492137,0.0,1.0
2018-12-06,-0.017858888707837705,-1.038846341860844,-0.0,-0.612481668567704,-0.5897343979142904,0.0,1.0
2018-12-07,-0.0201055787278415,-1.0388425443169969,-0.0,-0.6123240354535975,-0.5873305526590199,0.0,1.0
2018-12-10,-0.004590269920801681,-1.0414094068207531,-0.0,-0.6095037982867302,-0.5770809762405043,0.0,1.0
2018-12-11,-0.007240521058926205,-1.0402430746355498,-0.0,-0.6099815754598055,-0.574942625335359,0.0,1.0
2018-12-12,-0.008826952922917743,-1.0399637868598033,-0.0,-0.6107734092084842,-0.5737196068287636,0.0,1.0
2018-12-13,-0.00907827997286208,-1.0375084805996186,-0.0,-0.6117016121216037,-0.5724485510289793,0.0,1.0
2018-12-14,-0.00606217784549551,-1.051933737478523,-0.0,-0.6083249586669692,-0.5754854604985898,0.0,1.0
2018-12-17,-0.0,-1.0503034999354255,-0.0,-0.5918894485341599,-0.5865297688234534,0.0,1.0
2018-12-18,-0.0,-1.0390805334701207,-0.0,-0.582392921261862,-0.584476788920236,0.0,1.0
