Date,IWF,IWM,LANC,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-03-15,-0.0,-0.0,1.0,-0.0,-0.40698552548772815,-0.0,-0.3413152926368785,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.38653241032095653,-0.01733794839521712,-0.9944304594084328,-0.0,-0.0
2019-03-18,-0.0,-0.0,1.0,-0.0,-0.4032867397053268,-0.0,-0.3311610628384335,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41959450950761873,-0.016244805440120892,-0.9779309910590607,-0.0,-0.0
2019-03-19,-0.0,-0.0,1.0,-0.0,-0.4200761030221076,-0.0,-0.3232177112487814,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.42243466775684774,-0.0,-0.9789930500959149,-0.0,-0.0
2019-03-20,-0.0,-0.0,1.0,-0.0,-0.3975514852424789,-0.0,-0.3172629780772516,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.47679605200721265,-0.032963209009522,-0.9388820347347442,-0.0,-0.0
2019-03-21,-0.0,-0.0,1.0,-0.0,-0.4132160548710784,-0.0,-0.3032198653626318,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.48199542741013596,-0.017083703797789916,-0.9598945764003557,-0.0,-0.0
2019-03-22,-0.0,-0.0,1.0,-0.0,-0.4251836372847011,-0.0,-0.29185663627152986,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4596314589665653,-0.018743667679837893,-0.9707763424518743,-0.0,-0.0
2019-03-25,-0.0,-0.0,1.0,-0.0,-0.42627599243856334,-0.0,-0.2981411468178954,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4209514807813485,-0.016320100819155636,-0.988909892879647,-0.0,-0.0
2019-03-26,-0.0,-0.0,1.0,-0.0,-0.426583357000852,-0.0,-0.3004512606898293,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.41462337088579637,-0.018839344883082455,-0.9952033828773391,-0.0,-0.0
2019-03-27,-0.0,-0.0,1.0,-0.0,-0.4193923763995471,-0.0,-0.3034029437665115,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4148006038495408,-0.015851050446597056,-0.9916027173229337,-0.0,-0.0
2019-03-28,-0.0,-0.0,1.0,-0.0,-0.44308291702014013,-0.0,-0.26653470323938794,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4226285857919376,-0.0,-1.0097087378640777,-0.0,-0.0
2019-03-29,-0.0,-0.0,1.0,-0.0,-0.43001197453835,-0.0,-0.26230541375181193,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4493603075565639,-0.0,-1.0095166067939747,-0.0,-0.0
2019-04-01,-0.0,-0.0,1.0,-0.0,-0.43707230929330515,-0.0,-0.25710321339598247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4397527671785815,-0.009870391977547223,-1.0097127179842955,-0.0,-0.0
2019-04-02,-0.0,-0.0,1.0,-0.0,-0.4016667196793791,-0.0,-0.27214606062533797,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4534177295715513,-0.009860364515410796,-1.0437036801424981,-0.0,-0.0
2019-04-03,-0.0,-0.0,1.0,-0.0,-0.4013564287078902,-0.0,-0.2650767369292492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.45640960326052343,-0.017767305610392917,-1.0434630325415526,-0.0,-0.0
2019-04-04,-0.0,-0.0,1.0,-0.0,-0.4011094108645753,-0.0,-0.27776715123692935,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4378666156592706,-0.019861004845702628,-1.0513580719204285,-0.0,-0.0
