Date,IWF,IWM,MTUM,SPY,TCRR,VLUE,VXX
2019-12-02,-3.0545112781954886,-1.010204081632653,-9.637755102040815,-7.982545649838882,1.0,-4.16783029001074,0.0
2019-12-03,-2.974659909309149,-0.9799946652440651,-9.526540410776207,-7.970392104561216,1.0,-4.221925846892504,0.0
2019-12-04,-2.947579566729072,-1.0451992511366675,-9.654720513506284,-7.964161540518855,1.0,-4.13345814388874,0.0
2019-12-05,-2.980913978494624,-1.043279569892473,-9.719086021505376,-7.998655913978495,1.0,-4.139516129032258,0.0
2019-12-06,-2.983606557377049,-1.0454178984144047,-9.714055361461973,-7.994625100779361,1.0,-4.136791185165278,0.0
2019-12-09,-2.942651373699653,-1.0016004267804748,-9.711923179514535,-7.917578020805547,1.0,-4.10029341157642,0.0
2019-12-10,-2.927524646949107,-1.0117239541699972,-9.70503597122302,-7.909405808686384,1.0,-4.09166000532907,0.0
2019-12-11,-2.9262513312034075,-1.0178381256656017,-9.692758253461127,-7.899627263045792,1.0,-4.087326943556975,0.0
2019-12-12,-2.927846071619455,-1.0451630144307855,-9.733832175307322,-7.927044361304115,1.0,-4.089524318546232,0.0
2019-12-13,-2.9588785046728976,-1.0648865153538052,-9.805607476635515,-7.889986648865155,1.0,-3.9829105473965285,0.0
2019-12-16,-2.9604806408544726,-1.072630173564753,-9.794926568758344,-7.883845126835782,1.0,-3.9901201602136185,0.0
2019-12-17,-2.927698032961191,-1.0781499202551834,-9.775119617224881,-7.859383306751727,1.0,-3.9412546517809677,0.0
2019-12-18,-2.9269394261424018,-1.0871413390010627,-9.764080765143465,-7.852284803400638,1.0,-3.9373007438894794,0.0
2019-12-19,-2.9285334750265672,-1.0882040382571734,-9.762486716259298,-7.850956429330499,1.0,-3.9373007438894794,0.0
2019-12-20,-2.9327798607391538,-1.0948044991965722,-9.82913765399036,-7.939475093733263,1.0,-3.9847348687734336,0.0
2019-12-23,-3.0002718868950518,-1.1748232735182165,-9.944535073409462,-8.111745513866232,1.0,-3.957041870581838,0.0
2019-12-24,-3.072666294019005,-1.1830631637786473,-10.210732252655115,-8.426215762996087,1.0,-4.055617663499161,0.0
