Date,DT,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-04-30,1.0,-0.7101322442629326,-0.41815765590561393,-0.537987812783612,-0.5750032412809543,-0.0,0.0
2020-05-01,1.0,-0.7171137895282529,-0.4075298081907724,-0.5381026438569206,-0.577274494556765,-0.0,0.0
2020-05-04,1.0,-0.7226182338964294,-0.41512873091820457,-0.5368290857012661,-0.5803144224196856,-0.0,0.0
2020-05-05,1.0,-0.7243717200691027,-0.4146810521855341,-0.5436617881938786,-0.5768766908960526,-0.0,0.0
2020-05-06,1.0,-0.7253929945861327,-0.4140956232470158,-0.5453655991129085,-0.5765116430761204,-0.0,0.0
2020-05-07,1.0,-0.7295357410851195,-0.4124498385044534,-0.5478777201396365,-0.5727056213500376,-0.0,0.0
2020-05-08,1.0,-0.7372078539351624,-0.41672403055036544,-0.5436785000163897,-0.5803258268594094,-0.0,0.0
2020-05-11,1.0,-0.7528307460041354,-0.3796973973546884,-0.5595195116347763,-0.5899766976270964,-0.0,0.0
2020-05-12,1.0,-0.7642279108175061,-0.36796036333608584,-0.5857308009909166,-0.5851692815854665,-0.0,0.0
2020-05-13,1.0,-0.7664852383308595,-0.3600527791522349,-0.5866402770905492,-0.5855187201055583,-0.0,0.0
2020-05-14,1.0,-0.7721005409684656,-0.33731362976646,-0.6021242908035361,-0.5870497427101201,-0.0,0.0
2020-05-15,1.0,-0.7709301942163749,-0.3404227256240314,-0.60302700563854,-0.5830448115540607,-0.0,0.0
2020-05-18,1.0,-0.7726268587820239,-0.33548748722344945,-0.5999868113027136,-0.5891061360414125,-0.0,0.0
2020-05-19,1.0,-0.7742817606747495,-0.32857801792303637,-0.6042105956773853,-0.5876054296257248,-0.0,0.0
2020-05-20,1.0,-0.7854026180087267,-0.31316937723125743,-0.6170170567235224,-0.5900105778130371,-0.0,0.0
2020-05-21,1.0,-0.78498530237474,-0.30184628595963936,-0.6254912970241437,-0.5905472801136176,-0.0,0.0
2020-05-22,1.0,-0.7859243350404759,-0.29975218899719147,-0.6267966297703619,-0.5917065917726747,-0.0,0.0
2020-05-26,1.0,-0.7862668606188838,-0.3008132769108701,-0.6280415234065062,-0.590915101824914,-0.0,0.0
2020-05-27,1.0,-0.7875301662864889,-0.2973321432113459,-0.6318555985321829,-0.5891765017025357,-0.0,0.0
2020-05-28,1.0,-0.8076132369520524,-0.2686517673585781,-0.6476888387824126,-0.5919490682405996,-0.0,0.0
2020-05-29,1.0,-0.8214285714285715,-0.24297696711489813,-0.6597323924910132,-0.6042803887631474,-0.0,0.0
2020-06-01,1.0,-0.8212680978532202,-0.2432684306873024,-0.6595440173073723,-0.6042935596605092,-0.0,0.0
2020-06-02,1.0,-0.8210410703587832,-0.24219530053917326,-0.6595886307661585,-0.6054050455967517,-0.0,0.0
2020-06-03,1.0,-0.8236807806703873,-0.2394813354275975,-0.6755004511579722,-0.6032149182902784,-0.0,0.0
2020-06-04,1.0,-0.8255926706122312,-0.2280402581335473,-0.6911091048918314,-0.5989567659745211,-0.0,0.0
2020-06-05,1.0,-0.822257137126429,-0.23002607474760978,-0.688707628535134,-0.601925519823494,-0.0,0.0
2020-06-08,1.0,-0.8217934165720773,-0.22234092274821396,-0.6960005341523671,-0.5983174200440676,-0.0,0.0
2020-06-09,1.0,-0.8288664617029808,-0.21340729848950674,-0.700942387381366,-0.5986164951209731,-0.0,0.0
2020-06-10,1.0,-0.839299467568563,-0.20004688075544988,-0.714228309279041,-0.5950507316746475,-0.0,0.0
2020-06-11,1.0,-0.8370504319871408,-0.20551202196771817,-0.7093965574978234,-0.5967785145000335,-0.0,0.0
2020-06-12,1.0,-0.8237439893881613,-0.18693417343724095,-0.7206101807328801,-0.584911291659758,-0.0,0.0
2020-06-15,1.0,-0.8242490551024468,-0.18334327962336716,-0.7231615940587495,-0.584642928187786,-0.0,0.0
2020-06-16,1.0,-0.8226633801878623,-0.19475717806941578,-0.7328292585437347,-0.580674172273666,-0.0,0.0
2020-06-17,1.0,-0.8216734340677627,-0.19356985954869202,-0.7327098449044799,-0.5802769087399321,-0.0,0.0
2020-06-18,1.0,-0.8244048609955053,-0.18784751123689028,-0.7364408190444481,-0.5807890794073581,-0.0,0.0
2020-06-19,1.0,-0.823981885385102,-0.1881056241883387,-0.7367387033398821,-0.5810662315607205,-0.0,0.0
2020-06-22,1.0,-0.8220251391991465,-0.18714366685559966,-0.7491414663421466,-0.5757676791251293,-0.0,0.0
2020-06-23,1.0,-0.8215488215488215,-0.18698536520318698,-0.7490082341567489,-0.5761242790945761,-0.0,0.0
2020-06-24,1.0,-0.8202486915358201,-0.18718538520518718,-0.7502083541687501,-0.576024269093576,-0.0,0.0
2020-06-25,1.0,-0.8184963406520294,-0.17897538256819695,-0.7572521623419828,-0.5719560878243514,-0.0,0.0
2020-06-26,1.0,-0.8228371395232539,-0.17349558259709952,-0.7581930321720287,-0.579363227204534,-0.0,0.0
2020-06-29,1.0,-0.81950456149697,-0.16874209229539855,-0.7649996670440168,-0.5762802157554772,-0.0,0.0
2020-06-30,1.0,-0.8296943231441049,-0.14800493349778326,-0.7762592086402881,-0.5794859828660955,-0.0,0.0
2020-07-01,1.0,-0.8273817455029979,-0.14833444370419718,-0.7693204530313124,-0.5860759493670886,-0.0,0.0
2020-07-02,1.0,-0.8364947902751804,-0.1377571466737911,-0.7755810846914241,-0.5897341704515096,-0.0,0.0
2020-07-06,1.0,-0.8386450190418921,-0.13830426939266385,-0.7736687378900247,-0.5900982160753658,-0.0,0.0
2020-07-07,1.0,-0.8284376045500168,-0.15306122448979592,-0.7676814988290398,-0.5964202074272332,-0.0,0.0
2020-07-08,1.0,-0.8299531459170013,-0.14715528781793843,-0.7741298527443105,-0.5954484605087015,-0.0,0.0
2020-07-09,1.0,-0.8274731524539158,-0.14780368672844668,-0.7734100565387575,-0.5968351677762537,-0.0,0.0
