Date,IWF,IWM,MTUM,SPY,TRTN,VLUE,VXX
2019-05-16,-0.0,-0.38134041042126116,-0.0,-1.1486562254700408,1.0,-1.2079392965274922,0.0
2019-05-17,-0.0,-0.37669356352036026,-0.0,-1.1309063614186525,1.0,-1.2454869581534995,0.0
2019-05-20,-0.0,-0.3812520948940449,-0.0,-1.1077799709508025,1.0,-1.235261256564001,0.0
2019-05-21,-0.0,-0.3731038072575848,-0.0,-1.1098676383105295,1.0,-1.235053539559786,0.0
2019-05-22,-0.0,-0.36704579244721974,-0.0,-1.1153360095153138,1.0,-1.2345747844186739,0.0
2019-05-23,-0.0,-0.37014193356617375,-0.0,-1.1160734190384187,1.0,-1.2293230289068886,0.0
2019-05-24,-0.0,-0.34831918757644265,-0.0,-1.1202698195026128,1.0,-1.237722841999926,0.0
2019-05-28,-0.0,-0.3439329923652805,-0.0,-1.1218590171225262,1.0,-1.2403824772070269,0.0
2019-05-29,-0.0,-0.35082658382336623,-0.0,-1.126114131439772,1.0,-1.2214578941528902,0.0
2019-05-30,-0.0,-0.3457753773305712,-0.0,-1.1241491565551938,1.0,-1.2294317845516425,0.0
2019-05-31,-0.0,-0.3479338537235026,-0.0,-1.1222670267470682,1.0,-1.2292552994709778,0.0
2019-06-03,-0.0,-0.355184217306489,-0.0,-1.1226029666163642,1.0,-1.2029150870477383,0.0
2019-06-04,-0.0,-0.3746695064629847,-0.0,-1.0851204465334898,1.0,-1.212397179788484,0.0
2019-06-05,-0.0,-0.37326887426847444,-0.0,-1.0980698629639054,1.0,-1.1636072843589838,0.0
2019-06-06,-0.0,-0.3871600988803257,-0.0,-1.0656536280354807,1.0,-1.1824923658572053,0.0
2019-06-07,-0.0,-0.3861959768253625,-0.0,-1.0441181762567922,1.0,-1.1682320342581596,0.0
2019-06-10,-0.0,-0.3820644558617468,-0.0,-1.0414256458161175,1.0,-1.1693672978119496,0.0
2019-06-11,-0.0,-0.3784336960034471,-0.0,-1.040863226686775,1.0,-1.1714962835290315,0.0
2019-06-12,-0.0,-0.38109088297604937,-0.0,-1.0393910014722252,1.0,-1.1702754138389169,0.0
2019-06-13,-0.0,-0.40575699859848346,-0.0,-1.0374456463147304,1.0,-1.1504294390340317,0.0
2019-06-14,-0.0,-0.4016163793103449,-0.0,-1.044396551724138,1.0,-1.1459051724137932,0.0
2019-06-17,-0.0,-0.40247055443837976,-0.0,-1.0392128698649812,1.0,-1.1492387245044526,0.0
2019-06-18,-0.0,-0.3993029355754375,-0.0,-1.0389134418454242,1.0,-1.1548992131076856,0.0
2019-06-19,-0.0,-0.40299096255917377,-0.0,-1.0379429063262087,1.0,-1.1453521732893417,0.0
2019-06-20,-0.0,-0.40720261390973395,-0.0,-1.0365157444975046,1.0,-1.146852895766759,0.0
2019-06-21,-0.0,-0.41427546628407463,-0.0,-1.0277977044476327,1.0,-1.1447274031563845,0.0
2019-06-24,-0.0,-0.44070466914924095,-0.0,-1.0232383271268979,1.0,-1.1166929246634203,0.0
2019-06-25,-0.0,-0.42413706584465394,-0.0,-1.0391411878561956,1.0,-1.1210796085881214,0.0
2019-06-26,-0.0,-0.42964125240710366,-0.0,-1.0160830183296485,1.0,-1.1203908423079667,0.0
2019-06-27,-0.0,-0.41755613465176883,-0.0,-1.020133509442045,1.0,-1.132081533573698,0.0
2019-06-28,-0.0,-0.4100709169309718,-0.0,-1.0237340080538826,1.0,-1.1298243113217632,0.0
2019-07-01,-0.0,-0.4057325974719601,-0.0,-1.029802385615097,1.0,-1.1251201709097383,0.0
2019-07-02,-0.0,-0.40554389211116254,-0.0,-1.026723125644949,1.0,-1.1260719496139202,0.0
2019-07-03,-0.0,-0.41144172865745665,-0.0,-1.0115125752745306,1.0,-1.1194119730782857,0.0
2019-07-05,-0.0,-0.41119841438380406,-0.0,-1.0069370708572236,1.0,-1.1211509874708006,0.0
2019-07-08,-0.0,-0.41093274874478464,-0.0,-1.007000919312637,1.0,-1.1178841666077364,0.0
2019-07-09,-0.0,-0.4085258176167267,-0.0,-1.0032139577594124,1.0,-1.1200819382637563,0.0
2019-07-10,-0.0,-0.40233174350821405,-0.0,-1.0073131955484895,1.0,-1.1232644409114996,0.0
2019-07-11,-0.0,-0.3953185498064061,-0.0,-1.0179162266807462,1.0,-1.1066525871172121,0.0
2019-07-12,-0.0,-0.38338366458318707,-0.0,-1.0344125289697312,1.0,-1.093686354378819,0.0
2019-07-15,-0.0,-0.41440808875157986,-0.0,-1.0234166549641905,1.0,-1.0728830220474652,0.0
2019-07-16,-0.0,-0.43928910595577264,-0.08190883190883191,-0.9413241079907747,1.0,-0.9291480124813459,0.0
2019-07-17,-0.0,-0.41704591085530723,-0.0891446928122072,-0.910621068130103,1.0,-0.9294605809128631,0.0
2019-07-18,-0.0,-0.4151912240338768,-0.07765663032243006,-0.916775032509753,1.0,-0.9246774032209663,0.0
2019-07-19,-0.0,-0.4201122169527754,-0.08105670963863469,-0.9202792064658339,1.0,-0.9183087302117425,0.0
2019-07-22,-0.0,-0.42720938760542715,-0.08020802080208021,-0.9106243957729107,1.0,-0.9156248958229156,0.0
2019-07-23,-0.0,-0.4287857571514303,-0.08074948322997932,-0.9099819963992799,1.0,-0.9144828965793158,0.0
2019-07-24,-0.0,-0.42614505085421783,-0.07860799042744133,-0.9034767001263045,1.0,-0.9155753506614371,0.0
2019-07-25,-0.0,-0.42516780753638606,-0.07785605104007444,-0.9060610088389713,1.0,-0.9138366451784409,0.0
2019-07-26,-0.0,-0.43404283712550873,-0.07139520918129044,-0.9124574631347168,1.0,-0.9183292186561687,0.0
2019-07-29,-0.0,-0.3957809303417514,-0.07448770835429454,-0.9212194385753093,1.0,-0.9623369218901968,0.0
2019-07-30,-0.0,-0.39938319198149574,-0.0772350910127049,-0.9143173209077804,1.0,-0.9613154101438102,0.0
2019-07-31,-0.0,-0.4655621301775148,-0.07036348267117497,-0.9096872358410819,1.0,-0.9356213017751479,0.0
