Date,CSGP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-03-11,1.0,-0.006612968940984736,-0.0,-0.19024038612216754,-0.0,-0.0,-0.1559218980161093,-0.0,-0.0,-0.35772714451374305,-0.0,-0.0,-0.0,-0.0,-0.5127714921490582,-0.08136145673363211,-0.2817563544049895,-0.14028269658695583,-0.4074027642836995
2020-03-12,1.0,-0.014421343588510995,-0.0,-0.18062732844610022,-0.0,-0.0,-0.16749789688739333,-0.0,-0.0,-0.3645595481312342,-0.0,-0.0,-0.0,-0.0,-0.4736209590193486,-0.05347914914072827,-0.24879822136762406,-0.14439370267996635,-0.35701838721307533
2020-03-13,1.0,-0.10584425924942938,-0.0,-0.2173151441159297,-0.0,-0.0,-0.11218748341207072,-0.0,-0.0,-0.24436010403949254,-0.0,-0.0,-0.0,-0.0,-0.2879929932586655,-0.1513615372365837,-0.08564679653909443,-0.2531450713944477,-0.1961887573650406
2020-03-16,1.0,-0.07972793290375371,-0.0,-0.20635164160785516,-0.0,-0.0,-0.1410964508540452,-0.0,-0.0,-0.18556305615219393,-0.0,-0.0,-0.0,-0.0,-0.1950496062186765,-0.09898230541065767,-0.14436943847806077,-0.2505881149636903,-0.25526746445740006
2020-03-17,1.0,-0.10539724943108737,-0.0,-0.16327792618976947,-0.0,-0.0,-0.172627881666172,-0.0,-0.0,-0.18680122687246464,-0.0,-0.0,-0.0,-0.0,-0.3076085881072524,-0.0,-0.11516770555060848,-0.23211635500148414,-0.19056099732858417
2020-03-18,1.0,-0.09468668096259232,-0.0,-0.10950679056468907,-0.0,-0.007672146771503455,-0.24500833928996904,-0.0,-0.0,-0.23888491779842744,-0.0,-0.0,-0.0,-0.0,-0.18517989039790325,-0.03309506790564689,-0.0,-0.19330474148201093,-0.2753157016916845
2020-03-19,1.0,-0.0914825747476671,-0.0,-0.11088364121119787,-0.0,-0.00045229480099028756,-0.24930965530375168,-0.0,-0.0,-0.2356455913159398,-0.0,-0.0,-0.0,-0.0,-0.1818701199771472,-0.03442201485431347,-0.0,-0.19684345838887832,-0.27958960198057514
2020-03-20,1.0,-0.09222492024948817,-0.0,-0.11086511450745132,-0.0,-0.0025234490310907967,-0.24710755606341953,-0.0,-0.0,-0.23679950483264298,-0.0,-0.0,-0.0,-0.0,-0.17959339142027328,-0.034114174165595396,-0.0,-0.19485311622149218,-0.28253106699042996
2020-03-23,1.0,-0.09962098170417856,-0.0,-0.06464367600954564,-0.0,-0.017102615694164987,-0.2298441813672734,-0.0,-0.0,-0.21480043048991623,-0.0,-0.0,-0.0,-0.0,-0.1316035749380001,-0.03240372467362313,-0.0,-0.2157362781339198,-0.3338402508071686
2020-03-24,1.0,-0.0898404504927264,-0.0,-0.07447207883622711,-0.0,-0.024284373533552322,-0.2403097137494134,-0.0,-0.0,-0.17846081651806664,-0.0,-0.0,-0.0,-0.0,-0.12167996245893947,-0.05964335992491788,-0.0,-0.25706241201313934,-0.30053965274519007
