Date,CATY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-11-29,1.0,-0.0,-0.7012431116237344,-0.0,-0.3628091759579649,-0.4990644623862617,0.0
2018-11-30,1.0,-0.0,-0.7013915583916353,-0.0,-0.36277901642705207,-0.49855206171036104,0.0
2018-12-03,1.0,-0.0,-0.7055471026639503,-0.0,-0.3692394976403538,-0.5040616860510096,0.0
2018-12-04,1.0,-0.0,-0.7109060921554479,-0.0,-0.36375115967426036,-0.5023966601381301,0.0
2018-12-06,1.0,-0.0,-0.6953178705094585,-0.0,-0.3573592687832574,-0.49334215953356925,0.0
2018-12-07,1.0,-0.0,-0.6960329989305902,-0.0,-0.3585832866527474,-0.4915974945256404,0.0
2018-12-10,1.0,-0.0,-0.697064618804628,-0.0,-0.35141211539433137,-0.47764361137775985,0.0
2018-12-11,1.0,-0.0,-0.6997037299637893,-0.0,-0.34564837557924594,-0.4868957483983693,0.0
2018-12-12,1.0,-0.0,-0.7002990673154906,-0.0,-0.34511861313868614,-0.4890510948905109,0.0
2018-12-13,1.0,-0.0,-0.7027006447027767,-0.0,-0.34473831158942075,-0.4907609523326057,0.0
2018-12-14,1.0,-0.0,-0.7145184694890659,-0.0,-0.33955347368957,-0.49168809348030856,0.0
2018-12-17,1.0,-0.0,-0.7151583019444162,-0.0,-0.33828769215107407,-0.4916013437849944,0.0
2018-12-18,1.0,-0.0,-0.7109066017645269,-0.0,-0.3333079809349965,-0.4910252509887435,0.0
2018-12-19,1.0,-0.0,-0.7122143219908583,-0.0,-0.33529710512950733,-0.49182326053834435,0.0
2018-12-20,1.0,-0.0,-0.7136355546515472,-0.0,-0.33599450814878845,-0.49289364623325116,0.0
2018-12-21,1.0,-0.0,-0.7150127870761908,-0.0,-0.3362368014584863,-0.48084470665687595,0.0
2018-12-24,1.0,-0.0,-0.6949323387848702,-0.0,-0.326865408361263,-0.4981982209006375,0.0
2018-12-26,1.0,-0.0,-0.6997721182981494,-0.0,-0.3131745674003957,-0.4912478401322215,0.0
2018-12-27,1.0,-0.0,-0.6832209479746025,-0.0,-0.28793621105478173,-0.4898360978490919,0.0
2018-12-28,1.0,-0.0,-0.6880230382987103,-0.0,-0.28632962488923897,-0.48700403662498776,0.0
2018-12-31,1.0,-0.0,-0.6899098832914758,-0.0,-0.2859358841778697,-0.48633476141232085,0.0
2019-01-02,1.0,-0.0,-0.689342124686316,-0.0,-0.28416080303104857,-0.4867637651921468,0.0
2019-01-03,1.0,-0.0,-0.6894811970860406,-0.0,-0.2829297105729474,-0.4887034849379799,0.0
2019-01-04,1.0,-0.0,-0.6935290226153432,-0.0,-0.2645970646607699,-0.4920736039987259,0.0
2019-01-07,1.0,-0.0,-0.6796436180515205,-0.0,-0.2592727096649235,-0.48215669184582605,0.0
2019-01-08,1.0,-0.0,-0.6697768860741135,-0.0,-0.2668664942348135,-0.48060141651961613,0.0
2019-01-09,1.0,-0.0,-0.6683500869901412,-0.0,-0.2667939300212642,-0.48124879180359564,0.0
2019-01-10,1.0,-0.0,-0.6667391251841654,-0.0,-0.2681448204236408,-0.480399971016593,0.0
2019-01-11,1.0,-0.0,-0.6594937014918155,-0.0,-0.2705577987862376,-0.48780192944703693,0.0
2019-01-14,1.0,-0.0,-0.6578813866408987,-0.0,-0.2709505978982969,-0.4869428674960744,0.0
2019-01-15,1.0,-0.0,-0.655003989651087,-0.0,-0.2709819377614431,-0.49198442827090944,0.0
2019-01-16,1.0,-0.0,-0.6572498791686805,-0.0,-0.2655147414209763,-0.4938617689705172,0.0
2019-01-17,1.0,-0.0,-0.6636880190374436,-0.0,-0.2670341411296197,-0.49752318974309157,0.0
2019-01-18,1.0,-0.0,-0.6568840491246918,-0.0,-0.2736772712845179,-0.5110237566227995,0.0
2019-01-22,1.0,-0.0,-0.735861770226693,-0.0,-0.11616210232468595,-0.5545073879770901,0.0
2019-01-23,1.0,-0.0,-0.718753013791108,-0.0,-0.1151268203298293,-0.5771771626964991,0.0
2019-01-24,1.0,-0.0,-0.711416515973478,-0.0,-0.12759493670886077,-0.5720795660036166,0.0
2019-01-25,1.0,-0.0,-0.7325392790568185,-0.0,-0.060522429612414365,-0.6278354758273417,0.0
2019-01-28,1.0,-0.0,-0.7265379216882049,-0.0,-0.06776051497991385,-0.6257199554716617,0.0
2019-01-29,1.0,-0.0,-0.7154631178338545,-0.0,-0.06942525392092695,-0.6392019974304899,0.0
2019-01-30,1.0,-0.0,-0.7149264224587262,-0.0,-0.06870469587141506,-0.6406700768503478,0.0
2019-01-31,1.0,-0.0,-0.7173797309069789,-0.0,-0.041235117607201624,-0.6612622205014036,0.0
2019-02-01,1.0,-0.0,-0.7162646517485227,-0.0,-0.044294294294294295,-0.6612176692821854,0.0
2019-02-04,1.0,-0.0,-0.7135489806789018,-0.0,-0.04462253643891337,-0.6630187400125901,0.0
2019-02-05,1.0,-0.0,-0.7159970958373669,-0.0,-0.04968538238141336,-0.6544288480154888,0.0
2019-02-06,1.0,-0.0,-0.7049672158912197,-0.0,-0.053446565531925186,-0.6610776414797609,0.0
2019-02-07,1.0,-0.0,-0.7010052679909139,-0.0,-0.0563771688173602,-0.6591513218307476,0.0
2019-02-08,1.0,-0.0,-0.7105161133995638,-0.0,-0.0754543251756724,-0.6370971650109037,0.0
2019-02-11,1.0,-0.0,-0.7018175624711063,-0.0,-0.06956373634394997,-0.661743594734665,0.0
2019-02-12,1.0,-0.0,-0.7102042806299059,-0.0,-0.06949929306225928,-0.6580127736336601,0.0
2019-02-13,1.0,-0.0,-0.7078976802995671,-0.0,-0.07100131303798084,-0.6526528230316587,0.0
2019-02-14,1.0,-0.0,-0.6858410315158311,-0.0,-0.09064762229751139,-0.6609549808662588,0.0
2019-02-15,1.0,-0.0,-0.6793312699534522,-0.0,-0.09380254916774305,-0.6639290327297541,0.0
2019-02-19,1.0,-0.0,-0.6797218155197657,-0.0,-0.0954856027330405,-0.6649829184968277,0.0
2019-02-20,1.0,-0.0,-0.6686145605064524,-0.0,-0.10112003895787679,-0.6651570489408326,0.0
2019-02-21,1.0,-0.0,-0.6783590093603744,-0.0,-0.09860081903276131,-0.6606376755070202,0.0
2019-02-22,1.0,-0.0,-0.6724776905446921,-0.0,-0.1037450626615302,-0.6619690837275077,0.0
2019-02-25,1.0,-0.0,-0.6683978250798527,-0.0,-0.10401579986833442,-0.6658376612293663,0.0
2019-02-26,1.0,-0.0,-0.6708015499719738,-0.0,-0.1019179684644067,-0.6643433334145689,0.0
2019-02-27,1.0,-0.0,-0.6788137661703686,-0.0,-0.09855992189406883,-0.6634610690749329,0.0
2019-02-28,1.0,-0.0,-0.6836020390741238,-0.0,-0.10388058245323056,-0.6516012585672821,0.0
2019-03-01,1.0,-0.0,-0.6880986619220552,-0.0,-0.09868629505959199,-0.6504911160398743,0.0
2019-03-04,1.0,-0.0,-0.6836294509029759,-0.0,-0.09046818259364871,-0.6630840096512393,0.0
2019-03-05,1.0,-0.0,-0.6748211626260406,-0.0,-0.1055445689592031,-0.6611001245147587,0.0
2019-03-06,1.0,-0.0,-0.6728408619469458,-0.0,-0.1055958220465139,-0.6619323034873221,0.0
2019-03-07,1.0,-0.0,-0.6758861439312567,-0.0,-0.10121081925593203,-0.6640953031930475,0.0
2019-03-08,1.0,-0.0,-0.6807986136535599,-0.0,-0.08484049693685777,-0.6751116643479534,0.0
2019-03-11,1.0,-0.0,-0.6816718700839808,-0.0,-0.08064086739756529,-0.6578813620852393,0.0
2019-03-12,1.0,-0.0,-0.667692233150831,-0.0,-0.08638984446920878,-0.6685159164688211,0.0
2019-03-13,1.0,-0.0,-0.6697352441097886,-0.0,-0.09349040563517125,-0.6657274714598008,0.0
2019-03-14,1.0,-0.0,-0.6687372609919442,-0.0,-0.09555469280792002,-0.662185771134621,0.0
2019-03-15,1.0,-0.0,-0.6622969160424165,-0.0,-0.09869637124233874,-0.6711499173071309,0.0
2019-03-18,1.0,-0.0,-0.6678223502697951,-0.0,-0.1060868715970408,-0.6676758551651732,0.0
2019-03-19,1.0,-0.0,-0.6697321756145286,-0.0,-0.10588235294117648,-0.6702947291182586,0.0
2019-03-20,1.0,-0.0,-0.6894060797317619,-0.0,-0.1075170730504672,-0.6684992973546017,0.0
2019-03-21,1.0,-0.0,-0.6948271120334025,-0.0,-0.08330624796859765,-0.7220541540615546,0.0
2019-03-22,1.0,-0.0,-0.692319258238316,-0.0,-0.11103871695276281,-0.7025936599423631,0.0
2019-03-25,1.0,-0.0,-0.6760591526778577,-0.0,-0.12032873701039168,-0.7016137090327738,0.0
2019-03-26,1.0,-0.0,-0.6865749999999999,-0.0,-0.12184999999999999,-0.6916,0.0
2019-03-27,1.0,-0.0,-0.69426607805759,-0.0,-0.1183405237283034,-0.6956707133540684,0.0
2019-03-28,1.0,-0.0,-0.6964679358717435,-0.0,-0.1160070140280561,-0.6925350701402805,0.0
2019-03-29,1.0,-0.0,-0.6943374518533341,-0.0,-0.11472662698214196,-0.692061427642439,0.0
2019-04-01,1.0,-0.0,-0.6987764906047488,-0.0,-0.1151950359046213,-0.6880926764580778,0.0
2019-04-02,1.0,-0.0,-0.7021281929160504,-0.0,-0.1240819191336826,-0.6804953249943598,0.0
2019-04-03,1.0,-0.0,-0.7022961997392961,-0.0,-0.12370901433871452,-0.6807881279454527,0.0
2019-04-04,1.0,-0.0,-0.6961205291766983,-0.0,-0.09009903447591153,-0.6958475017994985,0.0
2019-04-05,1.0,-0.0,-0.6952506596306068,-0.0,-0.08985911285906308,-0.704062328869418,0.0
2019-04-08,1.0,-0.0,-0.6929196499602228,-0.0,-0.09278042959427207,-0.7003778838504376,0.0
2019-04-09,1.0,-0.0,-0.6877770583254471,-0.0,-0.10663943816307216,-0.6959705135229366,0.0
2019-04-10,1.0,-0.0,-0.6807975704470776,-0.0,-0.10626804739619634,-0.7022553022005377,0.0
2019-04-11,1.0,-0.0,-0.685274134541201,-0.0,-0.09935043926233791,-0.7041138846718599,0.0
2019-04-12,1.0,-0.0,-0.6867634627815622,-0.0,-0.09519665854507482,-0.7042663219133808,0.0
2019-04-15,1.0,-0.0,-0.6841738090492326,-0.0,-0.1066872633047638,-0.7006428144309349,0.0
2019-04-16,1.0,-0.0,-0.6838962726091735,-0.0,-0.10682522234435894,-0.7075047466773259,0.0
2019-04-17,1.0,-0.0,-0.6601333400170435,-0.0,-0.11045666449446087,-0.7358012932979097,0.0
2019-04-18,1.0,-0.0,-0.6469556062467099,-0.0,-0.11688767452936605,-0.742862156268017,0.0
2019-04-22,1.0,-0.0,-0.6586214723462208,-0.0,-0.12246853799399764,-0.7409144788277723,0.0
2019-04-23,1.0,-0.0,-0.6605912200540227,-0.0,-0.11864791861257669,-0.7451846616009896,0.0
2019-04-24,1.0,-0.0,-0.6695910139709423,-0.0,-0.12642308374958797,-0.7395471487613783,0.0
2019-04-25,1.0,-0.0,-0.6663790697084275,-0.0,-0.12802294008678664,-0.7432182099626969,0.0
2019-04-26,1.0,-0.0,-0.65535214848716,-0.0,-0.15349605898804985,-0.7337401474701246,0.0
2019-04-29,1.0,-0.0,-0.6595506475662196,-0.0,-0.15505966769293403,-0.7298542021831504,0.0
2019-04-30,1.0,-0.0,-0.6631930289441501,-0.0,-0.1526192417448023,-0.7320882592743578,0.0
2019-05-01,1.0,-0.0,-0.6620339674606008,-0.0,-0.16264599377773245,-0.7254551945733667,0.0
2019-05-02,1.0,-0.0,-0.6668705246795607,-0.0,-0.14555462120632978,-0.7358254975409627,0.0
2019-05-03,1.0,-0.0,-0.6695034015338752,-0.0,-0.14431676306469285,-0.7341707646444314,0.0
2019-05-06,1.0,-0.0,-0.6650545982131494,-0.0,-0.1451879756662509,-0.7351286685163031,0.0
2019-05-07,1.0,-0.0,-0.665556685307575,-0.0,-0.14209456024402642,-0.7342907981698017,0.0
2019-05-08,1.0,-0.0,-0.6610233925539195,-0.0,-0.15662620067415162,-0.7167549484248676,0.0
2019-05-09,1.0,-0.0,-0.6604581622827023,-0.0,-0.16002736810095786,-0.7136232324768131,0.0
2019-05-10,1.0,-0.0,-0.6610418566940307,-0.0,-0.16220735785953178,-0.7104743083003953,0.0
2019-05-13,1.0,-0.0,-0.6601262453418512,-0.0,-0.16315562653687227,-0.7117651532435928,0.0
2019-05-14,1.0,-0.0,-0.6616069621534102,-0.0,-0.1679062942724145,-0.7003390002023882,0.0
2019-05-15,1.0,-0.0,-0.6626823338735819,-0.0,-0.1680763776337115,-0.7016561993517018,0.0
2019-05-16,1.0,-0.0,-0.6651364512529166,-0.0,-0.16432484528761285,-0.7067819823475702,0.0
2019-05-17,1.0,-0.0,-0.6642142511646851,-0.0,-0.17978157378885468,-0.7017642117054047,0.0
2019-05-20,1.0,-0.0,-0.6591377336894315,-0.0,-0.181126796388147,-0.7032939081775404,0.0
2019-05-21,1.0,-0.0,-0.6638625562304623,-0.0,-0.17404122296490204,-0.7035860421379012,0.0
2019-05-22,1.0,-0.0,-0.6590597900502053,-0.0,-0.17825447537907602,-0.6982859171357574,0.0
2019-05-23,1.0,-0.0,-0.663668381179213,-0.0,-0.17923835102744062,-0.690855651556997,0.0
2019-05-24,1.0,-0.0,-0.6700667326380959,-0.0,-0.1763213316079267,-0.6909746009997209,0.0
2019-05-28,1.0,-0.0,-0.6728338893943989,-0.0,-0.16360833080578302,-0.6911080780507532,0.0
2019-05-29,1.0,-0.0,-0.6778249015449863,-0.0,-0.16103705947692618,-0.6856003231344037,0.0
2019-05-30,1.0,-0.0,-0.6728371646056193,-0.0,-0.16048352426472448,-0.6955719090610222,0.0
2019-05-31,1.0,-0.0,-0.6795157532164927,-0.0,-0.1523908418599939,-0.7007395400668625,0.0
2019-06-03,1.0,-0.0,-0.6815367117401744,-0.0,-0.15177555920636926,-0.6941488689498294,0.0
2019-06-04,1.0,-0.0,-0.6823314933914012,-0.0,-0.1334379905808477,-0.7162606978275181,0.0
2019-06-05,1.0,-0.0,-0.6742205361404919,-0.0,-0.146772856317363,-0.691380046730146,0.0
2019-06-06,1.0,-0.0,-0.681293012508163,-0.0,-0.12844727985130858,-0.7019390164263827,0.0
2019-06-07,1.0,-0.0,-0.6777179654877497,-0.0,-0.13596116114101725,-0.7017658600392414,0.0
2019-06-10,1.0,-0.0,-0.6752926988593538,-0.0,-0.12923973669664843,-0.7079041254208331,0.0
2019-06-11,1.0,-0.0,-0.6799999999999999,-0.0,-0.12820641913152928,-0.709100062932662,0.0
2019-06-12,1.0,-0.0,-0.6828912266572709,-0.0,-0.12586198218150701,-0.7079579201691246,0.0
2019-06-13,1.0,-0.0,-0.6773714544585105,-0.0,-0.1293886693680316,-0.7100143457579342,0.0
2019-06-14,1.0,-0.0,-0.6726224928907568,-0.0,-0.14027229030878022,-0.703651508669502,0.0
2019-06-17,1.0,-0.0,-0.6696511657151479,-0.0,-0.14748120017102184,-0.697920072432786,0.0
2019-06-18,1.0,-0.0,-0.6536502974689927,-0.0,-0.15652415044872442,-0.7107492185136635,0.0
2019-06-19,1.0,-0.0,-0.6568573154767898,-0.0,-0.15620279931527542,-0.7042845634880678,0.0
2019-06-20,1.0,-0.0,-0.6576102023842528,-0.0,-0.15709353025682385,-0.7056481084759433,0.0
2019-06-21,1.0,-0.0,-0.6599203548744833,-0.0,-0.15445105353362235,-0.7060691601976006,0.0
2019-06-24,1.0,-0.0,-0.6615149158240711,-0.0,-0.15460270466919238,-0.6928519457058986,0.0
2019-06-25,1.0,-0.0,-0.6454830221776718,-0.0,-0.1631625109635384,-0.6973061019922315,0.0
2019-06-26,1.0,-0.0,-0.6419849050926506,-0.0,-0.1449562448283644,-0.7205436172613525,0.0
2019-06-27,1.0,-0.0,-0.6332203389830509,-0.0,-0.14711864406779662,-0.7306465787821721,0.0
2019-06-28,1.0,-0.0,-0.6286065224475471,-0.0,-0.1479708219487128,-0.7301280926478328,0.0
2019-07-01,1.0,-0.0,-0.6314773496452656,-0.0,-0.14530321642558097,-0.7301762390634009,0.0
2019-07-02,1.0,-0.0,-0.6334795138453828,-0.0,-0.14471870692895628,-0.7277784738754542,0.0
2019-07-03,1.0,-0.0,-0.6386392650629553,-0.0,-0.13707477033217352,-0.7274775338556659,0.0
2019-07-05,1.0,-0.0,-0.6122586439155815,-0.0,-0.1490046400239485,-0.7333732475178367,0.0
2019-07-08,1.0,-0.0,-0.616555993808977,-0.0,-0.14376653851914725,-0.7360826801138349,0.0
2019-07-09,1.0,-0.0,-0.6215737181087423,-0.0,-0.14279295022217783,-0.7320135803085526,0.0
2019-07-10,1.0,-0.0,-0.6195885554501424,-0.0,-0.14345633394916862,-0.7335846607080441,0.0
2019-07-11,1.0,-0.0,-0.6144065687982085,-0.0,-0.15269967653645186,-0.7210748942523016,0.0
