Date,IWF,IWM,MTUM,SPY,UHS,VLUE,VXX
2019-07-01,-0.0,-0.18377791994659398,-0.14528107702150148,-0.9805290534338404,1.0,-0.47194792912575445,0.0
2019-07-02,-0.0,-0.19051458119040338,-0.14108587473242337,-0.975230046426288,1.0,-0.47318673375774933,0.0
2019-07-03,-0.0,-0.1937422123771286,-0.14074484286307629,-0.9614841478609994,1.0,-0.4729890627163228,0.0
2019-07-05,-0.0,-0.18824213235904674,-0.14276619889839187,-0.9610008580364804,1.0,-0.47585042486645074,0.0
2019-07-08,-0.0,-0.1898078945911532,-0.1410618391186403,-0.9605270442340695,1.0,-0.47669268670763437,0.0
2019-07-09,-0.0,-0.18574103651484275,-0.14231425896348515,-0.9545629784656056,1.0,-0.4711406069284573,0.0
2019-07-10,-0.0,-0.16259128125691524,-0.13177694180128346,-0.9837630006638637,1.0,-0.48796747067935387,0.0
2019-07-11,-0.0,-0.1710251620701022,-0.11938248544116031,-0.9687946379518735,1.0,-0.4877485990550489,0.0
2019-07-12,-0.0,-0.13236394739655727,-0.1367742970169999,-0.9698492462311558,1.0,-0.43392494386827757,0.0
2019-07-15,-0.0,-0.15071130602203445,-0.14817092737191143,-0.9514921381965986,1.0,-0.4236816771847256,0.0
2019-07-16,-0.0,-0.1493072273043385,-0.1618787781522495,-0.9478681859519607,1.0,-0.41574386133846897,0.0
2019-07-17,-0.0,-0.17438242880314833,-0.15271093147552317,-0.9354375515196638,1.0,-0.3965485149041402,0.0
2019-07-18,-0.0,-0.17438894792773646,-0.1543039319872476,-0.93384697130712,1.0,-0.3942082890541977,0.0
2019-07-19,-0.0,-0.1750737110526735,-0.1533721146439291,-0.9356655244773819,1.0,-0.39214280022312537,0.0
2019-07-22,-0.0,-0.1804630931225632,-0.15417871256929158,-0.9309869241174442,1.0,-0.3866801050314299,0.0
2019-07-23,-0.0,-0.1827320954907162,-0.15408488063660478,-0.929893899204244,1.0,-0.3857824933687003,0.0
2019-07-24,-0.0,-0.18284729586426302,-0.15678685047720042,-0.9283934252386002,1.0,-0.3830858960763521,0.0
2019-07-25,-0.0,-0.19285676378495994,-0.15480549806294117,-0.9128854216419892,1.0,-0.3929841320384228,0.0
2019-07-26,-0.0,-0.18195077967540044,-0.15561684523178104,-0.9186909939535377,1.0,-0.395672005940384,0.0
2019-07-29,-0.0,-0.24510915380366852,-0.14790267724775444,-1.0976715793145548,1.0,-0.41617976221621467,0.0
2019-07-30,-0.0,-0.2420743412250596,-0.1515036937932639,-1.0925193415159096,1.0,-0.4224012564714094,0.0
2019-07-31,-0.0,-0.24902519932491415,-0.15125414654018504,-1.0888960018623057,1.0,-0.4206774137228656,0.0
2019-08-01,-0.0,-0.2600999825611812,-0.15808289251874674,-1.0754519560541766,1.0,-0.4128059059466372,0.0
2019-08-02,-0.0,-0.2596793002915452,-0.14708454810495628,-1.0795626822157434,1.0,-0.4291253644314868,0.0
2019-08-05,-0.0,-0.258107636870859,-0.14782633964895966,-1.0813088457514821,1.0,-0.418749273509241,0.0
2019-08-06,-0.0,-0.25966470841094713,-0.1535176959449778,-1.0305487892248173,1.0,-0.4220088837942399,0.0
2019-08-07,-0.0,-0.25983620640284066,-0.15062138480041237,-1.0312983219746865,1.0,-0.4217398774411546,0.0
2019-08-08,-0.0,-0.25768944383985337,-0.14751703992210322,-1.0336216278137351,1.0,-0.4250243427458617,0.0
2019-08-09,-0.0,-0.24113172065988545,-0.1452260876998034,-1.0195743225916745,1.0,-0.4433142433826253,0.0
2019-08-12,-0.0,-0.2358283745693705,-0.15827235714489082,-1.0280727728269226,1.0,-0.4249636990006549,0.0
2019-08-13,-0.0,-0.2199226745508301,-0.1562144644075506,-1.0348533090743688,1.0,-0.4318853763929952,0.0
2019-08-14,-0.0,-0.2243607914280855,-0.15542264300697317,-1.0271840807302002,1.0,-0.42768864448097965,0.0
2019-08-15,-0.0,-0.2430460428839004,-0.16717452685136006,-0.9993570210505718,1.0,-0.3859830589024629,0.0
2019-08-16,-0.0,-0.24061390511867156,-0.1685723071762042,-0.9957227922059769,1.0,-0.39062368958094545,0.0
2019-08-19,-0.0,-0.22758928073987406,-0.17070588890746002,-1.0014485486656637,1.0,-0.3859267925789737,0.0
2019-08-20,-0.0,-0.2268919218819352,-0.18214602751886372,-0.9886540168664002,1.0,-0.37641478029294273,0.0
2019-08-21,-0.0,-0.225535104522362,-0.17617500902251465,-0.9944754448793759,1.0,-0.3799727936481497,0.0
2019-08-22,-0.0,-0.22676951249965316,-0.17430148996975667,-0.9940068255597792,1.0,-0.3795122221913932,0.0
2019-08-23,-0.0,-0.22749986119593582,-0.1756704236300039,-0.9953084226306147,1.0,-0.37763033701626786,0.0
2019-08-26,-0.0,-0.21914046409446658,-0.1805574625841,-0.9871756144445971,1.0,-0.3592201016064809,0.0
2019-08-27,-0.0,-0.21577058968530033,-0.18167127714935224,-0.9816219769384569,1.0,-0.3598641505299773,0.0
2019-08-28,-0.0,-0.22720778150244547,-0.17008298071110622,-0.9819475737758973,1.0,-0.36846732977963403,0.0
2019-08-29,-0.0,-0.23053703246343404,-0.17057709722565242,-0.9794187865316539,1.0,-0.36365632117669655,0.0
2019-08-30,-0.0,-0.22673638678238017,-0.17315958058422537,-0.9797683905056533,1.0,-0.35806389793851123,0.0
2019-09-03,-0.0,-0.23227095996933356,-0.18265702864027164,-0.9685121296752642,1.0,-0.35466294288374134,0.0
2019-09-04,-0.0,-0.21222499246554702,-0.1826077426778816,-0.9777802131565249,1.0,-0.3671607441299762,0.0
2019-09-05,-0.0,-0.21580356167376816,-0.17185622200371464,-0.9872992461488037,1.0,-0.3563585709603409,0.0
2019-09-06,-0.0,-0.20682407533779174,-0.18662481233792821,-1.0072881124607616,1.0,-0.328865838678859,0.0
2019-09-09,-0.0,-0.19324968494876993,-0.18505835296696072,-1.0144649608240643,1.0,-0.3468303106679086,0.0
2019-09-10,-0.0,-0.1942777275343254,-0.17816328208501192,-1.0161144454493134,1.0,-0.35199649209350764,0.0
2019-09-11,-0.0,-0.22103022091962285,-0.12428456880581745,-1.017474493322642,1.0,-0.40216219205352943,0.0
2019-09-12,-0.0,-0.20157053586241225,-0.1306752198197202,-1.0255488580434664,1.0,-0.4072609633357297,0.0
2019-09-13,-0.0,-0.20006094351644094,-0.11895066345328126,-1.0285603479320757,1.0,-0.42256018172248544,0.0
2019-09-16,-0.0,-0.19672766534702804,-0.11954264832092136,-1.0299271891697352,1.0,-0.42227513081033197,0.0
2019-09-17,-0.0,-0.2140761651721466,-0.11466290269013618,-1.02950293368759,1.0,-0.4094154765858519,0.0
2019-09-18,-0.0,-0.1925807253542524,-0.09601414247438057,-1.0383117421208188,1.0,-0.4352954175068364,0.0
2019-09-19,-0.0,-0.1973219215902816,-0.098868028713418,-1.0268083931529541,1.0,-0.4379072335726118,0.0
2019-09-20,-0.0,-0.21440026544268098,-0.11320024332245755,-1.0075485262401151,1.0,-0.42987889177680694,0.0
2019-09-23,-0.0,-0.21725663716814161,-0.11839048672566373,-0.9981194690265488,1.0,-0.4316924778761062,0.0
2019-09-24,-0.0,-0.21964567037948093,-0.127138553384373,-0.9892485005942345,1.0,-0.4278488709543683,0.0
2019-09-25,-0.0,-0.21600287047003944,-0.1232646076564268,-0.9901189589025972,1.0,-0.4306809086141702,0.0
2019-09-26,-0.0,-0.18855878811637217,-0.1793184554643967,-1.027776999971999,1.0,-0.40444656007616275,0.0
2019-09-27,-0.0,-0.19057480270890467,-0.1829630044215593,-1.0196171713214306,1.0,-0.40530027424861476,0.0
2019-09-30,-0.0,-0.1717755279468267,-0.19045348739377962,-1.0263342401211544,1.0,-0.4159351599966346,0.0
2019-10-01,-0.0,-0.15477093340074718,-0.20358978680374148,-1.0247745849835679,1.0,-0.42577455689446925,0.0
2019-10-02,-0.0,-0.17174280879864637,-0.22924421883812746,-1.0184151156232375,1.0,-0.40070501974055267,0.0
2019-10-03,-0.0,-0.21083746602785014,-0.2209800790115155,-1.00495923342019,1.0,-0.3650500126082205,0.0
2019-10-04,-0.0,-0.23259533630777002,-0.23932990992507785,-0.9723040659988214,1.0,-0.3618430283132699,0.0
2019-10-07,-0.0,-0.2386990231477594,-0.23248523525624878,-0.9658241665966916,1.0,-0.3619951297338148,0.0
2019-10-08,-0.0,-0.23688336413013047,-0.22462063945349683,-0.9759784982361835,1.0,-0.36222632846183994,0.0
2019-10-09,-0.0,-0.24104925352309195,-0.21886423887261058,-0.9791823636109948,1.0,-0.3514720245569974,0.0
