Date,IWF,IWM,LFUS,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-02-04,-0.0,-0.7680646570554828,1.0,-0.0,-0.300786369593709,-0.0,-0.3164263870685889,-0.5409349060725208,-0.0,-0.02415902140672783,-0.2772389689820883,-0.020926168632590652,-0.0,-0.0,-0.25530799475753607,-0.007951070336391438,-0.7959807776321538,-0.0,-0.060899956312800346
2020-02-05,-0.0,-0.7779200141255408,1.0,-0.0,-0.3003884523704423,-0.0,-0.3159265471881345,-0.5836938289043877,-0.0,-0.0,-0.2620729231040876,-0.0,-0.0,-0.0,-0.2847179306082811,-0.06444777964156441,-0.7299373179129515,-0.0,-0.09517083075836497
2020-02-06,-0.0,-0.7117660710141563,1.0,-0.0,-0.25630076583894174,-0.0,-0.363425388721281,-0.5907171037363658,-0.0,-0.13905778602924113,-0.25852866094221394,-0.05254119285216988,-0.0,-0.0,-0.22743095845903924,-0.09877001624506847,-0.7608725922487816,-0.0,-0.18203759572986772
2020-02-07,-0.0,-0.7040644315414871,1.0,-0.0,-0.22658737591309236,-0.0,-0.347115564712493,-0.5847536991946057,-0.0,-0.14342573515639634,-0.25524442779546735,-0.09159018542798278,-0.0,-0.0,-0.2823094212399326,-0.11467503277767373,-0.7710245364300431,-0.0,-0.1616407566960105
2020-02-10,-0.0,-0.7298741840885442,1.0,-0.0,-0.22093463248510076,-0.0,-0.33847318134518967,-0.58528048434396,-0.0,-0.14350581780342447,-0.2504020433260808,-0.09951754800870305,-0.0,-0.0,-0.3211143695014663,-0.11976161195724151,-0.7681392488884684,-0.0,-0.15296566077003124
2020-02-11,-0.0,-0.7057527422522393,1.0,-0.0,-0.23025338889687216,-0.0,-0.3360157110695981,-0.5768549121042295,-0.0,-0.17880921588350818,-0.2868707189730325,-0.07577717104948029,-0.0,-0.0,-0.359486516261915,-0.10854049911385735,-0.7793265315897878,-0.0,-0.15227283613546005
2020-02-12,-0.0,-0.6815853069115515,1.0,-0.0,-0.25335911068148864,-0.0,-0.338714354760754,-0.5903818269695504,-0.0,-0.22745287578540357,-0.2571290478492025,-0.1357660705654906,-0.0,-0.0,-0.4834219429676172,-0.0890285161913968,-0.7381343644272595,-0.0,-0.03827936201063316
2020-02-13,-0.0,-0.6828864775436718,1.0,-0.0,-0.28324655734514137,-0.0,-0.39102720062284074,-0.592525911147876,-0.0,-0.16159797576760257,-0.2548294486886283,-0.10622354143350687,-0.0,-0.0,-0.4437253661622305,-0.06116490681718651,-0.7655588535837672,-0.0,-0.12305970512383825
2020-02-14,-0.0,-0.6687161115414407,1.0,-0.0,-0.2894074360960496,-0.0,-0.3889910921766073,-0.6073780015491866,-0.0,-0.16377807900852054,-0.25542215336948104,-0.09561386522075911,-0.0,-0.0,-0.42931835786212236,-0.06070875290472502,-0.7507261812548413,-0.0,-0.13114833462432224
2020-02-18,-0.0,-0.7999999999999999,1.0,-0.0,-0.25774014289494573,-0.0,-0.4949986768986504,-0.594654670547764,-0.0,-0.2028578989150569,-0.316221222545647,-0.0,-0.0,-0.0,-0.5389785657581371,-0.001640645673458587,-0.836305901032019,-0.0,-0.24895474993384492
2020-02-19,-0.0,-0.8490257973223033,1.0,-0.0,-0.21378034178730818,-0.0,-0.430608468488081,-0.5440840317840427,-0.0,-0.3017851311636008,-0.3154457385435942,-0.0,-0.0,-0.0,-0.621802547077392,-0.0,-0.9099814955915968,-0.0,-0.25590508326983785
2020-02-20,-0.0,-0.9481325561312608,1.0,-0.0,-0.14869386873920554,-0.0,-0.4168825561312608,-0.5800410189982729,-0.0,-0.2272236614853195,-0.30062607944732295,-0.0,-0.0,-0.0,-0.6631044905008635,-0.0,-0.8550302245250432,-0.0,-0.25750215889464595
2020-02-21,-0.0,-1.0169805332204824,1.0,-0.0,-0.0772852306390182,-0.0,-0.33939906898010996,-0.5638489208633093,-0.0,-0.10511002962336012,-0.3171815488785442,-0.0,-0.0,-0.0,-0.8030575539568344,-0.010103681760473973,-0.7161447312738044,-0.0,-0.34066864155734233
