Date,IWF,IWM,MTUM,SMFG,SPY,VLUE,VXX
2019-07-26,-0.0,-0.04540742276591333,-0.0,1.0,-0.679729075955491,-0.5786163522012578,0.0
2019-07-29,-0.0,-0.05417256657379071,-0.0,1.0,-0.6615584890147534,-0.5680811218197597,0.0
2019-07-30,-0.0,-0.05604531128671264,-0.0,1.0,-0.6590462704974193,-0.5687434339743297,0.0
2019-07-31,-0.0,-0.04729003180123087,-0.0,1.0,-0.6638449747191654,-0.5767462078748083,0.0
2019-08-01,-0.0,-0.05893783864109188,-0.0,1.0,-0.6602043849020369,-0.5670195011545232,0.0
2019-08-02,-0.0,-0.054595273433040305,-0.0,1.0,-0.665783765270008,-0.5629866423107661,0.0
2019-08-05,-0.0,-0.05247547342003194,-0.0,1.0,-0.6672370522473191,-0.5618297969427333,0.0
2019-08-06,-0.0,-0.05666259997288871,-0.0,1.0,-0.6453165243323844,-0.5573177895260043,0.0
2019-08-07,-0.0,-0.06265425808935081,-0.0,1.0,-0.6471027783438624,-0.5545592464280052,0.0
2019-08-08,-0.0,-0.060507246376811596,-0.0,1.0,-0.6467164855072464,-0.5572690217391304,0.0
2019-08-09,-0.0,-0.04670620870075099,-0.0,1.0,-0.6343564646715228,-0.5741864188899664,0.0
2019-08-12,-0.0,-0.04608856588272469,-0.0,1.0,-0.6339547691057645,-0.5770098857942491,0.0
2019-08-13,-0.0,-0.05015962947974279,-0.0,1.0,-0.6289176671612932,-0.5692027519222986,0.0
2019-08-14,-0.0,-0.06085961685136166,-0.0,1.0,-0.6151240522230697,-0.5672529050204136,0.0
2019-08-15,-0.0,-0.06825534953254345,-0.0,1.0,-0.604815137113149,-0.5582479862552157,0.0
2019-08-16,-0.0,-0.07410624791179418,-0.0,1.0,-0.5971043546051898,-0.5562089319523332,0.0
2019-08-19,-0.0,-0.07273455224876552,-0.0,1.0,-0.5979358512389341,-0.5536278304195027,0.0
2019-08-20,-0.0,-0.07616827616827616,-0.0,1.0,-0.5974469974469975,-0.5463869463869464,0.0
2019-08-21,-0.0,-0.07530341017505712,-0.0,1.0,-0.594839253622063,-0.5485789088327305,0.0
2019-08-22,-0.0,-0.0768070953436807,-0.0,1.0,-0.5927937915742794,-0.5477161862527716,0.0
2019-08-23,-0.0,-0.07605996097214829,-0.0,1.0,-0.5928463721837857,-0.5485630654603512,0.0
2019-08-26,-0.0,-0.06990419557317476,-0.0,1.0,-0.5898909811694748,-0.5426054399295231,0.0
2019-08-27,-0.0,-0.07049740818352267,-0.0,1.0,-0.5947060769824639,-0.5405977721407301,0.0
2019-08-28,-0.0,-0.06460717514498027,-0.0,1.0,-0.6018169389870124,-0.5385989283588013,0.0
2019-08-29,-0.0,-0.06046511627906977,-0.0,1.0,-0.6143723134575113,-0.52950512509644,0.0
2019-08-30,-0.0,-0.054912658951907424,-0.0,1.0,-0.6191974303691644,-0.525916310995732,0.0
2019-09-03,-0.0,-0.061643383566164334,-0.0,1.0,-0.6151358486415136,-0.5231987680123199,0.0
2019-09-04,-0.0,-0.05965342738843736,-0.0,1.0,-0.6100729511249371,-0.5209980940697089,0.0
2019-09-05,-0.0,-0.06602226255822599,-0.0,1.0,-0.6095086054191178,-0.511360902748923,0.0
2019-09-06,-0.0,-0.06328423349699946,-0.0,1.0,-0.618025095471904,-0.5009056192034915,0.0
2019-09-09,-0.0,-0.0690866255099147,-0.0,1.0,-0.616871359699832,-0.49551711350101435,0.0
2019-09-10,-0.0,-0.06866934077432857,-0.0,1.0,-0.6239100104638996,-0.4874215207534008,0.0
2019-09-11,-0.0,-0.0668003399952052,-0.0,1.0,-0.5696445306540548,-0.5430115729137153,0.0
2019-09-12,-0.0,-0.0694840380388658,-0.0,1.0,-0.5636628729353904,-0.5430113376710988,0.0
2019-09-13,-0.0,-0.06939548243896071,-0.0,1.0,-0.5616050833442138,-0.5450885668276972,0.0
2019-09-16,-0.0,-0.07321957165244646,-0.0,1.0,-0.5576353822044228,-0.5457078182134772,0.0
2019-09-17,-0.0,-0.08630247168539815,-0.0,1.0,-0.5498576117910481,-0.5377057020499555,0.0
2019-09-18,-0.0,-0.08581180972258458,-0.0,1.0,-0.5516349247760676,-0.53663362031481,0.0
2019-09-19,-0.0,-0.09116586277321513,-0.0,1.0,-0.5421283622300439,-0.5393690522748011,0.0
2019-09-20,-0.0,-0.11212016125536434,-0.0,1.0,-0.5349386622740474,-0.5203519875157137,0.0
2019-09-23,-0.0,-0.11721222631693042,-0.0,1.0,-0.5257966616084977,-0.5247778018642966,0.0
2019-09-24,-0.0,-0.11997226074895977,-0.0,1.0,-0.5259622052704577,-0.5211945214979196,0.0
2019-09-25,-0.0,-0.11541792983975747,-0.0,1.0,-0.5295149415331313,-0.5205067128627111,0.0
2019-09-26,-0.0,-0.1087151841868823,-0.0,1.0,-0.5615892007976684,-0.5210702780882256,0.0
2019-09-27,-0.0,-0.10756762676596211,-0.0,1.0,-0.5625670791808126,-0.5202277954221881,0.0
2019-09-30,-0.0,-0.08243326308394802,-0.0,1.0,-0.5823454513523008,-0.5305145767474535,0.0
2019-10-01,-0.0,-0.08456826714088124,-0.0,1.0,-0.5820544907681837,-0.5287931677973171,0.0
2019-10-02,-0.0,-0.0836865104635587,-0.0,1.0,-0.5912294955971804,-0.5210259338149718,0.0
2019-10-03,-0.0,-0.1056830601092896,-0.0,1.0,-0.5773333333333333,-0.5027540983606557,0.0
2019-10-04,-0.0,-0.10558992632752552,-0.0,1.0,-0.5782961327416216,-0.502262641278447,0.0
2019-10-07,-0.0,-0.11882699225989317,-0.0,1.0,-0.5640466586721901,-0.4974381336531124,0.0
2019-10-08,-0.0,-0.1183102891786976,-0.0,1.0,-0.5650324944388712,-0.49751384830112966,0.0
2019-10-09,-0.0,-0.11708599487246339,-0.0,1.0,-0.5621170642680224,-0.4934819449876157,0.0
2019-10-10,-0.0,-0.11814336839822144,-0.0,1.0,-0.5597223728445939,-0.49109641036763907,0.0
