Date,IWF,IWM,MTUM,OCFT,SPY,VLUE,VXX
2020-09-14,-1.2690669371196754,-0.0829107505070994,-1.1771805273833673,1.0,-1.5418356997971603,-0.0,0.0
2020-09-15,-1.2690357903274867,-0.08192233600324446,-1.1762141336307412,1.0,-1.542279225387813,-0.0,0.0
2020-09-16,-1.2676969850519382,-0.08446921712693185,-1.1711173042817329,1.0,-1.5438560932353687,-0.0,0.0
2020-09-17,-1.2666936873036783,-0.08592562569662579,-1.1705339953389402,1.0,-1.543216131320296,-0.0,0.0
2020-09-18,-1.2623639584915212,-0.08807896735003795,-1.1696785623892685,1.0,-1.5418375094912682,-0.0,0.0
2020-09-21,-1.2590044516390124,-0.09085390530149737,-1.1718433832456496,1.0,-1.5369789558883042,-0.0,0.0
2020-09-22,-1.2581967213114753,-0.09198542805100182,-1.1706132361870067,1.0,-1.5389091277069418,-0.0,0.0
2020-09-23,-1.2571833265884258,-0.09252326993120195,-1.1709328207203562,1.0,-1.53804127883448,-0.0,0.0
2020-09-24,-1.2484362389023405,-0.08146690879741728,-1.1614205004035512,1.0,-1.5530669895076674,-0.0,0.0
2020-09-25,-1.248234463276836,-0.0821731234866828,-1.1616727199354318,1.0,-1.5523103309120259,-0.0,0.0
2020-09-28,-1.2442540322580646,-0.08447580645161291,-1.1503528225806452,1.0,-1.561239919354839,-0.0,0.0
2020-09-29,-1.2427521642842763,-0.08083350110730825,-1.1507449164485606,1.0,-1.5589389973827261,-0.0,0.0
2020-09-30,-1.243741500025185,-0.08149901778068805,-1.150355110058933,1.0,-1.5613761144411422,-0.0,0.0
2020-10-01,-1.2434038267875125,-0.08277945619335347,-1.1492447129909364,1.0,-1.5598690835850957,-0.0,0.0
2020-10-02,-1.242462374792369,-0.08179392963205315,-1.1483867720340262,1.0,-1.5608295162832837,-0.0,0.0
2020-10-05,-1.2483739222507941,-0.07537941814148137,-1.1542883073665102,1.0,-1.564059900166389,-0.0,0.0
2020-10-06,-1.2505158270846963,-0.06431483065774243,-1.1474510593326959,1.0,-1.5701776458155101,-0.0,0.0
2020-10-07,-1.2429628883629589,-0.08192758950601743,-1.1447706329623848,1.0,-1.5658391661211544,-0.0,0.0
2020-10-08,-1.2411540008041817,-0.07825693606755127,-1.1426919983916366,1.0,-1.563982710092481,-0.0,0.0
2020-10-09,-1.2481380837359097,-0.07492954911433172,-1.1477958937198067,1.0,-1.5613929146537842,-0.0,0.0
2020-10-12,-1.2435001257229066,-0.07724415388483782,-1.1467940658788032,1.0,-1.561377923057581,-0.0,0.0
2020-10-13,-1.2288974913277362,-0.09169976371223165,-1.147353074254688,1.0,-1.5594992710270976,-0.0,0.0
2020-10-14,-1.2289089994972349,-0.09155354449472097,-1.1471593765711414,1.0,-1.5600301659125189,-0.0,0.0
2020-10-15,-1.2298677128917057,-0.09239977868316485,-1.1476283889140386,1.0,-1.5600824908203814,-0.0,0.0
2020-10-16,-1.2336622696606585,-0.08775551303997585,-1.1511428859127983,1.0,-1.5621790353438727,-0.0,0.0
2020-10-19,-1.2329960227558776,-0.08790212958767557,-1.1511352766450182,1.0,-1.5625031465538943,-0.0,0.0
2020-10-20,-1.2300497812641424,-0.08940513903555088,-1.149092371901242,1.0,-1.5598632272338713,-0.0,0.0
2020-10-21,-1.2346120885214498,-0.09028582951051066,-1.1459394061602057,1.0,-1.570197106417301,-0.0,0.0
2020-10-22,-1.2361958549745349,-0.08834652816297717,-1.1442186475719833,1.0,-1.5738490242549545,-0.0,0.0
2020-10-23,-1.236587333602259,-0.08803953206938282,-1.1445643404598629,1.0,-1.5731645824929408,-0.0,0.0
2020-10-26,-1.236341623366796,-0.08722191393835443,-1.1465469404227413,1.0,-1.5745850779397672,-0.0,0.0
2020-10-27,-1.2333249306780942,-0.07718679102596421,-1.1575497857322914,1.0,-1.573531635996975,-0.0,0.0
2020-10-28,-1.2348878245525585,-0.07648096798588354,-1.1577514494580288,1.0,-1.5725233173682884,-0.0,0.0
