Date,IWF,IWM,MTUM,PFL,SPY,VLUE,VXX
2019-03-29,-0.0,-0.18822612878095046,-0.0,1.0,-0.3130271313890865,-0.1923415642041798,0.0
2019-04-01,-0.0,-0.1917044915656121,-0.0,1.0,-0.3135288937063885,-0.18840186979201953,0.0
2019-04-02,-0.0,-0.19287628744331875,-0.0,1.0,-0.31138007181025906,-0.18141361697823777,0.0
2019-04-03,-0.0,-0.19512113168240314,-0.0,1.0,-0.30135076106313635,-0.18356238029636102,0.0
2019-04-04,-0.0,-0.19360371267150928,-0.0,1.0,-0.3034032822168415,-0.1844733656174334,0.0
2019-04-05,-0.0,-0.18944993517754619,-0.0,1.0,-0.3076456821510953,-0.18660448200966445,0.0
2019-04-08,-0.0,-0.1879901713285536,-0.0,1.0,-0.30903093338718907,-0.18595375138846815,0.0
2019-04-09,-0.0,-0.18091716475872083,-0.0,1.0,-0.32402998683010836,-0.18350048964981597,0.0
2019-04-10,-0.0,-0.18216382631516967,-0.0,1.0,-0.33271647516024294,-0.1674769939940445,0.0
2019-04-11,-0.0,-0.17582676238672473,-0.0,1.0,-0.3498377578641201,-0.15560113653558397,0.0
2019-04-12,-0.0,-0.17716482557163482,-0.0,1.0,-0.34606990565087464,-0.15557532820736664,0.0
2019-04-15,-0.0,-0.17826970557113825,-0.0,1.0,-0.34298527015905544,-0.15829960194158452,0.0
2019-04-16,-0.0,-0.17879760124976904,-0.0,1.0,-0.3440224420889957,-0.1569770371739094,0.0
2019-04-17,-0.0,-0.16146191666806506,-0.0,1.0,-0.3553437484268287,-0.16124377024147132,0.0
2019-04-18,-0.0,-0.16120856063785144,-0.0,1.0,-0.3547293327738145,-0.16261854804867812,0.0
2019-04-22,-0.0,-0.1614346758184449,-0.0,1.0,-0.3562464250866391,-0.16463106894115273,0.0
2019-04-23,-0.0,-0.15968648030410065,-0.0,1.0,-0.35513169845594916,-0.1671376189995627,0.0
2019-04-24,-0.0,-0.15737721450902611,-0.0,1.0,-0.3543382525969005,-0.1691262984502639,0.0
2019-04-25,-0.0,-0.15676148502027012,-0.0,1.0,-0.35773041532793914,-0.16766195098154657,0.0
2019-04-26,-0.0,-0.15191216341377162,-0.0,1.0,-0.36286479295421253,-0.169206675311116,0.0
