Date,FTAI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-01-17,1.0,-0.0,-0.6165386767024361,-0.0,-0.4784366576819407,-0.44787163708488026,0.0
2019-01-18,1.0,-0.0,-0.6107700179073932,-0.0,-0.48178562292146326,-0.46566896904579175,0.0
2019-01-22,1.0,-0.0,-0.6585478176329121,-0.0,-0.482679220181139,-0.41725937675894187,0.0
2019-01-23,1.0,-0.0,-0.6482988830401848,-0.0,-0.4860700988573629,-0.4333547310309411,0.0
2019-01-24,1.0,-0.0,-0.6483013825358483,-0.0,-0.48758801459628925,-0.43387983759058435,0.0
2019-01-25,1.0,-0.0,-0.6489634953169188,-0.0,-0.5202501102664556,-0.4252912331681499,0.0
2019-01-28,1.0,-0.0,-0.6382685916078106,-0.0,-0.5349501454092231,-0.42337453261321145,0.0
2019-01-29,1.0,-0.0,-0.6194545028264777,-0.0,-0.5514106338083206,-0.43418344752129634,0.0
2019-01-30,1.0,-0.0,-0.6173491968446538,-0.0,-0.5507276561401682,-0.4353440420712817,0.0
2019-01-31,1.0,-0.0,-0.6293323604523896,-0.0,-0.5169646114556731,-0.45963412727367486,0.0
2019-02-01,1.0,-0.0,-0.628563975479327,-0.0,-0.524742402504239,-0.4552497717490544,0.0
2019-02-04,1.0,-0.0,-0.6327212892104369,-0.0,-0.5321910831352679,-0.44694021469428263,0.0
2019-02-05,1.0,-0.0,-0.6291929678126141,-0.0,-0.5315092075747301,-0.44767593510355264,0.0
2019-02-06,1.0,-0.0,-0.6232942834033449,-0.0,-0.5338012367260677,-0.4520572964228873,0.0
2019-02-07,1.0,-0.0,-0.6187412077319856,-0.0,-0.5362892721304642,-0.45005991767832026,0.0
2019-02-08,1.0,-0.0,-0.6164734148124935,-0.0,-0.5384675650266375,-0.4565705630418887,0.0
2019-02-11,1.0,-0.0,-0.6260213702074167,-0.0,-0.5559396605908233,-0.4369631259166143,0.0
2019-02-12,1.0,-0.0,-0.6355878800609148,-0.0,-0.5577902641390537,-0.43228482907104976,0.0
2019-02-13,1.0,-0.0,-0.6146383110835145,-0.0,-0.5502690675773569,-0.4223067370381869,0.0
2019-02-14,1.0,-0.0,-0.5815411722029331,-0.0,-0.573560657096958,-0.43594859304555117,0.0
2019-02-15,1.0,-0.0,-0.6129925232194138,-0.0,-0.5546529376762477,-0.4194758492225701,0.0
2019-02-19,1.0,-0.0,-0.601690315577266,-0.0,-0.5654028068543072,-0.4174872709415627,0.0
2019-02-20,1.0,-0.0,-0.6137337927044157,-0.0,-0.5668674223496305,-0.4494121978802304,0.0
2019-02-21,1.0,-0.0,-0.6227179460198875,-0.0,-0.5643973273004682,-0.443520808123323,0.0
2019-02-22,1.0,-0.0,-0.60619480621577,-0.0,-0.5785749849322607,-0.43570661146196377,0.0
2019-02-25,1.0,-0.0,-0.5999736911339122,-0.0,-0.5867929492238885,-0.4441462772954486,0.0
2019-02-26,1.0,-0.0,-0.5894174909718951,-0.0,-0.5892866488721411,-0.43813785523630083,0.0
2019-02-27,1.0,-0.0,-0.5761773579955398,-0.0,-0.6004460186278369,-0.4470156106519743,0.0
2019-02-28,1.0,-0.0,-0.5738217145857949,-0.0,-0.5988446895103059,-0.45306551135617695,0.0
2019-03-01,1.0,-0.0,-0.5704014694305957,-0.0,-0.5993702440304383,-0.45421149304644454,0.0
2019-03-04,1.0,-0.0,-0.5650827801537532,-0.0,-0.594967596358198,-0.4637525253850392,0.0
2019-03-05,1.0,-0.0,-0.5564785363160799,-0.0,-0.6083173418154096,-0.46397308167503476,0.0
2019-03-06,1.0,-0.0,-0.5539416903483845,-0.0,-0.6179086411956637,-0.4594516366698242,0.0
2019-03-07,1.0,-0.0,-0.5308567375141212,-0.0,-0.6421984604471533,-0.45416808974594747,0.0
2019-03-08,1.0,-0.0,-0.5232203883752351,-0.0,-0.671470580443479,-0.4545261875115903,0.0
2019-03-11,1.0,-0.0,-0.5278175578913238,-0.0,-0.6704044962036262,-0.5038233943094923,0.0
