Date,EXPO,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-02-11,1.0,-0.0,-0.45980280621918845,-0.0,-0.29225129566426494,-0.0,-0.755087852357477,-0.0,-0.0,-0.1189799014031096,-0.0,-0.0,-0.0,-0.0,-0.1661926431551005,-0.0,-0.36787384654278854,-0.0,-0.0
2019-02-12,1.0,-0.0,-0.48206817893803067,-0.0,-0.29505132429349895,-0.0,-0.7480357369154733,-0.0,-0.0,-0.10150804714231404,-0.0,-0.0,-0.0,-0.0,-0.17377391965530353,-0.0,-0.3676973767583323,-0.0,-0.0
2019-02-13,1.0,-0.0,-0.4805679410555608,-0.0,-0.28131423331119754,-0.0,-0.7581507130885747,-0.0,-0.0,-0.10103405748980172,-0.0,-0.0,-0.0,-0.0,-0.1705088068810676,-0.0,-0.37067956866837426,-0.0,-0.0
2019-02-14,1.0,-0.0,-0.47649232337389313,-0.0,-0.3049945849525387,-0.0,-0.7712620245906862,-0.0,-0.0,-0.09444479836911511,-0.0,-0.0,-0.0,-0.0,-0.17465120723705166,-0.0,-0.36350895075492135,-0.0,-0.0
2019-02-15,1.0,-0.0,-0.4940024245517769,-0.0,-0.28756460154405666,-0.0,-0.7739743507943596,-0.0,-0.0,-0.10195878261979201,-0.0,-0.0,-0.0,-0.0,-0.1441651247368085,-0.0,-0.38853442225483314,-0.0,-0.0
2019-02-19,1.0,-0.0,-0.48444161629016863,-0.0,-0.28475978364619786,-0.0,-0.7704422526248806,-0.0,-0.0,-0.11097677378300985,-0.0,-0.0,-0.0,-0.0,-0.13903913458479158,-0.0,-0.39201399936366527,-0.0,-0.0
2019-02-20,1.0,-0.0,-0.48144615091099874,-0.0,-0.2850965054532736,-0.0,-0.7756685427199593,-0.0,-0.0,-0.11170466469522085,-0.0,-0.0,-0.0,-0.0,-0.1361887500397469,-0.0,-0.38964672962574326,-0.0,-0.0
2019-02-21,1.0,-0.0,-0.47541554535380715,-0.0,-0.301282254234605,-0.0,-0.7636536330536646,-0.0,-0.0,-0.11904384992876366,-0.0,-0.0,-0.0,-0.0,-0.12797213867342092,-0.0,-0.3786607566883014,-0.0,-0.0
2019-02-22,1.0,-0.0,-0.48105332787349986,-0.0,-0.2986738904463414,-0.0,-0.7659621381547863,-0.0,-0.0,-0.11465650297665923,-0.0,-0.0,-0.0,-0.0,-0.11853088480801335,-0.0,-0.3710586827101774,-0.0,-0.0
2019-02-25,1.0,-0.0,-0.48153180195266837,-0.0,-0.30272678441656925,-0.0,-0.7734841543176719,-0.0,-0.0,-0.11886631489146576,-0.0,-0.0,-0.0,-0.0,-0.09782299598723498,-0.0,-0.3852254415621347,-0.0,-0.0
2019-02-26,1.0,-0.0,-0.4622772652596992,-0.0,-0.3242133198534058,-0.0,-0.7791608745102995,-0.0,-0.0,-0.12368886642234296,-0.0,-0.0,-0.0,-0.0,-0.09380133956779982,-0.0,-0.37615316567673446,-0.0,-0.0
2019-02-27,1.0,-0.0,-0.46274534713841076,-0.0,-0.3441211967223528,-0.0,-0.7558279870418599,-0.0,-0.0,-0.1332020580575494,-0.0,-0.0,-0.0,-0.0,-0.08467255288064537,-0.0,-0.3954455948675602,-0.0,-0.0
2019-02-28,1.0,-0.0,-0.4562894378032153,-0.0,-0.3506357611694201,-0.0,-0.7456955322319815,-0.0,-0.0,-0.14164314931667565,-0.0,-0.0,-0.0,-0.0,-0.08608935536037036,-0.0,-0.3905254145923836,-0.0,-0.0
2019-03-01,1.0,-0.0,-0.4555481601217077,-0.0,-0.3338087540806947,-0.0,-0.7561725460365756,-0.0,-0.0,-0.1462394218883712,-0.0,-0.0,-0.0,-0.0,-0.0867801337517036,-0.0,-0.3908909384805553,-0.0,-0.0
2019-03-04,1.0,-0.0,-0.4486431651027137,-0.0,-0.34047679431904637,-0.0,-0.7581473497337053,-0.0,-0.0,-0.14535252345929495,-0.0,-0.0,-0.0,-0.0,-0.0896208470707583,-0.0,-0.3879343139741314,-0.0,-0.0
2019-03-05,1.0,-0.0,-0.464449834056676,-0.0,-0.3282167475108501,-0.0,-0.7888371202450855,-0.0,-0.0,-0.1286699004340056,-0.0,-0.0,-0.0,-0.0,-0.08967321930048505,-0.0,-0.39137094715343373,-0.0,-0.0
2019-03-06,1.0,-0.0,-0.4497889215811692,-0.0,-0.3148586414225406,-0.0,-0.804528591531278,-0.0,-0.0,-0.1437252142765767,-0.0,-0.0,-0.0,-0.0,-0.09290648586414225,-0.0,-0.3923500063963157,-0.0,-0.0
2019-03-07,1.0,-0.0,-0.4384842051899497,-0.0,-0.31741706536548275,-0.0,-0.7962992300624188,-0.0,-0.0,-0.16092645987136023,-0.0,-0.0,-0.0,-0.0,-0.07132220145115807,-0.0,-0.3839865656981718,-0.0,-0.0
2019-03-08,1.0,-0.0,-0.4473458496140284,-0.0,-0.2973093173226596,-0.0,-0.8130182026112646,-0.0,-0.0,-0.1632516916039264,-0.0,-0.0,-0.0,-0.0,-0.03446742272626195,-0.0,-0.42132850471743066,-0.0,-0.0
2019-03-11,1.0,-0.0,-0.4443279313632031,-0.0,-0.30336828725770576,-0.0,-0.8147442008261838,-0.0,-0.0,-0.1622815379726724,-0.0,-0.0,-0.0,-0.0,-0.036161423578010804,-0.0,-0.41677788369876073,-0.0,-0.0
2019-03-12,1.0,-0.0,-0.42553594544249046,-0.0,-0.2981719445584567,-0.0,-0.8224355128974205,-0.0,-0.0,-0.16802955198433997,-0.0,-0.0,-0.0,-0.0,-0.02118523663688315,-0.0,-0.4219050926656774,-0.0,-0.0
2019-03-13,1.0,-0.0,-0.4208153356244285,-0.0,-0.2999968471166882,-0.0,-0.8232178327080114,-0.0,-0.0,-0.16155374089604943,-0.0,-0.0,-0.0,-0.0,-0.03679414824857332,-0.0,-0.41053693602799757,-0.0,-0.0
2019-03-14,1.0,-0.0,-0.4202295371421365,-0.0,-0.2997855971749275,-0.0,-0.8273111363349729,-0.0,-0.0,-0.1619056627569681,-0.0,-0.0,-0.0,-0.0,-0.03373691512170513,-0.0,-0.40998234329675876,-0.0,-0.0
2019-03-15,1.0,-0.0,-0.4018148481929208,-0.0,-0.3149258833400665,-0.0,-0.8122688710028279,-0.0,-0.0,-0.1664439541315765,-0.0,-0.0,-0.0,-0.0,-0.05528450231517449,-0.0016470368874110443,-0.35520059666241954,-0.0,-0.0
2019-03-18,1.0,-0.0,-0.402734192947025,-0.0,-0.31179120708404534,-0.0,-0.7917042100357308,-0.0,-0.0,-0.17212987416498368,-0.0,-0.0,-0.0,-0.0,-0.07397856144166537,-0.013888457355911137,-0.3408109367717881,-0.0,-0.0
2019-03-19,1.0,-0.0,-0.4096464019851116,-0.0,-0.308591811414392,-0.0,-0.7830024813895781,-0.0,-0.0,-0.17102977667493796,-0.0,-0.0,-0.0,-0.0,-0.07602357320099255,-0.015136476426799005,-0.3383064516129032,-0.0,-0.0
2019-03-20,1.0,-0.0,-0.39530545624125607,-0.0,-0.3113011036841287,-0.0,-0.7880615575936577,-0.0,-0.0,-0.16741800093269082,-0.0,-0.0,-0.0,-0.0,-0.1016322089227421,-0.03646821078812374,-0.3088139281828074,-0.0,-0.0
2019-03-21,1.0,-0.0,-0.389536510304952,-0.0,-0.3220491777798502,-0.0,-0.7463707295843826,-0.0,-0.0,-0.17373869253007557,-0.0,-0.013335820199571018,-0.0,-0.0,-0.10395100873511766,-0.013024961919860738,-0.3466069818769623,-0.0,-0.0
2019-03-22,1.0,-0.0,-0.37148131056760497,-0.0,-0.31124442393477925,-0.0,-0.7320412244270113,-0.0,-0.0,-0.18471004460852178,-0.0,-0.027411167512690352,-0.0,-0.0,-0.11610521458237195,-0.0,-0.33342562682664206,-0.0,-0.0
2019-03-25,1.0,-0.0,-0.3464223117370314,-0.0,-0.2908889640539959,-0.0,-0.7569570431413548,-0.0,-0.0,-0.2041450139909597,-0.0,-0.018449617170443713,-0.0,-0.0,-0.10706927831247501,-0.0,-0.3510039666676916,-0.0,-0.0
2019-03-26,1.0,-0.0,-0.327035633055345,-0.0,-0.27727065959059893,-0.0,-0.7265504169825625,-0.0,-0.0,-0.21489006823351026,-0.0,-0.044912812736921916,-0.0,-0.0,-0.12679302501895376,-0.0,-0.3151478392721759,-0.0,-0.0
2019-03-27,1.0,-0.0,-0.2730632850531883,-0.0,-0.2908828655568243,-0.0,-0.7509465713083718,-0.0,-0.0,-0.22789831119658632,-0.0,-0.059649017368832255,-0.0,-0.0,-0.11424965442634773,-0.0,-0.2882685257527495,-0.0,-0.0
2019-03-28,1.0,-0.0,-0.2518496240601503,-0.0,-0.31425563909774434,-0.0,-0.7449022556390977,-0.0,-0.0,-0.23269172932330823,-0.0,-0.06333834586466165,-0.0,-0.0,-0.11121804511278195,-0.0,-0.28932330827067665,-0.0,-0.0
2019-03-29,1.0,-0.0,-0.2409820243696465,-0.0,-0.3289902280130293,-0.0,-0.7656231149716491,-0.0,-0.0,-0.22502714440825186,-0.0,-0.04343105320304017,-0.0,-0.0,-0.13723006394016166,-0.0,-0.2747315719628423,-0.0,-0.0
2019-04-01,1.0,-0.0,-0.21986711163224196,-0.0,-0.32476473948468176,-0.0,-0.7448062295180542,-0.0,-0.0,-0.22795466161570607,-0.0,-0.08009380355371155,-0.0,-0.0,-0.12044135774630949,-0.0,-0.2885962538708999,-0.0,-0.0
2019-04-02,1.0,-0.0,-0.23461004047604664,-0.0,-0.30924907871684887,-0.0,-0.7700114782818823,-0.0,-0.0,-0.21591252340965383,-0.0,-0.05394792484745967,-0.0,-0.0,-0.12396544433033287,-0.0,-0.31293421132121063,-0.0,-0.0
2019-04-03,1.0,-0.0,-0.23028995197860316,-0.0,-0.3361193848398274,-0.0,-0.7403197374019816,-0.0,-0.0,-0.20478998237189228,-0.0,-0.054403987599538024,-0.0,-0.0,-0.1727858488845663,-0.0,-0.3006200230988998,-0.0,-0.0
2019-04-04,1.0,-0.0,-0.2232685297691373,-0.0,-0.3616342648845687,-0.0,-0.7292831105710814,-0.0,-0.0,-0.2038274605103281,-0.0,-0.04990886998784933,-0.0,-0.0,-0.18010328068043743,-0.0,-0.2896415552855407,-0.0,-0.0
2019-04-05,1.0,-0.0,-0.21396161628548654,-0.0,-0.3500827763811392,-0.0,-0.7738671898951498,-0.0,-0.0,-0.20856582255196512,-0.0,-0.05539885952541541,-0.0,-0.0,-0.16285486541173583,-0.0,-0.30106076399534,-0.0,-0.0
2019-04-08,1.0,-0.0,-0.17732449005130774,-0.0,-0.38433863095982984,-0.0,-0.8164810411713177,-0.0,-0.0,-0.19177825053184835,-0.0,-0.08187335752721812,-0.0,-0.0,-0.18101614316105621,-0.0,-0.29570767113002133,-0.0,-0.0
2019-04-09,1.0,-0.0,-0.16075620520204076,-0.0,-0.37231212244514694,-0.0,-0.8388055964192933,-0.0,-0.0,-0.2060784375097812,-0.0,-0.08050330213778209,-0.0,-0.0,-0.1844189176500047,-0.0,-0.2870825377946101,-0.0,-0.0
2019-04-10,1.0,-0.0,-0.17092387056432704,-0.0,-0.37092387056432696,-0.0,-0.8272315147725495,-0.0,-0.0,-0.2036267000156323,-0.0,-0.07162732530873847,-0.0,-0.0,-0.19484133187431607,-0.0,-0.28722838830701886,-0.0,-0.0
2019-04-11,1.0,-0.0,-0.2318456047253546,-0.0,-0.3300799140844626,-0.0,-0.8384977415584826,-0.0,-0.0,-0.19634227233961907,-0.0,-0.05672952399001864,-0.0,-0.0,-0.19507880855364984,-0.014119207808206198,-0.29599797845794246,-0.0,-0.0
2019-04-12,1.0,-0.0,-0.23095877428526299,-0.0,-0.3123993050071079,-0.0,-0.8513662928447323,-0.0,-0.0,-0.19658821671142,-0.0,-0.05866371821197283,-0.0,-0.0,-0.20306428684252095,-0.01914389511925446,-0.286905702100774,-0.0,-0.0
2019-04-15,1.0,-0.0,-0.2461334929284657,-0.0,-0.33628374334582795,-0.0,-0.8615617223674679,-0.0,-0.0,-0.18455287113743032,-0.0,-0.01225312627964847,-0.0,-0.0,-0.21857183355907644,-0.01568652156109239,-0.27482911771190977,-0.0,-0.0
2019-04-16,1.0,-0.0,-0.27843077392764465,-0.0,-0.35811326515035874,-0.0,-0.884078766600519,-0.0,-0.0,-0.17023355212944588,-0.0,-0.0,-0.0,-0.0,-0.09128377346969928,-0.023782628606319644,-0.24704625248053733,-0.0,-0.0
