Date,IWF,IWM,MTUM,RRR,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-03-13,-0.0,-0.8734273538961039,-0.0,1.0,-0.18775365259740262,-0.0,-0.6809050324675325,-0.40488027597402604,-0.2917512175324675,-0.15244521103896105,-0.0,-0.38656655844155846,-0.0,-0.0,-0.16279423701298704,-0.005681818181818182,-0.9268465909090909,-0.0,-0.0
2019-03-14,-0.0,-0.8718104495747265,-0.0,1.0,-0.19906844876468205,-0.0,-0.6806399351964358,-0.40709801539084645,-0.2838699878493317,-0.16216079384366142,-0.0,-0.38649250708788985,-0.0,-0.0,-0.13497367355204537,-0.0,-0.9367658971243419,-0.0,-0.0
2019-03-15,-0.0,-0.8673893222571167,-0.0,1.0,-0.1932934859690001,-0.0,-0.6724242731232905,-0.4064937696282038,-0.30128659710262384,-0.16543409988856245,-0.0,-0.38202816330665584,-0.0,-0.0,-0.14507142133522438,-0.0,-0.9319724445344949,-0.0,-0.0
2019-03-18,-0.0,-0.8730093915884034,-0.0,1.0,-0.1656288280930992,-0.0,-0.6650673744385464,-0.4188954675377705,-0.30849326255614534,-0.15720702327480604,-0.0,-0.3898530012249898,-0.0,-0.0,-0.19462025316455694,-0.0,-0.9314005716619028,-0.0,-0.0
2019-03-19,-0.0,-0.8659272132488244,-0.0,1.0,-0.14894704559394806,-0.0,-0.6700061337149867,-0.41029441831936203,-0.3177264363115927,-0.17588427724391742,-0.0,-0.3836127581271724,-0.0,-0.0,-0.19423430791249233,-0.0,-0.9447965651196074,-0.0,-0.0
2019-03-20,-0.0,-0.8404495535256081,-0.0,1.0,-0.14451401005850353,-0.0,-0.6796674535563995,-0.4208149440624038,-0.3399876834650518,-0.17073796571897773,-0.0,-0.36985528071435897,-0.0,-0.0,-0.23827363235143179,-0.010417735810325362,-0.9171199835779534,-0.0,-0.0
2019-03-21,-0.0,-0.8236906054495632,-0.0,1.0,-0.11250710924978027,-0.0,-0.6597900832428519,-0.40499457111834963,-0.39108629336642364,-0.20986505351326198,-0.0,-0.33690088413215447,-0.0,-0.0,-0.24383434155421127,-0.014166795925753579,-0.9735277390000517,-0.0,-0.0
2019-03-22,-0.0,-0.8533182309632908,-0.0,1.0,-0.06368738094012254,-0.0,-0.6105647943160171,-0.29521701076043866,-0.4120887607475673,-0.20573546825928024,-0.0,-0.4734078154764969,-0.0,-0.0,-0.18797302167533336,-0.027853575657725376,-1.0186891829274571,-0.0,-0.0
2019-03-25,-0.0,-0.768239236916731,-0.0,1.0,-0.04439288476411446,-0.0,-0.6839391595772105,-0.3594225315803041,-0.36200051559680324,-0.2499097705594225,-0.0,-0.4386182005671565,-0.0,-0.0,-0.1810775973188966,-0.0,-1.068419695797886,-0.0,-0.0
2019-03-26,-0.0,-0.8012883277505797,-0.0,1.0,-0.061788198917804696,-0.0,-0.7015202267456842,-0.4170059263076527,-0.3298119041484154,-0.22406596238082968,-0.0,-0.3767070342695182,-0.0,-0.0,-0.13202782787941253,-0.011594949755217727,-1.0975006441638753,-0.0,-0.0
2019-03-27,-0.0,-0.7631821912187116,-0.0,1.0,-0.04113664341403365,-0.0,-0.7090685268773081,-0.4348071399261387,-0.3516105867870332,-0.23163725892490766,-0.0,-0.37171727533853105,-0.0,-0.0,-0.12453836684448091,-0.014259335248256053,-1.0872486663931062,-0.0,-0.0
