Date,FBK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-12-20,1.0,-0.0,-0.8572003564959895,-0.0,-0.49426443952505533,-0.5234741109162522,0.0
2018-12-21,1.0,-0.0,-0.8653542175599942,-0.0,-0.5051875269435264,-0.5034056617330077,0.0
2018-12-24,1.0,-0.0,-0.8454683081493329,-0.0,-0.49450141392213426,-0.5164386300665542,0.0
2018-12-26,1.0,-0.0,-0.8480440896565439,-0.0,-0.4833101332348513,-0.5094741626658333,0.0
2018-12-27,1.0,-0.0,-0.8248568728808849,-0.0,-0.44833527875048634,-0.5060030015007504,0.0
2018-12-28,1.0,-0.0,-0.8341225626740947,-0.0,-0.4480779944289694,-0.5033147632311977,0.0
2018-12-31,1.0,-0.0,-0.8406610278312815,-0.0,-0.4480361778745499,-0.5027775451525556,0.0
2019-01-02,1.0,-0.0,-0.8404911399469792,-0.0,-0.44735593693316594,-0.5027208036835497,0.0
2019-01-03,1.0,-0.0,-0.8399676420541717,-0.0,-0.45066808000223163,-0.4988423665932104,0.0
2019-01-04,1.0,-0.0,-0.8432313925736804,-0.0,-0.4314258755619692,-0.500471776655381,0.0
2019-01-07,1.0,-0.0,-0.8241100235139717,-0.0,-0.42407174495543276,-0.486000984305791,0.0
2019-01-08,1.0,-0.0,-0.8127132290728458,-0.0,-0.43243538306176477,-0.48418352029258444,0.0
2019-01-09,1.0,-0.0,-0.8024863008096834,-0.0,-0.43264905536926473,-0.4910444099124887,0.0
2019-01-10,1.0,-0.0,-0.7998146936995857,-0.0,-0.4353880531938086,-0.4898899062568128,0.0
2019-01-11,1.0,-0.0,-0.7928965028097549,-0.0,-0.4380762725735174,-0.4969720115663702,0.0
2019-01-14,1.0,-0.0,-0.7904473044238598,-0.0,-0.43886110883405743,-0.5031559963931469,0.0
2019-01-15,1.0,-0.0,-0.7872445210539276,-0.0,-0.43798735943527867,-0.5107937289665928,0.0
2019-01-16,1.0,-0.0,-0.7826360061175442,-0.0,-0.4427572645837885,-0.505625955866288,0.0
2019-01-17,1.0,-0.0,-0.787146614069691,-0.0,-0.4437047994740303,-0.5085744028051721,0.0
2019-01-18,1.0,-0.0,-0.7808053284892522,-0.0,-0.4503344067376765,-0.521206616574464,0.0
2019-01-22,1.0,-0.0,-0.8734090410357692,-0.0,-0.37757845073513274,-0.49204520517884576,0.0
2019-01-23,1.0,-0.0,-0.8526680222014618,-0.0,-0.38151893169203716,-0.513518711875584,0.0
2019-01-24,1.0,-0.0,-0.9062798575523323,-0.0,-0.4092475172992849,-0.5797504270534758,0.0
2019-01-25,1.0,-0.0,-0.9327524706157536,-0.0,-0.3910297643412666,-0.6000526285012573,0.0
2019-01-28,1.0,-0.0,-0.9145427286356822,-0.0,-0.4234647382191258,-0.6016991504247876,0.0
2019-01-29,1.0,-0.0,-0.9084286893948331,-0.0,-0.43237584050961425,-0.6083520113247611,0.0
2019-01-30,1.0,-0.0,-0.9043517005792365,-0.0,-0.4368038021684241,-0.6292588742016931,0.0
2019-01-31,1.0,-0.0,-0.9218852802201087,-0.0,-0.3767569830731503,-0.6919672229200311,0.0
2019-02-01,1.0,-0.0,-0.9206187421308232,-0.0,-0.3769110857965106,-0.7002518136578931,0.0
2019-02-04,1.0,-0.0,-0.9154380918134963,-0.0,-0.3753745655040153,-0.7057413400455471,0.0
2019-02-05,1.0,-0.0,-0.9213004618799112,-0.0,-0.3813208565772899,-0.696628876492112,0.0
2019-02-06,1.0,-0.0,-0.9031050693176034,-0.0,-0.3763511692667006,-0.7148546276611673,0.0
2019-02-07,1.0,-0.0,-0.8960631333512691,-0.0,-0.37410695602786004,-0.7190984366125609,0.0
2019-02-08,1.0,-0.0,-0.8965011083817626,-0.0,-0.38946138637589117,-0.7096638907195495,0.0
2019-02-11,1.0,-0.0,-0.8907928695756556,-0.0,-0.3890522777744433,-0.7211451893643839,0.0
2019-02-12,1.0,-0.0,-0.8881721075372059,-0.0,-0.39210273643783,-0.7202052328372539,0.0
