Date,ISRG,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-09-20,1.0,-0.21451994898888688,-0.35009412764923786,-0.9009230582376874,-0.5708386469909515,-0.0,0.0
2019-09-23,1.0,-0.20369413980617918,-0.3563508217638302,-0.9104414132515114,-0.5674575447337242,-0.0,0.0
2019-09-24,1.0,-0.20184568835098338,-0.35207261724659605,-0.8803025718608168,-0.5856580937972768,-0.005869894099848714,0.0
2019-09-25,1.0,-0.17845639623214826,-0.33035551504102095,-0.8965663931935581,-0.6210878152537223,-0.012154360376785172,0.0
2019-09-26,1.0,-0.16755212971777786,-0.31394527531247124,-0.9763535300801524,-0.6131191843503363,-0.0,0.0
2019-09-27,1.0,-0.1332240910215187,-0.3112169181301014,-0.9810474894880039,-0.6644509027949542,-0.001793222854316102,0.0
2019-09-30,1.0,-0.12405945479215492,-0.32638460589613916,-0.9692858023929937,-0.6639940791908228,-0.0,0.0
2019-10-01,1.0,-0.12418743645830124,-0.33309713792784745,-0.9621676576604331,-0.6613265966295943,-0.0,0.0
2019-10-02,1.0,-0.12388096561091559,-0.3348768290424152,-0.9733283941470643,-0.6549052293634624,-0.0,0.0
2019-10-03,1.0,-0.11958164933822851,-0.3374880449202481,-0.9763058032271004,-0.6518063739857466,-0.0,0.0
2019-10-04,1.0,-0.12295309464335277,-0.33980941807752796,-0.9715977426218891,-0.6494896228451599,-0.0,0.0
2019-10-07,1.0,-0.13765468111892407,-0.3255442625971075,-0.938311788006264,-0.669112905702091,-0.0,0.0
2019-10-08,1.0,-0.13285854616895873,-0.32477897838899805,-0.9257735756385069,-0.6863027996070726,-0.0,0.0
2019-10-09,1.0,-0.12577901943327294,-0.3273570134774199,-0.9342400147361312,-0.6826512755963527,-0.0,0.0
2019-10-10,1.0,-0.13234064947528096,-0.3465312819242795,-0.9554840107729932,-0.6613317648515618,-0.0,0.0
2019-10-11,1.0,-0.1366814805606489,-0.3574913758274544,-0.9984771731360911,-0.6151909749199739,-0.0,0.0
2019-10-14,1.0,-0.15629382616012716,-0.3317542930158631,-1.010409199987534,-0.6180384579424689,-0.0,0.0
2019-10-15,1.0,-0.1637678448974503,-0.32921887662863913,-1.0102861417617357,-0.6137397917835546,-0.0,0.0
2019-10-16,1.0,-0.16001623579368052,-0.33433245909828896,-1.0123017359810167,-0.6156175846134633,-0.0,0.0
2019-10-17,1.0,-0.1342956048711133,-0.3670025344625085,-0.9689373802311925,-0.6205415095505965,-0.0,0.0
2019-10-18,1.0,-0.10869229104177618,-0.4048053433934259,-1.0102662419988249,-0.5684467670614428,-0.0,0.0
