Date,IWF,IWM,MTUM,PFPT,SPY,VLUE,VXX
2018-11-21,-0.5721505889843999,-0.9863100923272843,-0.16551257561286215,1.0,-0.7548153454313913,-0.5007959248646928,0.0
2018-11-23,-0.5722304048405716,-0.9875004975916565,-0.16531985191672305,1.0,-0.7546276024043629,-0.5010548943115323,0.0
2018-11-26,-0.5725449543479129,-1.000478449822575,-0.16115784857063117,1.0,-0.7537179538295923,-0.49918264821976804,0.0
2018-11-27,-0.5702991537880895,-1.0024234237813356,-0.15418537205514282,1.0,-0.7509435461443725,-0.4949743752731318,0.0
2018-11-28,-0.5698958912818882,-1.0056425335770485,-0.1536994357466423,1.0,-0.7497417150123181,-0.4946356194866089,0.0
2018-11-29,-0.553057447730047,-0.9959444028822303,-0.13997716265700674,1.0,-0.7488679765326615,-0.49962594007166206,0.0
2018-11-30,-0.556164707738424,-0.9999605584917567,-0.13591543740632642,1.0,-0.7553048828587205,-0.4968052378322947,0.0
2018-12-03,-0.556353591160221,-1.0000789265982635,-0.13705603788476714,1.0,-0.7556037884767166,-0.4971981057616416,0.0
2018-12-04,-0.5405576178816839,-1.014177395150462,-0.13999684069188847,1.0,-0.7547981991943764,-0.49956559513466553,0.0
2018-12-06,-0.5183932346723045,-0.941725927349606,-0.18669998078031905,1.0,-0.742110320968672,-0.45500672688833366,0.0
2018-12-07,-0.5259085309516477,-0.9414074530335695,-0.19236987988912843,1.0,-0.7422235910070835,-0.4477979673544811,0.0
2018-12-10,-0.5098645296699104,-0.9453921007441327,-0.18702537683648157,1.0,-0.742262926922343,-0.4314825414997138,0.0
2018-12-11,-0.515359664186224,-0.9418813203587102,-0.1917191375691662,1.0,-0.7432551039877886,-0.4238885708834192,0.0
2018-12-12,-0.5137975844672068,-0.9447714416755848,-0.18900015288182237,1.0,-0.7450695612291699,-0.42944503898486475,0.0
2018-12-13,-0.5160473944553089,-0.9516852640055216,-0.18570497335020514,1.0,-0.7459258407147513,-0.4351393841788412,0.0
2018-12-14,-0.515702479338843,-0.9654814530078801,-0.17916586584662694,1.0,-0.7444166826830675,-0.4392081491447242,0.0
2018-12-17,-0.508851931330472,-0.9662783568362966,-0.17217198038013487,1.0,-0.7372394236664622,-0.4475015328019619,0.0
2018-12-18,-0.506570402628161,-0.9634807853923141,-0.168653067461227,1.0,-0.7358468943387577,-0.44545037818015126,0.0
2018-12-19,-0.5110236521340414,-0.9625539719536893,-0.16816323411409576,1.0,-0.7342478315692943,-0.4450345802605938,0.0
2018-12-20,-0.49328807871253144,-0.9409656014034017,-0.1953321638318969,1.0,-0.7455571657386927,-0.43844863092060105,0.0
2018-12-21,-0.4924135832984751,-0.9415902954709663,-0.19355820055519643,1.0,-0.7458645472867629,-0.4292885119975663,0.0
2018-12-24,-0.4817015478938803,-0.9307421564546039,-0.19797146425462664,1.0,-0.7407561594065775,-0.43341028649282815,0.0
2018-12-26,-0.49263403790362087,-0.9569722316416112,-0.18179420519196715,1.0,-0.7160996194566898,-0.4202177762706756,0.0
2018-12-27,-0.4387364739315772,-0.9260392756949758,-0.17925456334025577,1.0,-0.656574489015193,-0.4427806317630342,0.0
