Date,AEE,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-07,1.0,-0.0,-0.0,-0.0,-0.8931757593568295,-0.2059447091668591,0.0
2019-02-08,1.0,-0.0,-0.0,-0.0,-0.9012750757984799,-0.1753956057648378,0.0
2019-02-11,1.0,-0.0,-0.0,-0.0,-0.9036933826893482,-0.17591398743917147,0.0
2019-02-12,1.0,-0.0,-0.0,-0.0,-0.8970976253298154,-0.18047908919036837,0.0
2019-02-13,1.0,-0.0,-0.0,-0.0,-0.8958722256793197,-0.1783862269238747,0.0
2019-02-14,1.0,-0.0,-0.0,-0.0,-0.9001518523911551,-0.18003869115719842,0.0
2019-02-15,1.0,-0.0,-0.0,-0.0,-0.9049867340756681,-0.18413520797208932,0.0
2019-02-19,1.0,-0.0,-0.0,-0.0,-0.9000582386954532,-0.1798951703481842,0.0
2019-02-20,1.0,-0.0,-0.0,-0.0,-0.8851315083199142,-0.17934266484991124,0.0
2019-02-21,1.0,-0.0,-0.0,-0.0,-0.8866982883068674,-0.17558259434935036,0.0
2019-02-22,1.0,-0.0,-0.0,-0.0,-0.8941533506750898,-0.17034146744291673,0.0
2019-02-25,1.0,-0.0,-0.0,-0.0,-0.9047341951037035,-0.17349016999875305,0.0
2019-02-26,1.0,-0.0,-0.0,-0.0,-0.9171661897700454,-0.17143215188287142,0.0
2019-02-27,1.0,-0.0,-0.0,-0.0,-0.9226164311878597,-0.17052851909994768,0.0
2019-02-28,1.0,-0.0,-0.0,-0.0,-0.9189556703834648,-0.17305077299638083,0.0
2019-03-01,1.0,-0.0,-0.0,-0.0,-0.9289992878984628,-0.16541699828257864,0.0
2019-03-04,1.0,-0.0,-0.0,-0.0,-0.9283505370053073,-0.16114338250658194,0.0
2019-03-05,1.0,-0.0,-0.0,-0.0,-0.934643261133688,-0.16012401022246425,0.0
2019-03-06,1.0,-0.0,-0.0,-0.0,-0.9340638618840094,-0.16112135434126718,0.0
2019-03-07,1.0,-0.0,-0.0,-0.0,-0.9401405504894169,-0.1513636743913662,0.0
2019-03-08,1.0,-0.0,-0.0,-0.0,-0.9768956721546471,-0.13116343782279655,0.0
2019-03-11,1.0,-0.0,-0.0,-0.0,-0.9740361586231746,-0.14546109662787987,0.0
2019-03-12,1.0,-0.0,-0.0,-0.0,-0.9799452078250074,-0.16039553101322718,0.0
2019-03-13,1.0,-0.0,-0.0,-0.0,-0.9807848675482518,-0.15898489322548895,0.0
2019-03-14,1.0,-0.0,-0.0,-0.0,-0.981425606128694,-0.15848152190194945,0.0
2019-03-15,1.0,-0.0,-0.0,-0.0,-0.9811304571575608,-0.16313577493781628,0.0
2019-03-18,1.0,-0.0,-0.0,-0.0,-0.9859859643042801,-0.18001646161843704,0.0
2019-03-19,1.0,-0.0,-0.0,-0.0,-0.9895624945637992,-0.18491780464468993,0.0
2019-03-20,1.0,-0.0,-0.0,-0.0,-0.9887941747149491,-0.19134927728967277,0.0
2019-03-21,1.0,-0.0,-0.0,-0.0,-0.9984327042382289,-0.17836696488822132,0.0
2019-03-22,1.0,-0.0,-0.0,-0.0,-1.0119597238710811,-0.18651892890120036,0.0
2019-03-25,1.0,-0.0,-0.0,-0.0,-1.0178314513667874,-0.1620525788028077,0.0
2019-03-26,1.0,-0.0,-0.0,-0.0,-1.0118371625753473,-0.1721411723595702,0.0
2019-03-27,1.0,-0.0,-0.0,-0.0,-1.013356904340994,-0.16914380497173662,0.0
2019-03-28,1.0,-0.0,-0.0,-0.0,-1.0007627266387726,-0.17845624128312412,0.0
2019-03-29,1.0,-0.0,-0.0,-0.0,-1.0014653456684819,-0.18561774161800407,0.0
2019-04-01,1.0,-0.0,-0.0,-0.0,-1.0024646120962288,-0.17858622870727822,0.0
2019-04-02,1.0,-0.0,-0.0,-0.0,-1.0261534773227556,-0.1533029662402197,0.0
2019-04-03,1.0,-0.0,-0.0,-0.0,-1.0206349552219292,-0.1583465888043928,0.0
2019-04-04,1.0,-0.0,-0.0,-0.0,-1.020723354129401,-0.16068234370228177,0.0
2019-04-05,1.0,-0.0,-0.0,-0.0,-1.0283292925321625,-0.15588755651661096,0.0
2019-04-08,1.0,-0.0,-0.0,-0.0,-1.0301221938050582,-0.1558353553238464,0.0
2019-04-09,1.0,-0.0,-0.0,-0.0,-1.058131381743284,-0.13302511065340286,0.0
2019-04-10,1.0,-0.0,-0.0,-0.0,-1.0629926431949552,-0.12653266771763882,0.0
2019-04-11,1.0,-0.0,-0.0,-0.0,-1.0697506245343384,-0.12159793136696322,0.0
2019-04-12,1.0,-0.0,-0.0,-0.0,-1.0647609465902628,-0.12236997506670749,0.0
2019-04-15,1.0,-0.0,-0.0,-0.0,-1.0627832140277138,-0.1263107199929949,0.0
2019-04-16,1.0,-0.0,-0.0,-0.0,-1.0621281064053203,-0.12548127406370319,0.0
2019-04-17,1.0,-0.0,-0.0,-0.0,-1.091162892943504,-0.10712244449329524,0.0
2019-04-18,1.0,-0.0,-0.0,-0.0,-1.0837621497998857,-0.11529665303250208,0.0
2019-04-22,1.0,-0.0,-0.0,-0.0,-1.0859835360067092,-0.12098607402176072,0.0
2019-04-23,1.0,-0.0,-0.0,-0.0,-1.0887767024536497,-0.11578227993210025,0.0
2019-04-24,1.0,-0.0,-0.0,-0.0,-1.062430759204953,-0.1098077549690453,0.0
2019-04-25,1.0,-0.0,-0.0,-0.0,-1.0733698011634973,-0.09733437527133802,0.0
2019-04-26,1.0,-0.0,-0.0,-0.0,-1.0794330558031349,-0.09443272972326688,0.0
2019-04-29,1.0,-0.0,-0.0,-0.0,-1.0749918557932456,-0.09679661200999022,0.0
2019-04-30,1.0,-0.0,-0.0,-0.0,-1.0799495147321234,-0.0961178569874222,0.0
2019-05-01,1.0,-0.0,-0.0,-0.0,-1.0810585630029161,-0.11149115306189568,0.0
2019-05-02,1.0,-0.0,-0.0,-0.0,-1.0707902575784123,-0.11950236551603292,0.0
2019-05-03,1.0,-0.0,-0.0,-0.0,-1.0700521175491613,-0.1197389742915955,0.0
2019-05-06,1.0,-0.0,-0.0,-0.0,-1.063699978132517,-0.12304832713754647,0.0
2019-05-07,1.0,-0.0,-0.0,-0.0,-1.066024729182624,-0.12239851187219608,0.0
2019-05-08,1.0,-0.0,-0.0,-0.0,-1.0318833631172908,-0.14740879571111015,0.0
2019-05-09,1.0,-0.0,-0.0,-0.0,-1.0152473606142571,-0.16608498385830206,0.0
2019-05-10,1.0,-0.0,-0.0,-0.0,-1.0177379736104166,-0.15605503988870292,0.0
2019-05-13,1.0,-0.0,-0.0,-0.0,-1.027920999737831,-0.15684261120335577,0.0
2019-05-14,1.0,-0.0,-0.0,-0.0,-1.0269647283955987,-0.14763188796590268,0.0
2019-05-15,1.0,-0.0,-0.0,-0.0,-1.0433313716515182,-0.1363150896924519,0.0
2019-05-16,1.0,-0.0,-0.0,-0.0,-1.0413841222772169,-0.13902274164359069,0.0
2019-05-17,1.0,-0.0,-0.0,-0.0,-1.0215387284992299,-0.1475175151291673,0.0
2019-05-20,1.0,-0.0,-0.0,-0.0,-1.0228317432784042,-0.14544666088464875,0.0
2019-05-21,1.0,-0.0,-0.0,-0.0,-1.0163661521165737,-0.14563064816015914,0.0
2019-05-22,1.0,-0.0,-0.0,-0.0,-1.0156690557672026,-0.13665224596973807,0.0
2019-05-23,1.0,-0.0,-0.0,-0.0,-1.0285370207092321,-0.12195436657276189,0.0
2019-05-24,1.0,-0.0,-0.0,-0.0,-1.0313620264033487,-0.11525169045830204,0.0
2019-05-28,1.0,-0.0,-0.0,-0.0,-1.021532020335797,-0.1145811082154911,0.0
2019-05-29,1.0,-0.0,-0.0,-0.0,-1.0178041543026706,-0.11696518156394765,0.0
2019-05-30,1.0,-0.0,-0.0,-0.0,-1.0245985870263328,-0.11627060586598158,0.0
2019-05-31,1.0,-0.0,-0.0,-0.0,-1.0161110873379262,-0.1234755445247978,0.0
2019-06-03,1.0,-0.0,-0.0,-0.0,-1.0295924658262294,-0.09630306766725484,0.0
2019-06-04,1.0,-0.0,-0.0,-0.0,-1.0049708787574936,-0.12843214643824802,0.0
2019-06-05,1.0,-0.0,-0.0,-0.0,-1.0140966749546967,-0.09302962619579418,0.0
2019-06-06,1.0,-0.0,-0.0,-0.0,-1.0380883785959412,-0.08028640427064357,0.0
2019-06-07,1.0,-0.0,-0.0,-0.0,-1.0331291464422732,-0.08645795798978359,0.0
2019-06-10,1.0,-0.0,-0.0,-0.0,-1.0243933480400473,-0.09676735109451892,0.0
2019-06-11,1.0,-0.0,-0.0,-0.0,-1.0309793541556378,-0.08652196929592378,0.0
2019-06-12,1.0,-0.0,-0.0,-0.0,-1.0341385886840433,-0.08497563043017588,0.0
2019-06-13,1.0,-0.0,-0.0,-0.01010337346322372,-1.0392223592972307,-0.07770025949717105,0.0
2019-06-14,1.0,-0.0,-0.0,-0.013181112741033653,-1.0404362523120096,-0.07238982077938644,0.0
2019-06-17,1.0,-0.0,-0.0,-0.013289389751222624,-1.0450776100361472,-0.06793536040825006,0.0
2019-06-18,1.0,-0.0,-0.0,-0.013789287766263059,-1.0437724767518566,-0.07039346285617006,0.0
2019-06-19,1.0,-0.0,-0.0,-0.019938422337827798,-1.040131648794989,-0.06329758997770464,0.0
2019-06-20,1.0,-0.0,-0.0,-0.02104905066655327,-1.039631747921672,-0.06546467373971467,0.0
2019-06-21,1.0,-0.0,-0.0,-0.02180566182096404,-1.0348125478194339,-0.06868996004420641,0.0
2019-06-24,1.0,-0.0,-0.0,-0.03181333946065632,-0.9730328159923131,-0.083993064984438,0.0
2019-06-25,1.0,-0.0,-0.0,-0.031494911074421615,-0.9712219691111622,-0.08719095487888984,0.0
2019-06-26,1.0,-0.0,-0.0,-0.023976461750344312,-0.9525478903217729,-0.11019990818413256,0.0
2019-06-27,1.0,-0.0,-0.0,-0.04350299148900312,-0.9754992837279852,-0.08765905452094043,0.0
2019-06-28,1.0,-0.0,-0.0,-0.04375658033270162,-0.9787323647083597,-0.0832175194777848,0.0
2019-07-01,1.0,-0.0,-0.0,-0.04387460788648182,-0.9790100844228299,-0.08242278784816522,0.0
2019-07-02,1.0,-0.0,-0.0,-0.04239836799932701,-0.9775179288733726,-0.08317735388756861,0.0
2019-07-03,1.0,-0.0,-0.0,-0.04551001514896482,-0.9777394378050833,-0.08075239858609662,0.0
2019-07-05,1.0,-0.0,-0.0,-0.051220126842790537,-0.9723843924566341,-0.07644168171699778,0.0
2019-07-08,1.0,-0.0,-0.0,-0.0527674038017708,-0.9714657379044103,-0.07387436532247912,0.0
2019-07-09,1.0,-0.0,-0.0,-0.052099044746103565,-0.9695617563264622,-0.07319423495894084,0.0
2019-07-10,1.0,-0.0,-0.0,-0.04892716452937725,-0.9752535411952058,-0.07120107283547063,0.0
2019-07-11,1.0,-0.0,-0.0,-0.050685448371274054,-0.9756005533895108,-0.06988638745650443,0.0
2019-07-12,1.0,-0.0,-0.0,-0.05350576633795755,-0.9810922614073208,-0.05467574795253217,0.0
2019-07-15,1.0,-0.0,-0.0,-0.06147703756349422,-0.9842388009782813,-0.04462885929889839,0.0
2019-07-16,1.0,-0.0,-0.0,-0.058030676641451076,-0.9828018556442513,-0.048877836753458435,0.0
2019-07-17,1.0,-0.0,-0.0,-0.058419602604775425,-0.980192853564869,-0.04854733678410419,0.0
