Date,EL,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-03-26,1.0,-0.0,-0.19471758901902875,-0.0,-1.3980266469778837,-0.7632983186226802,0.0
2019-03-27,1.0,-0.0,-0.18208955223880594,-0.0,-1.4069763541841354,-0.7649505282575884,0.0
2019-03-28,1.0,-0.0,-0.17744588018123847,-0.0,-1.3983218660849137,-0.7805000839066958,0.0
2019-03-29,1.0,-0.0,-0.17488939536130846,-0.0,-1.3986459310899584,-0.778153908030567,0.0
2019-04-01,1.0,-0.0,-0.18051691193724648,-0.0,-1.3976400388857229,-0.7740605410479031,0.0
2019-04-02,1.0,-0.0,-0.19761601821469232,-0.0,-1.4169624321971475,-0.733744056786982,0.0
2019-04-03,1.0,-0.0,-0.19923628324512627,-0.0,-1.4110671936758892,-0.7393314128759965,0.0
2019-04-04,1.0,-0.0,-0.19855159927579963,-0.0,-1.4071950647086435,-0.7470327901830617,0.0
2019-04-05,1.0,-0.0,-0.1989400597054976,-0.0,-1.413812766242914,-0.7414550699359339,0.0
2019-04-08,1.0,-0.0,-0.1930077431032749,-0.0,-1.415848221767841,-0.7431367948245232,0.0
2019-04-09,1.0,-0.0,-0.1816959634322589,-0.0,-1.442039458205895,-0.7373038012973482,0.0
2019-04-10,1.0,-0.0,-0.1709585361759275,-0.0,-1.4474399865704213,-0.738996138996139,0.0
2019-04-11,1.0,-0.0,-0.1734875744022598,-0.0,-1.455123247133201,-0.7342031812220465,0.0
2019-04-12,1.0,-0.0,-0.17344948203955335,-0.0,-1.4530135880532762,-0.7369164536526301,0.0
2019-04-15,1.0,-0.0,-0.17619721155789048,-0.0,-1.4468916279383042,-0.7445611908129589,0.0
2019-04-16,1.0,-0.0,-0.18360776686005567,-0.014252657701465509,-1.4261712331064085,-0.7295348603239545,0.0
2019-04-17,1.0,-0.0,-0.24890983711683984,-0.0,-1.3034821085032706,-0.6539694754392715,0.0
2019-04-18,1.0,-0.0,-0.2503523833931317,-0.0,-1.2888262429523323,-0.6643067657611481,0.0
2019-04-22,1.0,-0.0,-0.25102801336417374,-0.0,-1.291602415831406,-0.66991133384734,0.0
2019-04-23,1.0,-0.0,-0.2666517084428489,-0.0,-1.2872299506378615,-0.6514520161548818,0.0
