Date,GEF,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-10-18,1.0,-0.0,-1.1382326650491636,-0.0,-0.5683820712552675,-0.0,-0.17698889030775125,-0.28067935129613075,-0.19001404673732603,-0.0,-0.03894777167666964,-0.0,-0.6468522538628527,-0.0,-0.0,-0.7264078661729025,-1.6183118375686374,-0.0,-0.0
2019-10-21,1.0,-0.0,-1.0712992889463477,-0.0,-0.5353587588881706,-0.0,-0.17601809954751133,-0.31286360698125404,-0.21997414350355524,-0.0,-0.04137039431157078,-0.0,-0.6717517776341305,-0.0,-0.0,-0.7464770523594053,-1.689010989010989,-0.0,-0.0
2019-10-22,1.0,-0.0,-1.0900436852057116,-0.0,-0.5626915302862359,-0.0,-0.27280432939949145,-0.2049292560474669,-0.3178587729021321,-0.0,-0.07993740627241312,-0.0,-0.6027906370215818,-0.0,-0.0,-0.6666231988002869,-1.7224359392319228,-0.0,-0.0
2019-10-23,1.0,-0.0,-1.0993675425441742,-0.0,-0.5606050727000065,-0.0,-0.31036056595162026,-0.19782225989437308,-0.3275086392384429,-0.0,-0.07256960292104062,-0.0,-0.5835561061485296,-0.0,-0.0,-0.6646019430136272,-1.7037882245549976,-0.0,-0.0
2019-10-24,1.0,-0.0,-1.13770964360587,-0.0,-0.5368841719077568,-0.0,-0.273519392033543,-0.19116876310272538,-0.31177935010482183,-0.0,-0.052476415094339625,-0.0,-0.6093422431865828,-0.0,-0.0,-0.678917714884696,-1.7258254716981132,-0.0,-0.033870545073375266
2019-10-25,1.0,-0.0,-1.0863403752788348,-0.0,-0.5168613042907755,-0.0,-0.1754362944495473,-0.19971132397323185,-0.3622228054061147,-0.0,-0.03582207059441018,-0.0,-0.6555570135152867,-0.0,-0.0,-0.7062721427634169,-1.7545597690591785,-0.0,-0.06797008266631675
2019-10-28,1.0,-0.0,-1.0903395977579953,-0.0,-0.46073194856577643,-0.0,-0.14955489614243322,-0.2968018463567425,-0.4140454995054401,-0.0,-0.0,-0.0,-0.7142103527860204,-0.0,-0.0,-0.8137817342565117,-1.6545994065281897,-0.0,-0.0
2019-10-29,1.0,-0.0,-1.1337664059392816,-0.0,-0.47699854169428607,-0.0,-0.1953466790401697,-0.37405541561712846,-0.39745459366299885,-0.0,-0.0,-0.0,-0.6293252021742013,-0.0,-0.0,-0.7459233726633966,-1.6757258385257858,-0.0,-0.0
2019-10-30,1.0,-0.0,-1.125174778613756,-0.0,-0.4382448898062455,-0.0,-0.18716292695918504,-0.42479525933817164,-0.39430055263333114,-0.0,-0.0,-0.0,-0.6246754111458819,-0.0,-0.0,-0.7516479126439843,-1.7063053465610227,-0.0,-0.005992409614488315
2019-10-31,1.0,-0.0,-1.1576244848321058,-0.0,-0.36713735558408217,-0.0,-0.1284372677521789,-0.4522667387338693,-0.49395311127626507,-0.0,-0.0,-0.0,-0.5750962772785623,-0.0,-0.0,-0.7690020944530775,-1.812850483075468,-0.0,-0.0
2019-11-01,1.0,-0.0,-1.193845113290497,-0.0,-0.35231653703077437,-0.0,-0.19452147446736556,-0.45147108555968885,-0.4869124112275955,-0.0,-0.0,-0.0,-0.5919513019952655,-0.0,-0.0,-0.7544808927967533,-1.7381129523165368,-0.0,-0.0
2019-11-04,1.0,-0.0,-1.1983783783783784,-0.0,-0.34594594594594597,-0.0,-0.20141891891891892,-0.4563513513513514,-0.4868243243243244,-0.0,-0.0,-0.0,-0.5857432432432433,-0.0,-0.0,-0.7626351351351351,-1.7188513513513515,-0.0,-0.0
2019-11-05,1.0,-0.0,-1.1503360215053764,-0.0,-0.42486559139784946,-0.0,-0.13481182795698926,-0.48870967741935495,-0.47788978494623663,-0.0,-0.0,-0.0,-0.6051075268817204,-0.0,-0.0,-0.7583333333333334,-1.6803091397849461,-0.0,-0.0
