Date,AFIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-04-22,1.0,-0.0,-0.026253881622282864,-0.0,-2.17384962830526,-1.5048931965747625,0.0
2019-04-23,1.0,-0.0,-0.028353428786737002,-0.0,-2.170356066314996,-1.5111623963828185,0.0
2019-04-24,1.0,-0.0,-0.012583932009203175,-0.0,-2.164671080433864,-1.5182420059163264,0.0
2019-04-25,1.0,-0.0,-0.022294189430207452,-0.0,-2.1644137801558245,-1.5068055946681687,0.0
2019-04-26,1.0,-0.0,-0.012544045102184636,-0.0,-2.200375851538642,-1.4852243363871271,0.0
2019-04-29,1.0,-0.0,-0.011134078737198159,-0.0,-2.2009301888565256,-1.4858592502114065,0.0
2019-04-30,1.0,-0.0,-0.007376779589343608,-0.0,-2.2062679133580794,-1.4849410327491426,0.0
2019-05-01,1.0,-0.0,-0.0013644490448856685,-0.0,-2.2092782535052224,-1.4943069539851321,0.0
2019-05-02,1.0,-0.0,-0.0,-0.0,-2.201662127899333,-1.493614423889567,0.0
2019-05-03,1.0,-0.0,-0.006344581257636996,-0.0,-2.1992198514898016,-1.494172384622615,0.0
2019-05-06,1.0,-0.0,-0.0,-0.0,-2.194131136799738,-1.485983057986615,0.0
2019-05-07,1.0,-0.0,-0.0,-0.0,-2.1950797436976757,-1.4819232028436464,0.0
2019-05-08,1.0,-0.0,-0.02843449006866676,-0.0,-2.109083367897138,-1.4709894465182727,0.0
2019-05-09,1.0,-0.0,-0.023951253808296224,-0.0,-2.1792828685258963,-1.4838996953363017,0.0
2019-05-10,1.0,-0.0,-0.029134452196869696,-0.0,-2.202149726569866,-1.4830284744484254,0.0
2019-05-13,1.0,-0.0,-0.027095921450151057,-0.0,-2.208884063444109,-1.4845638217522659,0.0
2019-05-14,1.0,-0.0,-0.0,-0.0,-2.1842591736759407,-1.4372862556613366,0.0
2019-05-15,1.0,-0.0,-0.0,-0.0,-2.1879225710845605,-1.4430397332592386,0.0
2019-05-16,1.0,-0.0,-0.0,-0.0,-2.2331141380930015,-1.4639267261625175,0.0
2019-05-17,1.0,-0.0,-0.0,-0.0,-2.2737530817371514,-1.4673809975346104,0.0
2019-05-20,1.0,-0.0,-0.0,-0.0,-2.272335386072951,-1.4647560397915678,0.0
2019-05-21,1.0,-0.0,-0.0,-0.0,-2.2674611055941742,-1.461342034331111,0.0
2019-05-22,1.0,-0.0,-0.0,-0.0,-2.270430766330474,-1.4425487793382976,0.0
2019-05-23,1.0,-0.0,-0.0,-0.0,-2.28004892505998,-1.4242837653478853,0.0
2019-05-24,1.0,-0.0,-0.0,-0.0,-2.2875518281191103,-1.4240953637391631,0.0
2019-05-28,1.0,-0.0,-0.0,-0.0,-2.2893793623844556,-1.4267119411431806,0.0
2019-05-29,1.0,-0.0,-0.0,-0.0,-2.35142759861861,-1.5126222092514228,0.0
2019-05-30,1.0,-0.0,-0.0,-0.0,-2.353493577267419,-1.5122129233164656,0.0
2019-05-31,1.0,-0.0,-0.0,-0.0,-2.347913009557246,-1.528232884727911,0.0
2019-06-03,1.0,-0.0,-0.0,-0.0,-2.4512921486586268,-1.4711789318237756,0.0
2019-06-04,1.0,-0.0,-0.0,-0.0,-2.5404559678140366,-1.4264640143048726,0.0
2019-06-05,1.0,-0.0,-0.0,-0.0,-2.5662140458461087,-1.3006764977855647,0.0
2019-06-06,1.0,-0.0,-0.0,-0.0,-2.577618560218356,-1.2963396208022615,0.0
2019-06-07,1.0,-0.0,-0.0,-0.0,-2.5784922069673133,-1.3074217032295892,0.0
2019-06-10,1.0,-0.0,-0.0,-0.0,-2.569142968635676,-1.3086678698600067,0.0
2019-06-11,1.0,-0.0,-0.0,-0.0,-2.582788245631163,-1.2985941618666406,0.0
2019-06-12,1.0,-0.0,-0.0,-0.0,-2.5818403710031728,-1.2997803270685868,0.0
2019-06-13,1.0,-0.0,-0.0,-0.0,-2.5962177482408135,-1.2904124315871777,0.0
2019-06-14,1.0,-0.0,-0.0,-0.0,-2.595328838072901,-1.2908238053356789,0.0
2019-06-17,1.0,-0.0,-0.0,-0.0,-2.60798317272416,-1.2836667808051656,0.0
2019-06-18,1.0,-0.0,-0.0,-0.0,-2.6132713026444665,-1.2838883447600393,0.0
2019-06-19,1.0,-0.0,-0.0,-0.0,-2.6153546375682,-1.2560405300077944,0.0
2019-06-20,1.0,-0.0,-0.0,-0.0,-2.6158043457078826,-1.2560654779304297,0.0
2019-06-21,1.0,-0.0,-0.0,-0.0,-2.5979977644943384,-1.2617971521601787,0.0
2019-06-24,1.0,-0.0,-0.01400147383935151,-0.0,-2.626430852370425,-1.2723655121591746,0.0
2019-06-25,1.0,-0.0,-0.0038321705807212343,-0.0,-2.6342733615014247,-1.2749336739707184,0.0
2019-06-26,1.0,-0.0,-0.002011184145982537,-0.0,-2.6087020504267633,-1.294613950750515,0.0
2019-06-27,1.0,-0.0,-0.01933320181495364,-0.0,-2.6477608995857174,-1.264845137107911,0.0
2019-06-28,1.0,-0.0,-0.051350814461660704,-0.0,-2.639253079062376,-1.2756257449344457,0.0
2019-07-01,1.0,-0.0,-0.046247645484286705,-0.0,-2.644988599187072,-1.2656389412114604,0.0
2019-07-02,1.0,-0.0,-0.05709325396825397,-0.0,-2.6302083333333335,-1.27296626984127,0.0
2019-07-03,1.0,-0.0,-0.04402390438247012,-0.0,-2.660358565737052,-1.2756972111553784,0.0
2019-07-05,1.0,-0.0,-0.04439914483170089,-0.0,-2.6522149853328694,-1.2752945855914086,0.0
2019-07-08,1.0,-0.0,-0.038385207415654196,-0.0,-2.5901544121206257,-1.2119657292221309,0.0
2019-07-09,1.0,-0.0,-0.024247410705643208,-0.0,-2.597280030974736,-1.21832349240151,0.0
2019-07-10,1.0,-0.0,-0.0,-0.0,-2.629449995149869,-1.2206809583858764,0.0
2019-07-11,1.0,-0.0,-0.0,-0.0,-2.641730946490079,-1.209576480861592,0.0
2019-07-12,1.0,-0.0,-0.0,-0.0,-2.659085398380292,-1.190339944716551,0.0
2019-07-15,1.0,-0.0,-0.0840360154351865,-0.0,-2.589300176266019,-1.09061026154066,0.0
2019-07-16,1.0,-0.0,-0.09979982842436373,-0.0,-2.5959870365074824,-1.0702030311695738,0.0
2019-07-17,1.0,-0.0,-0.13003375647791565,-0.0,-2.573432225550326,-1.0510150715542244,0.0
2019-07-18,1.0,-0.0,-0.12752787752787753,-0.0,-2.567851067851068,-1.0296257796257797,0.0
2019-07-19,1.0,-0.0,-0.13434805145846096,-0.0,-2.5535083172329296,-1.0245040290278498,0.0
2019-07-22,1.0,-0.0,-0.11584761365245716,-0.0,-2.549780484350659,-1.055138554501251,0.0
2019-07-23,1.0,-0.0,-0.1197938826643975,-0.0,-2.547250980948329,-1.0604169621330308,0.0
2019-07-24,1.0,-0.0,-0.12264061910154775,-0.0,-2.549452623631559,-1.0466685541713854,0.0
2019-07-25,1.0,-0.0,-0.12195697301377618,-0.0,-2.5490658614832986,-1.0468484619739573,0.0
2019-07-26,1.0,-0.0,-0.10775394767852933,-0.0,-2.5578600047136457,-1.0479849163327835,0.0
2019-07-29,1.0,-0.0,-0.0632712483246291,-0.0,-2.5023801820954845,-1.0561075934741415,0.0
2019-07-30,1.0,-0.0,-0.07282797766181452,-0.0,-2.461091275290671,-1.0435319967042023,0.0
2019-07-31,1.0,-0.0,-0.09238657693540264,-0.0,-2.4514031955317495,-1.0343817241221442,0.0
2019-08-01,1.0,-0.0,-0.12485147609907687,-0.0,-2.434512384608354,-1.0106023215428206,0.0
2019-08-02,1.0,-0.0,-0.10384967919340055,-0.0,-2.46929422548121,-1.00980751604033,0.0
2019-08-05,1.0,-0.0,-0.09575052660500047,-0.0,-2.4716091217144425,-1.0118142687059255,0.0
2019-08-06,1.0,-0.0,-0.10538016896398399,-0.0,-2.349044019564251,-0.9919964428634949,0.0
2019-08-07,1.0,-0.0,-0.12286598850066342,-0.0,-2.3106590004422825,-0.9893409995577178,0.0
2019-08-08,1.0,-0.0,-0.11809768409865828,-0.0,-2.315989903910021,-0.9940663330824071,0.0
2019-08-09,1.0,-0.0,-0.09145539082375648,-0.0,-2.277699798227915,-1.0171506272480044,0.0
2019-08-12,1.0,-0.0,-0.08038542766631468,-0.0,-2.3325853572685675,-0.9868884195705737,0.0
2019-08-13,1.0,-0.0,-0.045063624396665204,-0.0,-2.344186046511628,-0.9986397542781922,0.0
2019-08-14,1.0,-0.0,-0.05880814333667553,-0.0,-2.316404376825494,-0.984131827891364,0.0
2019-08-15,1.0,-0.0,-0.11318906023685779,-0.0,-2.2834199539916504,-0.8634233620175513,0.0
2019-08-16,1.0,-0.0,-0.11812428322643674,-0.0,-2.275708278469184,-0.8537144798878648,0.0
2019-08-19,1.0,-0.0,-0.09240575794672633,-0.004136941196335852,-2.289965806914602,-0.8348600616319811,0.0
2019-08-20,1.0,-0.0,-0.0961005126481217,-0.007395579460458862,-2.282292629632742,-0.8162030422724599,0.0
2019-08-21,1.0,-0.0,-0.09574512505741366,-0.05557643325399808,-2.240803373836068,-0.7834147563572592,0.0
2019-08-22,1.0,-0.0,-0.10058132240391451,-0.050227928568441306,-2.2543180962736815,-0.7770900422399732,0.0
2019-08-23,1.0,-0.0,-0.10615923885828744,-0.0484476715072609,-2.2508345852111504,-0.7674845601735938,0.0
2019-08-26,1.0,-0.0,-0.09006361220710203,-0.037885498027216365,-2.177429744745954,-0.7207504630002416,0.0
2019-08-27,1.0,-0.0,-0.08771295403407264,-0.03748794599807136,-2.172171327547413,-0.7205882352941176,0.0
2019-08-28,1.0,-0.0,-0.09239649681528664,-0.033877388535031853,-2.1582404458598727,-0.696377388535032,0.0
2019-08-29,1.0,-0.0,-0.0784071922985122,-0.039382608003818924,-2.16282122682791,-0.6974301853767205,0.0
2019-08-30,1.0,-0.0,-0.06102245277788778,-0.04450956322021146,-2.1726923533837565,-0.6817011840177405,0.0
2019-09-03,1.0,-0.0,-0.07226245597372273,-0.06403102615853416,-2.1457912857651666,-0.6753334124816969,0.0
2019-09-04,1.0,-0.0,-0.043478260869565216,-0.05525691699604743,-2.164624505928854,-0.6892094861660079,0.0
2019-09-05,1.0,-0.0,-0.060494021397105094,-0.054200755191944616,-2.1627202643171803,-0.6558763373190686,0.0
2019-09-06,1.0,-0.0,-0.04222626007268131,-0.08271448886079949,-2.2117633117396114,-0.613367040606731,0.0
2019-09-09,1.0,-0.0,-0.04286560094730609,-0.08356029208604697,-2.209788829682257,-0.6108940201302545,0.0
2019-09-10,1.0,-0.0,-0.07341416819369176,-0.029981675698857655,-2.1363405980739993,-0.6590120472533043,0.0
2019-09-11,1.0,-0.0,-0.10524484984346616,-0.017469949368067096,-2.0963552738375912,-0.6460016233138793,0.0
2019-09-12,1.0,-0.0,-0.09361997226074895,-0.022229927569733392,-2.0894205578671596,-0.647364771151179,0.0
2019-09-13,1.0,-0.0,-0.08837674579662191,-0.02881766765418799,-2.088876918933477,-0.6414143357315994,0.0
2019-09-16,1.0,-0.0,-0.0875413111982169,-0.017677349934670662,-2.095649834755207,-0.642033663822919,0.0
2019-09-17,1.0,-0.0,-0.09996918098466755,-0.012866938901302106,-2.1073272208952925,-0.6321750520070885,0.0
2019-09-18,1.0,-0.0,-0.08796456768727133,-0.013441170806855383,-2.111188137877913,-0.6387444637011361,0.0
2019-09-19,1.0,-0.0,-0.10182212077836666,-0.013462803203218694,-2.0971797748462224,-0.6561569112925065,0.0
2019-09-20,1.0,-0.0,-0.0994723774053383,-0.028476101800124148,-2.0881828057107388,-0.6634854127870888,0.0
2019-09-23,1.0,-0.0,-0.09865245762384649,-0.015714892466890614,-2.084713695509479,-0.6620718946677479,0.0
2019-09-24,1.0,-0.0,-0.10249093853628441,-0.029266599830338552,-2.0690213619187166,-0.6552016657669468,0.0
2019-09-25,1.0,-0.0,-0.08686667687126895,-0.02020511250574009,-2.0643272615949795,-0.655326802387877,0.0
2019-09-26,1.0,-0.0,-0.03919671877418356,-0.1375174121652995,-2.114765516173967,-0.5778517257390496,0.0
2019-09-27,1.0,-0.0,-0.01247597002628585,-0.14818156851975361,-2.149280081603829,-0.6133233944054298,0.0
2019-09-30,1.0,-0.0,-0.0,-0.20425665840513,-2.1225461269129386,-0.6073016247688736,0.0
2019-10-01,1.0,-0.0,-0.0,-0.21883362191090822,-2.1110498976861325,-0.6052652290256572,0.0
2019-10-02,1.0,-0.0,-0.010010087685264218,-0.2961511600838053,-2.0354232947932025,-0.5382944052145573,0.0
2019-10-03,1.0,-0.0,-0.11382584529874942,-0.2782152230971129,-2.018141114713602,-0.4496294580824456,0.0
2019-10-04,1.0,-0.0,-0.14173686866726193,-0.2994293256725805,-1.9854419814433792,-0.45549128459955746,0.0
2019-10-07,1.0,-0.0,-0.14635656514840759,-0.2932549049959367,-1.9786385975774932,-0.45160790991060723,0.0
2019-10-08,1.0,-0.0,-0.149530543642054,-0.2973609984158263,-1.9672732892855764,-0.4496348672771532,0.0
