Date,ACAD,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-07-08,1.0,-0.0,-1.6746638358103325,-0.6720452937013446,-2.077140835102618,-1.6532908704883227,0.0
2019-07-09,1.0,-0.0,-1.6667137409970343,-0.6706679847479169,-2.070046603587064,-1.6537918373111142,0.0
2019-07-10,1.0,-0.0,-1.6457965694924828,-0.6677489941413144,-2.0880920448930618,-1.6570198348274159,0.0
2019-07-11,1.0,-0.0,-1.6387005649717514,-0.682909604519774,-2.090536723163842,-1.65,0.0
2019-07-12,1.0,-0.0,-1.6421156697973305,-0.6830026128098298,-2.089682931996328,-1.6467763576018641,0.0
2019-07-15,1.0,-0.0,-1.6479609866421654,-0.7032299102410065,-2.0949183687893136,-1.6214573468089617,0.0
2019-07-16,1.0,-0.0,-1.651433818335923,-0.6908461647125299,-2.091962141545416,-1.6289023873428448,0.0
2019-07-17,1.0,-0.0,-1.659245122985581,-0.689496748657054,-2.092733955329375,-1.6266610121571956,0.0
2019-07-18,1.0,-0.0,-1.6584797798009738,-0.685510621779942,-2.0932317030136214,-1.6204389865198672,0.0
2019-07-19,1.0,-0.0,-1.6610660077656194,-0.6936110130603601,-2.086268972820332,-1.618708083303918,0.0
2019-07-22,1.0,-0.0,-1.6403781038374718,-0.6818566591422122,-2.0907167042889387,-1.64122460496614,0.0
2019-07-23,1.0,-0.0,-1.6499169435215948,-0.6740033222591362,-2.022009966777409,-1.575373754152824,0.0
2019-07-24,1.0,-0.0,-1.6783196453230613,-0.7973689948397413,-2.1518278944690747,-1.6405262010320518,0.0
2019-07-25,1.0,-0.0,-1.659677887405688,-0.8057167730702265,-2.1604759141033085,-1.6289901334881023,0.0
2019-07-26,1.0,-0.0,-1.6492969995651545,-0.8096100884186115,-2.162124945644296,-1.6263951297289463,0.0
2019-07-29,1.0,-0.0,-1.6008737377354436,-0.7922366253670414,-2.1371481773257894,-1.6315977941703073,0.0
2019-07-30,1.0,-0.0,-1.5851262191623636,-0.7996270797475616,-2.1409925415949513,-1.6457257601835913,0.0
2019-07-31,1.0,-0.0,-1.6250717978173466,-0.7939402642159679,-2.1272975301550834,-1.6334721424468697,0.0
2019-08-01,1.0,-0.0,-1.64420871559633,-0.7847620412844036,-2.119337729357798,-1.6191227064220182,0.0
2019-08-02,1.0,-0.0,-1.607235142118863,-0.9845721234230126,-2.276637786897705,-1.7314181486548106,0.0
2019-08-05,1.0,-0.0,-1.6002425528689457,-0.9614189342833321,-2.279921170317593,-1.738194497081786,0.0
2019-08-06,1.0,-0.0,-1.5899947655724223,-0.9353174306438347,-2.2196216256636507,-1.7328198609137815,0.0
2019-08-07,1.0,-0.0,-1.6034457040572792,-0.905280429594272,-2.2053251789976134,-1.7442571599045344,0.0
2019-08-08,1.0,-0.0,-1.6035202863961813,-0.9051312649164677,-2.2053997613365155,-1.7441825775656326,0.0
2019-08-09,1.0,-0.0,-1.5710997252543253,-0.8862404395930793,-2.1880151481398973,-1.7802034603103882,0.0
2019-08-12,1.0,-0.0,-1.5564642034049514,-0.9263995241989443,-2.2048174856887965,-1.7467102817634377,0.0
2019-08-13,1.0,-0.0,-1.5392440781168781,-0.9240365337491645,-2.2091037350560625,-1.7531744263755846,0.0
2019-08-14,1.0,-0.0,-1.5623145400593472,-0.92040059347181,-2.189020771513353,-1.7467359050445104,0.0
2019-08-15,1.0,-0.0,-1.591333527866939,-0.9444849722789611,-2.141814998540998,-1.6173767143273998,0.0
2019-08-16,1.0,-0.0,-1.5897978544844191,-0.9457782967233451,-2.140918047142961,-1.6211778442676783,0.0
2019-08-19,1.0,-0.0,-1.557087900123394,-0.9598606372940407,-2.1458953328010453,-1.5956303984902374,0.0
2019-08-20,1.0,-0.0,-1.568721411457199,-0.9724097872649387,-2.143832135337254,-1.5755463588179772,0.0
2019-08-21,1.0,-0.0,-1.5699579527330723,-1.0091344062635927,-2.1247643903146294,-1.545599536030158,0.0
2019-08-22,1.0,-0.0,-1.570632508322478,-1.0067303517151542,-2.1251266464032423,-1.5345201910551456,0.0
2019-08-23,1.0,-0.0,-1.572732541292379,-1.0097073312083455,-2.1289481309765286,-1.5329614604462474,0.0
2019-08-26,1.0,-0.0,-1.5366062508919653,-1.005209076637648,-2.1078207506778934,-1.4860853432282004,0.0
2019-08-27,1.0,-0.0,-1.525476800455451,-0.9998576715058355,-2.098847139197267,-1.4923142613151152,0.0
