Date,IWF,IWM,MTUM,NPTN,SPY,VLUE,VXX
2018-12-18,-0.5091195193476862,-2.166011014948859,-0.0,1.0,-1.8280523567699019,-1.6493813031971962,0.0
2018-12-19,-0.5071178195865226,-2.166821661063023,-0.0,1.0,-1.8294584734244226,-1.6502611059446313,0.0
2018-12-20,-0.5028384899233609,-2.134899233607721,-0.0,1.0,-1.826213454442237,-1.6323445926766962,0.0
2018-12-21,-0.4917951619748196,-2.1452114867732353,-0.0,1.0,-1.8414910171169898,-1.5945678313764322,0.0
2018-12-24,-0.4525276571908697,-2.103556924800448,-0.0,1.0,-1.8267749614899875,-1.6188909116370256,0.0
2018-12-26,-0.45088108783127523,-2.1296656028860834,-0.0,1.0,-1.7720271957818787,-1.585194949354794,0.0
2018-12-27,-0.3210533315600479,-2.0609788535709535,-0.0,1.0,-1.64410160925655,-1.6236201622556188,0.0
2018-12-28,-0.31761424017003187,-2.063230605738576,-0.0,1.0,-1.641405419766206,-1.6195536663124337,0.0
2018-12-31,-0.3155901116427432,-2.068248272195641,-0.0,1.0,-1.6420122275385434,-1.6195507708665604,0.0
2019-01-02,-0.3091319352269711,-2.0672285638439076,-0.0,1.0,-1.6383063445712767,-1.6218476241040614,0.0
2019-01-03,-0.31622571447516745,-2.063324713215304,-0.0,1.0,-1.641602015781447,-1.6097075790730058,0.0
2019-01-04,-0.24302762576646667,-2.092239730994923,-0.0,1.0,-1.6232610272301708,-1.6346673699479133,0.0
2019-01-07,-0.19133410822678548,-2.036613715614103,-0.0,1.0,-1.6274053984243835,-1.6020276378664602,0.0
2019-01-08,-0.19461964216758915,-2.0141588364010814,-0.0,1.0,-1.6330287038228861,-1.594027545372635,0.0
2019-01-09,-0.18811053984575837,-1.9918380462724936,-0.0,1.0,-1.6362467866323909,-1.6104755784061697,0.0
2019-01-10,-0.1897271268057785,-1.9863884430176564,-0.0,1.0,-1.6374317817014445,-1.6069983948635636,0.0
2019-01-11,-0.1910090681072738,-1.9771689497716896,-0.0,1.0,-1.6435140523506335,-1.6195253714065214,0.0
2019-01-14,-0.20743152652748514,-1.9603524229074891,-0.0,1.0,-1.6204430824235458,-1.596245929898487,0.0
2019-01-15,-0.20698031194068015,-1.9536563538736897,-0.0,1.0,-1.6222193812324215,-1.6094349271286117,0.0
2019-01-16,-0.19786096256684493,-1.9411764705882355,-0.0,1.0,-1.6128087598675835,-1.6144003055767762,0.0
2019-01-17,-0.20888945654256338,-1.9288588032441405,-0.0,1.0,-1.6235391787470463,-1.624816399514656,0.0
2019-01-18,-0.21810805589542143,-1.9140962070964003,-0.0,1.0,-1.6349410779831282,-1.6724837400991692,0.0
2019-01-22,-0.0,-2.1159060402684564,-0.0,1.0,-1.8587919463087248,-1.7367114093959732,0.0
2019-01-23,-0.0,-2.1098319438930795,-0.0,1.0,-1.8323408760089985,-1.6742755061532355,0.0
2019-01-24,-0.0,-2.112939171473519,-0.0,1.0,-1.7791033036182484,-1.6627556371263765,0.0
2019-01-25,-0.0,-2.0071942446043165,-0.0,1.0,-1.8856181110157744,-1.707346049765692,0.0
2019-01-28,-0.0,-1.9900145483401666,-0.0,1.0,-1.9135696336463432,-1.7092977119428647,0.0
2019-01-29,-0.0,-1.9348212522220027,-0.0,1.0,-1.918427809599052,-1.730462834946343,0.0
2019-01-30,-0.0,-1.9343032058455665,-0.0,1.0,-1.9157395826476205,-1.7328023171614775,0.0
2019-01-31,-0.0,-1.9543294614572335,-0.0,1.0,-1.859556494192186,-1.7859688489968324,0.0
2019-02-01,-0.0,-1.9542479338842977,-0.0,1.0,-1.8767603305785125,-1.7805619834710744,0.0
2019-02-04,-0.0,-1.94455838570956,-0.0,1.0,-1.8740324181276877,-1.7973536222295734,0.0
2019-02-05,-0.0,-1.9401962721464798,-0.0,1.0,-1.845024040044787,-1.801159191200685,0.0
2019-02-06,-0.0,-1.9558456895420548,-0.0,1.0,-1.8199055242094215,-1.7850675764335389,0.0
2019-02-07,-0.0,-1.9186219378191456,-0.0,1.0,-1.7921272057397715,-1.7529571456273028,0.0
2019-02-08,-0.0,-1.917099117799689,-0.0,1.0,-1.8083809029579656,-1.7613518422418268,0.0
2019-02-11,-0.0,-1.9085468973591782,-0.0,1.0,-1.813646416027059,-1.7822947834005463,0.0
2019-02-12,-0.0,-1.900019629653864,-0.0,1.0,-1.8491133939671531,-1.7941503631485967,0.0
2019-02-13,-0.0,-1.93932715369158,-0.0,1.0,-1.8015168211577106,-1.7412977247682635,0.0
2019-02-14,-0.0,-1.8782280621869512,-0.0,1.0,-1.8471996357249723,-1.7794835100500879,0.0
2019-02-15,-0.0,-1.9005276529216337,-0.0,1.0,-1.8402058497817733,-1.7734349553774997,0.0
2019-02-19,-0.0,-1.860237641961531,-0.0,1.0,-1.9107201470491695,-1.793737280903302,0.0
2019-02-20,-0.0,-1.8379774986917847,-0.0,1.0,-1.913657770800628,-1.7895081109366824,0.0
2019-02-21,-0.0,-1.812920504278529,-0.0,1.0,-1.9150826311320137,-1.8041021621268534,0.0
2019-02-22,-0.0,-1.798421292974101,-0.0,1.0,-1.9313719094526711,-1.7937895492204317,0.0
2019-02-25,-0.0,-1.7939477484573978,-0.0,1.0,-1.954837862675594,-1.8154785348562426,0.0
2019-02-26,-0.0,-1.764248366013072,-0.0,1.0,-1.9577124183006538,-1.8139869281045753,0.0
2019-02-27,-0.0,-1.7592053322979355,-0.0,1.0,-1.9039021549213746,-1.8081278716106903,0.0
2019-02-28,-0.0,-1.7608386178335702,-0.0,1.0,-1.9044907467322376,-1.8054872524912642,0.0
2019-03-01,-0.0,-1.7696828779952207,-0.0,1.0,-1.8976296583349481,-1.7913840986888847,0.0
2019-03-04,-0.0,-1.7619111438718755,-0.0,1.0,-1.9904174763787443,-1.9488038598137105,0.0
2019-03-05,-0.0,-1.7422805247225024,-0.0,1.0,-2.0295997309115372,-1.955331315169862,0.0
2019-03-06,-0.0,-1.7788091309130911,-0.0,1.0,-2.0659378437843783,-2.031009350935093,0.0
2019-03-07,-0.0,-1.7092967078473325,-0.0,1.0,-2.1686106701635723,-2.0239492028435366,0.0
2019-03-08,-0.0,-1.6959440559440562,-0.0,1.0,-2.2462937062937067,-2.050769230769231,0.0
2019-03-11,-0.0,-1.7073188045715908,-0.0,1.0,-2.2734436004827145,-2.1179811173422305,0.0
2019-03-12,-0.0,-1.617623805074391,-0.0,1.0,-2.3323510385969954,-2.237547617336304,0.0
