Date,AAP,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-29,1.0,-0.0,-0.4513268731395275,-0.0,-0.42124263727911837,-0.0,-0.3069225410095636,-0.28836531762619544,-0.0,-0.0,-0.24491734752042563,-0.0,-0.29501551713218066,-0.0,-0.6505795173855216,-0.0,-2.096586230920261,-0.4294128823864716,-0.14909113940084867
2020-01-30,1.0,-0.0,-0.44448661985196436,-0.0,-0.43037894603656607,-0.0,-0.2573543366862783,-0.21313342190168913,-0.0,-0.0,-0.23078382994875687,-0.0,-0.35490605427974947,-0.0,-0.7046877965458342,-0.0,-2.081799202884798,-0.4258872651356994,-0.18283039159865883
2020-01-31,1.0,-0.0,-0.55556284009703,-0.0,-0.45499246049957387,-0.0,-0.31410214384055596,-0.0,-0.0,-0.0,-0.31829803972988924,-0.0,-0.29246705566118136,-0.0,-0.5699862322166132,-0.050481872418540616,-2.08667147446404,-0.5395659870189471,-0.3738936602635547
2020-02-03,1.0,-0.0,-0.5748170577845068,-0.0,-0.35604340146353775,-0.0,-0.19385566490032805,-0.0463663890991673,-0.0,-0.0,-0.2811001766338633,-0.0,-0.1684960888215998,-0.0,-0.5392379510471865,-0.0,-2.085478173101186,-0.40966439565985363,-0.6533560434014636
2020-02-04,1.0,-0.0,-0.5545703897429356,-0.0,-0.35325636282452,-0.0,-0.19691267461886844,-0.03757096383236589,-0.0,-0.0,-0.292466670919181,-0.0,-0.20590674236142123,-0.0,-0.575875486381323,-0.0,-2.073228296230146,-0.4055622887031958,-0.6835491484340117
2020-02-05,1.0,-0.0,-0.5522658219665137,-0.0,-0.3411338806645549,-0.0,-0.19690994893011832,-0.028185403064192906,-0.0,-0.0,-0.32917447798823457,-0.0,-0.16568621113194132,-0.0,-0.6295817441334282,-0.0,-2.1106729588208677,-0.39213911694356457,-0.718857068976663
2020-02-06,1.0,-0.0,-0.472877525074163,-0.0,-0.3410792484814239,-0.0,-0.39002683994914533,-0.06547534962565334,-0.0,-0.0,-0.4050713377595705,-0.0,-0.1416866789094505,-0.0,-0.5628619861562367,-0.0,-2.2424777510947873,-0.47019353015962706,-0.9713236332815369
2020-02-07,1.0,-0.0,-0.4747387387387387,-0.0,-0.3133693693693693,-0.0,-0.40468468468468466,-0.04951351351351351,-0.0,-0.0,-0.4179459459459459,-0.0,-0.1447207207207207,-0.0,-0.6681801801801801,-0.0,-2.2871351351351352,-0.47949549549549547,-0.9674234234234232
2020-02-10,1.0,-0.0,-0.5930547632629777,-0.0,-0.29135767256132344,-0.0,-0.3312179121505989,-0.05747290359383913,-0.0,-0.0,-0.369937250427838,-0.0,-0.221406160867085,-0.0,-0.8386337706788363,-0.0,-2.158228750713063,-0.4027381631488876,-0.8665145464917284
2020-02-11,1.0,-0.0,-0.5464433326082228,-0.0,-0.30193604524690015,-0.0,-0.345152635776956,-0.07947211949822347,-0.0,-0.0,-0.4852439997099557,-0.0,-0.13342034660285693,-0.0,-0.9224856790660575,-0.0,-2.1586541947647016,-0.39931839605539843,-0.8789790443042563
2020-02-12,1.0,-0.0,-0.5352545348156816,-0.0,-0.33696606202457574,-0.0,-0.38714160327677,-0.1546225863077823,-0.0,-0.0,-0.46043007606787595,-0.0,-0.12712112346401402,-0.0,-1.0495172615564659,-0.0,-2.094719133996489,-0.4016968987712112,-0.766895845523698
2020-02-13,1.0,-0.0,-0.5014362524858216,-0.0,-0.38926125064447226,-0.0,-0.3746777638653605,-0.13139868895926937,-0.0,-0.0,-0.4772040951609339,-0.0,-0.05531413419753996,-0.0,-0.9454960595124108,-0.0,-2.143551594608529,-0.40752743610517783,-0.9396773955954923
2020-02-14,1.0,-0.0,-0.45667225420887686,-0.0,-0.3752641935718971,-0.0,-0.325850885503972,-0.13184170249981778,-0.0,-0.0,-0.476277239268275,-0.0,-0.07885722614969755,-0.0,-0.9018293127323082,-0.0,-2.1159536476933165,-0.469645069601341,-0.9559798848480432
2020-02-18,1.0,-0.0,-0.6918683062276875,-0.0,-0.275684252280841,-0.0,-0.34065846886156287,-0.08940896469654899,-0.0,-0.0,-0.5810392701309005,-0.0,-0.010154700515668387,-0.0,-1.0434748115827053,-0.0,-2.194922649742166,-0.49599365331217776,-1.2101547005156685
