Date,IWF,IWM,MTUM,SASR,SPY,VLUE,VXX
2019-10-07,-0.0,-0.6421079109545968,-0.0,1.0,-0.37997736133819643,-0.4933215947679537,0.0
2019-10-08,-0.0,-0.6504560789703862,-0.0,1.0,-0.3603398725477946,-0.4882668999125328,0.0
2019-10-09,-0.0,-0.6485436893203883,-0.0,1.0,-0.3538461538461538,-0.4870301219815783,0.0
2019-10-10,-0.0,-0.6564074425101013,-0.0,1.0,-0.3515488601785803,-0.486207412580436,0.0
2019-10-11,-0.0,-0.6618566498274396,-0.0,1.0,-0.35192317311058874,-0.48709548341919673,0.0
2019-10-14,-0.0,-0.6417648533467035,-0.0,1.0,-0.3957382802707446,-0.46939082476811234,0.0
2019-10-15,-0.0,-0.6597786895437026,-0.0,1.0,-0.4032326246425463,-0.42362302623399234,0.0
2019-10-16,-0.0,-0.6686338961103642,-0.0,1.0,-0.40345634742766073,-0.41807360924348824,0.0
2019-10-17,-0.0,-0.6528750529647815,-0.0,1.0,-0.41594177612721517,-0.42364347847760525,0.0
2019-10-18,-0.0,-0.6946669661351101,-0.0,1.0,-0.3894836664919767,-0.4114197299792868,0.0
2019-10-21,-0.0,-0.6744679788190628,-0.0,1.0,-0.39154760715356185,-0.43171145968628233,0.0
2019-10-22,-0.0,-0.6749046567643516,-0.0,1.0,-0.39610096346848656,-0.43800180650341225,0.0
2019-10-23,-0.0,-0.6753246753246754,-0.0,1.0,-0.4086764299530257,-0.4279685498254163,0.0
2019-10-24,-0.0,-0.6704387582409255,-0.0,1.0,-0.43105408067897644,-0.42443608072949557,0.0
2019-10-25,-0.0,-0.6708614459353599,-0.0,1.0,-0.4263007606196143,-0.42981325651327923,0.0
2019-10-28,-0.0,-0.6862353298259813,-0.0,1.0,-0.4225768919465803,-0.4205281262646702,0.0
2019-10-29,-0.0,-0.6848312322082147,-0.0,1.0,-0.43117120780805207,-0.425681171207808,0.0
2019-10-30,-0.0,-0.6888476875015874,-0.0,1.0,-0.42686612653341116,-0.42409773194828937,0.0
2019-10-31,-0.0,-0.6922393890960752,-0.0,1.0,-0.4221782479640764,-0.4225587944287998,0.0
