Date,CDNS,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-04-05,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5014334348683032,-0.0,-0.535611897509407,-0.2858806665472138,-0.0,-0.0,-0.0,-0.0,-0.286373409783193,-0.0,-0.7621394015409426,-0.0,-0.10804515319835155
2019-04-08,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6275833371861852,-0.03735725183781035,-0.47279116001664434,-0.2133709371676915,-0.0,-0.0616764529104443,-0.0,-0.0,-0.34347403948402605,-0.036525035831522494,-0.7390540478061861,-0.0,-0.09154376069166398
2019-04-09,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6264391732556527,-0.04193831784343645,-0.46784112452027565,-0.21722846441947566,-0.0,-0.057289499237064785,-0.0,-0.0,-0.34540158135663757,-0.0333379571831507,-0.7392611087991862,-0.0,-0.09511259074305267
2019-04-10,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.618289983397897,-0.01199040767386091,-0.4698395130049806,-0.2312304002951485,-0.0,-0.052988378527946876,-0.0,-0.0,-0.3693506733075078,-0.03126729385722191,-0.7342280022136136,-0.0,-0.09251060689909611
2019-04-11,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.674850355405911,-0.02413019079685746,-0.45823980546202764,-0.2605686494575383,-0.0,-0.059203142536475864,-0.0,-0.0,-0.3387111859334081,-0.05896932285821174,-0.7380751964085297,-0.0,-0.06359895248784138
2019-04-12,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6792593977931551,-0.02627641668225173,-0.46114643725453525,-0.2582756685992145,-0.0,-0.05208528146624276,-0.0,-0.0,-0.3368243875070133,-0.062371423227978305,-0.7346175425472228,-0.0,-0.06466242752945578
2019-04-15,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6747982648444424,-0.06912635850552731,-0.44003918093194644,-0.2520639955221792,-0.0,-0.023088763468445357,-0.0,-0.0,-0.33602313540743506,-0.05517981249125426,-0.7311908204673726,-0.0,-0.08293297261999161
2019-04-16,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.6372705882352943,-0.07849411764705883,-0.43167058823529414,-0.2719529411764706,-0.0,-0.0408,-0.0,-0.0,-0.41863529411764705,-0.05308235294117647,-0.738164705882353,-0.0,-0.03576470588235294
2019-04-17,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5661000944287065,-0.029981114258734655,-0.44107648725212467,-0.27733711048158644,-0.0,-0.14919735599622289,-0.0,-0.0,-0.4441926345609065,-0.08616619452313504,-0.7273843248347498,-0.0,-0.0
2019-04-18,1.0,-0.06326450454494445,-0.11331500392772978,-0.15127370665469647,-0.0,-0.0,-0.44607788127034004,-0.0,-0.2699192009875435,-0.06562114240825946,-0.0,-0.0,-0.0,-0.3459768825047694,-0.0,-0.0,-0.30193019863090564,-0.04817080013466503,-0.0
2019-04-22,1.0,-0.04705384832252608,-0.1274316323653792,-0.1496475895122639,-0.0,-0.0,-0.45562447138426837,-0.0,-0.27113053284465743,-0.0736115026783197,-0.0,-0.0,-0.0,-0.34474203552297716,-0.0,-0.0,-0.3010431350436989,-0.04899915421482943,-0.0
2019-04-23,1.0,-0.07529924446079403,-0.12156540932114661,-0.12281049265683806,-0.0,-0.0,-0.4629446220889103,-0.0,-0.2646651008800476,-0.07229972551571918,-0.0,-0.0,-0.0,-0.33976626390107245,-0.0,-0.0,-0.3153739494609355,-0.05503834290726959,-0.0
2019-04-24,1.0,-0.07226500072642743,-0.14458811564724683,-0.08609617899171873,-0.0,-0.0,-0.5158797036176086,-0.0,-0.24646229841638823,-0.10117681243643759,-0.0,-0.0,-0.0,-0.3269504576492808,-0.0,-0.0,-0.33119279383989536,-0.08106930117681244,-0.0
2019-04-25,1.0,-0.014608543519463479,-0.184808281090538,-0.046070855809884834,-0.0,-0.0,-0.5138066773582155,-0.0,-0.2501239247703747,-0.07899110657530252,-0.0,-0.0,-0.0,-0.3436652573261409,-0.0,-0.0,-0.36935413325557664,-0.1144481702872139,-0.0
2019-04-26,1.0,-0.0,-0.2005663048607834,-0.07146649362907032,-0.0,-0.0,-0.5576923076923077,-0.0,-0.2812057574327513,-0.12069372345445964,-0.0,-0.0,-0.0,-0.27931807456347335,-0.0,-0.0,-0.3458588957055215,-0.09273242095327985,-0.0
2019-04-29,1.0,-0.0,-0.16779621406870762,-0.11451273662070577,-0.0,-0.0,-0.5310236036457116,-0.0,-0.2885896237438654,-0.1294695022201449,-0.0,-0.0,-0.0,-0.2853470437017995,-0.0,-0.0,-0.3230895068941341,-0.08141505024538442,-0.0
2019-04-30,1.0,-0.0,-0.17600677510732118,-0.13439243056975148,-0.0,-0.0,-0.507140145431183,-0.0,-0.3012586514032065,-0.12238997751365242,-0.0,-0.0,-0.0,-0.2735741611424233,-0.0,-0.0,-0.3227812983675496,-0.08281984639196331,-0.0
