Date,IWF,IWM,MTUM,PFN,SPY,VLUE,VXX
2019-02-05,-0.0,-0.2618624010446421,-0.0,1.0,-0.20682281890149348,-0.1635681057700155,0.0
2019-02-06,-0.0,-0.25436535134958715,-0.0,1.0,-0.20899833545481247,-0.1685433597702275,0.0
2019-02-07,-0.0,-0.2570549250134341,-0.0,1.0,-0.2047353080067089,-0.16658253407370013,0.0
2019-02-08,-0.0,-0.25553290385713123,-0.0,1.0,-0.21012802739949443,-0.16527766451928566,0.0
2019-02-11,-0.0,-0.25571290896914456,-0.0,1.0,-0.21633099753352608,-0.16138253213766518,0.0
2019-02-12,-0.0,-0.25686977299880526,-0.0,1.0,-0.21888348799528648,-0.16088116397440302,0.0
2019-02-13,-0.0,-0.263653483992467,-0.0,1.0,-0.21634324080897405,-0.15760255465487596,0.0
2019-02-14,-0.0,-0.25767293843604927,-0.0,1.0,-0.22247010383687932,-0.1602499958990174,0.0
2019-02-15,-0.0,-0.25726154705022747,-0.0,1.0,-0.22355220596686534,-0.1611414872830567,0.0
2019-02-19,-0.0,-0.24981535886031284,-0.0,1.0,-0.231416895074595,-0.16002232106221997,0.0
2019-02-20,-0.0,-0.2501354346220143,-0.0,1.0,-0.23060001641631786,-0.16089633095296726,0.0
2019-02-21,-0.0,-0.24729576678758428,-0.0,1.0,-0.2313083728641071,-0.1628120742576695,0.0
2019-02-22,-0.0,-0.24744960820068007,-0.0,1.0,-0.23001987744977248,-0.16529495835592134,0.0
2019-02-25,-0.0,-0.2472087738365774,-0.0,1.0,-0.23307973520403122,-0.16646905773474294,0.0
2019-02-26,-0.0,-0.24680094201347144,-0.0,1.0,-0.23372474102863916,-0.1663510152994845,0.0
2019-02-27,-0.0,-0.2427947598253275,-0.0,1.0,-0.23827964076789981,-0.1667792700008239,0.0
2019-02-28,-0.0,-0.24469804413074311,-0.0,1.0,-0.24012995151555128,-0.16430291236518355,0.0
2019-03-01,-0.0,-0.24565138462554048,-0.0,1.0,-0.23708618014984983,-0.16759085057926526,0.0
2019-03-04,-0.0,-0.24475524475524477,-0.0,1.0,-0.23020847077450854,-0.17433038659453756,0.0
2019-03-05,-0.0,-0.24066041003480185,-0.0,1.0,-0.23689983341305318,-0.17183196160253345,0.0
2019-03-06,-0.0,-0.24021895042289745,-0.0,1.0,-0.23967487181178176,-0.16882924175226288,0.0
2019-03-07,-0.0,-0.23170751781922336,-0.0,1.0,-0.2504403364664439,-0.16396977728028447,0.0
2019-03-08,-0.0,-0.2288290966750904,-0.0,1.0,-0.26120278149414466,-0.1617032522339494,0.0
2019-03-11,-0.0,-0.22635168857095325,-0.0,1.0,-0.2587589419397771,-0.17850607220096493,0.0
2019-03-12,-0.0,-0.21403157103482834,-0.0,1.0,-0.26467886077006597,-0.19169798713772654,0.0
2019-03-13,-0.0,-0.21595363328754735,-0.0,1.0,-0.2667258534624276,-0.19241850648262926,0.0
2019-03-14,-0.0,-0.21760026793937873,-0.0,1.0,-0.2652097462949008,-0.19182784894917526,0.0
2019-03-15,-0.0,-0.21389737221867972,-0.0,1.0,-0.26885256905057553,-0.19527133604054098,0.0
2019-03-18,-0.0,-0.217438196188133,-0.0,1.0,-0.27072344584688496,-0.19701386899445578,0.0
2019-03-19,-0.0,-0.21749030190588634,-0.0,1.0,-0.2707539214032721,-0.19838083993928152,0.0
2019-03-20,-0.0,-0.2149569038364036,-0.0,1.0,-0.2715903329389894,-0.20349839445665033,0.0
2019-03-21,-0.0,-0.215556719671494,-0.0,1.0,-0.28029470909305976,-0.19399428832147625,0.0
