Date,AMK,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-05-15,1.0,-0.36706887593095083,-0.4038450435887073,-0.46383003290803065,-0.5569539864903874,-0.09497142197332717,0.0
2020-05-18,1.0,-0.37176886519068036,-0.4211197403500638,-0.4750782427263243,-0.5571171902167613,-0.0728236930566825,0.0
2020-05-19,1.0,-0.37674028191843467,-0.40907117427421924,-0.4889577122347969,-0.5583953225853137,-0.061275290167588065,0.0
2020-05-20,1.0,-0.37694622909069864,-0.40831741621809337,-0.4897262256178735,-0.5588643861781559,-0.06016669560687619,0.0
2020-05-21,1.0,-0.3766384074534881,-0.40739561933971824,-0.49069760712942334,-0.5593588148491074,-0.05934434767512515,0.0
2020-05-22,1.0,-0.37717875962707736,-0.41649777057154436,-0.48754994498812904,-0.5589495628003938,-0.05515663906421912,0.0
2020-05-26,1.0,-0.37672303949959457,-0.4142534460789992,-0.4863315185914514,-0.5598285648094521,-0.05872813622147573,0.0
2020-05-27,1.0,-0.3878840579710145,-0.4075652173913044,-0.5036521739130435,-0.5601449275362319,-0.03930434782608696,0.0
2020-05-28,1.0,-0.39242450588303485,-0.40456732162522463,-0.5066075465136498,-0.5615545122587376,-0.03286384976525822,0.0
2020-05-29,1.0,-0.3842471714534378,-0.4147374528575573,-0.5010443864229766,-0.5545401798665506,-0.04650420655642588,0.0
2020-06-01,1.0,-0.38629826549289636,-0.40974461779830906,-0.5102414364159331,-0.5550713268834074,-0.04401638629826549,0.0
2020-06-02,1.0,-0.38598122693324804,-0.4065851036005928,-0.5103600592833687,-0.55737990758769,-0.04574118741100229,0.0
2020-06-03,1.0,-0.38605718935255146,-0.40657328838777174,-0.5126990584679764,-0.5561722654887831,-0.04443217482273626,0.0
2020-06-04,1.0,-0.3875345053029202,-0.4036030800523028,-0.5195699549614993,-0.5553392416097632,-0.039721051866918496,0.0
2020-06-05,1.0,-0.3853349601998722,-0.40264946836325605,-0.5180407878682238,-0.5550229504386729,-0.04407065248968682,0.0
2020-06-08,1.0,-0.3849860659544821,-0.39958778448676263,-0.5227879702740362,-0.5541395726892708,-0.04148281467719461,0.0
2020-06-09,1.0,-0.38257432648435,-0.40137754657211777,-0.5215205324188439,-0.5542445290476329,-0.04649946234996658,0.0
2020-06-10,1.0,-0.38740624454910166,-0.39909297052154197,-0.5269783126925983,-0.5546252689109832,-0.039042967614396185,0.0
2020-06-11,1.0,-0.3813968364735985,-0.40724587113282157,-0.5152361014189346,-0.5559723191439869,-0.047801814375436145,0.0
2020-06-12,1.0,-0.38170502243450577,-0.39597626284556375,-0.5192647271674627,-0.545694022289767,-0.052105948762483714,0.0
2020-06-15,1.0,-0.38195593486022816,-0.4044529594472989,-0.5127579900722807,-0.5480565473598653,-0.055618450463003274,0.0
2020-06-16,1.0,-0.3852204452442458,-0.39389893478071575,-0.5082286012829071,-0.5533915769308914,-0.06176530345688329,0.0
2020-06-17,1.0,-0.3834924688742491,-0.3866558319064341,-0.510694488783121,-0.5551557013088777,-0.06616942856313666,0.0
2020-06-18,1.0,-0.38215488215488214,-0.3891501219087426,-0.5089980262394055,-0.5549460118425635,-0.06731104144897249,0.0
2020-06-19,1.0,-0.387478898655335,-0.39027300774201057,-0.510565224983992,-0.5593457127888701,-0.06283834914721463,0.0
2020-06-22,1.0,-0.38674467341949004,-0.3902084061008267,-0.51376760973338,-0.5575736407032251,-0.062376295261380846,0.0
2020-06-23,1.0,-0.388248311204286,-0.3915094339622641,-0.5142091777311903,-0.5577393431167016,-0.0600104821802935,0.0
2020-06-24,1.0,-0.38849256034708674,-0.39154995195527476,-0.5140494423900067,-0.5576973473488047,-0.06001222956643275,0.0
2020-06-25,1.0,-0.3901385849744712,-0.39425237053245804,-0.5127352297592997,-0.5621881838074398,-0.058234865061998535,0.0
2020-06-26,1.0,-0.39005395945748866,-0.3929998541636284,-0.512206504302173,-0.562140877934957,-0.059297068688931025,0.0
2020-06-29,1.0,-0.38932143586154605,-0.39325809932056105,-0.512641063773948,-0.5631761583996734,-0.057650249322019065,0.0
2020-06-30,1.0,-0.38971338601043826,-0.39216257981747676,-0.513164416712832,-0.5633145756188588,-0.05738111205061667,0.0
2020-07-01,1.0,-0.3901009158257015,-0.392142565478621,-0.5142332147232106,-0.562999475004375,-0.05713702385813452,0.0
2020-07-02,1.0,-0.38372499854218906,-0.3985072015860983,-0.5113126129803487,-0.5590413435185725,-0.06303574552452038,0.0
2020-07-06,1.0,-0.38565976167584415,-0.39658538006584504,-0.511668560440521,-0.5573522128019113,-0.062232322349444986,0.0
2020-07-07,1.0,-0.3800715469854288,-0.3997905941889887,-0.504057237588343,-0.558444580170433,-0.06605008288980019,0.0
2020-07-08,1.0,-0.37928926918711253,-0.40251462498908586,-0.5012369393754184,-0.5588055531301842,-0.06859920253790855,0.0
2020-07-09,1.0,-0.38040790201041574,-0.4057199383200954,-0.498734398184516,-0.5562829129207763,-0.06828430944691746,0.0
2020-07-10,1.0,-0.37692597858572957,-0.3969474508893596,-0.5010010736151815,-0.5538403505208485,-0.07297681571540493,0.0
2020-07-13,1.0,-0.3788151328768713,-0.39874666357200883,-0.500522223511663,-0.5530637112684229,-0.07009400023209934,0.0
2020-07-14,1.0,-0.3681922263122808,-0.39007564998116,-0.4928552795571143,-0.563259035969972,-0.08405553462218487,0.0
2020-07-15,1.0,-0.36845767970539617,-0.38814625801026476,-0.49508510453214255,-0.5625598051439672,-0.08542349291037202,0.0
2020-07-16,1.0,-0.36588832487309647,-0.395097897026831,-0.4902393038433647,-0.5610442349528644,-0.08835387962291516,0.0
2020-07-17,1.0,-0.36824392932780176,-0.3963271345266762,-0.49119498679973306,-0.5577475412689663,-0.08764396994400767,0.0
2020-07-20,1.0,-0.37399343004157093,-0.39434285880403497,-0.4892293380621529,-0.5570220064536759,-0.09247361841914008,0.0
2020-07-21,1.0,-0.3615234885680253,-0.39847767351326224,-0.48304813921733825,-0.5604137009383806,-0.10174021672816014,0.0
2020-07-22,1.0,-0.3580816433109932,-0.4024719296718601,-0.47874778773899673,-0.5589694490382104,-0.1030550961789538,0.0
