Date,ALLK,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-03-15,1.0,-0.0,-0.4301728164409155,-0.0,-1.7163319321189476,-0.0,-4.6830141678343455,-0.0,-0.8355908453993462,-0.33271057138408844,-0.0,-0.0,-0.0,-0.0,-1.1877627276973377,-0.19772691888525612,-5.185583060874981,-0.0,-0.0
2019-03-18,1.0,-0.0,-0.4354312354312354,-0.0,-1.6632478632478631,-0.0,-4.59052059052059,-0.0,-0.8674436674436674,-0.3471639471639471,-0.0,-0.0,-0.0,-0.0,-1.2997668997668999,-0.22750582750582748,-5.108935508935509,-0.0,-0.0
2019-03-19,1.0,-0.0,-0.4780262143407864,-0.0,-1.6527370855821124,-0.0,-4.520123361603701,-0.0,-0.8542791056283731,-0.3336931380107941,-0.0,-0.0,-0.0,-0.0,-1.2989976869699305,-0.22852737085582112,-5.053816499614494,-0.0,-0.0
2019-03-20,1.0,-0.0,-0.3307728484088415,-0.0,-1.6145163818780373,-0.0,-4.539583006740869,-0.0,-1.0279040601975231,-0.2748079636306631,-0.0,-0.0,-0.0,-0.0,-1.5209280451481422,-0.4378429220881016,-4.930239849506192,-0.0,-0.0
2019-03-21,1.0,-0.0,-0.2912513842746401,-0.0,-1.6345514950166111,-0.0,-4.472393608606233,-0.0,-1.098876760006328,-0.2912513842746401,-0.0,-0.0,-0.0,-0.0,-1.553393450403417,-0.36655592469545956,-5.112007593735168,-0.0,-0.0
2019-03-22,1.0,-0.0,-0.2424290723621294,-0.0,-1.4979279566464774,-0.0,-4.326585910105196,-0.0,-1.129263627669748,-0.22202741472744658,-0.0,-0.41536499840612046,-0.0,-0.0,-1.3710551482307936,-0.3791839336946126,-5.354956965253426,-0.0,-0.0
2019-03-25,1.0,-0.0,-0.17259364627785678,-0.0,-1.4589853010905642,-0.0,-4.4035087719298245,-0.0,-1.0297139244507665,-0.31737000158052786,-0.0,-0.37537537537537535,-0.0,-0.0,-1.317211948790896,-0.32242769084874345,-5.407934250039513,-0.0,-0.0
2019-03-26,1.0,-0.0,-0.3350086382911889,-0.0,-1.5073032825506516,-0.0,-4.44840584262604,-0.0,-0.943772577351971,-0.2593057955080886,-0.0,-0.2148578608449819,-0.0,-0.0,-1.1873723888801633,-0.3609235118580179,-5.449191141825034,-0.0,-0.0
2019-03-27,1.0,-0.0,-0.1863859864781807,-0.0,-1.4632759680393361,-0.0,-4.407498463429625,-0.0,-1.0153657037492316,-0.29087277197295636,-0.0,-0.2284880147510756,-0.0,-0.0,-1.1410571604179474,-0.3335894283958205,-5.299170251997542,-0.0,-0.0
2019-03-28,1.0,-0.0,-0.037641154328732745,-0.0,-1.6450752823086574,-0.0,-4.493569636135508,-0.0,-1.1176286072772899,-0.28309284818067754,-0.0,-0.2222396486825596,-0.0,-0.0,-1.2010664993726474,-0.2648996235884567,-5.4184441656210796,-0.0,-0.0
2019-03-29,1.0,-0.0,-0.00475963826749167,-0.0,-1.654608916389021,-0.0,-4.550690147548786,-0.0,-1.1911788037442486,-0.24194827859749324,-0.0,-0.2021259717594796,-0.0,-0.0,-1.281453276217674,-0.3260352213231794,-5.412660637791528,-0.0,-0.0
2019-04-01,1.0,-0.0,-0.0,-0.0,-1.3675431156347189,-0.0,-4.0586655357647725,-0.0,-0.9359626802374895,-0.21826406559230987,-0.0,-0.4926491376873056,-0.0,-0.0,-0.8655640373197625,-0.23890302516256715,-4.958722080859485,-0.0,-0.0
2019-04-02,1.0,-0.0,-0.0,-0.0,-1.3858402047199316,-0.0,-4.0578618140460625,-0.0,-0.9354563548478817,-0.2237702587432471,-0.0,-0.5666761444412852,-0.0,-0.0,-0.8170315609894797,-0.21978959340346887,-5.010378163207279,-0.0,-0.0
2019-04-03,1.0,-0.0,-0.0,-0.0,-1.3998592540464463,-0.0,-3.8136523574947216,-0.0,-0.8866995073891626,-0.1884588318085855,-0.0,-0.632512315270936,-0.0,-0.0,-0.9681914144968332,-0.2897959183673469,-4.895285010555947,-0.0,-0.0
2019-04-04,1.0,-0.0,-0.0,-0.0,-1.3570467993544917,-0.0,-3.343867670790748,-0.0,-1.2896718665949436,-0.12157073695535234,-0.0,-0.44983862291554605,-0.0,-0.0,-1.0002689618074234,-0.25336202259279184,-4.632463690155998,-0.0,-0.0
2019-04-05,1.0,-0.0,-0.0,-0.0,-1.172641120725175,-0.0,-3.7711852767476994,-0.0,-1.2142562834775443,-0.25257519571487436,-0.0,-0.5897541546490866,-0.0,-0.0,-0.8022249690976514,-0.34445817882159047,-4.5872819667628075,-0.0,-0.0
2019-04-08,1.0,-0.0,-0.0,-0.0,-1.4675342849146378,-0.0,-3.9575986565911,-0.0,-0.7696613490064372,-0.0,-0.0,-0.9659949622166246,-0.0,-0.0,-0.8620207108872097,-0.7086481947942905,-4.262244612370558,-0.0,-0.0
2019-04-09,1.0,-0.0,-0.0,-0.0,-1.3962684489000279,-0.0,-4.082706766917293,-0.0,-0.7478418267891953,-0.0,-0.0,-0.9345586187691451,-0.0,-0.0,-0.9551656920077972,-0.6488443330548594,-4.158312447786133,-0.0,-0.0
2019-04-10,1.0,-0.0,-0.0,-0.0,-1.4509995805955542,-0.0,-4.091569970641689,-0.0,-0.7368936110722774,-0.0,-0.0,-0.9239479938487348,-0.0,-0.0,-0.9565217391304348,-0.6492380819236685,-4.170977212358451,-0.0,-0.0
2019-04-11,1.0,-0.0,-0.0,-0.0,-1.4438432290143317,-0.0,-4.3670663936823635,-0.0,-0.7790289558350395,-0.0,-0.0,-0.9632933606317637,-0.0,-0.0,-0.973676513600468,-0.7116115823340159,-4.385785317344253,-0.0,-0.0
2019-04-12,1.0,-0.0,-0.0,-0.0,-1.4388221841052031,-0.0,-4.320325900514581,-0.0,-0.8870783304745569,-0.0,-0.0,-0.7764436821040596,-0.0,-0.0,-0.8497712978845056,-0.7644368210405947,-4.257146941109205,-0.0,-0.0
2019-04-15,1.0,-0.0,-0.0,-0.0,-1.5401225968236278,-0.0,-4.33365840066871,-0.0,-0.7903315686820842,-0.034271384786848706,-0.0,-0.7176093619392588,-0.0,-0.0,-0.7571747004736696,-0.6925327389244915,-4.065895792699917,-0.0,-0.0
2019-04-16,1.0,-0.0,-0.0,-0.0,-1.4135188866799206,-0.0,-4.266117580232889,-0.0,-0.7631354728770237,-0.039477421187162735,-0.0,-0.7844362397046294,-0.0,-0.0,-1.0921613178074412,-0.6711161601817667,-4.1706901448452145,-0.0,-0.0
2019-04-17,1.0,-0.0,-0.0,-0.0,-1.2528401219174288,-0.0,-3.7851205320033254,-0.0,-0.7202826267664174,-0.0,-0.0,-1.174840676087559,-0.0,-0.0,-1.161124965364367,-0.7121086173455251,-4.048074258797452,-0.0,-0.0
2019-04-18,1.0,-0.0,-0.0,-0.0,-1.3204711616571894,-0.0,-3.653262929867317,-0.0,-0.7319252640129976,-0.008935824532900082,-0.0,-1.1955050094773898,-0.0,-0.0,-0.9981045220687788,-0.5586244245870566,-4.072163552667209,-0.0,-0.0
2019-04-22,1.0,-0.0,-0.0,-0.0,-1.3070091542560458,-0.0,-3.6398415084027875,-0.0,-0.7332968984833994,-0.0,-0.0,-1.189916655280776,-0.0,-0.0,-1.0400327913649403,-0.6115589561415493,-4.1412761306189365,-0.0,-0.0
2019-04-23,1.0,-0.0,-0.0,-0.0,-1.2000525072197428,-0.0,-3.5081386190601207,-0.0,-0.7320819112627986,-0.0,-0.0,-1.0913625623523235,-0.0,-0.0,-0.9887109477553163,-0.35232344447361513,-4.253872407456026,-0.0,-0.0
2019-04-24,1.0,-0.0,-0.0,-0.0,-0.996556948078777,-0.0,-3.453931965294037,-0.0,-0.6446770417297893,-0.035807739980718914,-0.0,-1.2925216912271038,-0.0,-0.0,-1.266905384933205,-0.6347610521966671,-4.4469081393747425,-0.0,-0.0
2019-04-25,1.0,-0.0,-0.0,-0.0,-1.017795078548589,-0.0,-3.1441679410538024,-0.0,-0.6036424301404143,-0.0,-0.0,-1.440011121924093,-0.0,-0.0,-1.4051160850827193,-0.7579591269289587,-4.5335743083553455,-0.0,-0.0
