Date,APEI,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-08-14,1.0,-0.0,-0.7400939049541445,-0.02567027952082145,-1.4905875641756987,-1.1316863399008295,0.0
2019-08-15,1.0,-0.0,-0.7620540122794213,-0.042119273539135284,-1.451290197930531,-1.038040444807007,0.0
2019-08-16,1.0,-0.0,-0.7589435258750268,-0.04522224608116813,-1.4508052394245223,-1.0395963066351728,0.0
2019-08-19,1.0,-0.0,-0.7442912629647019,-0.051005164539673055,-1.4505100516453966,-1.0224081266806095,0.0
2019-08-20,1.0,-0.0,-0.7549107333077676,-0.051557373556606584,-1.4503387447270868,-1.0041331117644552,0.0
2019-08-21,1.0,-0.0,-0.7634860050890585,-0.023748939779474128,-1.4546649703138252,-0.9989821882951653,0.0
2019-08-22,1.0,-0.0,-0.7647681558331569,-0.022146940503917002,-1.454965064577599,-0.99271649375397,0.0
2019-08-23,1.0,-0.0,-0.7683283215450426,-0.022574223878700606,-1.4563974418703147,-0.9880140612426411,0.0
2019-08-26,1.0,-0.0,-0.7595520697898754,-0.015769827622362956,-1.4461267457954117,-0.9726963888772385,0.0
2019-08-27,1.0,-0.0,-0.7553369610715781,-0.012724989535370448,-1.441523650062788,-0.9762243616575974,0.0
2019-08-28,1.0,-0.0,-0.7622761772969346,-0.0037740596301421565,-1.4421101186732084,-0.9851972994506647,0.0
2019-08-29,1.0,-0.0,-0.7457882826250943,-0.013033274662643533,-1.4496689296789875,-0.9822730701533819,0.0
2019-08-30,1.0,-0.0,-0.7307210293257581,-0.018380817110869748,-1.4578076698136853,-0.9705906926226083,0.0
2019-09-03,1.0,-0.0,-0.7370114942528735,-0.026959247648902823,-1.4545454545454546,-0.9612121212121213,0.0
2019-09-04,1.0,-0.0,-0.7429193899782135,-0.027526395173453996,-1.4601977543154014,-0.9590246354952237,0.0
2019-09-05,1.0,-0.0,-0.758059128110907,-0.025638884249206614,-1.4597461165859362,-0.9322699181560046,0.0
2019-09-06,1.0,-0.0,-0.7612245750323685,-0.020882930292778684,-1.4618468863550933,-0.9325899010149103,0.0
2019-09-09,1.0,-0.0,-0.7595351732724632,-0.021166217057480806,-1.4485992944594315,-0.9209379539323511,0.0
2019-09-10,1.0,-0.0,-0.7528308930275001,-0.0343440209050562,-1.4542287112696504,-0.9064664648056743,0.0
2019-09-11,1.0,-0.0,-0.71988503832056,-0.09151116294568477,-1.4789653448850384,-0.8749166944351883,0.0
2019-09-12,1.0,-0.0,-0.7353795105765243,-0.08336789713811696,-1.4663625051845708,-0.8625881377021982,0.0
2019-09-13,1.0,-0.0,-0.7363115978098557,-0.07619877219180356,-1.4659034345445496,-0.8695868591338974,0.0
2019-09-16,1.0,-0.0,-0.7340324118207817,-0.07377626725245576,-1.4676503502300329,-0.869316533344386,0.0
