Date,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XYL
2019-06-13,-0.0,-0.0,-0.0,-0.07671290458175703,-0.0,-0.27067195099981983,-0.0,-0.2819311835705278,-0.0,-0.17435296943493664,-0.3287095418242959,-0.27151264036509937,-0.0,-0.14213655197261754,-0.11676574791328889,-0.3396985528133069,-0.0,-0.0,1.0
2019-06-14,-0.0,-0.0,-0.0,-0.05760546642899584,-0.0,-0.23612596553773021,-0.004723707664884135,-0.27846108140225784,-0.0,-0.16437908496732026,-0.3120320855614973,-0.3314022578728461,-0.0,-0.15326797385620913,-0.13089720736779561,-0.30196078431372547,-0.0,-0.0,1.0
2019-06-17,-0.0,-0.0,-0.0,-0.04319622145163219,-0.0,-0.24644266411574794,-0.02110486667463829,-0.27337677866794213,-0.0,-0.17114073896926943,-0.29965323448523257,-0.3317888317589382,-0.0,-0.17326318306827693,-0.13921439674757863,-0.2902068635657061,-0.0,-0.0,1.0
2019-06-18,-0.0,-0.0,-0.0,-0.013146336291763852,-0.0,-0.27028746251476693,-0.02508102868566928,-0.24299518371550602,-0.0,-0.15421197709993034,-0.3360797261684791,-0.34968042892193985,-0.0,-0.17753612213370493,-0.1698118922848575,-0.27455850725471787,-0.0,-0.015721079574712995,1.0
2019-06-19,-0.0,-0.0,-0.0,-0.05901725727835594,-0.0,-0.2511856145435384,-0.0,-0.21051244895270715,-0.0,-0.22724278751152682,-0.34132525358977733,-0.3518969832696614,-0.0,-0.21403635884600186,-0.23913186668423128,-0.3989922276379923,-0.0,-0.0,1.0
2019-06-20,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3251771912953663,-0.0,-0.16433379634576342,-0.0,-0.3310538875235958,-0.4146098229867863,-0.33525661573529936,-0.0,-0.21188161128325675,-0.3531004024646508,-0.3899633151689995,-0.0,-0.03622181857036008,1.0
2019-06-21,-0.0,-0.0,-0.0,-0.0,-0.0,-0.341262482168331,-0.0,-0.1722895863052782,-0.0,-0.32360912981455064,-0.4197218259629102,-0.3296362339514979,-0.0,-0.2111269614835949,-0.3460413694721826,-0.39058487874465053,-0.0,-0.03213266761768902,1.0
2019-06-24,-0.0,-0.0,-0.0,-0.0,-0.0,-0.359408795962509,-0.0,-0.16953857245854365,-0.0,-0.31553713049747656,-0.42627974044700795,-0.33161499639509734,-0.0,-0.22357606344628697,-0.3750540735400144,-0.3718817591925018,-0.0,-0.032011535688536416,1.0
2019-06-25,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3565675008054988,-0.0,-0.18905953531665054,-0.0,-0.3075573694196828,-0.4109834246232055,-0.33268893423549206,-0.0,-0.2382128665019869,-0.36075609494146704,-0.36723588586975975,-0.0,-0.016933376293273187,1.0
2019-06-26,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3724873023821446,-0.0,-0.20391301237570642,-0.0,-0.2951212533085342,-0.4102224765720009,-0.32387867515559055,-0.0,-0.25327276629229556,-0.3550325488232349,-0.3628657271621718,-0.0,-0.0,1.0
2019-06-27,-0.0,-0.0,-0.0,-0.0,-0.0,-0.33329842200809945,-0.0,-0.2039868733417121,-0.0,-0.3131545873481358,-0.3827328585393102,-0.3489037843876554,-0.0,-0.2260159195643067,-0.32237117720988695,-0.34457478005865105,-0.0,-0.016059209607596707,1.0
2019-06-28,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3600913275106005,-0.0,-0.22295509730728807,-0.0,-0.31964628710180115,-0.40318196644076393,-0.37270322183162397,-0.0,-0.2300945892074077,-0.2926466857536332,-0.3904251078172,-0.0,-0.03232703946653137,1.0
2019-07-01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2962161778786481,-0.0,-0.20809248554913296,-0.0,-0.3296216177878648,-0.3547288910954289,-0.3682400085109401,-0.0,-0.17656654491294016,-0.3169970566332139,-0.3547643533458633,-0.0,-0.14099790772722434,1.0
2019-07-02,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2622557790023617,-0.0,-0.2123380805839834,-0.0,-0.3327488728261648,-0.331818507120876,-0.38910756458884993,-0.0,-0.18396192657267588,-0.34072854791383383,-0.368639519072497,-0.0,-0.15665927145208616,1.0
2019-07-03,-0.0,-0.0,-0.0,-0.0,-0.0,-0.24162295257467084,-0.0,-0.2257074545908718,-0.0,-0.3490704064518432,-0.3326553188452343,-0.38693216286621707,-0.0,-0.21179031509831212,-0.310352210684081,-0.36834029190307965,-0.0,-0.1420618777432823,1.0
2019-07-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.21210622969345952,-0.0,-0.23629749964684274,-0.0,-0.34771860432264445,-0.3206667608419268,-0.40736685972594994,-0.0,-0.18660827800536797,-0.2876465602486226,-0.390168102839384,-0.0,-0.1430639920892781,1.0
2019-07-08,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2115574348132488,-0.0,-0.2455602536997886,-0.0,-0.35190274841437635,-0.30944326990838616,-0.4102184637068358,-0.0,-0.17219873150105708,-0.27966878083157154,-0.4011275546159267,-0.0,-0.1419661733615222,1.0
2019-07-09,-0.0,-0.0,-0.0,-0.0,-0.0,-0.25635979820387134,-0.0,-0.28061826898994596,-0.0,-0.34766896847829976,-0.2722100969623242,-0.40495187663243765,-0.0,-0.13753622669862964,-0.23503524276360513,-0.4722172528534115,-0.0,-0.17127625317542666,1.0
2019-07-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.291437520486579,-0.0,-0.2521032887788178,-0.0,-0.35601121754015375,-0.3073897366791711,-0.35524638525694724,-0.0,-0.15970426485049352,-0.24121353388935426,-0.48443019994901115,-0.0,-0.1945223440288451,1.0
2019-07-11,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2562673079725987,-0.0,-0.2571782538988486,-0.0,-0.3325317009182335,-0.3624471651362775,-0.3636860515959772,-0.0,-0.13081183500947383,-0.24989068648885002,-0.5074333187581984,-0.0,-0.1835009473837633,1.0
2019-07-12,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2598241325208888,-0.0,-0.26365527055131904,-0.0,-0.3288940781552158,-0.35308497829021784,-0.3834421863027694,-0.0,-0.1321925055642719,-0.2280074433538877,-0.5187725763491079,-0.0,-0.18079322800744335,1.0
2019-07-15,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2837788086297033,-0.0,-0.2580811427729917,-0.0,-0.333701494735292,-0.34850158309402846,-0.4162800971946102,-0.0,-0.15591635372947502,-0.21548486856637952,-0.4982696414107945,-0.0,-0.17160002945291217,1.0
2019-07-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2843137254901961,-0.0,-0.25286718460969293,-0.0,-0.3400665926748058,-0.3499815020347762,-0.4250462449130596,-0.0,-0.1630410654827969,-0.21890492045874954,-0.497040325564188,-0.0,-0.1682944876063633,1.0
